minute,xG,team
0,0,AC Milan
5,0.06416580826044083,AC Milan
19,0.07982518896460533,AC Milan
20,0.10786501131951809,AC Milan
29,0.16461140848696232,AC Milan
30,0.23855511285364628,AC Milan
33,0.3335378188639879,AC Milan
34,0.40209209360182285,AC Milan
41,0.7112995330244303,AC Milan
43,0.758849835023284,AC Milan
44,0.8064106684178114,AC Milan
49,0.8874739687889814,AC Milan
51,0.9023692160844803,AC Milan
52,0.9802910685539246,AC Milan
61,1.0538902580738068,AC Milan
66,1.4550637304782867,AC Milan
95,1.4964023865759373,AC Milan
95,1.5741923414170742,AC Milan
0,0,Fiorentina
13,0.02704734168946743,Fiorentina
14,0.571131831035018,Fiorentina
16,0.63659911416471,Fiorentina
36,0.7318709399551153,Fiorentina
45,0.7784726265817881,Fiorentina
50,0.9230047259479761,Fiorentina
59,1.3855104837566614,Fiorentina
69,1.4345859568566084,Fiorentina
84,1.5086901914328337,Fiorentina
95,1.5086901914328337,Fiorentina
