minute,xG,team
0,0,Lille
0,0.26800522208213806,Lille
13,0.29445674270391464,Lille
13,0.6471540555357933,Lille
14,0.6689872182905674,Lille
30,1.2159746326506138,Lille
40,1.287157829850912,Lille
46,1.4191518984735012,Lille
46,1.5744521580636501,Lille
56,1.7064176015555859,Lille
71,1.7675151899456978,Lille
83,1.8333532139658928,Lille
0,0,Paris Saint Germain
22,0.053181473165750504,Paris Saint Germain
29,0.13545650616288185,Paris Saint Germain
39,0.44474345818161964,Paris Saint Germain
45,0.4963684007525444,Paris Saint Germain
54,0.5630263462662697,Paris Saint Germain
57,0.5827385131269693,Paris Saint Germain
58,0.6015218328684568,Paris Saint Germain
59,1.0281997751444578,Paris Saint Germain
66,1.0424782587215304,Paris Saint Germain
68,1.0964057510718703,Paris Saint Germain
69,1.182633331976831,Paris Saint Germain
70,1.231871577911079,Paris Saint Germain
72,1.327989543788135,Paris Saint Germain
73,1.8274183822795749,Paris Saint Germain
77,1.886973644606769,Paris Saint Germain
84,2.215521211735904,Paris Saint Germain
87,2.3097446812316775,Paris Saint Germain
