minute,xG,team
0,0,Lorient
14,0.1151513159275055,Lorient
16,0.5470283329486847,Lorient
21,0.5993140377104282,Lorient
57,0.6194512974470854,Lorient
71,0.6662046927958727,Lorient
0,0,Strasbourg
5,0.016727404668927193,Strasbourg
18,0.06625871919095516,Strasbourg
22,0.0949613768607378,Strasbourg
27,0.46057060547173023,Strasbourg
32,0.6003646422177553,Strasbourg
35,0.6369666028767824,Strasbourg
38,0.9200521875172853,Strasbourg
38,1.8180250097066164,Strasbourg
40,1.8384687323123217,Strasbourg
46,1.8829697538167238,Strasbourg
47,1.9060682859271765,Strasbourg
59,2.3285684194415808,Strasbourg
63,3.2995225992053747,Strasbourg
76,3.3233409728854895,Strasbourg
78,3.34848359413445,Strasbourg
