Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30,30,2700,30.0,49,1.63,143,101,69.2,13,7,10,7,23.3,7,5,2,0,28.6,0,4,2,42.3,0.26,-4.7,-0.16,163,436,37.4,1038,181,32.0,32.7,265,39.2,36.7,308,16,5.2,33,1.10,15.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,88.2,90,30,0,,0,1.53,47,49,-2,-0.07,-0.57,43.5,45.4,-1.9,-0.06,-0.04,0,0,8,0,0,0,0,0,0,204,0,0,,Bundesliga,20,2019-2020
Roman Bürki,ch SUI,GK,Dortmund,28,1990,31,31,2770,30.8,40,1.30,93,59,60.2,19,5,7,13,41.9,3,3,0,0,0.0,0,8,3,34.7,0.36,-2.3,-0.07,116,320,36.3,843,181,29.8,32.8,204,33.8,34.3,221,15,6.8,27,0.88,14.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,90.5,89,30,0,,1,2.00,76,40,+36,+1.17,-1.00,53.4,34.6,+18.8,+0.61,+0.31,0,0,2,0,0,0,0,0,0,188,0,0,,Bundesliga,20,2019-2020
Koen Casteels,be BEL,GK,Wolfsburg,27,1992,26,26,2340,26.0,38,1.46,104,69,67.3,11,6,9,5,19.2,4,4,0,0,0.0,1,5,0,36.8,0.33,-1.2,-0.05,227,485,46.8,807,123,47.0,40.1,178,59.6,48.7,217,18,8.3,24,0.92,15.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,76.5,90,26,0,,0,1.50,43,38,+5,+0.19,+0.57,37.3,32.1,+5.1,+0.20,-0.07,0,0,3,0,0,0,0,0,0,149,0,0,,Bundesliga,20,2019-2020
Mark Flekken,nl NED,GK,Freiburg,26,1993,10,10,900,10.0,14,1.40,70,54,80.0,4,3,3,3,30.0,1,0,0,1,,0,1,0,16.4,0.23,+2.4,+0.24,82,206,39.8,324,41,43.8,40.1,111,57.7,51.5,93,3,3.2,2,0.20,12.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,29.4,90,10,0,,16,1.50,16,14,+2,+0.20,+0.24,13.1,21.2,-8.1,-0.81,-0.34,0,1,0,0,0,0,0,0,0,51,0,0,,Bundesliga,20,2019-2020
Rafał Gikiewicz,pl POL,GK,Union Berlin,31,1987,33,33,2970,33.0,54,1.64,160,109,68.1,12,5,16,8,24.2,4,3,1,0,25.0,0,9,1,51.0,0.30,-2.0,-0.06,412,890,46.3,1087,124,61.5,47.4,269,82.2,60.7,295,28,9.5,23,0.70,15.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.01,0.01,0.01,0.01,0.01,90,97.1,90,33,0,,1,1.24,41,54,-13,-0.39,+3.61,37.9,49.4,-11.5,-0.35,+1.32,0,2,6,0,0,0,0,0,2,184,0,0,,Bundesliga,20,2019-2020
Péter Gulácsi,hu HUN,GK,RB Leipzig,29,1990,32,32,2880,32.0,34,1.06,117,82,72.6,16,12,4,10,31.3,2,2,0,0,0.0,0,8,0,37.6,0.31,+3.6,+0.11,165,398,41.5,1042,183,30.5,33.1,226,35.4,35.2,243,19,7.8,48,1.50,17.2,0,1,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,1.0,1.0,0.00,0.03,0.03,0.00,0.03,90,94.1,90,32,0,,0,1.88,76,34,+42,+1.31,+0.31,66.4,34.4,+32.1,+1.00,-0.35,0,1,1,0,0,0,0,0,0,212,0,0,,Bundesliga,20,2019-2020
Marwin Hitz,ch SUI,GK,Dortmund,31,1987,4,3,290,3.2,1,0.31,7,6,85.7,2,1,0,3,100.0,0,0,0,0,,0,0,0,2.7,0.39,+1.7,+0.53,9,24,37.5,75,14,20.0,31.0,25,36.0,39.9,21,2,9.5,4,1.24,17.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,73,9.5,90,3,1,20,27,2.50,8,1,+7,+2.17,+1.00,5.8,4.8,+1.0,+0.31,-0.31,0,0,1,0,0,0,0,0,0,16,0,1,0.0,Bundesliga,20,2019-2020
Timo Horn,de GER,GK,Köln,26,1993,34,34,3060,34.0,69,2.03,152,87,57.2,10,6,18,6,17.6,6,4,2,0,33.3,1,11,2,53.1,0.32,-13.9,-0.41,311,630,49.4,892,99,53.9,42.2,298,50.0,40.7,270,18,6.7,14,0.41,14.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,34,0,,0,1.06,51,69,-18,-0.53,,47.2,51.5,-4.3,-0.13,,0,1,3,0,0,0,0,0,1,149,0,0,,Bundesliga,20,2019-2020
Lukáš Hrádecký,fi FIN,GK,Leverkusen,29,1989,34,34,3060,34.0,44,1.29,137,92,69.3,19,6,9,10,29.4,2,2,0,0,0.0,1,6,0,48.7,0.35,+4.7,+0.14,261,604,43.2,1362,205,37.0,35.7,234,42.7,38.9,218,21,9.6,29,0.85,15.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,34,0,,0,1.85,61,44,+17,+0.50,,56.6,45.1,+11.5,+0.34,,0,0,2,0,0,0,0,0,0,213,0,0,,Bundesliga,20,2019-2020
Jannik Huth,de GER,GK,Paderborn 07,25,1994,6,6,540,6.0,17,2.83,32,16,50.0,0,1,5,0,0.0,1,1,0,0,0.0,0,1,0,11.7,0.34,-5.3,-0.88,34,83,41.0,205,37,33.7,34.0,49,28.6,33.4,43,4,9.3,4,0.67,15.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,17.6,90,6,0,,28,0.17,8,17,-9,-1.50,-0.50,6.3,13.1,-6.9,-1.14,-0.35,0,0,0,0,0,0,0,0,0,39,0,0,,Bundesliga,20,2019-2020
