Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Oliver Baumann,de GER,GK,Hoffenheim,31,1990,11,11,990,11.0,17,1.55,50,33,66.0,4,2,5,4,36.4,1,0,0,1,,0,2,0,15.0,0.35,0.0,0.0,50,147,34.0,370,54,33.0,33.2,78,32.1,31.3,77,5,6.5,13,1.3,14.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,11,0,,0,1.27,19,17,+2,+0.18,,17.0,13.2,+3.8,+0.38,,0,0,1,0,0,0,0,0,0,67,0,0,,Bundesliga,20,2021-2022
Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4,4,360,4.0,7,1.75,24,17,70.8,0,2,2,0,0.0,0,0,0,0,,0,3,0,6.1,0.29,0.1,0.02,10,17,58.8,63,16,23.8,30.1,29,6.9,18.8,29,1,3.4,3,1.0,15.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,36.4,90,4,0,,7,0.50,3,7,-4,-1.00,-0.86,1.9,5.8,-3.8,-1.28,-1.34,0,0,1,0,0,0,0,0,0,12,0,0,,Bundesliga,20,2021-2022
Sascha Burchert,de GER,GK,Greuther Fürth,32,1989,6,6,540,6.0,16,2.67,35,21,57.1,0,1,5,0,0.0,1,1,0,0,0.0,0,3,2,11.8,0.34,-2.2,-0.37,51,127,40.2,169,23,55.6,45.3,43,76.7,56.3,52,2,3.8,7,1.17,16.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,90,60.0,90,6,0,,3,0.17,4,16,-12,-2.00,0.00,6.2,11.0,-4.8,-0.81,+0.05,0,0,0,0,0,0,0,0,0,36,0,0,,Bundesliga,20,2021-2022
Koen Casteels,be BEL,GK,Wolfsburg,29,1992,11,11,990,11.0,12,1.09,34,23,67.6,6,1,4,5,45.5,3,1,2,0,66.7,0,1,0,12.0,0.34,0.0,0.0,71,142,50.0,332,36,31.6,33.3,72,51.4,43.2,77,4,5.2,8,0.8,14.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,11,0,,0,1.73,12,12,0,0.00,,16.4,12.9,+3.5,+0.35,,0,0,2,0,0,0,0,0,0,41,0,0,,Bundesliga,20,2021-2022
Mark Flekken,nl NED,GK,Freiburg,28,1993,11,11,990,11.0,9,0.82,47,40,83.0,6,4,1,4,36.4,1,1,0,0,0.0,0,0,1,10.3,0.26,4.3,0.43,91,230,39.6,341,43,48.7,43.8,84,76.2,63.8,86,6,7.0,8,0.8,15.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,90,100.0,90,11,0,,0,2.00,18,9,+9,+0.82,,13.3,11.2,+2.1,+0.21,,0,0,0,0,0,0,0,0,0,55,0,0,,Bundesliga,20,2021-2022
Marius Funk,de GER,GK,Greuther Fürth,25,1996,4,4,360,4.0,11,2.75,18,10,50.0,0,0,4,0,0.0,2,2,0,0,0.0,0,2,1,9.6,0.43,-0.4,-0.1,32,95,33.7,139,14,51.8,44.4,38,60.5,50.6,34,3,8.8,8,2.0,18.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,90,40.0,90,4,0,,6,0.00,3,11,-8,-2.00,0.00,4.4,7.8,-3.4,-0.86,-0.05,0,1,0,0,0,0,0,0,1,22,0,0,,Bundesliga,20,2021-2022
Rafał Gikiewicz,pl POL,GK,Augsburg,34,1987,11,11,990,11.0,20,1.82,49,31,63.3,2,3,6,3,27.3,2,2,0,0,0.0,0,0,2,15.8,0.31,-1.2,-0.12,71,192,37.0,270,42,47.8,40.4,80,78.8,58.6,74,7,9.5,9,0.9,14.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,11,0,,0,0.82,9,20,-11,-1.00,,8.7,20.0,-11.4,-1.14,,0,0,1,0,0,0,0,0,0,60,0,0,,Bundesliga,20,2021-2022
Péter Gulácsi,hu HUN,GK,RB Leipzig,31,1990,11,11,990,11.0,11,1.0,36,27,75.0,5,3,3,3,27.3,2,2,0,0,0.0,0,1,0,12.5,0.33,2.5,0.25,65,141,46.1,274,43,41.2,37.0,61,45.9,39.9,72,3,4.2,15,1.5,17.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,11,0,,0,1.64,23,11,+12,+1.09,,21.6,14.3,+7.3,+0.73,,0,0,1,0,0,0,0,0,0,62,0,0,,Bundesliga,20,2021-2022
Marwin Hitz,ch SUI,GK,Dortmund,34,1987,1,0,45,0.5,1,2.0,4,4,100.0,0,0,0,0,,1,1,0,0,0.0,0,0,0,1.3,0.09,0.3,0.54,2,3,66.7,20,5,15.0,32.6,3,0.0,22.0,3,0,0.0,0,0.0,11.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,45,4.5,,0,1,45,10,3.00,1,1,0,0.00,-1.05,0.4,1.4,-0.9,-1.82,-2.70,0,0,0,0,0,0,0,0,0,4,0,0,,Bundesliga,20,2021-2022
Timo Horn,de GER,GK,Köln,28,1993,10,10,900,10.0,18,1.8,48,31,62.5,3,4,3,0,0.0,0,0,0,0,,0,4,1,17.5,0.38,0.5,0.05,68,122,55.7,307,35,32.6,34.9,67,32.8,35.4,71,3,4.2,10,1.0,16.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,10,0,,0,1.30,15,18,-3,-0.30,,14.7,16.8,-2.1,-0.21,,0,0,0,0,0,0,0,0,0,47,0,0,,Bundesliga,20,2021-2022
