Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,League Name,League ID,Season
Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,6,540,6.0,10,1.67,38,28,76.3,3,0,3,1,16.7,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,100.0,,6,0,,0,2.10,8,10,-2,-0.33,,0,0,1,0,0,2,0,0,0,Champions-League,8,2017-2018
Alisson,br BRA,GK,it Roma,24,1992,12,12,1080,12.0,19,1.58,62,43,69.4,6,2,4,5,41.7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,100.0,,12,0,,0,1.67,21,19,+2,+0.17,,0,0,1,0,0,1,1,0,0,Champions-League,8,2017-2018
Alphonse Areola,fr FRA,GK,fr Paris S-G,24,1993,8,8,720,8.0,9,1.13,37,28,78.4,5,0,3,4,50.0,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,100.0,,8,0,,0,1.88,27,9,+18,+2.25,,0,0,0,0,0,0,0,0,0,Champions-League,8,2017-2018
Diego Benaglio,ch SUI,GK,fr Monaco,33,1983,3,3,270,3.0,7,2.33,17,10,58.8,0,1,2,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,50.0,,3,0,,3,0.33,3,9,-6,-2.00,-0.67,0,0,0,0,0,0,0,0,0,Champions-League,8,2017-2018
Frank Boeckx,be BEL,GK,be Anderlecht,30,1986,3,3,270,3.0,8,2.67,17,9,52.9,1,0,2,1,33.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,50.0,,3,0,,3,1.00,1,8,-7,-2.33,+0.33,0,0,0,0,0,1,0,0,0,Champions-League,8,2017-2018
Claudio Bravo,cl CHI,GK,eng Manchester City,34,1983,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,10.0,,1,0,,9,0.00,1,2,-1,-1.00,-2.00,0,0,0,0,0,1,0,0,0,Champions-League,8,2017-2018
Gianluigi Buffon,it ITA,GK,it Juventus,39,1978,9,9,810,9.0,11,1.22,35,24,68.6,4,3,2,2,22.2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,90,90.0,,8,0,,0,1.67,12,11,+1,+0.11,-0.89,0,0,0,0,0,0,0,0,0,Champions-League,8,2017-2018
Roman Bürki,ch SUI,GK,de Dortmund,26,1990,6,6,540,6.0,13,2.17,36,23,63.9,0,2,4,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,100.0,,5,0,,0,0.33,7,13,-6,-1.00,,0,0,0,0,0,0,1,0,0,Champions-League,8,2017-2018
Kiko Casilla,es ESP,GK,es Real Madrid,30,1986,2,2,180,2.0,3,1.50,8,5,62.5,1,0,1,1,50.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,15.4,,2,0,,11,1.50,7,3,+4,+2.00,+0.82,0,0,0,0,0,0,1,0,0,Champions-League,8,2017-2018
Iker Casillas,es ESP,GK,pt Porto,36,1981,3,3,270,3.0,3,1.00,6,3,50.0,1,1,1,2,66.7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,90,37.5,,3,0,,5,1.33,4,3,+1,+0.33,+0.53,0,0,0,0,0,0,0,0,0,Champions-League,8,2017-2018
