Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Adrián,es ESP,GK,eng Liverpool,32,1987,3,3,300,3.3,8,2.40,15,8,53.3,1,0,2,0,0.0,1,1,0,0,0.0,0,0,0,6.4,0.37,-1.6,-0.49,19,35,54.3,83,14,33.7,35.5,15,46.7,39.1,15,0,0.0,0,0.00,11.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,100,40.0,100,3,0,,5,1.00,6,8,-2,-0.60,-1.60,5.9,4.6,+1.3,+0.40,-0.65,0,0,0,0,0,0,0,0,0,19,0,0,,Champions-League,8,2019-2020
Alisson,br BRA,GK,eng Liverpool,26,1992,5,5,450,5.0,4,0.80,16,12,75.0,3,1,1,1,20.0,0,0,0,0,,0,2,0,4.1,0.26,+0.1,+0.01,25,41,61.0,147,25,23.8,30.7,27,22.2,31.7,31,3,9.7,12,2.40,19.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,60.0,90,5,0,,0,2.00,9,4,+5,+1.00,+1.60,8.5,3.3,+5.2,+1.04,+0.65,0,0,0,0,0,0,0,0,0,34,0,0,,Champions-League,8,2019-2020
Alphonse Areola,fr FRA,GK,es Real Madrid,26,1993,2,1,135,1.5,1,0.67,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,0,0,0,1.6,0.52,+0.6,+0.38,6,16,37.5,47,7,29.8,33.9,11,18.2,30.3,10,2,20.0,1,0.67,15.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,68,18.8,90,1,1,45,6,2.00,5,1,+4,+2.67,+2.67,2.4,1.8,+0.6,+0.41,-0.06,0,0,0,0,0,0,0,0,0,8,0,0,,Champions-League,8,2019-2020
Kepa Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6,6,540,6.0,9,1.50,18,11,50.0,3,2,1,1,16.7,1,0,1,0,100.0,0,1,2,7.3,0.37,+0.3,+0.05,37,71,52.1,130,27,37.7,36.0,45,48.9,44.3,43,3,7.0,5,0.83,16.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,75.0,90,6,0,,2,1.83,11,9,+2,+0.33,+3.33,14.0,5.4,+8.6,+1.43,+3.75,0,0,0,0,0,0,0,0,0,19,1,0,100.0,Champions-League,8,2019-2020
Milan Borjan,ca CAN,GK,rs Red Star,31,1987,6,6,540,6.0,20,3.33,51,32,64.7,1,0,5,0,0.0,2,2,0,0,0.0,0,4,0,18.8,0.33,-1.2,-0.19,47,133,35.3,135,24,61.5,46.3,71,70.4,49.6,85,14,16.5,4,0.67,10.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.14,3,20,-17,-2.83,,4.0,17.4,-13.3,-2.22,,0,0,2,0,0,0,0,0,0,25,0,0,,Champions-League,8,2019-2020
Claudio Bravo,cl CHI,GK,eng Manchester City,36,1983,2,1,125,1.4,2,1.44,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,0,0,0,1.1,0.35,-0.9,-0.68,5,11,45.5,40,5,22.5,29.5,8,25.0,26.9,10,2,20.0,2,1.44,15.9,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,63,15.4,90,1,1,35,6,2.00,4,2,+2,+1.44,+0.13,2.5,0.9,+1.6,+1.15,-0.70,0,0,0,0,0,0,0,0,0,6,0,0,,Champions-League,8,2019-2020
Gianluigi Buffon,it ITA,GK,it Juventus,41,1978,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,0,0,0,0.0,0.03,0.0,+0.03,8,14,57.1,28,7,35.7,32.1,11,36.4,33.2,15,0,0.0,0,0.00,9.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,12.5,90,1,0,,7,3.00,2,0,+2,+2.00,+1.14,1.1,0.8,+0.4,+0.37,+0.01,0,0,0,0,0,0,0,0,0,8,0,0,,Champions-League,8,2019-2020
Roman Bürki,ch SUI,GK,de Dortmund,28,1990,8,8,720,8.0,11,1.37,36,25,69.4,4,1,3,2,25.0,1,0,1,0,100.0,0,1,0,12.6,0.33,+1.6,+0.19,29,99,29.3,202,43,40.6,36.8,40,42.5,46.2,41,4,9.8,4,0.50,13.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,8,0,,0,1.63,10,11,-1,-0.12,,11.4,11.3,+0.1,+0.02,,0,0,1,0,0,0,0,0,0,36,0,0,,Champions-League,8,2019-2020
Willy Caballero,ar ARG,GK,eng Chelsea,37,1981,2,2,180,2.0,7,3.50,12,6,50.0,0,0,2,0,0.0,1,1,0,0,0.0,0,1,0,6.6,0.47,-0.4,-0.20,15,35,42.9,55,11,45.5,37.3,24,41.7,37.3,14,0,0.0,1,0.50,11.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,25.0,90,2,0,,6,0.00,1,7,-6,-3.00,-3.33,1.6,6.2,-4.6,-2.32,-3.75,0,1,0,0,0,0,0,0,1,11,0,0,,Champions-League,8,2019-2020
Leonardo César Jardim,br BRA,GK,fr Lille,24,1995,1,0,19,0.2,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,0,0,0,0.0,0.02,0.0,+0.11,1,4,25.0,4,0,50.0,46.0,2,100.0,68.0,1,0,0.0,1,4.74,19.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,19,3.5,,0,1,19,5,0.00,1,0,+1,+4.74,+6.64,0.3,0.5,-0.2,-1.05,-0.69,0,0,0,0,0,0,0,0,0,2,0,0,,Champions-League,8,2019-2020
