Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,5,5,450,5.0,8,1.60,19,11,57.9,3,0,2,1,20.0,0,0,0,0,,0,1,0,6.7,0.35,-1.3,-0.26,28,67,41.8,152,26,38.8,35.9,24,33.3,32.8,42,6,14.3,2,0.40,11.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,90,83.3,90,5,0,,1,1.80,12,8,+4,+0.80,+2.80,9.0,8.1,+0.9,+0.18,+1.41,0,0,1,0,0,0,0,0,0,28,0,0,,Champions-League,8,2021-2022
Alisson,br BRA,GK,eng Liverpool,29,1992,6,6,540,6.0,6,1.00,15,9,60.0,6,0,0,2,33.3,0,0,0,0,,0,2,0,4.5,0.30,-1.5,-0.25,29,47,61.7,197,29,19.3,29.6,29,31.0,32.2,25,1,4.0,9,1.50,16.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,3.00,17,6,+11,+1.83,,11.6,5.8,+5.8,+0.97,,0,0,0,0,0,0,0,0,0,37,0,0,,Champions-League,8,2021-2022
Kepa Arrizabalaga,es ESP,GK,eng Chelsea,27,1994,1,1,90,1.0,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,0,0,0,3.4,0.48,+0.4,+0.36,6,13,46.2,21,1,47.6,39.9,8,37.5,31.9,8,0,0.0,0,0.00,15.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,16.7,90,1,0,,5,1.00,3,3,0,0.00,-1.80,2.9,2.1,+0.7,+0.74,-0.76,0,0,0,0,0,0,0,0,0,3,0,0,,Champions-League,8,2021-2022
Giorgos Athanasiadis,gr GRE,GK,md Sheriff Tiraspol,28,1993,5,5,450,5.0,8,1.60,34,27,79.4,2,1,2,1,20.0,1,1,0,0,0.0,1,1,0,10.5,0.30,+2.5,+0.50,32,85,37.6,98,13,48.0,41.5,67,56.7,42.7,49,1,2.0,0,0.00,8.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,0,2.08,6,8,-2,-0.40,+1.60,3.2,10.9,-7.8,-1.55,+0.57,0,0,0,0,0,0,0,0,0,15,0,0,,Champions-League,8,2021-2022
David von Ballmoos,ch SUI,GK,ch Young Boys,27,1994,3,3,270,3.0,6,2.00,16,10,62.5,1,0,2,0,0.0,0,0,0,0,,0,0,0,7.0,0.48,+1.0,+0.35,16,44,36.4,71,5,56.3,42.0,14,28.6,30.1,17,3,17.6,1,0.33,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06,90,50.0,90,3,0,,0,1.57,3,6,-3,-1.00,-0.33,4.4,4.9,-0.5,-0.16,-0.09,0,0,0,0,0,0,0,0,0,9,0,0,,Champions-League,8,2021-2022
Yassine Bounou,ma MAR,GK,es Sevilla,30,1991,6,6,540,6.0,5,0.83,16,12,81.3,1,3,2,2,33.3,4,2,0,2,0.0,0,0,0,6.4,0.29,+1.4,+0.23,31,63,49.2,151,26,32.5,34.1,33,42.4,35.8,27,2,7.4,4,0.67,16.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.00,5,5,0,0.00,,7.3,7.6,-0.4,-0.06,,0,1,0,0,0,0,0,0,1,23,0,0,,Champions-League,8,2021-2022
Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,33,1988,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,,0,0,0,0.5,0.12,+0.5,+0.46,11,22,50.0,27,3,55.6,39.9,8,87.5,61.8,8,0,0.0,0,0.00,13.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,16.7,90,1,0,,5,1.00,0,0,0,0.00,+2.00,0.6,1.4,-0.9,-0.86,-0.14,0,0,0,0,0,0,0,0,0,2,0,0,,Champions-League,8,2021-2022
Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,27,1994,5,5,450,5.0,11,2.20,23,13,56.5,0,0,5,0,0.0,1,1,0,0,0.0,0,1,0,8.4,0.33,-2.6,-0.52,31,90,34.4,151,26,43.7,39.0,44,54.5,45.9,51,6,11.8,0,0.00,10.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,1,0.00,1,11,-10,-2.00,-2.00,3.6,7.2,-3.6,-0.72,+0.14,0,0,0,0,0,0,0,0,0,20,0,0,,Champions-League,8,2021-2022
Koen Casteels,be BEL,GK,de Wolfsburg,29,1992,5,5,450,5.0,8,1.60,25,18,72.0,1,2,2,1,20.0,1,1,0,0,0.0,1,2,0,7.6,0.27,-0.4,-0.07,40,99,40.4,144,22,47.9,39.1,45,66.7,52.7,41,4,9.8,1,0.20,14.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,0,1.00,5,8,-3,-0.60,+1.40,4.2,7.9,-3.7,-0.74,+0.61,0,0,1,0,0,0,0,0,0,23,0,0,,Champions-League,8,2021-2022
Dumitru Celeadnic,md MDA,GK,md Sheriff Tiraspol,29,1992,1,1,90,1.0,3,3.00,9,6,66.7,0,0,1,0,0.0,0,0,0,0,,0,2,0,3.3,0.37,+0.3,+0.35,5,16,31.3,16,2,62.5,47.2,16,37.5,34.3,9,2,22.2,0,0.00,15.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,16.7,90,1,0,,5,0.00,1,3,-2,-2.00,-1.60,0.6,2.7,-2.1,-2.12,-0.57,0,0,1,0,0,0,0,0,0,0,0,0,,Champions-League,8,2021-2022
Diogo Costa,pt POR,GK,pt Porto,22,1999,6,6,540,6.0,11,1.83,28,18,60.7,1,2,3,2,33.3,0,0,0,0,,0,1,1,8.7,0.33,-1.3,-0.21,68,168,40.5,247,25,59.9,45.7,33,60.6,47.0,41,2,4.9,8,1.33,17.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,0.83,4,11,-7,-1.17,,7.2,7.8,-0.6,-0.11,,0,0,2,0,0,0,0,0,0,34,0,0,,Champions-League,8,2021-2022
