Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,League Name,League ID,Season
Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,6,540,6.0,9,1.50,31,22,74.2,2,2,2,2,33.3,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,90,100.0,,6,0,,0,1.33,7,9,-2,-0.33,,0,0,1,0,0,0,0,0,0,Europa-League,19,2017-2018
Stephan Andersen,dk DEN,GK,dk FC Copenhagen,35,1981,2,2,180,2.0,2,1.00,7,5,71.4,0,1,1,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,25.0,,2,0,,6,0.50,1,2,-1,-0.50,-0.67,0,0,1,0,0,0,0,0,0,Europa-League,19,2017-2018
Giannis Anestis,gr GRE,GK,gr AEK Athens,26,1991,5,5,450,5.0,5,1.00,22,17,77.3,1,4,0,2,40.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,62.5,,5,0,,1,1.57,6,5,+1,+0.20,+0.20,0,0,2,0,0,0,0,0,0,Europa-League,19,2017-2018
Sergio Asenjo,es ESP,GK,es Villarreal,28,1989,2,2,180,2.0,4,2.00,14,10,71.4,0,0,2,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,25.0,,2,0,,1,0.00,1,4,-3,-1.50,-2.17,0,0,1,0,0,0,0,0,0,Europa-League,19,2017-2018
Volkan Babacan,tr TUR,GK,tr Başakşehir,28,1988,2,2,180,2.0,2,1.00,7,5,71.4,0,1,1,1,50.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,33.3,,2,0,,3,0.50,1,2,-1,-0.50,-0.50,0,0,0,0,0,0,0,0,0,Europa-League,19,2017-2018
David von Ballmoos,ch SUI,GK,ch Young Boys,22,1994,5,5,450,5.0,7,1.40,18,11,61.1,0,3,2,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,83.3,,5,0,,0,0.60,5,7,-2,-0.40,-1.40,0,0,0,0,0,1,0,0,0,Europa-League,19,2017-2018
Mariano Barbosa,ar ARG,GK,es Villarreal,33,1984,6,6,540,6.0,6,1.00,24,18,75.0,3,2,1,2,33.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,75.0,,6,0,,2,1.83,10,6,+4,+0.67,+2.17,0,0,0,0,0,0,0,0,0,Europa-League,19,2017-2018
Vasilios Barkas,gr GRE,GK,gr AEK Athens,23,1994,2,2,180,2.0,1,0.50,7,6,85.7,0,2,0,1,50.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,25.0,,2,0,,0,1.00,1,1,0,0.00,-0.17,0,0,0,0,0,0,0,0,0,Europa-League,19,2017-2018
Oliver Baumann,de GER,GK,de Hoffenheim,27,1990,5,5,450,5.0,9,1.80,22,13,59.1,1,1,3,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,83.3,,5,0,,0,0.80,7,9,-2,-0.40,-0.40,0,0,0,0,0,0,1,0,0,Europa-League,19,2017-2018
Walter Benítez,ar ARG,GK,fr Nice,24,1993,4,4,360,4.0,6,1.50,17,11,70.6,1,0,3,0,0.0,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,90,50.0,,4,0,,4,0.75,5,6,-1,-0.25,-1.25,0,0,0,0,0,0,1,0,0,Europa-League,19,2017-2018
