Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Alphonse Areola,fr FRA,GK,eng West Ham,28,1993,4,4,360,4.0,2,0.50,11,10,81.8,3,1,0,3,75.0,0,0,0,0,,0,0,1,2.6,0.24,+1.6,+0.40,23,50,46.0,81,6,40.7,36.6,26,65.4,46.6,22,0,0.0,3,0.75,16.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,80.0,90,4,0,,1,2.50,9,2,+7,+1.75,-0.25,8.5,3.7,+4.7,+1.18,-0.11,0,0,0,0,0,0,0,0,0,12,0,0,,Europa-League,19,2021-2022
Altay Bayındır,tr TUR,GK,tr Fenerbahçe,23,1998,3,3,270,3.0,6,2.00,15,9,60.0,0,2,1,0,0.0,0,0,0,0,,0,1,0,6.3,0.44,+0.3,+0.10,4,32,12.5,56,10,48.2,43.7,11,45.5,43.6,16,1,6.3,3,1.00,17.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,60.0,90,3,0,,0,1.60,3,6,-3,-1.00,-2.00,6.7,3.9,+2.8,+0.93,+0.84,0,0,0,0,0,0,0,0,0,13,0,0,,Europa-League,19,2021-2022
Ádám Bogdán,hu HUN,GK,hu Ferencváros,34,1987,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,0,1,0,1.7,0.43,-1.3,-1.28,5,12,41.7,18,3,38.9,33.4,8,62.5,47.5,8,1,12.5,0,0.00,9.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,20.0,90,1,0,,4,0.00,2,3,-1,-1.00,+0.75,0.7,1.6,-0.9,-0.88,+0.32,0,0,0,0,0,0,0,0,0,1,0,0,,Europa-League,19,2021-2022
Milan Borjan,ca CAN,GK,rs Red Star,34,1987,4,4,360,4.0,3,0.75,14,11,78.6,2,1,1,1,25.0,0,0,0,0,,1,0,0,3.4,0.24,+0.4,+0.09,40,90,44.4,102,13,57.8,45.3,41,75.6,53.4,25,6,24.0,3,0.75,14.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,80.0,90,4,0,,0,2.17,4,3,+1,+0.25,-0.75,3.7,4.6,-0.8,-0.21,-0.85,0,0,1,0,0,0,0,0,0,17,0,0,,Europa-League,19,2021-2022
Artur Boruc,pl POL,GK,pl Legia Warsaw,41,1980,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,0,0,0,0.1,0.03,+0.1,+0.08,6,18,33.3,29,8,44.8,38.7,11,45.5,37.6,8,0,0.0,1,1.00,13.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,20.0,90,1,0,,0,2.33,1,0,+1,+1.00,+2.75,1.4,1.6,-0.3,-0.26,+1.31,0,0,0,0,0,0,0,0,0,8,0,0,,Europa-League,19,2021-2022
Claudio Bravo,cl CHI,GK,es Betis,38,1983,3,3,251,2.8,4,1.43,14,10,78.6,2,1,0,1,33.3,1,1,0,0,0.0,0,0,0,5.0,0.30,+1.0,+0.37,11,42,26.2,82,16,41.5,38.6,13,61.5,55.9,28,3,10.7,3,1.08,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.07,0.07,0.00,0.07,84,55.8,84,2,0,,2,2.33,7,4,+3,+1.08,+1.98,5.8,3.7,+2.1,+0.76,+1.43,0,1,1,0,0,0,0,0,1,11,0,0,,Europa-League,19,2021-2022
Jean Butez,fr FRA,GK,be Antwerp,26,1995,5,5,450,5.0,10,2.00,21,12,61.9,0,2,3,0,0.0,3,2,0,1,0.0,0,1,0,8.8,0.34,-1.2,-0.23,55,108,50.9,169,24,51.5,42.8,36,58.3,46.7,60,7,11.7,3,0.60,13.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,5,0,,0,0.71,5,10,-5,-1.00,,4.7,8.5,-3.8,-0.76,,0,0,0,0,0,0,0,0,0,32,0,0,,Europa-League,19,2021-2022
Dénes Dibusz,hu HUN,GK,hu Ferencváros,31,1990,4,4,360,4.0,9,2.25,25,18,64.0,0,0,4,0,0.0,1,0,0,1,,0,0,2,5.6,0.21,-1.4,-0.35,14,34,41.2,80,24,26.3,31.9,46,28.3,29.2,37,3,8.1,0,0.00,10.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,80.0,90,4,0,,0,0.00,2,9,-7,-1.75,-0.75,3.5,8.3,-4.8,-1.20,-0.32,0,0,0,0,0,0,0,0,0,12,0,0,,Europa-League,19,2021-2022
Joel Drommel,nl NED,GK,nl PSV Eindhoven,25,1996,5,5,450,5.0,5,1.00,15,10,66.7,2,2,1,2,40.0,0,0,0,0,,0,0,0,4.5,0.30,-0.5,-0.09,12,58,20.7,127,23,37.0,37.5,23,47.8,42.4,20,3,15.0,8,1.60,19.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,90,100.0,90,5,0,,0,1.60,9,5,+4,+0.80,,8.1,4.3,+3.8,+0.76,,0,0,0,0,0,0,0,0,0,18,0,0,,Europa-League,19,2021-2022
Łukasz Fabiański,pl POL,GK,eng West Ham,36,1985,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,0,0,0,0.0,,0.0,0.00,6,11,54.5,16,3,31.3,33.7,9,66.7,53.7,4,1,25.0,0,0.00,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,20.0,90,1,0,,3,3.00,2,0,+2,+2.00,+0.25,1.6,0.3,+1.3,+1.29,+0.11,0,0,0,0,0,0,0,0,0,3,0,0,,Europa-League,19,2021-2022
