Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Alphonse Areola,fr FRA,GK,eng West Ham,28,1993,5,5,450,5.0,3,0.60,15,13,80.0,3,1,1,3,60.0,0,0,0,0,,0,0,1,3.5,0.24,+1.5,+0.31,27,59,45.8,93,8,39.8,35.8,35,62.9,46.3,28,1,3.6,4,0.80,16.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,1,2.00,9,3,+6,+1.20,-0.80,8.7,4.4,+4.3,+0.87,-0.42,0,0,0,0,0,0,0,0,0,13,0,0,,Europa-League,19,2021-2022
Scott Bain,sct SCO,GK,sct Celtic,30,1991,1,1,90,1.0,2,2.00,7,5,71.4,1,0,0,0,0.0,0,0,0,0,,0,0,1,1.7,0.25,+0.7,+0.72,6,12,50.0,41,7,22.0,28.9,6,50.0,35.5,13,1,7.7,0,0.00,10.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,16.7,90,1,0,,5,3.00,3,2,+1,+1.00,+1.60,1.9,2.8,-0.9,-0.88,-1.10,0,0,0,0,0,0,0,0,0,6,0,0,,Europa-League,19,2021-2022
Altay Bayındır,tr TUR,GK,tr Fenerbahçe,23,1998,3,3,270,3.0,6,2.00,15,9,60.0,0,2,1,0,0.0,0,0,0,0,,0,1,0,6.3,0.44,+0.3,+0.10,4,32,12.5,56,10,48.2,43.7,11,45.5,43.6,16,1,6.3,3,1.00,17.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,50.0,90,3,0,,0,1.60,3,6,-3,-1.00,-1.67,6.7,3.9,+2.8,+0.93,+0.90,0,0,0,0,0,0,0,0,0,13,0,0,,Europa-League,19,2021-2022
Ádám Bogdán,hu HUN,GK,hu Ferencváros,34,1987,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,0,1,0,1.7,0.43,-1.3,-1.28,5,12,41.7,18,3,38.9,33.4,8,62.5,47.5,8,1,12.5,0,0.00,9.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,16.7,90,1,0,,5,0.00,2,3,-1,-1.00,+0.20,0.7,1.6,-0.9,-0.86,+0.24,0,0,0,0,0,0,0,0,0,1,0,0,,Europa-League,19,2021-2022
Milan Borjan,ca CAN,GK,rs Red Star,34,1987,5,5,450,5.0,4,0.80,19,17,84.2,2,2,1,1,20.0,1,1,0,0,0.0,0,0,1,4.0,0.17,+1.0,+0.19,49,110,44.5,129,15,58.9,46.2,47,72.3,52.0,36,6,16.7,3,0.60,13.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,0,2.00,5,4,+1,+0.20,-0.80,4.8,6.6,-1.8,-0.36,-1.00,0,0,1,0,0,0,0,0,0,22,0,0,,Europa-League,19,2021-2022
Artur Boruc,pl POL,GK,pl Legia Warsaw,41,1980,2,2,180,2.0,1,0.50,6,5,83.3,1,0,1,1,50.0,0,0,0,0,,0,0,0,0.9,0.14,-0.1,-0.07,9,25,36.0,53,15,32.1,32.8,19,42.1,35.6,17,1,5.9,2,1.00,13.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,33.3,90,2,0,,0,1.75,1,1,0,0.00,+1.75,2.8,3.0,-0.2,-0.08,+1.49,0,0,0,0,0,0,0,0,0,13,0,0,,Europa-League,19,2021-2022
Claudio Bravo,cl CHI,GK,es Betis,38,1983,3,3,251,2.8,4,1.43,14,10,78.6,2,1,0,1,33.3,1,1,0,0,0.0,0,0,0,5.0,0.30,+1.0,+0.37,11,42,26.2,82,16,41.5,38.6,13,61.5,55.9,28,3,10.7,3,1.08,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.07,0.07,0.00,0.07,84,46.5,84,2,0,,2,2.33,7,4,+3,+1.08,+2.01,5.9,3.7,+2.1,+0.77,+0.96,0,1,1,0,0,0,0,0,1,11,0,0,,Europa-League,19,2021-2022
Jean Butez,fr FRA,GK,be Antwerp,26,1995,6,6,540,6.0,10,1.67,25,16,68.0,1,2,3,1,16.7,3,2,0,1,0.0,0,1,0,8.8,0.29,-1.2,-0.20,65,135,48.1,216,29,51.4,43.4,45,53.3,45.1,76,9,11.8,5,0.83,14.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.00,6,10,-4,-0.67,,5.8,9.3,-3.4,-0.57,,0,0,1,0,0,0,0,0,0,38,0,0,,Europa-League,19,2021-2022
Dénes Dibusz,hu HUN,GK,hu Ferencváros,31,1990,5,5,450,5.0,9,1.80,29,22,69.0,1,0,4,1,20.0,1,0,0,1,,0,0,2,6.0,0.20,-1.0,-0.20,16,40,40.0,101,28,25.7,32.3,51,27.5,28.3,47,4,8.5,0,0.00,10.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,0,0.60,3,9,-6,-1.20,-0.20,4.1,9.6,-5.5,-1.09,-0.24,0,0,0,0,0,0,0,0,0,15,0,0,,Europa-League,19,2021-2022
Joel Drommel,nl NED,GK,nl PSV Eindhoven,25,1996,6,6,540,6.0,8,1.33,18,11,61.1,2,2,2,2,33.3,1,1,0,0,0.0,0,0,0,6.5,0.31,-1.5,-0.25,15,65,23.1,143,25,37.1,37.1,28,42.9,40.5,23,3,13.0,8,1.33,19.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,90,100.0,90,6,0,,0,1.33,9,8,+1,+0.17,,8.6,6.1,+2.5,+0.41,,0,0,0,0,0,0,0,0,0,22,0,0,,Europa-League,19,2021-2022
