Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,,0,0,0,2.1,0.30,+0.1,+0.12,4,16,25.0,14,3,57.1,40.9,10,80.0,55.4,9,0,0.0,0,0.00,15.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,35,2.00,5,4,+1,+1.00,+0.32,1.6,2.4,-0.9,-0.87,-1.09,0,0,0,0,0,0,0,0,0,3,0,0,,La-Liga,12,2018-2019
Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13,13,1170,13.0,22,1.69,57,38,64.9,3,5,5,2,15.4,2,2,0,0,0.0,1,2,1,18.2,0.29,-2.8,-0.22,102,248,41.1,320,43,48.8,40.3,124,74.2,55.1,146,10,6.8,4,0.31,12.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,34.2,90,13,0,,25,1.08,23,22,+1,+0.08,+0.48,14.2,21.0,-6.8,-0.52,-0.20,0,1,0,0,0,0,0,0,1,71,0,0,,La-Liga,12,2018-2019
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,,0,1,0,9.9,0.31,-1.1,-0.10,84,150,56.0,285,33,35.1,34.3,77,64.9,46.5,122,13,10.7,12,1.09,17.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,28.9,90,11,0,,22,1.00,9,11,-2,-0.18,-0.22,13.6,10.1,+3.6,+0.33,+0.36,0,0,1,0,0,0,0,0,0,50,0,0,,La-Liga,12,2018-2019
Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32,32,2880,32.0,45,1.41,164,124,73.8,7,12,13,9,28.1,4,2,1,1,33.3,2,4,3,46.2,0.27,+4.2,+0.13,187,460,40.7,554,128,50.9,42.7,251,70.9,55.4,388,39,10.1,21,0.66,14.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,84.2,90,32,0,,4,1.03,40,45,-5,-0.16,-0.49,44.7,45.4,-0.7,-0.02,+0.30,0,0,4,0,0,0,0,0,0,115,0,0,,La-Liga,12,2018-2019
Rubén Blanco,es ESP,GK,Celta Vigo,23,1995,25,25,2250,25.0,40,1.60,106,70,66.0,7,6,12,6,24.0,5,4,0,1,0.0,2,3,0,36.7,0.32,-3.3,-0.13,170,450,37.8,593,113,47.9,42.0,220,75.5,59.9,247,9,3.6,25,1.00,17.5,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,65.8,90,25,0,,12,1.08,30,40,-10,-0.40,-0.48,30.6,38.8,-8.1,-0.33,+0.20,0,1,1,0,0,0,0,0,0,120,0,0,,La-Liga,12,2018-2019
Yassine Bounou,ma MAR,GK,Girona,27,1991,32,32,2862,31.8,43,1.35,162,126,77.2,8,10,14,8,25.0,6,6,0,0,0.0,2,6,1,46.3,0.26,+4.3,+0.13,190,496,38.3,708,142,46.0,40.6,255,66.7,52.8,320,23,7.2,13,0.41,13.2,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,83.7,89,31,0,,1,1.06,33,43,-10,-0.31,+0.65,34.6,39.8,-5.2,-0.16,+0.92,0,0,4,0,0,0,0,0,0,133,1,0,100.0,La-Liga,12,2018-2019
Leandro Chichizola,ar ARG,GK,Getafe,28,1990,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0.7,0.68,-0.3,-0.32,9,23,39.1,23,3,87.0,57.4,3,100.0,77.7,6,1,16.7,2,2.00,17.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,37,3.00,2,1,+1,+1.00,+0.68,1.6,0.7,+0.9,+0.87,+0.79,0,0,1,0,0,0,0,0,0,7,0,0,,La-Liga,12,2018-2019
Jasper Cillessen,nl NED,GK,Barcelona,29,1989,3,3,270,3.0,4,1.33,13,10,76.9,1,1,1,1,33.3,1,1,0,0,0.0,0,0,0,4.2,0.25,+0.2,+0.06,14,24,58.3,90,15,18.9,27.5,25,28.0,32.1,32,1,3.1,6,2.00,18.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,90,3,0,,27,1.33,4,4,0,0.00,-1.54,3.9,4.2,-0.3,-0.10,-1.06,0,0,0,0,0,0,0,0,0,15,0,0,,La-Liga,12,2018-2019
Thibaut Courtois,be BEL,GK,Real Madrid,26,1992,27,27,2430,27.0,36,1.33,100,70,70.0,14,3,10,8,29.6,8,6,1,1,14.3,0,3,0,32.5,0.29,-3.5,-0.13,110,289,38.1,651,166,31.0,34.4,180,48.3,45.7,188,19,10.1,11,0.41,14.2,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,71.1,90,27,0,,5,1.67,43,36,+7,+0.26,-0.65,44.0,37.2,+6.8,+0.25,-0.56,0,0,5,0,0,0,0,0,0,118,0,0,,La-Liga,12,2018-2019
Iván Cuéllar,es ESP,GK,Leganés,34,1984,34,34,3056,33.9,38,1.12,111,76,67.6,10,12,12,10,29.4,2,2,0,0,0.0,2,2,1,36.4,0.32,-0.6,-0.02,317,774,41.0,782,92,68.2,51.4,269,89.6,66.1,364,26,7.1,20,0.59,14.4,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,89.3,90,33,0,,2,1.24,35,38,-3,-0.09,+0.65,34.4,34.7,-0.3,-0.01,+0.55,0,0,7,0,0,0,0,0,0,201,0,0,,La-Liga,12,2018-2019
