Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,0,0,0,0.0,0.01,0.0,+0.04,1,3,33.3,5,1,40.0,44.0,1,100.0,67.0,2,0,0.0,1,3.60,14.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,25,0.7,,0,1,25,37,0.00,0,0,0,0.00,-0.64,0.5,0.1,+0.4,+1.48,+0.91,0,0,0,0,0,0,0,0,0,4,0,0,,La-Liga,12,2019-2020
Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,4,4,180,2.0,1,0.50,4,3,75.0,1,1,0,2,50.0,0,0,0,0,,0,0,0,1.1,0.28,+0.1,+0.06,8,22,36.4,34,5,32.4,35.6,19,57.9,43.0,24,2,8.3,0,0.00,16.5,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.3,90,2,0,,18,1.25,5,4,+1,+0.50,+0.86,2.8,1.2,+1.6,+0.78,+0.94,0,0,0,0,0,0,0,0,0,4,0,0,,La-Liga,12,2019-2020
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,,0,1,1,13.1,0.26,-1.9,-0.15,100,188,53.2,358,58,32.7,32.9,100,71.0,48.6,102,13,12.7,12,0.92,15.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,34.2,90,13,0,,22,1.46,18,16,+2,+0.15,-0.09,12.8,11.5,+1.3,+0.10,-0.09,0,0,0,0,0,0,0,0,0,70,0,0,,La-Liga,12,2019-2020
Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4,4,360,4.0,5,1.25,13,10,76.9,3,1,0,1,25.0,2,2,0,0,0.0,0,1,0,4.8,0.27,-0.2,-0.06,16,36,44.4,106,26,18.9,28.5,29,55.2,42.5,39,1,2.6,5,1.25,14.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,10.5,90,4,0,,31,2.50,10,5,+5,+1.25,+0.07,6.7,4.5,+2.2,+0.54,-0.42,0,1,0,0,0,0,0,0,1,24,0,0,,La-Liga,12,2019-2020
Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34,34,3060,34.0,41,1.21,142,107,74.6,17,4,13,11,32.4,6,5,1,0,16.7,0,8,1,39.5,0.24,-0.5,-0.01,166,451,36.8,759,150,39.3,37.2,280,54.6,44.8,354,20,5.6,18,0.53,13.9,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,89.5,90,34,0,,4,1.62,52,41,+11,+0.32,-0.43,49.0,38.1,+10.9,+0.32,-0.05,0,2,5,0,0,0,0,0,1,137,0,0,,La-Liga,12,2019-2020
Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,33,33,2960,32.9,43,1.31,126,87,69.8,6,14,13,10,30.3,5,5,0,0,0.0,3,3,0,40.7,0.29,-2.3,-0.07,213,573,37.2,696,121,53.9,42.5,294,67.3,52.9,335,21,6.3,10,0.30,14.2,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,86.5,90,32,0,,0,0.97,31,43,-12,-0.36,-0.36,31.8,37.8,-6.0,-0.18,-0.52,0,1,4,0,0,0,0,0,1,135,0,0,,La-Liga,12,2019-2020
Yassine Bounou,ma MAR,GK,Sevilla,28,1991,6,5,495,5.5,3,0.55,19,17,89.5,4,1,0,4,80.0,1,1,0,0,0.0,0,0,0,3.8,0.16,+0.8,+0.15,42,84,50.0,125,24,41.6,36.4,45,71.1,51.2,40,3,7.5,2,0.36,15.5,0,1,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05,83,14.5,90,5,1,45,27,2.67,10,3,+7,+1.27,+0.87,7.4,3.9,+3.5,+0.64,+0.34,0,0,1,0,0,0,0,0,0,30,0,0,,La-Liga,12,2019-2020
Churripi,es ESP,GK,Valladolid,25,1994,3,3,244,2.7,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,,0,2,0,3.1,0.24,+0.1,+0.04,18,80,22.5,75,11,78.7,55.3,24,87.5,67.6,25,3,12.0,3,1.11,13.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,81,7.1,81,2,0,,8,1.00,2,3,-1,-0.37,-0.09,2.6,3.3,-0.6,-0.23,+0.06,0,0,0,0,0,0,0,0,0,16,0,0,,La-Liga,12,2019-2020
Jasper Cillessen,nl NED,GK,Valencia,30,1989,24,24,2096,23.3,30,1.29,102,78,76.5,10,7,7,5,20.8,8,6,2,0,25.0,2,3,1,28.0,0.22,-1.0,-0.04,140,413,33.9,553,133,48.5,39.4,206,70.4,56.3,264,21,8.0,12,0.52,12.8,0,1,0,0,1,0,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,87,61.3,87,23,0,,7,1.54,27,30,-3,-0.13,+0.14,25.1,30.3,-5.2,-0.22,+0.23,0,0,2,0,0,0,0,0,0,127,0,0,,La-Liga,12,2019-2020
Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,34,34,3060,34.0,20,0.59,95,74,78.9,23,8,3,18,52.9,0,0,0,0,,0,4,0,22.8,0.24,+2.8,+0.08,90,311,28.9,865,200,26.1,33.0,219,38.8,40.3,285,25,8.8,22,0.65,14.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,90,89.5,90,34,0,,2,2.26,60,20,+40,+1.18,-0.07,56.7,23.9,+32.8,+0.97,+0.42,0,0,4,0,0,0,0,0,0,161,1,0,100.0,La-Liga,12,2019-2020
