Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,4,2,285,3.2,10,3.16,19,10,52.6,0,1,1,0,0.0,1,1,0,0,0.0,1,0,0,9.6,0.46,-0.4,-0.14,15,48,31.3,65,14,44.6,37.6,25,76.0,54.2,27,1,3.7,5,1.58,16.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,71,26.4,90,2,2,53,8,0.25,4,10,-6,-1.89,-0.99,2.8,6.4,-3.7,-1.16,-1.05,0,0,0,0,0,0,0,0,0,20,0,0,,Ligue-1,13,2021-2022
Walter Benítez,ar ARG,GK,Nice,28,1993,12,12,1080,12.0,9,0.75,37,30,81.1,7,3,2,5,41.7,2,2,0,0,0.0,0,0,0,12.0,0.28,+3.0,+0.25,50,130,38.5,231,43,38.1,34.6,68,61.8,48.0,81,5,6.2,7,0.58,14.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,12,0,,0,2.00,23,9,+14,+1.17,,24.6,12.6,+11.9,+1.00,,0,0,2,0,0,0,0,0,0,56,0,0,,Ligue-1,13,2021-2022
Paul Bernardoni,fr FRA,GK,Angers,24,1997,12,12,1080,12.0,15,1.25,37,25,67.6,4,5,3,4,33.3,3,3,0,0,0.0,1,5,0,12.0,0.25,-3.0,-0.25,49,114,43.0,226,77,32.3,35.2,94,43.6,39.7,126,16,12.7,7,0.58,14.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,92.3,90,12,0,,0,1.42,18,15,+3,+0.25,+0.25,14.7,13.6,+1.1,+0.09,,0,0,2,0,0,0,0,0,0,56,0,0,,Ligue-1,13,2021-2022
Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,5,5,450,5.0,9,1.80,26,18,65.4,2,1,2,1,20.0,0,0,0,0,,1,1,1,7.7,0.30,-0.3,-0.06,44,91,48.4,121,27,52.1,40.0,48,58.3,45.5,46,7,15.2,0,0.00,11.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,41.7,90,5,0,,6,1.40,11,9,+2,+0.40,+0.54,7.2,7.6,-0.4,-0.07,+0.13,0,0,1,0,0,0,0,0,0,17,0,0,,Ligue-1,13,2021-2022
Marco Bizot,nl NED,GK,Brest,30,1991,12,12,1080,12.0,20,1.67,50,33,62.0,1,6,5,1,8.3,1,1,0,0,0.0,0,2,2,13.4,0.26,-4.6,-0.38,98,205,47.8,302,72,45.7,40.1,93,72.0,54.2,97,9,9.3,5,0.42,13.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,90,100.0,90,12,0,,0,0.75,14,20,-6,-0.50,,12.2,16.5,-4.3,-0.36,,0,0,1,0,0,1,0,0,0,82,0,0,,Ligue-1,13,2021-2022
Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,1,0,3,0.0,1,30.00,1,0,0.0,0,0,0,0,,0,0,0,0,,0,0,0,1.0,0.96,0.0,-1.11,1,1,100.0,1,0,100.0,62.0,0,,,1,0,0.0,0,0.00,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,3,0.3,,0,1,3,8,0.00,0,1,-1,-30.00,-28.91,0.3,0.5,-0.2,-5.60,-4.92,0,0,0,0,0,0,0,0,0,0,0,0,,Ligue-1,13,2021-2022
Leonardo César Jardim,br BRA,GK,Lille,26,1995,2,2,180,2.0,7,3.50,11,4,45.5,0,1,1,0,0.0,2,1,1,0,50.0,0,2,0,4.1,0.35,-2.9,-1.46,6,13,46.2,42,14,28.6,30.7,10,10.0,30.0,10,0,0.0,3,1.50,17.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,15.4,90,2,0,,4,0.50,3,7,-4,-2.00,-2.09,2.4,2.9,-0.5,-0.25,-0.72,0,0,0,0,0,0,0,0,0,19,0,0,,Ligue-1,13,2021-2022
Benoît Costil,fr FRA,GK,Bordeaux,34,1987,13,13,1170,13.0,27,2.08,68,44,64.7,2,6,5,0,0.0,3,3,0,0,0.0,0,3,0,21.9,0.30,-2.1,-0.17,90,226,39.8,322,43,48.8,40.6,87,79.3,56.1,89,7,7.9,13,1.08,16.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,13,0,,0,0.92,18,27,-9,-0.69,,11.1,21.5,-10.4,-0.87,,0,0,1,0,0,0,0,0,0,60,0,0,,Ligue-1,13,2021-2022
Arthur Desmas,fr FRA,GK,Clermont Foot,27,1994,12,12,1080,12.0,23,1.92,49,29,57.1,3,4,5,3,25.0,2,2,0,0,0.0,0,2,1,16.0,0.31,-6.0,-0.50,30,110,27.3,247,46,30.4,33.2,85,41.2,34.8,74,3,4.1,4,0.33,12.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,12,0,,0,1.08,14,23,-9,-0.75,,15.0,17.2,-2.2,-0.18,,0,0,3,0,0,0,0,0,0,55,0,0,,Ligue-1,13,2021-2022
Gianluigi Donnarumma,it ITA,GK,Paris S-G,22,1999,5,5,450,5.0,5,1.00,16,11,68.8,4,0,1,1,20.0,0,0,0,0,,0,0,0,5.7,0.35,+0.7,+0.13,10,16,62.5,118,36,9.3,21.6,33,15.2,20.7,32,3,9.4,7,1.40,17.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,38.5,90,5,0,,6,2.40,10,5,+5,+1.00,-0.37,10.5,6.1,+4.3,+0.87,+0.03,0,0,1,0,0,0,0,0,0,26,0,0,,Ligue-1,13,2021-2022
