Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Doğan Alemdar,tr TUR,GK,Rennes,19,2002,3,3,270,3.0,3,1.00,9,6,66.7,1,0,2,1,33.3,0,0,0,0,,0,0,0,2.1,0.23,-0.9,-0.30,11,27,40.7,52,10,26.9,32.2,15,86.7,58.2,27,0,0.0,6,2.00,15.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,13.6,90,3,0,,0,1.00,7,3,+4,+1.33,+0.49,5.1,2.1,+3.0,+0.99,+0.49,0,0,0,0,0,0,0,0,0,13,0,0,,Ligue-1,13,2021-2022
Stefan Bajic,fr FRA,GK,Saint-Étienne,20,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0.0,2,2,0,0,0.0,1,0,0,13.3,0.42,+0.3,+0.05,33,86,38.4,141,39,39.7,34.7,44,68.2,50.2,52,1,1.9,9,1.59,15.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,73,25.8,90,4,3,50,12,0.14,4,13,-9,-1.59,-0.67,4.7,9.9,-5.1,-0.91,-0.47,0,0,0,0,0,0,0,0,0,44,0,0,,Ligue-1,13,2021-2022
Walter Benítez,ar ARG,GK,Nice,28,1993,22,22,1980,22.0,18,0.82,80,64,80.0,13,4,5,8,36.4,2,2,0,0,0.0,1,1,0,21.9,0.25,+3.9,+0.18,100,255,39.2,433,91,37.4,34.3,153,60.8,46.5,181,11,6.1,16,0.73,14.7,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,22,0,,0,1.95,36,18,+18,+0.82,,37.9,24.4,+13.6,+0.62,,0,0,2,0,0,0,0,0,0,105,0,0,,Ligue-1,13,2021-2022
Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,3,3,270,3.0,3,1.00,10,8,80.0,1,0,2,1,33.3,1,1,0,0,0.0,0,1,0,3.7,0.31,+0.7,+0.23,18,70,25.7,80,14,62.5,44.2,22,90.9,57.8,19,3,15.8,5,1.67,15.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,13.6,90,3,0,,0,1.00,2,3,-1,-0.33,+0.88,1.6,3.6,-1.9,-0.64,-0.10,0,0,2,0,0,0,0,0,0,25,0,0,,Ligue-1,13,2021-2022
Paul Bernardoni,fr FRA,GK,Angers,24,1997,13,13,1170,13.0,19,1.46,43,27,62.8,4,5,4,4,30.8,3,3,0,0,0.0,2,6,0,14.6,0.29,-4.4,-0.33,55,122,45.1,239,82,32.6,35.2,98,44.9,40.5,134,17,12.7,7,0.54,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,59.1,90,13,0,,0,1.31,19,19,0,0.00,+0.11,15.3,14.6,+0.7,+0.05,+0.22,0,0,2,0,0,0,0,0,0,60,0,0,,Ligue-1,13,2021-2022
Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,5,5,450,5.0,9,1.80,26,18,65.4,2,1,2,1,20.0,0,0,0,0,,1,1,1,7.7,0.30,-0.3,-0.06,44,91,48.4,121,27,52.1,40.0,48,58.3,45.5,46,7,15.2,0,0.00,11.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,22.7,90,5,0,,15,1.40,11,9,+2,+0.40,+0.11,7.2,7.6,-0.4,-0.07,+0.13,0,0,2,0,0,0,0,0,0,17,0,0,,Ligue-1,13,2021-2022
Marco Bizot,nl NED,GK,Brest,30,1991,22,22,1980,22.0,33,1.50,94,63,66.0,7,7,8,4,18.2,1,1,0,0,0.0,0,4,2,25.6,0.27,-5.4,-0.24,177,373,47.5,490,114,48.6,41.3,181,74.6,54.9,176,15,8.5,6,0.27,13.6,0,1,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,90,100.0,90,22,0,,0,1.27,28,33,-5,-0.23,,27.0,31.6,-4.6,-0.21,,0,0,2,0,0,1,0,0,0,131,0,0,,Ligue-1,13,2021-2022
Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,6,5,453,5.0,7,1.39,26,20,76.9,2,1,2,1,20.0,1,1,0,0,0.0,0,2,0,8.1,0.28,+1.1,+0.22,36,86,41.9,76,22,57.9,46.9,44,95.5,64.8,46,2,4.3,2,0.40,12.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,76,22.9,90,5,1,3,13,1.17,6,7,-1,-0.20,+0.86,3.4,9.2,-5.8,-1.15,-0.49,0,0,3,0,0,0,0,0,0,24,0,0,,Ligue-1,13,2021-2022
Leonardo César Jardim,br BRA,GK,Lille,26,1995,2,2,180,2.0,7,3.50,11,4,45.5,0,1,1,0,0.0,2,1,1,0,50.0,0,2,0,4.1,0.35,-2.9,-1.46,6,13,46.2,42,14,28.6,30.7,10,10.0,30.0,10,0,0.0,3,1.50,17.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,9.1,90,2,0,,4,0.50,3,7,-4,-2.00,-2.20,2.4,2.9,-0.5,-0.25,-0.74,0,0,0,0,0,0,0,0,0,19,0,0,,Ligue-1,13,2021-2022
Benoît Costil,fr FRA,GK,Bordeaux,34,1987,21,21,1890,21.0,50,2.38,111,66,59.5,3,8,10,0,0.0,5,5,0,0,0.0,1,6,0,39.3,0.31,-10.7,-0.51,184,415,44.3,589,66,48.9,40.2,179,70.9,52.1,165,13,7.9,18,0.86,15.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,95.5,90,21,0,,0,0.81,30,50,-20,-0.95,-1.95,22.8,40.7,-17.9,-0.85,-0.39,0,0,5,0,0,0,0,0,0,98,0,0,,Ligue-1,13,2021-2022
