Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Adrián,es ESP,GK,West Ham,30,1987,19,19,1710,19.0,29,1.53,96,66,70.8,7,6,6,6,31.6,1,1,0,0,0.0,1,8,1,27.3,0.28,-0.7,-0.04,159,470,33.8,387,47,78.0,54.1,186,90.3,61.9,197,12,6.1,14,0.74,13.9,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,50.0,,19,0,,19,1.42,30,29,+1,+0.05,+1.16,21.4,30.3,-8.9,-0.47,+0.08,0,1,3,0,0,0,0,0,0,116,0,0,,Premier-League,9,2017-2018
Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,38,3420,38.0,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3,2,8,1,57.5,0.33,-2.5,-0.07,233,668,34.9,823,227,48.8,41.5,329,80.9,58.5,389,35,9.0,8,0.21,13.2,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,,38,0,,0,1.16,45,61,-16,-0.42,,44.8,61.4,-16.6,-0.44,,0,2,7,0,0,0,0,0,1,213,1,0,100.0,Premier-League,9,2017-2018
Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,2.5,1,0.40,5,4,80.0,2,0,0,1,50.0,0,0,0,0,,0,0,0,1.4,0.28,+0.4,+0.17,9,15,60.0,63,13,15.9,27.4,10,50.0,39.1,10,0,0.0,3,1.20,16.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,75,6.6,,2,1,,35,3.00,8,1,+7,+2.79,+0.76,4.6,1.5,+3.1,+1.24,-0.46,0,0,1,0,0,0,0,0,0,16,0,0,,Premier-League,9,2017-2018
Jack Butland,eng ENG,GK,Stoke City,24,1993,35,35,3150,35.0,61,1.74,198,144,71.7,7,11,17,6,17.1,5,5,0,0,0.0,0,11,2,59.4,0.28,+0.4,+0.01,404,1005,40.2,931,94,74.5,54.3,338,92.0,67.8,375,31,8.3,24,0.69,14.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,92.1,,35,0,,0,0.91,32,61,-29,-0.83,+0.50,34.1,59.1,-25.0,-0.72,-0.33,0,0,3,0,0,0,0,0,0,207,0,0,,Premier-League,9,2017-2018
Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,3.0,4,1.33,12,8,66.7,1,1,1,1,33.3,0,0,0,0,,0,0,0,4.3,0.39,+0.3,+0.12,17,38,44.7,84,12,32.1,31.4,15,73.3,54.7,24,1,4.2,5,1.67,23.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,,3,0,,35,1.33,6,4,+2,+0.67,+0.04,4.7,3.0,+1.7,+0.58,-0.02,0,0,0,0,0,0,0,0,0,19,0,0,,Premier-League,9,2017-2018
Petr Čech,cz CZE,GK,Arsenal,35,1982,34,34,3039,33.8,48,1.42,129,84,66.7,16,6,12,11,32.4,6,5,1,0,16.7,0,8,0,49.6,0.35,+1.6,+0.05,178,464,38.4,815,217,39.9,38.2,223,62.3,51.6,293,31,10.6,26,0.77,15.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,88.9,,33,0,,1,1.59,64,48,+16,+0.47,-1.18,60.3,45.8,+14.4,+0.43,-0.36,0,0,5,0,0,0,0,0,0,200,0,0,,Premier-League,9,2017-2018
Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,35,3150,35.0,34,0.97,104,73,69.2,20,6,9,15,42.9,2,2,0,0,0.0,0,2,2,28.7,0.27,-3.3,-0.09,173,455,38.0,948,204,34.2,36.5,246,53.3,48.3,282,23,8.2,16,0.46,13.4,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,92.1,,35,0,,0,1.89,56,34,+22,+0.63,-0.04,53.2,32.3,+20.9,+0.60,+0.02,0,2,3,0,0,0,0,0,2,184,0,2,0.0,Premier-League,9,2017-2018
Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,10.0,15,1.50,44,33,72.7,1,5,4,2,20.0,3,3,0,0,0.0,0,0,2,15.0,0.29,+2.0,+0.20,82,239,34.3,249,32,65.9,48.9,86,87.2,62.1,103,12,11.7,6,0.60,13.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,26.3,,10,0,,25,0.80,10,15,-5,-0.50,-0.39,10.9,15.8,-4.8,-0.48,-0.36,0,0,3,0,0,0,0,0,0,46,0,0,,Premier-League,9,2017-2018
Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,1080,12.0,11,0.92,37,26,70.3,6,1,5,4,33.3,1,0,1,0,100.0,0,0,0,13.1,0.33,+2.1,+0.17,64,208,30.8,250,34,52.4,43.5,92,83.7,61.2,109,11,10.1,13,1.08,16.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,31.6,,12,0,,1,1.58,15,11,+4,+0.33,+0.79,16.6,14.1,+2.5,+0.21,+0.62,0,0,2,0,0,0,0,0,0,47,0,0,,Premier-League,9,2017-2018
Ederson,br BRA,GK,Manchester City,23,1993,36,36,3194,35.5,26,0.73,77,52,66.2,30,4,2,16,44.4,3,0,2,1,100.0,1,1,2,22.4,0.29,-1.6,-0.05,153,282,54.3,941,156,20.4,28.8,160,56.3,49.8,161,18,11.2,48,1.35,18.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,89,93.4,,35,0,,1,2.62,99,26,+73,+2.06,-0.33,81.8,21.3,+60.5,+1.70,+0.46,0,0,6,0,0,0,0,0,0,179,0,0,,Premier-League,9,2017-2018
Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,1440,16.0,21,1.31,64,45,68.8,5,2,9,3,18.8,2,1,1,0,50.0,0,3,1,20.4,0.30,+0.4,+0.02,167,386,43.3,378,49,67.7,50.0,159,81.8,59.7,188,12,6.4,7,0.44,12.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,42.1,,16,0,,6,1.06,14,21,-7,-0.44,-0.39,17.8,23.6,-5.8,-0.36,-0.26,0,0,2,0,0,1,0,0,0,73,0,0,,Premier-League,9,2017-2018
Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,38,3420,38.0,56,1.47,182,129,70.9,8,9,21,9,23.7,7,3,3,1,50.0,1,6,2,55.8,0.29,+1.8,+0.05,329,837,39.3,913,152,56.8,46.5,359,88.6,64.5,398,40,10.1,12,0.32,13.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,,38,0,,0,0.87,28,56,-28,-0.74,,30.5,59.5,-29.0,-0.76,,0,1,4,0,0,0,0,0,0,172,0,1,0.0,Premier-League,9,2017-2018
Fraser Forster,eng ENG,GK,Southampton,29,1988,20,20,1800,20.0,30,1.50,98,67,69.4,4,7,9,4,20.0,1,0,1,0,100.0,2,4,0,26.9,0.28,-3.1,-0.15,105,355,29.6,364,64,62.1,49.2,147,87.8,64.2,163,9,5.5,7,0.35,12.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,52.6,,20,0,,18,0.95,20,30,-10,-0.50,0.00,25.3,26.1,-0.8,-0.04,+0.29,0,0,1,0,0,0,0,0,0,86,0,0,,Premier-League,9,2017-2018
Ben Foster,eng ENG,GK,West Brom,34,1983,37,37,3330,37.0,55,1.49,152,98,64.5,6,12,19,10,27.0,1,1,0,0,0.0,3,9,1,48.8,0.32,-5.2,-0.14,346,925,37.4,798,74,75.6,54.3,337,95.5,70.5,436,29,6.7,19,0.51,14.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,97.4,,37,0,,0,0.81,30,55,-25,-0.68,-0.68,34.3,47.6,-13.4,-0.36,+0.36,0,1,3,0,0,0,0,0,0,179,0,0,,Premier-League,9,2017-2018
Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,0,0,0,1.3,0.42,+1.3,+1.25,4,8,50.0,17,2,29.4,36.1,8,37.5,34.1,0,0,,2,2.00,18.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,,1,0,,1,3.00,1,0,+1,+1.00,0.00,0.9,1.0,-0.1,-0.11,-0.98,0,0,0,0,0,0,0,0,0,3,0,0,,Premier-League,9,2017-2018
David de Gea,es ESP,GK,Manchester Utd,26,1990,37,37,3330,37.0,28,0.76,139,113,80.6,24,6,7,18,48.6,1,1,0,0,0.0,1,5,2,34.5,0.24,+8.5,+0.23,257,660,38.9,794,143,54.5,44.2,292,77.7,59.1,301,19,6.3,13,0.35,13.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,97.4,,37,0,,0,2.11,67,28,+39,+1.05,+0.05,59.8,41.0,+18.8,+0.51,+0.37,0,1,4,0,0,0,0,0,0,167,0,0,,Premier-League,9,2017-2018
Heurelho Gomes,br BRA,GK,Watford,36,1981,24,24,2128,23.6,40,1.69,97,60,61.9,7,5,12,5,20.8,3,3,0,0,0.0,1,7,1,32.4,0.32,-6.6,-0.28,204,509,40.1,568,119,65.0,48.3,178,78.7,60.1,216,27,12.5,16,0.68,14.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,62.2,,23,0,,9,1.08,32,40,-8,-0.34,+0.50,31.4,37.0,-5.6,-0.24,+0.11,0,1,4,0,0,1,0,0,1,144,0,0,,Premier-League,9,2017-2018
