Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Alisson,br BRA,GK,Liverpool,29,1992,20,20,1800,20.0,17,0.85,55,38,69.1,13,5,2,10,50.0,0,0,0,0,,0,2,1,18.8,0.35,+2.8,+0.14,88,180,48.9,634,100,22.2,30.2,92,42.4,37.9,135,14,10.4,28,1.40,17.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,90.9,90,20,0,,0,2.20,51,17,+34,+1.70,-0.80,49.2,21.2,+28.0,+1.40,-0.17,0,0,2,0,0,0,0,0,0,125,0,0,,Premier-League,9,2021-2022
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,0,0,0,1.4,0.48,+0.4,+0.43,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0.00,7.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,4.3,90,1,0,,22,0.00,0,1,-1,-1.00,-1.50,0.3,1.8,-1.5,-1.49,-1.73,0,0,0,0,0,0,0,0,0,2,0,0,,Premier-League,9,2021-2022
Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,0,1,0,3.5,0.27,+1.5,+0.38,16,39,41.0,118,28,28.0,30.8,21,28.6,30.3,31,1,3.2,5,1.25,16.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,16.7,90,4,0,,20,1.75,6,2,+4,+1.00,-0.30,4.1,2.5,+1.6,+0.39,-0.47,0,0,1,0,0,0,0,0,0,17,0,0,,Premier-League,9,2021-2022
Daniel Bachmann,at AUT,GK,Watford,27,1994,11,11,990,11.0,26,2.36,61,39,62.3,1,0,10,0,0.0,3,3,0,0,0.0,1,4,2,21.2,0.31,-2.8,-0.25,79,207,38.2,248,40,61.3,47.1,80,68.8,51.5,103,3,2.9,8,0.73,13.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,55.0,90,11,0,,8,0.27,9,26,-17,-1.55,-1.55,10.3,20.2,-9.9,-0.90,-0.29,0,1,2,0,0,0,0,0,1,51,0,0,,Premier-League,9,2021-2022
Asmir Begović,ba BIH,GK,Everton,34,1987,1,1,90,1.0,3,3.00,3,1,0.0,0,0,1,0,0.0,0,0,0,0,,0,0,1,0.9,0.31,-1.1,-1.08,5,16,31.3,11,2,72.7,50.5,12,66.7,49.6,5,1,20.0,0,0.00,15.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.0,90,1,0,,19,0.00,0,3,-3,-3.00,-2.58,0.7,1.3,-0.7,-0.67,-0.52,0,0,0,0,0,0,0,0,0,2,0,0,,Premier-League,9,2021-2022
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,3,3,270,3.0,6,2.00,13,8,53.8,0,2,1,0,0.0,1,0,1,0,100.0,1,0,1,5.6,0.37,+0.6,+0.21,12,46,26.1,73,12,41.1,33.4,32,50.0,40.0,33,0,0.0,1,0.33,12.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,13.6,90,3,0,,19,0.67,3,6,-3,-1.00,-1.00,1.8,5.3,-3.5,-1.17,-1.38,0,0,1,0,0,0,0,0,0,10,0,0,,Premier-League,9,2021-2022
Willy Caballero,ar ARG,GK,Southampton,40,1981,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,0,1,0,4.3,0.40,-0.7,-0.36,20,39,51.3,46,0,58.7,42.0,13,92.3,59.1,21,1,4.8,4,2.00,22.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,9.1,90,2,0,,5,0.50,2,5,-3,-1.50,-1.25,1.3,2.8,-1.5,-0.74,-0.59,0,0,0,0,0,0,0,0,0,6,0,0,,Premier-League,9,2021-2022
Karl Darlow,eng ENG,GK,Newcastle Utd,31,1990,8,8,720,8.0,15,1.87,37,25,64.9,0,5,3,0,0.0,2,2,0,0,0.0,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.50,14.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,38.1,90,8,0,,9,0.63,10,15,-5,-0.62,+0.68,7.4,11.9,-4.4,-0.55,+0.45,0,1,2,0,0,0,0,0,1,31,0,0,,Premier-League,9,2021-2022
Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,9,9,810,9.0,16,1.78,44,29,65.9,2,3,4,2,22.2,1,1,0,0,0.0,0,2,0,18.0,0.40,+2.0,+0.23,82,197,41.6,220,36,49.5,41.7,96,91.7,62.7,71,6,8.5,3,0.33,11.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,42.9,90,9,0,,3,1.00,6,16,-10,-1.11,-0.11,7.6,15.8,-8.2,-0.92,-0.14,0,0,2,0,0,0,0,0,0,43,0,0,,Premier-League,9,2021-2022
Ederson,br BRA,GK,Manchester City,28,1993,22,22,1980,22.0,14,0.64,49,34,73.5,17,3,2,12,54.5,1,1,0,0,0.0,0,1,0,12.3,0.23,-1.7,-0.08,88,145,60.7,556,104,21.8,29.2,86,27.9,33.6,120,11,9.2,24,1.09,17.4,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,95.7,90,22,0,,0,2.45,53,14,+39,+1.77,-0.23,49.6,15.0,+34.6,+1.57,+0.66,0,1,5,0,0,0,0,0,1,82,0,0,,Premier-League,9,2021-2022
