Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Emil Audero,it ITA,GK,Sampdoria,21,1997,36,36,3240,36.0,51,1.42,142,98,69.0,14,7,15,11,30.6,8,7,1,0,12.5,2,6,1,51.8,0.32,+1.8,+0.05,144,428,33.6,863,186,32.1,31.8,295,51.2,41.9,389,33,8.5,25,0.69,15.0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,94.7,90,36,0,,2,1.36,58,51,+7,+0.19,-0.81,48.4,51.6,-3.2,-0.09,-0.21,0,2,5,0,0,0,0,0,2,181,0,0,,Serie-A,11,2018-2019
Francesco Bardi,it ITA,GK,Frosinone,26,1992,3,3,270,3.0,5,1.67,11,6,54.5,0,1,2,1,33.3,0,0,0,0,,1,0,0,4.2,0.38,-0.8,-0.27,11,40,27.5,59,15,49.2,40.2,15,73.3,54.8,24,4,16.7,0,0.00,10.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,90,3,0,,26,0.33,1,5,-4,-1.33,-0.30,4.4,3.6,+0.8,+0.26,+1.01,0,0,0,0,0,0,0,0,0,16,0,0,,Serie-A,11,2018-2019
Etrit Berisha,al ALB,GK,Atalanta,29,1989,18,18,1620,18.0,25,1.39,64,43,62.5,9,3,6,5,27.8,2,1,0,1,0.0,1,5,3,22.3,0.34,+0.3,+0.02,90,214,42.1,347,94,32.0,33.5,129,79.8,55.3,144,20,13.9,16,0.89,15.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,47.4,90,18,0,,20,1.67,37,25,+12,+0.67,-0.28,28.9,19.9,+9.0,+0.50,-0.33,0,0,2,0,0,0,0,0,0,92,0,0,,Serie-A,11,2018-2019
Rafael Cabral,br BRA,GK,Sampdoria,28,1990,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,,0,0,0,0.2,0.10,+0.2,+0.10,13,30,43.3,49,8,42.9,36.9,15,60.0,45.4,13,1,7.7,0,0.00,12.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.3,90,2,0,,35,2.00,2,0,+2,+1.00,+0.81,1.4,1.1,+0.2,+0.12,+0.21,0,0,0,0,0,0,0,0,0,7,0,0,,Serie-A,11,2018-2019
Andrea Consigli,it ITA,GK,Sassuolo,31,1987,36,36,3213,35.7,56,1.57,144,94,63.9,9,15,12,12,33.3,8,4,3,1,42.9,0,11,2,48.3,0.30,-5.7,-0.16,225,524,42.9,890,161,43.0,36.7,282,50.0,40.7,369,24,6.5,18,0.50,14.1,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,93.9,89,35,0,,1,1.17,51,56,-5,-0.14,+0.73,45.0,54.5,-9.5,-0.27,+0.31,0,1,7,0,0,0,0,0,0,184,0,0,,Serie-A,11,2018-2019
Alessio Cragno,it ITA,GK,Cagliari,24,1994,38,38,3420,38.0,54,1.42,195,147,76.4,10,11,17,7,18.4,10,8,2,0,20.0,1,5,2,56.5,0.25,+4.5,+0.12,356,766,46.5,891,172,53.5,42.0,361,80.1,58.2,449,34,7.6,11,0.29,12.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,1.08,36,54,-18,-0.47,,39.1,58.5,-19.4,-0.51,,0,0,8,0,0,0,0,0,0,192,0,0,,Serie-A,11,2018-2019
Gianluigi Donnarumma,it ITA,GK,Milan,19,1999,36,36,3092,34.3,31,0.90,121,94,76.9,18,11,7,11,30.6,4,3,1,0,25.0,1,5,1,35.0,0.27,+5.0,+0.14,196,373,52.5,869,194,27.5,30.1,292,45.9,39.5,364,31,8.5,14,0.41,13.8,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,86,90.4,86,34,0,,0,1.81,50,31,+19,+0.55,+0.55,41.7,35.1,+6.6,+0.19,-0.22,0,0,3,0,0,0,0,0,0,173,0,0,,Serie-A,11,2018-2019
Bartłomiej Drągowski,pl POL,GK,Fiorentina,20,1997,3,2,225,2.5,2,0.80,7,5,71.4,0,1,1,1,50.0,0,0,0,0,,0,1,0,2.5,0.35,+0.5,+0.18,20,53,37.7,76,9,51.3,42.4,30,46.7,42.4,19,2,10.5,3,1.20,15.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,75,6.6,90,2,1,45,17,1.33,2,2,0,0.00,-0.06,2.6,2.3,+0.3,+0.12,-0.16,0,0,1,0,0,0,0,0,0,11,0,0,,Serie-A,11,2018-2019
Bartłomiej Drągowski,pl POL,GK,Empoli,20,1997,14,14,1260,14.0,24,1.71,91,70,76.9,5,2,7,3,21.4,4,3,1,0,25.0,0,3,0,26.1,0.26,+2.1,+0.15,72,222,32.4,329,95,41.9,38.4,152,55.3,48.0,157,7,4.5,9,0.64,13.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,90,36.8,90,14,0,,1,1.21,22,24,-2,-0.14,+0.57,19.1,26.8,-7.7,-0.55,-0.50,0,1,3,0,0,0,0,0,1,86,0,0,,Serie-A,11,2018-2019
Pierluigi Frattali,it ITA,GK,Parma,32,1985,1,1,90,1.0,2,2.00,9,7,77.8,0,0,1,0,0.0,0,0,0,0,,0,0,0,2.0,0.23,0.0,+0.04,5,16,31.3,23,6,34.8,35.5,15,53.3,41.7,13,1,7.7,0,0.00,7.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,37,0.00,1,2,-1,-1.00,-0.49,1.2,2.2,-0.9,-0.91,-0.21,0,0,0,0,0,0,0,0,0,5,0,0,,Serie-A,11,2018-2019
Pierluigi Gollini,it ITA,GK,Atalanta,23,1995,20,20,1800,20.0,21,1.05,68,50,73.5,11,6,3,4,20.0,3,3,0,0,0.0,2,1,0,19.0,0.25,-2.0,-0.10,108,276,39.1,454,81,38.3,36.7,132,77.3,57.8,153,8,5.2,17,0.85,15.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,52.6,90,19,0,,18,1.95,40,21,+19,+0.95,+0.28,38.0,21.3,+16.7,+0.83,+0.33,0,2,2,0,0,0,0,0,1,117,0,0,,Serie-A,11,2018-2019
Alfred Gomis,sn SEN,GK,SPAL,24,1993,20,19,1723,19.2,27,1.41,76,50,65.8,3,6,10,6,31.6,1,1,0,0,0.0,0,7,0,24.4,0.32,-2.6,-0.14,109,299,36.5,536,120,39.9,36.9,146,58.2,46.2,159,11,6.9,8,0.42,13.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,86,50.4,90,19,1,14,18,0.90,15,27,-12,-0.63,-0.63,20.9,22.4,-1.5,-0.08,+0.22,0,1,3,0,0,0,0,0,0,126,0,0,,Serie-A,11,2018-2019
Guido Guerrieri,it ITA,GK,Lazio,22,1996,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,,0,1,0,2.7,0.54,-0.3,-0.30,2,10,20.0,25,8,24.0,28.9,9,44.4,41.0,10,0,0.0,3,3.00,20.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,32,1.00,3,3,0,0.00,-0.27,1.7,2.4,-0.7,-0.71,-1.10,0,0,0,0,0,0,0,0,0,8,0,0,,Serie-A,11,2018-2019
Samir Handanović,si SVN,GK,Inter,34,1984,38,38,3420,38.0,33,0.87,128,101,76.6,20,9,9,17,44.7,5,3,0,2,0.0,1,3,3,35.4,0.26,+5.4,+0.14,172,360,47.8,895,201,27.6,30.1,256,44.1,39.1,337,16,4.7,13,0.34,12.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,1.82,57,33,+24,+0.63,,64.1,38.2,+25.9,+0.68,,0,0,9,0,0,0,0,0,0,145,0,0,,Serie-A,11,2018-2019
Salvador Ichazo,uy URU,GK,Torino,26,1992,3,2,250,2.8,2,0.72,8,7,87.5,1,1,0,1,50.0,1,1,0,0,0.0,0,1,0,2.7,0.24,+0.7,+0.23,27,59,45.8,61,9,62.3,47.0,26,80.8,54.0,22,2,9.1,0,0.00,13.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,84,7.3,90,2,1,71,35,1.33,4,2,+2,+0.72,+0.35,2.0,3.2,-1.2,-0.42,-0.49,0,1,0,0,0,0,0,0,1,14,0,0,,Serie-A,11,2018-2019
Jandrei,br BRA,GK,Genoa,25,1993,1,1,90,1.0,1,1.00,2,0,50.0,0,0,1,0,0.0,0,0,0,0,,0,1,0,0.8,0.45,-0.2,-0.24,11,21,52.4,25,3,68.0,47.6,6,66.7,56.0,4,0,0.0,2,2.00,23.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,17,0.00,0,1,-1,-1.00,-0.54,0.8,0.8,0.0,+0.01,+0.28,0,0,0,0,0,0,0,0,0,3,0,0,,Serie-A,11,2018-2019
Orestis Karnezis,gr GRE,GK,Napoli,33,1985,9,9,810,9.0,7,0.78,25,19,76.0,6,2,1,4,44.4,1,1,0,0,0.0,0,0,0,8.3,0.30,+1.3,+0.15,33,102,32.4,178,34,37.6,34.3,57,61.4,49.9,66,3,4.5,1,0.11,11.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,23.7,90,9,0,,29,2.22,21,7,+14,+1.56,+0.73,16.8,8.5,+8.3,+0.92,+0.05,0,0,1,0,0,0,0,0,0,43,0,0,,Serie-A,11,2018-2019
Alban Lafont,fr FRA,GK,Fiorentina,19,1999,34,34,3015,33.5,40,1.19,118,86,70.3,8,15,11,9,26.5,6,5,1,0,16.7,1,5,3,33.5,0.24,-3.5,-0.10,174,482,36.1,753,160,44.6,40.0,255,57.3,47.9,348,23,6.6,28,0.84,15.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,89,88.2,89,33,0,,3,1.15,43,40,+3,+0.09,+0.31,48.9,38.0,+10.8,+0.32,+0.47,0,0,8,0,0,0,0,0,0,174,0,0,,Serie-A,11,2018-2019
Federico Marchetti,it ITA,GK,Genoa,35,1983,4,4,360,4.0,10,2.50,19,10,47.4,2,0,2,1,25.0,0,0,0,0,,0,2,1,5.9,0.33,-3.1,-0.78,28,59,47.5,77,10,46.8,39.7,35,65.7,54.6,36,1,2.8,2,0.50,13.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,10.5,90,4,0,,27,1.50,7,10,-3,-0.75,-0.31,4.5,7.2,-2.7,-0.68,-0.45,0,0,0,0,0,0,0,0,0,24,0,0,,Serie-A,11,2018-2019
Alex Meret,it ITA,GK,Napoli,21,1997,14,13,1150,12.8,9,0.70,47,40,85.1,9,1,3,5,38.5,2,2,0,0,0.0,0,1,0,11.3,0.20,+2.3,+0.18,36,124,29.0,253,46,30.0,32.3,101,47.5,42.2,114,7,6.1,6,0.47,15.3,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,82,33.7,85,12,1,47,11,2.21,28,9,+19,+1.49,+0.73,23.4,11.6,+11.8,+0.92,+0.06,0,2,4,0,0,0,0,0,1,42,0,0,,Serie-A,11,2018-2019
