Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Emil Audero,it ITA,GK,Sampdoria,24,1997,16,16,1440,16.0,32,2.00,82,52,62.2,4,3,9,3,18.8,1,1,0,0,0.0,1,4,1,26.8,0.32,-4.2,-0.26,135,286,47.2,421,61,48.7,40.4,119,68.1,49.6,126,12,9.5,6,0.38,13.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,16,0,,0,0.94,22,32,-10,-0.62,,16.1,25.1,-9.0,-0.56,,0,0,3,0,0,0,0,0,0,55,0,0,,Serie-A,11,2021-2022
Vid Belec,si SVN,GK,Salernitana,31,1990,16,16,1440,16.0,33,2.06,84,53,61.9,2,2,12,1,6.3,2,1,0,1,0.0,0,4,2,24.9,0.28,-6.1,-0.38,104,243,42.8,285,57,52.3,43.2,133,70.7,51.9,143,9,6.3,6,0.38,13.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,16,0,,0,0.50,11,33,-22,-1.37,,14.7,26.4,-11.6,-0.73,,0,0,1,0,0,0,0,0,0,57,0,0,,Serie-A,11,2021-2022
Andrea Consigli,it ITA,GK,Sassuolo,34,1987,16,16,1440,16.0,25,1.56,51,31,58.8,5,5,6,2,12.5,4,4,0,0,0.0,0,3,1,19.1,0.31,-4.9,-0.31,119,230,51.7,551,69,35.4,33.2,105,33.3,30.7,139,13,9.4,7,0.44,12.2,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,16,0,,0,1.25,26,25,+1,+0.06,,22.2,23.8,-1.6,-0.10,,0,1,1,0,0,0,0,0,1,83,0,0,,Serie-A,11,2021-2022
Alessio Cragno,it ITA,GK,Cagliari,27,1994,14,14,1260,14.0,26,1.86,62,38,62.9,1,6,7,0,0.0,3,3,0,0,0.0,2,5,1,23.7,0.34,-1.3,-0.09,121,284,42.6,347,45,55.3,42.1,130,70.8,51.3,145,9,6.2,11,0.79,15.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,87.5,90,14,0,,0,0.64,16,26,-10,-0.71,+0.79,15.6,24.4,-8.9,-0.63,+1.17,0,0,4,0,0,0,0,0,0,59,0,0,,Serie-A,11,2021-2022
Bartłomiej Drągowski,pl POL,"GK,DF",Fiorentina,24,1997,5,5,376,4.2,6,1.44,15,10,66.7,2,0,3,1,20.0,2,1,1,0,50.0,0,1,0,6.2,0.29,+0.2,+0.05,34,70,48.6,195,15,29.7,33.1,27,44.4,43.1,20,3,15.0,9,2.15,17.4,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,75,26.1,75,4,0,,1,1.20,5,6,-1,-0.24,-0.75,5.4,8.8,-3.4,-0.81,-1.44,0,0,1,0,0,0,0,0,0,18,0,0,,Serie-A,11,2021-2022
Samir Handanović,si SVN,GK,Inter,37,1984,16,16,1440,16.0,15,0.94,56,44,78.6,11,4,1,6,37.5,3,3,0,0,0.0,0,2,1,13.4,0.20,-0.6,-0.04,101,171,59.1,442,68,32.8,31.0,72,36.1,32.0,122,5,4.1,2,0.13,11.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,16,0,,0,2.31,39,15,+24,+1.50,,33.5,17.2,+16.3,+1.02,,0,0,1,0,0,0,0,0,0,54,0,0,,Serie-A,11,2021-2022
Luca Lezzerini,it ITA,GK,Venezia,26,1995,2,2,135,1.5,3,2.00,13,10,76.9,1,0,1,0,0.0,0,0,0,0,,0,0,0,4.7,0.36,+1.7,+1.13,6,9,66.7,41,14,14.6,27.2,13,23.1,31.5,15,1,6.7,0,0.00,10.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,68,9.4,68,1,0,,4,1.50,1,3,-2,-1.33,-0.51,2.0,3.1,-1.1,-0.73,-0.05,0,0,1,0,0,0,0,0,0,11,0,0,,Serie-A,11,2021-2022
Niki Mäenpää,fi FIN,GK,Venezia,36,1985,6,5,495,5.5,9,1.64,18,11,61.1,0,2,3,0,0.0,3,2,0,1,0.0,0,0,0,8.1,0.37,-0.9,-0.17,18,60,30.0,129,31,38.0,35.7,39,28.2,29.2,53,4,7.5,1,0.18,12.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,83,34.4,90,5,1,45,6,0.83,4,9,-5,-0.91,-0.05,5.4,6.9,-1.6,-0.29,+0.60,0,1,0,0,0,0,0,0,1,27,0,0,,Serie-A,11,2021-2022
Mike Maignan,fr FRA,GK,Milan,26,1995,10,10,900,10.0,8,0.80,33,26,78.8,8,1,1,5,50.0,1,1,0,0,0.0,0,0,1,9.7,0.26,+2.7,+0.27,45,109,41.3,286,43,32.9,34.2,50,30.0,35.1,62,5,8.1,8,0.80,16.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,90,62.5,90,10,0,,0,2.50,21,8,+13,+1.30,+0.63,19.1,8.3,+10.8,+1.08,+1.12,0,0,4,0,0,0,0,0,0,50,0,0,,Serie-A,11,2021-2022
Alex Meret,it ITA,GK,Napoli,24,1997,2,2,180,2.0,1,0.50,7,6,85.7,2,0,0,1,50.0,0,0,0,0,,0,0,0,0.8,0.11,-0.2,-0.11,4,9,44.4,32,10,15.6,25.9,12,33.3,32.4,15,1,6.7,0,0.00,7.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,12.5,90,2,0,,13,3.00,4,1,+3,+1.50,+0.14,3.4,1.2,+2.3,+1.13,+0.35,0,0,2,0,0,0,0,0,0,2,0,0,,Serie-A,11,2021-2022
