Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Alexander Nübel,de GER,GK,Schalke 04,20,1996,1,0,45.0,0.5,0,0.0,2.0,2.0,100.0,0,0,0,0,,0,0,0,0,,0.0,0.0,0.0,0.4,0.19,0.4,0.75,6.0,13.0,46.2,13.0,3.0,38.5,42.2,9.0,88.9,53.6,5.0,0.0,0.0,0.0,0.0,12.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,1.5,,0.0,1,,33,3.0,0,0,0,0.0,-0.48,0.7,0.5,0.2,0.41,0.25,0,0,0,0,0,0,0,0,0,5,0,0,,Bundesliga,20,2017-2018
Alexander Schwolow,de GER,GK,Freiburg,25,1992,33,33,2906.0,32.3,53,1.64,142.0,97.0,65.5,7,11,14,9,27.3,5,4,0,1,0.0,1.0,9.0,4.0,44.5,0.3,-4.5,-0.14,319.0,791.0,40.3,1022.0,116.0,52.4,42.7,288.0,88.5,66.0,326.0,19.0,5.8,30.0,0.93,18.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,88,95.0,,32.0,0,,0,1.06,28,53,-25,-0.77,-1.36,40.5,48.2,-7.8,-0.24,0.65,0,0,1,0,0,0,0,0,0,173,0,0,,Bundesliga,20,2017-2018
Andreas Luthe,de GER,GK,Augsburg,30,1987,2,2,180.0,2.0,4,2.0,6.0,3.0,50.0,0,1,1,0,0.0,1,1,0,0,0.0,0.0,1.0,0.0,3.4,0.41,-0.6,-0.31,13.0,29.0,44.8,66.0,12.0,36.4,35.8,14.0,35.7,39.3,20.0,4.0,20.0,3.0,1.5,16.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,5.9,,2.0,0,,31,0.5,2,4,-2,-1.0,-0.97,1.1,2.5,-1.4,-0.68,-0.78,0,0,0,0,0,0,0,0,0,13,0,0,,Bundesliga,20,2017-2018
Bernd Leno,de GER,GK,Leverkusen,25,1992,33,33,2970.0,33.0,40,1.21,104.0,68.0,66.3,15,10,8,10,30.3,5,5,0,0,0.0,2.0,3.0,0.0,34.5,0.3,-5.5,-0.17,216.0,578.0,37.4,982.0,131.0,44.6,38.8,225.0,62.2,50.6,223.0,12.0,5.4,32.0,0.97,18.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,90,97.1,,33.0,0,,0,1.67,58,40,18,0.55,4.55,58.7,33.8,24.9,0.75,3.43,0,0,10,0,0,0,0,0,0,155,0,0,,Bundesliga,20,2017-2018
Christian Mathenia,de GER,GK,Hamburger SV,25,1992,24,24,2160.0,24.0,38,1.58,93.0,58.0,62.4,4,6,14,6,25.0,4,3,0,1,0.0,0.0,4.0,1.0,36.4,0.38,-0.6,-0.02,126.0,432.0,29.2,507.0,73.0,57.2,44.7,181.0,78.5,58.5,180.0,9.0,5.0,11.0,0.46,14.3,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,90,70.6,,24.0,0,,9,0.75,18,38,-20,-0.83,-0.43,24.0,38.7,-14.7,-0.61,-0.52,0,1,2,0,0,0,0,0,0,111,0,0,,Bundesliga,20,2017-2018
Florian Müller,de GER,GK,Mainz 05,19,1997,5,5,450.0,5.0,7,1.4,19.0,11.0,63.2,1,1,3,1,20.0,1,0,1,0,100.0,0.0,2.0,0.0,6.1,0.3,-0.9,-0.18,31.0,98.0,31.6,119.0,24.0,52.9,42.0,41.0,85.4,60.6,51.0,1.0,2.0,3.0,0.6,13.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,14.7,,5.0,0,,9,0.8,3,7,-4,-0.8,-0.46,3.9,6.3,-2.4,-0.48,-0.01,0,0,0,0,0,0,0,0,0,39,0,0,,Bundesliga,20,2017-2018
Jiří Pavlenka,cz CZE,GK,Werder Bremen,25,1992,34,34,3060.0,34.0,40,1.18,157.0,119.0,75.8,10,12,12,8,23.5,4,2,1,1,33.3,0.0,6.0,2.0,44.1,0.26,6.1,0.18,250.0,613.0,40.8,901.0,175.0,50.9,42.4,244.0,63.1,51.7,282.0,18.0,6.4,14.0,0.41,13.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,100.0,,34.0,0,,0,1.24,37,40,-3,-0.09,,39.9,48.5,-8.7,-0.26,,0,0,9,0,0,0,0,0,0,177,0,0,,Bundesliga,20,2017-2018
Julian Pollersbeck,de GER,GK,Hamburger SV,22,1994,10,10,900.0,10.0,15,1.5,47.0,31.0,68.1,4,1,5,1,10.0,0,0,0,0,,1.0,1.0,0.0,16.4,0.36,1.4,0.14,80.0,213.0,37.6,481.0,46.0,38.3,36.7,63.0,46.0,44.0,72.0,9.0,12.5,20.0,2.0,18.8,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,29.4,,10.0,0,,22,1.3,11,15,-4,-0.4,0.43,12.9,13.8,-0.9,-0.09,0.52,0,0,0,0,0,0,0,0,0,67,0,0,,Bundesliga,20,2017-2018
Koen Casteels,be BEL,GK,Wolfsburg,25,1992,34,34,3060.0,34.0,48,1.41,143.0,102.0,70.6,6,15,13,8,23.5,10,6,3,1,33.3,1.0,5.0,2.0,51.3,0.31,5.3,0.16,269.0,704.0,38.2,1026.0,198.0,49.9,41.1,270.0,71.1,55.1,298.0,35.0,11.7,22.0,0.65,13.6,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,90,100.0,,34.0,0,,0,0.97,36,48,-12,-0.35,,39.2,49.5,-10.3,-0.3,,0,1,8,0,0,0,1,0,0,206,0,0,,Bundesliga,20,2017-2018
Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,27,1989,34,34,3060.0,34.0,45,1.32,133.0,91.0,67.7,14,7,13,7,20.6,3,2,0,1,0.0,2.0,8.0,2.0,41.0,0.3,-2.0,-0.06,282.0,704.0,40.1,1060.0,164.0,50.8,41.5,216.0,76.9,58.9,301.0,24.0,8.0,35.0,1.03,15.2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,90,100.0,,34.0,0,,0,1.44,45,45,0,0.0,,43.5,42.1,1.3,0.04,,0,0,3,0,0,0,0,0,0,240,0,0,,Bundesliga,20,2017-2018
