Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Alexandre Olliero,fr FRA,GK,Pau FC,25,1996,16,16,1440,16.0,16,1.0,55,42,74.5,7,3,6,6,37.5,3,2,1,0,33.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90.0,16,0,,0,1.5,17,16,1,0.06,,0,1,3,0,0,0,0,,,0,Ligue-2,60,2021-2022
Anthony Racioppi,ch SUI,GK,Dijon,22,1998,2,2,180,2.0,2,1.0,13,11,84.6,1,0,1,0,0.0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,12.5,90.0,2,0,,14,1.5,3,2,1,0.5,0.93,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Axel Maraval,fr FRA,GK,Dunkerque,28,1993,11,10,901,10.0,13,1.3,40,28,70.0,1,3,6,1,10.0,1,1,0,0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,82,62.6,90.0,10,1,1.0,5,0.82,7,13,-6,-0.6,-0.77,0,0,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Baptiste Reynet,fr FRA,GK,Dijon,31,1990,14,14,1260,14.0,20,1.43,50,33,66.0,5,1,8,3,21.4,3,3,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,87.5,90.0,14,0,,0,1.14,14,20,-6,-0.43,-0.93,0,0,2,0,0,2,0,,,0,Ligue-2,60,2021-2022
Baptiste Valette,fr FRA,GK,Nancy,29,1992,3,3,270,3.0,4,1.33,12,8,66.7,0,2,1,0,0.0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,18.8,90.0,3,0,,13,0.67,3,4,-1,-0.33,0.67,0,0,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Benjamin Leroy,fr FRA,GK,Ajaccio,32,1989,14,14,1260,14.0,7,0.5,32,28,84.4,8,3,3,9,64.3,3,2,1,0,33.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,87.5,90.0,14,0,,0,1.93,15,7,8,0.57,-0.43,0,1,1,0,0,1,0,,,0,Ligue-2,60,2021-2022
Brice Maubleu,fr FRA,GK,Grenoble,31,1989,16,16,1381,15.3,19,1.24,61,43,70.5,6,3,7,6,37.5,1,1,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,86,95.9,86.0,15,0,,0,1.31,15,19,-4,-0.26,-0.26,0,1,4,0,0,2,0,,,0,Ligue-2,60,2021-2022
Dominique Youfeigane,cf CTA,GK,Guingamp,21,2000,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,6.3,90.0,1,0,,15,0.0,0,2,-2,-2.0,-1.87,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Donovan Léon,gf GUF,GK,Auxerre,29,1992,16,16,1440,16.0,18,1.13,62,45,72.6,8,5,3,7,43.8,1,1,0,0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90.0,16,0,,0,1.81,26,18,8,0.5,,0,1,4,0,0,1,2,,,0,Ligue-2,60,2021-2022
Enzo Basilio,fr FRA,GK,Guingamp,27,1994,15,15,1350,15.0,20,1.33,50,33,66.0,4,6,5,3,20.0,3,3,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,93.8,90.0,15,0,,0,1.2,18,20,-2,-0.13,1.87,0,1,1,0,0,0,0,,,0,Ligue-2,60,2021-2022
