Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Alexandre Olliero,fr FRA,GK,Pau FC,25,1996,15,15,1350,15.0,16,1.07,50,36,72.0,6,3,6,5,33.3,2,2,0,0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,1.4,15,16,-1,-0.07,,0,1,3,0,0,0,0,,,0,Ligue-2,60,2021-2022
Anthony Racioppi,ch SUI,GK,Dijon,22,1998,1,1,90,1.0,1,1.0,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,6.7,90,1,0,,14,0.0,0,1,-1,-1.0,-0.57,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Axel Maraval,fr FRA,GK,Dunkerque,28,1993,10,9,811,9.0,12,1.33,39,28,71.8,1,3,5,1,11.1,1,1,0,0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,81,60.1,90,9,1,1.0,5,0.9,7,12,-5,-0.55,-0.72,0,0,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Baptiste Reynet,fr FRA,GK,Dijon,31,1990,14,14,1260,14.0,20,1.43,50,33,66.0,5,1,8,3,21.4,3,3,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,93.3,90,14,0,,0,1.14,14,20,-6,-0.43,0.57,0,0,2,0,0,2,0,,,0,Ligue-2,60,2021-2022
Baptiste Valette,fr FRA,GK,Nancy,29,1992,3,3,270,3.0,4,1.33,12,8,66.7,0,2,1,0,0.0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,20.0,90,3,0,,12,0.67,3,4,-1,-0.33,0.58,0,0,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Benjamin Leroy,fr FRA,GK,Ajaccio,32,1989,13,13,1170,13.0,7,0.54,29,25,82.8,7,3,3,8,61.5,3,2,1,0,33.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,86.7,90,13,0,,0,1.85,14,7,7,0.54,-0.46,0,1,1,0,0,1,0,,,0,Ligue-2,60,2021-2022
Brice Maubleu,fr FRA,GK,Grenoble,31,1989,15,15,1350,15.0,18,1.2,59,42,71.2,6,3,6,6,40.0,1,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,1.4,15,18,-3,-0.2,,0,0,4,0,0,1,0,,,0,Ligue-2,60,2021-2022
Donovan Léon,gf GUF,GK,Auxerre,29,1992,15,15,1350,15.0,15,1.0,55,41,74.5,8,5,2,7,46.7,1,1,0,0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,1.93,25,15,10,0.67,,0,1,4,0,0,1,2,,,0,Ligue-2,60,2021-2022
Enzo Basilio,fr FRA,GK,Guingamp,27,1994,15,15,1350,15.0,20,1.33,50,33,66.0,4,6,5,3,20.0,3,3,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,1.2,18,20,-2,-0.13,,0,1,1,0,0,0,0,,,0,Ligue-2,60,2021-2022
François-Joseph Sollacaro,fr FRA,GK,Ajaccio,27,1994,2,2,180,2.0,1,0.5,3,2,66.7,1,1,0,1,50.0,0,0,0,0,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,13.3,90,2,0,,11,2.33,5,1,4,2.0,1.62,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
