Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,6,6,495,5.5,5,2,5,0,0,0,0,0.91,0.36,1.27,0.91,1.27,15,9,60.0,2.73,1.64,0.33,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,68.8,,3,0,,0,1.83,12,6,+6,+1.09,+3.49,0,9,0,0,0,Champions-League,8,2017-2018
Marcos Acuña,ar ARG,"MF,DF",pt Sporting CP,25,1991,5,5,433,4.8,0,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,6,0,0.0,1.25,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,80.2,,4,0,,0,1.14,5,8,-3,-0.62,-2.31,0,11,0,0,0,Champions-League,8,2017-2018
Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,10.1,,1,1,,0,0.00,1,2,-1,-0.99,-1.99,0,0,0,0,0,Champions-League,8,2017-2018
Adriano,br BRA,DF,tr Beşiktaş,32,1984,6,5,486,5.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.19,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,67.5,,4,1,,1,1.83,8,10,-2,-0.37,-0.75,0,8,0,0,0,Champions-League,8,2017-2018
Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6,6,540,6.0,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,6,2,33.3,1.00,0.33,0.17,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100.0,,6,0,,0,1.00,9,13,-4,-0.67,,0,9,0,0,0,Champions-League,8,2017-2018
Ansi Agolli,al ALB,DF,az Qarabağ FK,34,1982,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4,1,25.0,1.00,0.25,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,66.7,,4,0,,0,1.50,2,7,-5,-1.25,+2.25,0,3,0,0,0,Champions-League,8,2017-2018
Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,7,5,440,4.9,4,1,3,1,2,0,0,0.82,0.20,1.02,0.61,0.82,24,9,37.5,4.91,1.84,0.13,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,48.9,,1,2,,2,2.14,13,3,+10,+2.05,+2.44,0,1,0,0,0,Champions-League,8,2017-2018
Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4,4,360,4.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,4,1,25.0,1.00,0.25,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,66.7,,4,0,,0,0.00,3,12,-9,-2.25,-2.25,0,14,0,0,0,Champions-League,8,2017-2018
Valon Ahmedi,al ALB,MF,si NK Maribor,22,1994,4,3,226,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,9,2,22.2,3.58,0.80,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,41.9,,1,1,,2,1.40,0,10,-10,-3.98,-3.12,0,2,0,0,0,Champions-League,8,2017-2018
Albian Ajeti,ch SUI,FW,ch Basel,20,1997,3,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,13.6,,0,2,,3,1.00,1,1,0,0.00,-0.43,0,3,0,0,0,Champions-League,8,2017-2018
