Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Vincent Aboubakar,cm CMR,FW,pt Porto,26,1992,1,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.24,0.05,0.29,0.24,0.29,3,1,33.3,4.58,1.53,0.00,0.00,18.2,0,0.05,-0.2,-0.2,6,15,40.0,62,5,4,10,40.0,1,3,33.3,0,0,,0.0,1,0,1,0,1,15,0,0,0,0,0,0,0,0,0,8,6,1,1,8,4,0,2,0,1,2,1,2,3.05,1,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,16.7,0,3,3,0,0,0,1,0,23,1,5,2,50.0,2,0,15,0,1,0,27,19,70.4,10,59,6.3,59,0,0,,0,1.00,0,0,0,0.00,-0.52,1.5,0.3,+1.2,+1.77,+2.03,0,0,0,0,0,2,0,4,0.0,Champions-League,8,2018-2019
Michel Aebischer,ch SUI,MF,ch Young Boys,21,1997,4,2,228,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,2,0,0.0,0.79,0.00,0.00,,22.1,0,0.04,-0.1,-0.1,110,129,85.3,2069,658,41,44,93.2,51,57,89.5,15,20,75.0,0.0,1,18,0,0,14,119,10,0,14,5,0,4,0,0,0,104,8,17,14,111,3,0,1,0,0,3,4,3,1.18,3,0,0,0,0,0,0.00,0,0,0,0,0,0,7,7,3,4,0,1,9.1,10,28,27.2,46,49,8,0,3,10,1,0,151,7,6,1,0.0,0,0,112,3,2,2,105,101,96.2,3,57,42.2,90,2,2,24,2,1.17,2,3,-1,-0.39,+1.62,2.8,5.6,-2.8,-1.11,-0.24,0,3,0,0,0,23,0,1,0.0,Champions-League,8,2018-2019
Sergio Agüero,ar ARG,FW,eng Manchester City,30,1988,7,6,507,5.6,6,1,5,1,2,3,0,1.07,0.18,1.24,0.89,1.07,5.8,4.2,0.3,4.5,1.02,0.05,1.08,0.75,0.81,26,13,50.0,4.62,2.31,0.19,0.38,16.0,0,0.16,+0.2,+0.8,142,167,85.0,1877,297,97,108,89.8,38,46,82.6,3,4,75.0,+0.7,5,4,10,1,12,153,14,2,32,1,5,0,0,0,0,133,23,11,25,134,3,1,4,0,2,4,7,14,2.49,11,0,3,0,0,2,0.36,2,0,0,0,0,0,5,5,0,2,3,0,0.0,4,23,24.0,3,44,49,0,1,6,1,0,256,0,49,21,52.4,13,0,210,6,16,17,304,209,68.8,83,72,56.3,80,2,1,28,2,1.86,14,8,+6,+1.07,-1.68,11.4,6.6,+4.9,+0.86,-0.67,0,5,0,0,0,15,2,4,33.3,Champions-League,8,2018-2019
Jean-Eudes Aholou,ci CIV,"MF,FW",fr Monaco,24,1994,3,2,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.05,0.11,0.06,0.11,2,1,50.0,1.02,0.51,0.00,0.00,16.0,0,0.06,-0.1,-0.1,53,62,85.5,1034,297,23,27,85.2,22,26,84.6,7,8,87.5,-0.1,2,9,3,0,8,60,2,1,4,1,0,0,0,0,0,47,6,9,42,13,6,0,0,0,2,0,0,2,1.02,2,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1,7,15.6,13,28,4,0,4,5,0,0,79,1,2,2,50.0,2,0,49,0,2,3,58,50,86.2,3,59,32.6,79,1,1,18,0,0.33,1,5,-4,-2.05,-0.07,1.1,4.7,-3.5,-1.80,-1.24,0,4,0,0,0,17,2,1,66.7,Champions-League,8,2018-2019
Youssef Aït Bennasser,ma MAR,MF,fr Monaco,22,1996,3,3,247,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,1,1,100.0,0.36,0.36,0.00,0.00,28.0,0,0.02,0.0,0.0,172,198,86.9,3678,889,47,53,88.7,87,95,91.6,37,46,80.4,0.0,1,16,1,0,19,195,3,0,32,6,1,0,0,0,0,171,12,15,31,160,7,0,0,0,5,2,3,3,1.09,3,0,0,0,0,0,0.00,0,0,0,0,0,0,8,5,5,3,0,2,22.2,7,16,22.5,26,41,4,0,3,9,10,1,226,12,0,3,66.7,3,0,179,0,2,2,166,164,98.8,1,82,45.7,82,2,0,,3,0.33,1,6,-5,-1.82,+0.33,2.3,5.5,-3.3,-1.19,-0.41,0,2,0,0,0,38,1,0,100.0,Champions-League,8,2018-2019
Manuel Akanji,ch SUI,DF,de Dortmund,23,1995,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.03,0.04,0.01,0.04,2,0,0.0,0.40,0.00,0.00,,36.4,0,0.01,0.0,0.0,539,568,94.9,11316,3016,151,158,95.6,307,314,97.8,79,94,84.0,-0.2,1,47,2,0,30,561,7,1,49,18,0,0,0,0,0,517,19,32,110,435,18,0,1,1,5,3,0,3,0.60,3,0,0,0,0,0,0.00,0,0,0,0,0,0,9,5,5,3,1,4,57.1,3,8,24.2,20,11,2,0,8,15,14,0,614,34,0,5,100.0,5,0,508,0,2,2,516,513,99.4,0,90,62.5,90,5,0,,1,1.40,4,3,+1,+0.20,-0.80,6.8,3.9,+3.0,+0.59,-0.17,0,1,0,0,0,51,4,1,80.0,Champions-League,8,2018-2019
Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1,1,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,0.5,0.5,0.2,0.7,0.49,0.16,0.65,0.49,0.65,4,1,25.0,4.00,1.00,0.00,0.00,12.0,0,0.12,-0.5,-0.5,19,31,61.3,363,89,7,10,70.0,9,13,69.2,3,6,50.0,+0.8,4,0,0,0,1,25,6,0,2,2,3,4,0,0,0,20,4,7,24,4,3,0,0,0,0,1,1,8,8.00,2,2,0,3,0,3,3.00,1,0,0,0,2,0,3,1,1,2,0,0,0.0,2,5,20.0,8,15,2,0,1,3,0,0,47,0,5,2,50.0,1,0,32,0,1,2,44,29,65.9,9,90,16.7,90,1,0,,0,3.00,3,0,+3,+3.00,+4.20,2.0,1.0,+0.9,+0.94,+1.14,0,1,1,0,0,7,0,2,0.0,Champions-League,8,2018-2019
Yunus Akgün,tr TUR,MF,tr Galatasaray,18,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,1,1,100.0,18,0,0,0,,1,1,100.0,0,0,,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,4,1,25.0,0,5,0.9,,0,1,5,1,0.00,0,0,0,0.00,+0.50,0.0,0.2,-0.2,-3.32,-3.34,0,0,0,0,0,0,0,1,0.0,Champions-League,8,2018-2019
Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,4,3,300,3.3,0,1,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,0.2,0.2,0.2,0.4,0.05,0.06,0.11,0.05,0.11,4,1,25.0,1.20,0.30,0.00,0.00,22.3,0,0.04,-0.2,-0.2,149,184,81.0,2492,608,74,94,78.7,56,63,88.9,15,20,75.0,+0.8,4,6,3,0,14,183,1,0,34,6,1,0,0,0,0,145,26,13,39,137,7,0,1,2,4,3,6,7,2.10,6,0,0,0,0,1,0.30,1,0,0,0,0,0,10,4,6,3,1,3,42.9,4,17,27.9,34,24,3,0,4,10,3,0,216,10,1,11,90.9,10,1,174,0,2,4,176,161,91.5,9,75,55.6,85,2,1,45,0,1.00,4,5,-1,-0.30,-0.30,4.0,5.8,-1.8,-0.55,-0.27,0,7,0,0,0,33,0,1,0.0,Champions-League,8,2018-2019
Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5,5,449,5.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,87,177,49.2,4062,3216,2,2,100.0,22,22,100.0,63,153,41.2,0.0,0,10,0,0,0,106,71,0,7,10,0,0,0,0,0,33,12,132,6,134,0,0,23,0,7,1,0,2,0.40,0,2,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,100.0,0,0,0.0,1,0,0,0,0,1,0,0,188,157,0,0,,0,0,75,0,0,0,66,66,100.0,0,90,83.1,90,4,0,,0,1.40,8,6,+2,+0.40,+3.37,6.5,7.1,-0.6,-0.12,+1.85,1,0,0,0,0,17,0,0,,Champions-League,8,2018-2019
Kevin Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,1,0,0.0,0.50,0.00,0.00,,34.2,0,0.01,0.0,0.0,83,96,86.5,1718,775,25,26,96.2,46,52,88.5,12,16,75.0,0.0,0,8,1,0,12,95,1,0,17,3,0,0,0,0,0,80,8,8,9,82,4,0,1,0,2,3,2,1,0.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,6,3,5,1,0,1,20.0,4,10,35.7,18,10,0,0,2,8,3,0,112,11,0,0,,0,0,76,0,0,0,79,79,100.0,0,90,33.3,90,2,0,,2,0.50,4,5,-1,-0.50,0.00,4.0,4.7,-0.7,-0.37,-0.24,0,0,0,0,0,17,0,2,0.0,Champions-League,8,2018-2019
David Alaba,at AUT,DF,de Bayern Munich,26,1992,7,7,630,7.0,0,2,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,0.1,0.1,0.6,0.8,0.02,0.09,0.11,0.02,0.11,4,2,50.0,0.57,0.29,0.00,0.00,29.0,3,0.04,-0.1,-0.1,360,445,80.9,6370,2456,167,183,91.3,147,175,84.0,42,68,61.8,+1.4,7,31,8,1,33,376,69,0,62,8,11,3,0,0,0,271,74,100,300,53,25,62,1,3,11,6,12,8,1.14,7,1,0,0,0,2,0.29,2,0,0,0,0,0,10,8,2,7,1,3,21.4,11,24,31.6,28,36,12,0,11,25,15,1,513,24,13,6,33.3,2,0,321,2,4,8,351,317,90.3,20,90,87.5,90,7,0,,1,1.71,14,8,+6,+0.86,-1.14,11.2,9.9,+1.4,+0.20,-1.23,0,5,0,0,0,66,6,2,75.0,Champions-League,8,2018-2019
