Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,8,7,566,6.3,3,1,3,0,0,0,0,0.48,0.16,0.64,0.48,0.64,4.5,4.5,0.4,4.9,0.71,0.07,0.78,0.71,0.78,21,9,42.9,3.34,1.43,0.14,0.33,8.5,0,0.21,-1.5,-1.5,77,114,67.5,1120,147,44,58,75.9,20,35,57.1,6,9,66.7,+0.6,6,3,1,0,3,98,16,0,22,3,3,0,0,0,0,65,30,19,4,84,9,0,8,0,3,3,7,16,2.54,9,0,0,2,0,1,0.16,0,0,0,1,0,0,5,4,0,4,1,2,33.3,4,47,33.6,2,58,80,0,5,6,10,0,201,12,39,12,41.7,6,0,114,3,19,10,262,140,53.4,47,71,78.6,77,3,1,30,0,1.38,10,11,-1,-0.16,+1.59,12.5,7.0,+5.5,+0.88,+1.81,0,14,0,0,1,15,23,12,65.7,Champions-League,8,2019-2020
Tyler Adams,us USA,"DF,MF",de RB Leipzig,20,1999,3,0,82,0.9,1,0,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,0.2,0.2,0.0,0.2,0.17,0.00,0.17,0.17,0.17,2,1,50.0,2.20,1.10,0.50,1.00,15.0,0,0.08,+0.8,+0.8,67,81,82.7,1044,243,39,42,92.9,20,23,87.0,5,9,55.6,0.0,0,3,0,0,3,74,7,0,13,1,1,0,0,0,0,59,14,8,13,59,2,6,0,0,1,5,4,3,3.29,2,0,0,0,0,1,1.10,0,0,0,1,0,0,1,0,1,0,0,0,0.0,2,5,17.9,4,15,9,0,1,2,3,0,91,4,2,2,100.0,2,0,65,0,1,0,67,66,98.5,6,27,9.1,,0,3,27,0,2.00,2,0,+2,+2.20,+1.98,1.0,1.0,+0.1,+0.08,-0.45,0,3,0,0,0,11,1,1,50.0,Champions-League,8,2019-2020
Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,6,6,517,5.7,1,1,1,0,0,3,0,0.17,0.17,0.35,0.17,0.35,0.7,0.7,1.0,1.7,0.12,0.18,0.30,0.12,0.30,2,1,50.0,0.35,0.17,0.50,1.00,4.0,0,0.35,+0.3,+0.3,145,165,87.9,2333,452,73,80,91.3,58,67,86.6,10,12,83.3,0.0,4,5,1,0,5,158,7,0,26,1,1,0,0,0,0,130,21,14,18,129,13,0,2,0,2,2,0,8,1.39,6,0,2,0,0,3,0.52,3,0,0,0,0,0,7,4,4,3,0,4,28.6,10,25,16.1,71,71,13,0,7,9,12,0,215,15,11,9,100.0,9,0,133,2,5,4,152,131,86.2,15,86,95.7,86,5,0,,0,1.58,10,12,-2,-0.35,+3.56,5.9,13.4,-7.5,-1.30,+0.39,0,11,0,0,0,41,3,4,42.9,Champions-League,8,2019-2020
Adrián,es ESP,GK,eng Liverpool,32,1987,3,3,300,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,79,98,80.6,2415,1455,13,14,92.9,30,31,96.8,35,52,67.3,0.0,0,0,0,0,1,75,23,0,8,3,0,0,0,0,0,50,13,35,13,68,0,0,14,0,1,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,1,0,0,0,0,0,0,1,102,88,0,0,,0,0,48,0,0,0,52,52,100.0,0,100,40.0,100,3,0,,5,1.00,6,8,-2,-0.60,-1.60,5.9,4.6,+1.3,+0.40,-0.65,0,0,0,0,0,19,0,0,,Champions-League,8,2019-2020
Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,3,2,196,2.2,2,0,1,1,1,0,0,0.92,0.00,0.92,0.46,0.46,2.5,1.7,0.0,1.8,1.15,0.01,1.16,0.80,0.81,9,5,55.6,4.13,2.30,0.11,0.20,12.1,0,0.19,-0.5,-0.7,32,50,64.0,409,42,23,29,79.3,9,15,60.0,0,0,,0.0,1,2,1,0,1,49,1,1,13,0,4,0,0,0,0,33,12,5,6,39,2,0,1,0,1,3,5,4,1.84,1,0,2,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,9,27.3,1,14,18,0,1,1,1,0,78,1,22,9,55.6,6,0,56,3,4,7,119,62,52.1,27,65,24.2,89,1,1,18,2,2.33,6,1,+5,+2.30,+1.27,6.7,1.9,+4.9,+2.25,+0.66,0,2,0,0,0,11,2,3,40.0,Champions-League,8,2019-2020
Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,6,6,523,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,3,0,0.0,0.52,0.00,0.00,,24.0,0,0.03,-0.1,-0.1,342,388,88.1,6313,1787,149,160,93.1,155,167,92.8,34,56,60.7,0.0,0,17,1,0,19,374,14,0,50,11,0,0,0,0,0,322,26,40,67,301,13,2,2,1,5,5,1,2,0.34,2,0,0,0,0,0,0.00,0,0,0,0,0,0,9,2,8,1,0,2,28.6,5,18,29.0,40,20,2,0,2,22,16,0,442,42,3,4,75.0,3,0,324,0,4,1,335,334,99.7,2,87,72.6,87,5,0,,2,1.67,8,7,+1,+0.17,+1.09,9.8,7.8,+2.0,+0.34,+1.20,0,3,0,0,0,48,10,6,62.5,Champions-League,8,2019-2020
David Alaba,at AUT,DF,de Bayern Munich,27,1992,8,8,675,7.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.4,0.03,0.15,0.18,0.03,0.18,5,1,20.0,0.67,0.13,0.00,0.00,28.0,2,0.04,-0.2,-0.2,536,593,90.4,11256,3623,159,170,93.5,289,305,94.8,83,105,79.0,-1.1,4,51,7,1,45,579,14,2,70,11,4,0,0,0,0,493,38,62,500,68,13,5,0,0,5,3,7,9,1.20,8,0,1,0,0,0,0.00,0,0,0,0,0,0,9,4,6,3,0,6,66.7,3,9,19.6,27,17,2,1,4,11,18,0,638,55,3,2,100.0,2,0,494,1,0,1,520,513,98.7,4,84,68.2,84,7,0,,0,3.00,26,6,+20,+2.67,-1.62,20.4,8.3,+12.1,+1.61,-1.21,0,4,0,0,1,69,8,3,72.7,Champions-League,8,2019-2020
Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,5,2,214,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.20,0.02,0.22,0.20,0.22,7,2,28.6,2.94,0.84,0.00,0.00,13.1,0,0.07,-0.5,-0.5,40,47,85.1,596,69,24,27,88.9,11,13,84.6,3,4,75.0,0.0,2,4,0,0,2,42,5,0,17,0,1,0,0,0,0,33,11,3,5,38,2,0,0,0,0,0,1,4,1.68,2,0,1,1,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,0,0.0,1,11,17.2,4,32,28,0,0,4,1,0,70,2,11,3,66.7,2,0,52,0,6,4,105,53,50.5,18,43,39.6,74,0,3,22,1,0.60,0,3,-3,-1.26,-0.99,2.2,2.2,+0.1,+0.03,+0.63,0,6,0,0,0,6,4,7,36.4,Champions-League,8,2019-2020
Jordi Alba,es ESP,DF,es Barcelona,30,1989,5,5,354,3.9,0,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,0.0,0.0,1.1,1.1,0.00,0.27,0.27,0.00,0.27,1,0,0.0,0.25,0.00,0.00,,27.0,0,0.01,0.0,0.0,194,231,84.0,3369,1011,79,92,85.9,95,104,91.3,15,23,65.2,-0.1,6,8,3,1,13,202,29,1,23,5,6,0,0,0,0,164,41,26,172,32,7,17,2,0,2,3,9,9,2.29,9,0,0,0,0,1,0.25,1,0,0,0,0,0,3,2,0,1,2,2,40.0,3,10,23.3,24,13,6,0,10,10,6,0,271,17,6,3,33.3,1,0,162,0,1,5,202,181,89.6,10,71,43.7,71,3,0,,0,1.60,7,10,-3,-0.76,-1.55,6.0,8.8,-2.8,-0.71,-1.02,0,1,0,0,0,32,3,6,33.3,Champions-League,8,2019-2020
Paco Alcácer,es ESP,FW,de Dortmund,25,1993,2,1,113,1.3,0,1,0,0,0,0,0,0.00,0.80,0.80,0.00,0.80,0.6,0.6,0.4,1.1,0.51,0.34,0.84,0.51,0.84,4,0,0.0,3.19,0.00,0.00,,13.7,1,0.16,-0.6,-0.6,17,24,70.8,271,55,7,10,70.0,9,10,90.0,1,2,50.0,+0.6,4,3,1,0,3,22,2,0,7,1,1,0,0,0,0,13,6,5,2,19,1,1,1,0,1,1,1,4,3.19,4,0,0,0,0,1,0.80,1,0,0,0,0,0,1,1,0,0,1,0,0.0,1,6,31.6,0,3,16,0,1,3,2,0,34,3,7,1,100.0,1,0,19,0,1,0,44,20,45.5,8,57,15.7,86,0,1,27,1,2.00,1,0,+1,+0.80,+1.09,3.1,0.6,+2.5,+1.99,+2.34,0,0,0,0,0,3,0,3,0.0,Champions-League,8,2019-2020
