Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
Ignazio Abate,it ITA,"DF,MF",it Milan,30,1986,5,4,346,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.26,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,38.4,,3,1,,1,2.63,10,3,+7,+1.82,+1.82,0,6,0,0,0,Europa-League,19,2017-2018
Hatem Abd Elhamed,il ISR,DF,il Be'er Sheva,26,1991,6,5,470,5.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,4,0,0.0,0.77,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,87.0,,5,1,,0,0.67,3,9,-6,-1.15,-2.43,0,5,0,0,0,Europa-League,19,2017-2018
Aymen Abdennour,tn TUN,DF,fr Marseille,27,1989,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,13.0,,2,0,,6,1.50,2,2,0,0.00,-0.30,0,3,0,0,0,Europa-League,19,2017-2018
Anicet Abel,mg MAD,MF,bg Ludogorets,27,1990,8,8,713,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,6,1,16.7,0.76,0.13,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,99.0,,7,0,,0,1.30,7,9,-2,-0.25,-0.25,0,14,0,0,0,Europa-League,19,2017-2018
Maxwell Acosty,gh GHA,"MF,FW",hr Rijeka,25,1991,6,4,329,3.7,1,2,1,0,0,1,0,0.27,0.55,0.82,0.27,0.82,9,3,33.3,2.46,0.82,0.11,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,60.9,,0,2,,0,1.17,8,4,+4,+1.09,+3.23,0,5,0,0,0,Europa-League,19,2017-2018
Marcos Acuña,ar ARG,MF,pt Sporting CP,25,1991,6,4,402,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,12,1,8.3,2.69,0.22,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,72.4,,2,2,,0,1.67,8,5,+3,+0.67,+1.85,0,8,0,0,0,Europa-League,19,2017-2018
Emmanuel Adebayor,tg TOG,FW,tr Başakşehir,33,1984,1,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,12.0,,0,0,,0,1.00,0,0,0,0.00,+0.19,0,2,0,0,0,Europa-League,19,2017-2018
Samuel Adegbenro,ng NGA,FW,no Rosenborg,21,1995,6,6,520,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,17,5,29.4,2.94,0.87,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,96.3,,2,0,,0,1.38,5,10,-5,-0.87,-0.87,0,5,2,0,0,Europa-League,19,2017-2018
James Adeniyi,ng NGA,"MF,FW",al Skënderbeu Korçë,24,1992,5,5,436,4.8,1,0,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,,3,,,0.62,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,80.7,,4,0,,0,1.67,5,8,-3,-0.62,+0.25,,6,,,,Europa-League,19,2017-2018
Luiz Adriano,br BRA,FW,ru Spartak Moscow,30,1987,2,2,180,2.0,2,0,2,0,0,1,0,1.00,0.00,1.00,1.00,1.00,6,2,33.3,3.00,1.00,0.33,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100.0,,2,0,,0,1.50,3,4,-1,-0.50,,0,1,0,0,0,Europa-League,19,2017-2018
