Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Hatem Abd Elhamed,il ISR,DF,sct Celtic,28,1991,4,4,344,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,151,197,76.6,2215,999,85,97,87.6,53,74,71.6,7,18,38.9,0.0,0,12,1,0,15,152,45,0,25,2,6,0,0,0,0,108,47,42,18,126,4,44,2,1,5,3,4,4,1.05,2,1,0,1,0,0,0.00,0,0,0,0,0,0,9,4,5,4,0,2,18.2,9,18,40.0,21,13,11,0,7,17,27,1,260,14,3,10,60.0,7,0,142,1,5,6,138,125,90.6,3,86,47.8,86,2,0,,0,2.50,5,3,+2,+0.52,+0.52,3.8,3.3,+0.6,+0.15,+0.31,0,2,0,0,0,37,6,8,42.9,Europa-League,19,2019-2020
Araz Abdullayev,az AZE,"MF,FW",az Qarabağ Ağdam,27,1992,4,1,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.06,0.13,0.19,0.06,0.19,1,0,0.0,0.62,0.00,0.00,,17.5,0,0.10,-0.1,-0.1,38,50,76.0,645,115,18,20,90.0,15,17,88.2,3,9,33.3,-0.2,2,0,2,2,1,43,7,0,3,2,6,3,1,1,1,32,7,11,36,11,2,0,1,0,0,0,1,2,1.23,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,1,1,0,0,0.0,4,9,22.0,8,20,13,0,3,2,1,0,66,1,4,1,0.0,0,0,42,1,5,2,63,45,71.4,11,37,27.0,90,1,3,19,1,1.20,1,6,-5,-3.08,-3.54,1.3,3.1,-1.7,-1.08,-1.94,0,0,0,0,0,6,0,4,0.0,Europa-League,19,2019-2020
Anicet Abel,mg MAD,MF,bg Ludogorets,29,1990,7,6,568,6.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04,2,1,50.0,0.32,0.16,0.00,0.00,14.0,0,0.04,-0.1,-0.1,212,245,86.5,3768,772,99,109,90.8,85,96,88.5,23,31,74.2,-0.2,2,12,1,0,10,232,13,0,55,7,2,1,1,0,0,163,45,37,41,183,10,1,3,0,4,3,2,6,0.95,6,0,0,0,0,1,0.16,1,0,0,0,0,0,11,8,7,4,0,5,38.5,8,30,24.2,55,56,13,0,5,18,10,0,297,26,4,5,60.0,3,0,176,1,6,5,213,187,87.8,7,81,78.9,86,5,1,52,0,1.42,10,9,+1,+0.16,+2.53,6.5,10.0,-3.4,-0.54,+0.64,0,16,0,1,0,60,9,8,52.9,Europa-League,19,2019-2020
Myenty Abena,sr SUR,DF,sk Slovan Bratislava,24,1994,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,3,0,0.0,0.50,0.00,0.00,,7.1,0,0.06,-0.2,-0.2,109,123,88.6,2316,638,32,36,88.9,60,63,95.2,17,23,73.9,0.0,0,0,0,0,0,121,2,0,23,2,1,0,0,0,0,97,15,11,21,92,5,0,0,0,3,2,2,1,0.17,1,0,0,0,0,0,0.00,0,0,0,0,0,0,7,3,4,3,0,2,66.7,1,22,42.3,42,9,1,0,5,11,26,0,177,44,4,2,100.0,2,0,90,0,0,1,100,95,95.0,1,90,100.0,90,6,0,,0,1.58,10,13,-3,-0.50,,6.0,11.0,-5.0,-0.84,,0,4,0,1,0,27,13,11,54.2,Europa-League,19,2019-2020
Charles Abi,fr FRA,FW,fr Saint-Étienne,19,2000,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.33,0.00,0.33,0.33,0.33,2,1,50.0,5.45,2.73,0.00,0.00,7.9,0,0.06,-0.1,-0.1,8,9,88.9,167,8,3,3,100.0,2,3,66.7,2,2,100.0,0.0,0,1,0,0,0,9,0,0,0,1,1,0,0,0,0,9,0,0,7,2,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,1,0,1,0,,0,2,28.6,3,4,0,0,0,2,0,0,16,0,3,2,0.0,0,0,13,0,2,0,20,13,65.0,8,17,6.1,,0,2,17,0,1.00,0,0,0,0.00,+0.36,0.7,0.1,+0.5,+1.41,+1.47,0,2,0,0,0,0,1,3,25.0,Europa-League,19,2019-2020
Pape Abou Cisse,sn SEN,DF,gr Olympiacos,23,1995,3,2,267,3.0,1,0,1,0,0,1,0,0.34,0.00,0.34,0.34,0.34,0.2,0.2,0.0,0.2,0.06,0.01,0.08,0.06,0.08,1,1,100.0,0.34,0.34,1.00,1.00,7.0,0,0.19,+0.8,+0.8,113,138,81.9,2596,1022,28,30,93.3,57,61,93.4,27,46,58.7,0.0,1,2,0,0,4,137,1,0,17,7,0,0,0,0,0,97,12,29,56,71,4,0,2,1,6,0,0,2,0.67,2,0,0,0,0,0,0.00,0,0,0,0,0,0,4,3,4,0,0,2,66.7,1,6,27.3,18,3,1,0,0,6,19,0,168,27,1,0,,0,0,110,0,0,1,119,119,100.0,1,89,68.5,105,2,1,57,1,1.33,3,3,0,0.00,+0.73,2.8,4.8,-2.0,-0.68,+0.13,0,3,0,0,0,20,9,1,90.0,Europa-League,19,2019-2020
Vincent Aboubakar,cm CMR,FW,pt Porto,27,1992,1,1,90,1.0,2,0,2,0,0,1,0,2.00,0.00,2.00,2.00,2.00,1.1,1.1,0.1,1.2,1.12,0.12,1.23,1.12,1.23,4,3,75.0,4.00,3.00,0.50,0.67,24.0,0,0.28,+0.9,+0.9,27,32,84.4,459,42,17,19,89.5,5,6,83.3,5,7,71.4,-0.1,3,2,1,0,2,31,1,0,5,2,0,0,0,0,0,23,6,3,3,25,1,0,1,0,1,0,0,5,5.00,4,0,1,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,1,50.0,1,3,18.8,2,9,5,0,2,4,1,0,58,1,8,3,100.0,3,0,42,0,11,3,55,45,81.8,17,90,12.5,90,1,0,,2,3.00,2,1,+1,+1.00,+1.71,2.1,0.6,+1.5,+1.49,+1.39,0,0,0,0,0,3,2,3,40.0,Europa-League,19,2019-2020
Zakaria Aboukhlal,ma MAR,FW,nl AZ Alkmaar,19,2000,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,5,5,100.0,46,8,5,5,100.0,0,0,,0,0,,0.0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,2,12.86,1,0,0,1,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,100.0,0,2,33.3,2,2,2,0,0,1,1,0,9,1,1,0,,0,0,8,0,2,1,9,6,66.7,3,14,1.9,,0,1,14,6,3.00,0,0,0,0.00,-0.64,1.1,0.0,+1.1,+7.11,+6.58,0,0,0,0,0,1,0,0,,Europa-League,19,2019-2020
David Abraham,ar ARG,DF,de Eint Frankfurt,33,1986,9,9,810,9.0,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.1,0.5,0.05,0.01,0.05,0.05,0.05,3,1,33.3,0.33,0.11,0.33,1.00,7.1,0,0.14,+0.6,+0.6,347,422,82.2,7419,2549,102,111,91.9,182,205,88.8,61,91,67.0,-0.1,1,32,2,1,38,393,29,0,81,5,3,0,0,0,0,269,54,99,55,281,46,20,2,1,6,3,10,6,0.67,6,0,0,0,0,0,0.00,0,0,0,0,0,0,19,11,16,3,0,14,40.0,21,54,38.6,82,52,6,0,9,26,43,0,520,51,6,1,100.0,1,0,266,0,3,5,292,275,94.2,5,90,90.0,90,9,0,,0,1.33,13,17,-4,-0.44,-1.44,12.7,14.4,-1.7,-0.19,-0.87,0,14,0,0,0,124,29,11,72.5,Europa-League,19,2019-2020
Francesco Acerbi,it ITA,DF,it Lazio,31,1988,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,1,0,0.0,0.17,0.00,0.00,,7.1,0,0.08,-0.1,-0.1,352,408,86.3,7116,2561,140,150,93.3,152,173,87.9,57,79,72.2,-0.1,2,20,4,0,21,380,28,1,61,14,8,0,0,0,0,275,56,77,277,81,24,15,6,1,6,6,4,5,0.83,5,0,0,0,0,0,0.00,0,0,0,0,0,0,14,7,7,6,1,5,83.3,1,20,32.3,38,18,6,0,8,22,26,2,472,52,4,3,100.0,3,0,306,0,1,3,320,304,95.0,6,90,100.0,90,6,0,,0,1.00,6,9,-3,-0.50,,6.3,7.4,-1.1,-0.18,,0,5,0,0,0,73,9,2,81.8,Europa-League,19,2019-2020
