Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Patrick van Aanholt,nl NED,DF,tr Galatasaray,31,1990,5,5,434,4.8,0,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.1,0.1,0.4,0.5,0.02,0.07,0.10,0.02,0.10,6,0,0.0,1.24,0.00,0.00,,26.3,0,0.02,-0.1,-0.1,181,239,75.7,3391,1395,65,78,83.3,87,107,81.3,23,35,65.7,+0.6,5,16,2,2,17,180,59,0,34,6,8,4,0,3,0,150,43,46,158,28,3,45,3,2,7,6,8,12,2.49,6,4,1,0,0,1,0.21,1,0,0,0,0,0,15,12,8,7,0,3,30.0,7,20,34.5,36,18,4,1,7,26,6,0,283,17,2,4,50.0,2,0,150,0,6,0,158,144,91.1,9,87,96.4,87,3,0,,0,2.11,7,3,+4,+0.83,+0.83,5.1,7.0,-1.8,-0.38,+1.95,0,1,0,0,0,40,2,0,100.0,Europa-League,19,2021-2022
Liel Abada,il ISR,"FW,MF",sct Celtic,20,2001,4,3,248,2.8,1,1,1,0,0,0,0,0.36,0.36,0.73,0.36,0.73,0.7,0.7,0.5,1.2,0.27,0.17,0.43,0.27,0.43,4,1,25.0,1.45,0.36,0.25,1.00,14.0,0,0.18,+0.3,+0.3,79,110,71.8,1023,302,51,57,89.5,23,35,65.7,2,7,28.6,+0.5,5,2,9,1,10,107,3,0,18,2,10,0,0,0,0,79,19,12,25,82,0,2,1,0,2,10,5,12,4.35,10,0,1,1,0,1,0.36,1,0,0,0,0,0,3,2,2,0,1,1,16.7,5,11,28.2,11,11,17,0,5,6,3,0,145,2,9,10,40.0,6,2,118,0,4,6,150,112,74.7,17,62,55.1,76,1,1,19,0,1.71,4,7,-3,-1.09,-1.09,4.8,5.5,-0.6,-0.23,-1.03,0,5,0,0,0,14,1,8,11.1,Europa-League,19,2021-2022
Pape Abou Cisse,sn SEN,DF,gr Olympiacos,26,1995,4,4,360,4.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,5,1,20.0,1.25,0.25,0.00,0.00,14.3,0,0.04,-0.2,-0.2,176,213,82.6,4616,1843,29,33,87.9,101,111,91.0,46,67,68.7,0.0,0,10,3,1,12,202,11,0,27,13,1,0,0,0,0,146,18,49,76,119,11,0,0,1,5,2,3,1,0.25,1,0,0,0,0,0,0.00,0,0,0,0,0,0,10,4,8,1,1,1,50.0,1,11,39.3,19,4,5,0,2,18,21,0,263,42,4,3,66.7,2,0,149,0,1,4,166,163,98.2,2,90,80.0,90,4,0,,0,2.17,7,4,+3,+0.75,+1.75,5.1,6.7,-1.5,-0.39,-0.63,0,5,0,1,0,40,17,6,73.9,Europa-League,19,2021-2022
Joel Abu Hanna,il ISR,DF,pl Legia Warsaw,23,1998,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.24,0.24,0.00,0.24,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,6,50.0,84,64,0,0,,1,2,50.0,2,4,50.0,0.0,1,1,0,0,1,5,1,0,1,0,0,0,0,0,0,2,0,4,3,1,1,1,0,0,0,1,0,1,6.92,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,33.3,3,0,0,0,2,1,2,0,10,3,0,0,,0,0,3,0,0,0,3,3,100.0,0,13,2.9,,0,1,13,1,3.00,0,0,0,0.00,+1.24,0.8,0.3,+0.4,+2.92,+4.36,0,0,0,0,0,1,1,0,100.0,Europa-League,19,2021-2022
Francesco Acerbi,it ITA,DF,it Lazio,33,1988,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.2,1.6,0.09,0.23,0.32,0.09,0.32,3,2,66.7,0.60,0.40,0.00,0.00,20.3,0,0.15,-0.5,-0.5,308,347,88.8,6888,2137,100,109,91.7,136,144,94.4,69,89,77.5,-1.2,2,21,0,0,12,335,12,1,21,19,0,0,0,0,0,251,24,72,256,64,20,2,0,2,6,5,0,4,0.80,3,0,0,0,0,1,0.20,1,0,0,0,0,0,4,2,2,1,1,1,33.3,2,8,29.6,17,9,1,0,2,9,10,0,378,48,5,0,,0,0,248,1,0,0,290,284,97.9,1,90,100.0,90,5,0,,0,1.60,7,3,+4,+0.80,,9.5,4.2,+5.3,+1.06,,0,5,0,1,0,55,9,2,81.8,Europa-League,19,2021-2022
Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,30,1991,3,3,228,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,2,0,0.0,0.79,0.00,0.00,,12.2,0,0.04,-0.1,-0.1,74,84,88.1,1106,202,36,44,81.8,31,31,100.0,3,4,75.0,-0.1,1,5,0,0,2,81,3,0,9,0,0,0,0,0,0,66,9,9,17,58,6,1,1,1,1,2,1,3,1.18,1,0,0,0,0,0,0.00,0,0,0,0,0,0,3,3,1,2,0,1,20.0,4,15,27.8,21,26,7,0,2,7,1,0,110,4,6,5,60.0,3,0,79,0,1,7,84,74,88.1,10,76,50.7,76,1,0,,0,1.33,3,3,0,0.00,-0.81,2.6,3.0,-0.4,-0.16,-0.32,0,2,0,0,0,16,3,1,75.0,Europa-League,19,2021-2022
Amine Adli,fr FRA,"FW,MF",de Leverkusen,21,2000,5,4,317,3.5,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,1.6,1.6,0.3,2.0,0.47,0.09,0.56,0.47,0.56,12,7,58.3,3.41,1.99,0.08,0.14,16.1,0,0.14,-0.6,-0.6,103,128,80.5,1521,356,60,70,85.7,34,41,82.9,5,8,62.5,-0.3,6,6,2,0,14,126,2,0,29,0,1,0,0,0,0,107,16,5,112,9,6,0,0,0,3,5,8,16,4.54,12,0,0,0,2,2,0.57,1,0,0,0,0,1,4,3,1,0,3,1,33.3,2,29,36.7,16,22,41,0,3,5,1,0,179,2,23,11,27.3,3,0,128,4,10,5,172,136,79.1,30,63,70.4,75,1,1,18,0,2.60,7,3,+4,+1.14,-2.92,5.9,4.6,+1.3,+0.36,-1.44,0,7,0,0,0,27,2,6,25.0,Europa-League,19,2021-2022
David Affengruber,at AUT,DF,at Sturm Graz,20,2001,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,1,0,0.0,0.20,0.00,0.00,,10.0,0,0.03,0.0,0.0,135,187,72.2,2928,1170,39,46,84.8,63,80,78.8,31,57,54.4,0.0,0,3,0,0,11,176,11,0,17,4,0,0,0,0,0,107,23,57,14,139,25,0,0,0,9,2,1,1,0.20,1,0,0,0,0,0,0.00,0,0,0,0,0,0,18,9,12,5,1,7,50.0,7,20,35.1,44,12,1,3,7,25,38,0,264,69,4,0,,0,0,107,0,4,0,117,115,98.3,1,90,100.0,90,5,0,,0,1.00,2,9,-7,-1.40,,2.7,10.8,-8.0,-1.61,,0,1,0,0,0,59,16,11,59.3,Europa-League,19,2021-2022
Ruben Aguilar,fr FRA,DF,fr Monaco,28,1993,4,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,0,0,,0.00,0.00,,,,0,,0.0,0.0,193,225,85.8,3459,1369,91,96,94.8,82,92,89.1,18,31,58.1,-0.1,2,14,0,0,14,187,38,1,19,6,4,4,0,4,0,156,31,38,6,186,4,25,1,1,2,5,5,3,1.00,2,1,0,0,0,0,0.00,0,0,0,0,0,0,13,8,11,2,0,5,62.5,3,20,37.7,34,15,4,0,5,19,6,0,260,14,1,7,85.7,6,0,153,0,2,1,177,160,90.4,5,68,60.0,75,2,1,45,1,2.00,3,2,+1,+0.33,-0.67,3.4,1.9,+1.4,+0.47,+0.14,0,6,0,0,0,24,5,1,83.3,Europa-League,19,2021-2022
Emanuel Aiwum,at AUT,"DF,MF",at Rapid Wien,20,2000,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.01,0.05,0.06,0.01,0.06,2,0,0.0,0.40,0.00,0.00,,26.3,0,0.04,-0.1,-0.1,193,235,82.1,3953,1312,87,98,88.8,76,86,88.4,29,46,63.0,-0.3,2,8,1,0,8,213,22,0,20,10,1,0,0,0,0,165,30,40,26,183,11,14,0,0,8,5,6,3,0.60,3,0,0,0,0,0,0.00,0,0,0,0,0,0,15,11,8,7,0,6,33.3,12,29,27.4,41,58,7,0,8,26,12,0,294,34,2,3,100.0,3,1,181,0,5,2,181,172,95.0,3,90,100.0,90,5,0,,0,0.60,3,9,-6,-1.20,,3.6,9.6,-5.9,-1.19,,0,7,0,0,0,46,2,6,25.0,Europa-League,19,2021-2022
