Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Patrick van Aanholt,nl NED,DF,tr Galatasaray,31,1990,6,6,524,5.8,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,0.4,0.5,0.02,0.07,0.09,0.02,0.09,6,0,0.0,1.03,0.00,0.00,,26.3,0,0.02,-0.1,-0.1,212,282,75.2,3973,1583,74,88,84.1,103,127,81.1,26,44,59.1,+0.6,7,17,2,2,19,210,72,0,36,9,10,6,1,3,0,178,48,56,185,39,3,50,3,2,10,9,8,14,2.40,6,6,1,0,0,1,0.17,1,0,0,0,0,0,15,12,8,7,0,3,30.0,7,22,31.9,41,23,5,1,7,28,6,0,328,20,2,4,50.0,2,0,175,0,7,0,182,168,92.3,9,87,97.0,87,4,0,,0,2.00,7,3,+4,+0.69,+0.69,5.8,7.7,-1.9,-0.32,+2.01,0,3,0,0,0,44,2,0,100.0,Europa-League,19,2021-2022
Liel Abada,il ISR,"FW,MF",sct Celtic,20,2001,5,4,338,3.8,1,2,1,0,0,0,0,0.27,0.53,0.80,0.27,0.80,0.8,0.8,0.6,1.3,0.20,0.15,0.35,0.20,0.35,5,1,20.0,1.33,0.27,0.20,1.00,16.4,1,0.15,+0.2,+0.2,98,134,73.1,1444,529,60,66,90.9,26,39,66.7,9,17,52.9,+1.4,7,4,10,1,14,128,6,0,23,5,12,3,1,2,0,92,22,20,31,100,0,2,1,0,3,10,6,17,4.53,12,2,1,2,0,3,0.80,1,1,0,0,1,0,4,3,2,0,2,2,28.6,5,17,30.4,18,14,24,0,7,9,3,0,184,2,11,14,35.7,7,2,143,0,7,7,187,137,73.3,22,68,62.6,80,2,1,19,0,1.88,7,9,-2,-0.53,-0.53,6.7,8.2,-1.5,-0.41,-1.21,0,6,1,0,0,17,2,9,18.2,Europa-League,19,2021-2022
Pape Abou Cisse,sn SEN,DF,gr Olympiacos,26,1995,5,5,450,5.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,6,1,16.7,1.20,0.20,0.00,0.00,16.8,0,0.04,-0.2,-0.2,217,263,82.5,5572,2197,35,39,89.7,130,142,91.5,52,80,65.0,0.0,0,11,3,1,15,251,12,0,28,16,1,0,0,0,0,183,20,60,92,147,17,0,0,1,8,2,3,1,0.20,1,0,0,0,0,0,0.00,0,0,0,0,0,0,12,5,10,1,1,2,66.7,1,14,38.9,24,7,5,0,2,22,25,0,322,55,4,3,66.7,2,0,188,0,2,4,205,200,97.6,2,90,83.3,90,5,0,,0,1.86,7,5,+2,+0.40,+1.40,5.9,7.8,-1.9,-0.38,-0.63,0,6,0,1,0,49,18,7,72.0,Europa-League,19,2021-2022
Joel Abu Hanna,il ISR,DF,pl Legia Warsaw,24,1998,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.24,0.24,0.00,0.24,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,6,50.0,84,64,0,0,,1,2,50.0,2,4,50.0,0.0,1,1,0,0,1,5,1,0,1,0,0,0,0,0,0,2,0,4,3,1,1,1,0,0,0,1,0,1,6.92,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,33.3,3,0,0,0,2,1,2,0,10,3,0,0,,0,0,3,0,0,0,3,3,100.0,0,13,2.4,,0,1,13,1,3.00,0,0,0,0.00,+1.20,0.8,0.3,+0.4,+2.92,+4.09,0,0,0,0,0,1,1,0,100.0,Europa-League,19,2021-2022
Francesco Acerbi,it ITA,DF,it Lazio,33,1988,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.2,1.6,0.08,0.19,0.27,0.08,0.27,3,2,66.7,0.50,0.33,0.00,0.00,20.3,0,0.15,-0.5,-0.5,405,452,89.6,9267,2800,124,136,91.2,183,193,94.8,95,118,80.5,-1.2,2,30,1,0,23,438,14,1,28,25,0,0,0,0,0,322,31,99,329,86,26,2,0,2,6,5,0,6,1.00,5,0,0,0,0,1,0.17,1,0,0,0,0,0,5,2,2,2,1,1,33.3,2,9,28.1,21,10,1,0,3,10,14,0,491,57,6,0,,0,0,325,1,0,0,375,369,98.4,1,90,100.0,90,6,0,,0,1.50,7,3,+4,+0.67,,10.2,4.8,+5.3,+0.89,,0,5,0,1,0,75,13,3,81.3,Europa-League,19,2021-2022
Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,30,1991,4,4,298,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,3,0,0.0,0.91,0.00,0.00,,11.6,0,0.04,-0.1,-0.1,105,121,86.8,1543,284,56,67,83.6,39,41,95.1,5,7,71.4,-0.1,2,8,1,0,3,117,4,0,15,0,0,0,0,0,0,97,12,12,23,86,6,1,1,1,2,4,1,4,1.21,2,0,0,0,0,0,0.00,0,0,0,0,0,0,7,5,2,3,2,2,33.3,4,21,30.0,29,32,9,0,6,13,5,0,165,9,9,5,60.0,3,0,108,0,2,9,118,107,90.7,13,75,55.2,75,1,0,,0,1.75,4,3,+1,+0.30,-0.44,3.1,3.3,-0.1,-0.03,-0.22,0,2,0,0,0,22,6,2,75.0,Europa-League,19,2021-2022
Amine Adli,fr FRA,"FW,MF",de Leverkusen,21,2000,6,4,327,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,1.6,1.6,0.3,2.0,0.45,0.09,0.54,0.45,0.54,12,7,58.3,3.30,1.93,0.08,0.14,16.1,0,0.14,-0.6,-0.6,105,131,80.2,1537,356,62,72,86.1,34,42,81.0,5,8,62.5,-0.3,6,6,2,0,14,128,3,0,29,0,2,0,0,0,0,111,15,5,115,9,6,0,0,0,3,6,8,16,4.40,12,0,0,0,2,2,0.55,1,0,0,0,0,1,4,3,1,0,3,1,33.3,2,32,38.6,17,24,42,0,3,5,1,0,183,2,23,11,27.3,3,0,131,4,10,5,176,139,79.0,30,55,60.6,75,1,2,14,0,2.17,7,4,+3,+0.83,-1.71,6.0,5.0,+1.0,+0.28,-1.22,0,7,0,0,0,26,2,6,25.0,Europa-League,19,2021-2022
David Affengruber,at AUT,DF,at Sturm Graz,20,2001,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.17,0.00,0.00,,10.0,0,0.03,0.0,0.0,152,216,70.4,3324,1365,44,51,86.3,71,91,78.0,35,68,51.5,0.0,0,5,0,0,13,203,13,0,24,5,0,0,0,0,0,116,29,71,15,159,27,1,0,0,10,2,3,1,0.17,1,0,0,0,0,0,0.00,0,0,0,0,0,0,19,9,12,6,1,8,53.3,7,20,33.9,46,12,1,3,8,28,39,0,300,73,4,1,100.0,1,0,120,0,4,0,130,128,98.5,1,90,100.0,90,6,0,,0,1.00,3,10,-7,-1.17,,4.7,12.1,-7.5,-1.24,,0,5,0,0,0,71,21,16,56.8,Europa-League,19,2021-2022
Ruben Aguilar,fr FRA,DF,fr Monaco,28,1993,5,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,0,0,,0.00,0.00,,,,0,,0.0,0.0,250,296,84.5,4558,1819,113,119,95.0,107,122,87.7,25,43,58.1,-0.1,3,20,3,0,22,241,55,1,23,9,4,4,0,4,0,193,46,57,6,239,8,38,1,1,3,6,8,4,1.00,3,1,0,0,0,0,0.00,0,0,0,0,0,0,15,8,11,3,1,6,46.2,7,24,35.3,44,18,6,0,7,23,10,0,345,19,2,7,85.7,6,0,193,0,4,1,224,205,91.5,6,72,66.7,79,3,1,45,1,1.80,4,3,+1,+0.25,-0.75,4.7,3.9,+0.8,+0.20,-0.12,0,7,0,0,0,35,7,2,77.8,Europa-League,19,2021-2022
Emanuel Aiwum,at AUT,"DF,MF",at Rapid Wien,21,2000,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.01,0.04,0.05,0.01,0.05,2,0,0.0,0.33,0.00,0.00,,26.3,0,0.04,-0.1,-0.1,218,267,81.6,4456,1496,93,105,88.6,94,107,87.9,30,49,61.2,-0.3,2,8,1,0,8,245,22,0,22,10,1,0,0,0,0,188,33,46,32,208,11,14,0,0,9,6,7,3,0.50,3,0,0,0,0,0,0.00,0,0,0,0,0,0,16,12,9,7,0,7,36.8,12,32,27.8,46,62,7,0,9,31,17,0,340,45,2,4,100.0,4,1,210,0,6,3,201,192,95.5,3,90,100.0,90,6,0,,0,1.00,4,9,-5,-0.83,,4.1,10.7,-6.6,-1.10,,0,8,0,0,0,60,4,9,30.8,Europa-League,19,2021-2022
