Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,4,6,66.7,121,98,1,1,100.0,1,1,100.0,2,4,50.0,0.0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,3,2,2,0,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,7,4,0,0,,0,0,2,0,0,0,1,1,100.0,0,25,0.7,,0,1,25,37,0.00,0,0,0,0.00,-0.64,0.5,0.1,+0.4,+1.48,+0.91,0,0,0,0,0,4,0,0,,La-Liga,12,2019-2020
Aritz Aduriz,es ESP,FW,Athletic Club,38,1981,14,0,208,2.3,1,0,1,0,1,3,0,0.43,0.00,0.43,0.43,0.43,1.3,0.6,0.0,0.6,0.58,0.00,0.58,0.25,0.25,6,3,50.0,2.60,1.30,0.17,0.33,13.9,0,0.10,-0.3,+0.4,33,57,57.9,428,88,26,34,76.5,6,16,37.5,1,6,16.7,0.0,0,3,0,0,3,57,0,0,22,2,1,0,0,0,0,21,16,20,3,26,8,0,3,0,5,0,1,2,0.87,1,0,1,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,0,,0,4,25.0,4,5,7,0,0,1,3,0,82,2,11,2,100.0,2,0,33,0,4,2,117,64,54.7,22,15,6.1,,0,14,15,3,1.29,2,1,+1,+0.43,+0.38,2.8,2.3,+0.5,+0.21,+0.44,0,7,0,0,0,7,20,6,76.9,La-Liga,12,2019-2020
Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,23,20,1805,20.1,1,0,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,0.3,0.3,1.9,2.3,0.02,0.10,0.11,0.02,0.11,14,2,14.3,0.70,0.10,0.07,0.50,29.9,0,0.02,+0.7,+0.7,709,969,73.2,12417,6167,327,373,87.7,304,410,74.1,67,137,48.9,-1.9,16,47,21,12,70,747,222,1,164,24,54,0,0,0,0,497,248,224,646,63,42,211,2,7,37,18,45,33,1.65,23,4,2,3,0,0,0.00,0,0,0,0,0,0,35,23,24,9,2,18,51.4,17,66,29.3,129,70,26,0,36,46,62,0,1182,82,14,45,57.8,30,0,701,5,22,18,665,599,90.1,22,78,52.8,83,14,3,49,3,1.04,24,33,-9,-0.45,+0.44,22.8,27.5,-4.7,-0.23,+0.70,1,13,0,0,0,205,14,15,48.3,La-Liga,12,2019-2020
Martin Agirregabiria,es ESP,DF,Alavés,23,1996,31,23,2099,23.3,1,1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,0.9,0.9,1.0,1.9,0.04,0.04,0.08,0.04,0.08,3,1,33.3,0.13,0.04,0.33,1.00,24.3,0,0.30,+0.1,+0.1,722,1014,71.2,12629,6069,329,385,85.5,314,408,77.0,70,172,40.7,0.0,12,36,14,5,60,765,249,1,161,22,30,2,0,1,0,484,234,296,39,661,61,238,3,3,31,17,44,23,0.99,18,1,2,2,0,3,0.13,3,0,0,0,0,0,50,22,24,21,5,25,50.0,25,60,24.2,118,106,24,0,31,59,68,1,1231,83,9,26,53.8,16,3,636,2,20,17,677,608,89.8,21,68,61.4,84,16,8,22,5,1.00,20,38,-18,-0.77,-0.29,21.8,37.0,-15.2,-0.65,-0.58,0,32,0,1,0,207,23,20,53.5,La-Liga,12,2019-2020
Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,32,27,2502,27.8,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.8,0.8,0.8,1.7,0.03,0.03,0.06,0.03,0.06,10,1,10.0,0.36,0.04,0.00,0.00,10.2,0,0.08,-0.8,-0.8,1073,1223,87.7,23979,6722,233,262,88.9,615,659,93.3,219,279,78.5,+0.2,2,61,2,0,62,1177,46,1,169,32,1,0,0,0,0,954,105,164,232,904,52,8,3,0,14,6,18,13,0.47,9,1,1,0,0,2,0.07,2,0,0,0,0,0,40,26,28,11,1,8,28.6,20,108,35.5,218,79,7,0,26,73,162,1,1518,213,11,15,73.3,12,0,962,0,5,8,954,934,97.9,10,78,73.2,89,25,5,20,5,0.97,24,34,-10,-0.36,-0.16,28.7,29.8,-1.1,-0.04,+0.26,0,17,0,2,0,248,59,50,54.1,La-Liga,12,2019-2020
Jordi Alba,es ESP,DF,Barcelona,30,1989,27,25,2187,24.3,2,5,2,0,0,7,0,0.08,0.21,0.29,0.08,0.29,1.1,1.1,3.3,4.3,0.04,0.14,0.18,0.04,0.18,7,3,42.9,0.29,0.12,0.29,0.67,16.0,0,0.15,+0.9,+0.9,1864,2141,87.1,30213,9511,976,1055,92.5,713,797,89.5,140,203,69.0,+1.7,28,126,38,18,141,1940,201,1,173,31,79,2,0,0,0,1526,365,250,1651,269,43,169,4,5,20,30,66,45,1.85,44,1,0,0,0,5,0.21,5,0,0,0,0,0,25,14,10,9,6,8,26.7,22,68,29.4,89,95,47,0,35,50,42,1,2322,76,65,19,52.6,12,2,1617,10,10,7,1907,1762,92.4,109,81,63.9,86,21,2,23,2,2.04,53,23,+30,+1.23,-0.08,41.6,22.8,+18.8,+0.78,-0.05,0,18,0,0,1,211,10,14,41.7,La-Liga,12,2019-2020
Raúl Albiol,es ESP,DF,Villarreal,33,1985,36,36,3237,36.0,1,0,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,1.4,1.4,0.4,1.7,0.04,0.01,0.05,0.04,0.05,14,4,28.6,0.39,0.11,0.07,0.25,10.5,0,0.10,-0.4,-0.4,1619,1882,86.0,41783,12195,283,313,90.4,815,882,92.4,515,671,76.8,-0.4,5,96,5,1,78,1830,52,1,197,120,4,0,0,0,0,1285,223,374,209,1521,97,3,6,4,47,15,10,16,0.44,16,0,0,0,0,1,0.03,1,0,0,0,0,0,50,33,31,18,1,18,54.5,15,85,30.6,172,102,4,0,19,67,254,4,2261,403,21,3,100.0,3,0,1325,1,1,1,1509,1492,98.9,11,90,94.6,90,35,0,,1,1.67,61,44,+17,+0.47,+1.95,55.3,40.9,+14.4,+0.40,+1.36,0,30,0,2,0,338,78,41,65.5,La-Liga,12,2019-2020
Paco Alcácer,es ESP,FW,Villarreal,25,1993,13,11,924,10.3,4,1,4,0,0,1,0,0.39,0.10,0.49,0.39,0.49,3.2,3.2,1.6,4.7,0.31,0.15,0.46,0.31,0.46,25,8,32.0,2.44,0.78,0.16,0.50,16.3,1,0.13,+0.8,+0.8,181,230,78.7,2575,372,112,133,84.2,54,66,81.8,9,17,52.9,-0.6,9,6,6,0,9,206,24,2,42,0,3,1,0,0,0,143,54,33,39,170,11,1,6,1,3,2,6,16,1.56,14,0,0,1,0,3,0.29,2,0,0,0,1,0,4,2,2,2,0,1,8.3,11,43,29.5,18,67,61,0,8,6,9,0,316,9,46,8,50.0,4,1,171,7,17,7,389,221,56.8,88,71,27.0,77,3,2,36,1,1.77,14,13,+1,+0.10,-0.37,13.1,10.8,+2.3,+0.22,-0.14,0,4,1,0,0,40,8,18,30.8,La-Liga,12,2019-2020
Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,27,20,1927,21.4,2,2,2,0,0,10,0,0.09,0.09,0.19,0.09,0.19,1.6,1.6,0.8,2.5,0.08,0.04,0.11,0.08,0.11,33,8,24.2,1.54,0.37,0.06,0.25,25.7,9,0.05,+0.4,+0.4,831,1059,78.5,19154,4979,254,295,86.1,380,425,89.4,186,300,62.0,+1.2,14,95,4,1,72,951,108,2,202,93,12,19,7,5,0,613,172,274,136,837,50,4,6,2,35,16,23,44,2.06,24,6,5,5,0,4,0.19,4,0,0,0,0,0,59,36,34,20,5,23,37.7,38,130,29.3,184,232,28,0,37,75,68,0,1330,77,15,29,72.4,21,1,828,2,14,14,811,743,91.6,24,71,56.3,85,16,7,33,3,1.15,17,25,-8,-0.37,-0.19,19.2,25.2,-6.0,-0.28,+0.01,0,37,0,2,0,283,43,43,50.0,La-Liga,12,2019-2020
Álex Alegría,es ESP,"FW,MF",Mallorca,26,1992,6,0,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,23,35,65.7,329,41,14,23,60.9,4,5,80.0,3,4,75.0,0.0,0,1,0,0,0,35,0,0,14,1,0,0,0,0,0,13,10,12,2,18,5,0,1,1,0,1,0,1,0.83,0,0,0,1,0,0,0.00,0,0,0,0,0,0,1,0,0,1,0,0,,0,6,28.6,1,8,12,0,1,2,0,0,49,0,4,2,50.0,1,0,21,0,5,2,68,40,58.8,12,18,3.2,,0,6,18,1,0.67,2,2,0,0.00,+0.68,1.4,2.1,-0.7,-0.58,-0.01,0,5,0,0,0,5,11,9,55.0,La-Liga,12,2019-2020
