Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Yunis Abdelhamid,ma MAR,DF,Reims,34,1987,13,13,1170,13.0,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.2,0.6,0.04,0.01,0.05,0.04,0.05,9,3,33.3,0.69,0.23,0.11,0.33,18.1,0,0.05,+0.5,+0.5,510,611,83.5,11339,3797,131,147,89.1,292,324,90.1,86,126,68.3,-0.2,4,27,3,0,35,566,45,0,70,25,1,0,0,0,0,448,56,107,401,166,17,8,2,0,11,14,11,7,0.54,7,0,0,0,0,0,0.00,0,0,0,0,0,0,21,18,15,5,1,5,62.5,3,64,39.0,101,56,7,0,13,67,41,0,748,90,16,12,58.3,7,0,476,0,3,5,490,476,97.1,7,90,100.0,90,13,0,,0,0.92,14,17,-3,-0.23,,11.4,13.6,-2.2,-0.17,,0,14,0,0,0,85,31,21,59.6,Ligue-1,13,2021-2022
Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,12,11,996,11.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.06,0.06,0.01,0.06,2,0,0.0,0.18,0.00,0.00,,23.5,0,0.03,-0.1,-0.1,743,782,95.0,14514,2441,268,282,95.0,364,375,97.1,103,113,91.2,-0.6,4,30,3,0,26,775,7,0,93,13,1,0,0,0,0,696,52,34,65,689,16,0,4,0,4,10,5,7,0.63,5,0,0,1,1,0,0.00,0,0,0,0,0,0,29,18,14,13,2,8,29.6,19,76,33.2,85,121,23,0,12,50,9,0,885,38,4,11,72.7,8,0,699,1,4,15,742,704,94.9,10,83,85.1,88,10,1,31,0,1.00,13,20,-7,-0.63,+0.92,13.4,15.0,-1.6,-0.14,+0.67,0,21,0,0,0,78,9,8,52.9,Ligue-1,13,2021-2022
Laurent Abergel,fr FRA,MF,Lorient,28,1993,12,12,1080,12.0,0,1,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,1.4,1.4,1.5,2.9,0.12,0.12,0.24,0.12,0.24,12,4,33.3,1.00,0.33,0.00,0.00,20.3,0,0.12,-1.4,-1.4,448,560,80.0,8697,2156,185,206,89.8,193,221,87.3,66,103,64.1,-0.5,9,34,7,3,45,555,5,3,123,19,6,0,0,0,0,429,65,66,49,502,6,0,0,3,6,18,26,20,1.67,14,1,0,3,2,2,0.17,1,0,0,0,1,0,44,28,24,17,3,22,42.3,30,105,33.2,118,172,26,0,18,70,4,0,694,8,6,26,69.2,18,2,525,2,8,18,509,474,93.1,25,90,92.3,90,12,0,,0,1.17,12,19,-7,-0.58,-0.58,14.9,21.7,-6.8,-0.57,-0.12,0,17,0,0,0,119,3,5,37.5,Ligue-1,13,2021-2022
Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0.0,0,0,0,0,0,6,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,7.1,0,11,3,0,1,0,0,0,12,0,3,0,,0,0,9,0,4,0,12,8,66.7,2,45,3.8,45,0,0,,0,1.00,0,0,0,0.00,+1.04,0.7,0.9,-0.2,-0.31,-0.02,0,1,0,0,0,2,1,0,100.0,Ligue-1,13,2021-2022
Matthis Abline,fr FRA,FW,Rennes,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,2,0,0.0,1.75,0.00,0.00,,8.6,0,0.17,-0.3,-0.3,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,,0.0,1,1,1,0,1,10,0,0,4,0,1,0,0,0,0,9,1,0,3,7,0,0,0,0,0,1,0,1,0.87,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,4,15.4,4,14,8,0,2,1,1,0,25,2,3,2,50.0,1,0,18,0,2,5,39,13,33.3,8,15,8.8,45,0,6,10,3,1.14,0,1,-1,-0.87,-1.80,0.8,1.7,-0.9,-0.76,-1.21,0,2,0,0,0,7,0,2,0.0,Ligue-1,13,2021-2022
Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,13,9,834,9.3,1,3,1,0,0,1,0,0.11,0.32,0.43,0.11,0.43,1.1,1.1,3.1,4.2,0.12,0.33,0.45,0.12,0.45,11,5,45.5,1.19,0.54,0.09,0.20,20.9,3,0.10,-0.1,-0.1,360,478,75.3,7656,2190,142,157,90.4,137,163,84.0,75,140,53.6,-0.1,28,39,11,2,47,416,62,1,76,45,15,31,17,4,2,303,52,123,57,403,9,5,0,3,14,14,15,43,4.64,29,11,0,3,0,4,0.43,4,0,0,0,0,0,12,9,7,5,0,1,5.0,19,50,26.3,43,102,45,0,8,29,7,0,590,13,17,30,56.7,18,2,409,2,14,29,460,406,88.3,35,64,71.3,80,3,4,30,0,0.92,13,15,-2,-0.22,+1.66,9.9,14.2,-4.2,-0.46,+1.27,0,7,0,0,0,69,6,9,40.0,Ligue-1,13,2021-2022
Lucien Agoume,fr FRA,MF,Brest,19,2002,7,5,449,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.4,0.06,0.03,0.09,0.06,0.09,2,0,0.0,0.40,0.00,0.00,,10.5,0,0.14,-0.3,-0.3,214,239,89.5,4392,914,73,79,92.4,92,101,91.1,47,53,88.7,-0.2,4,13,5,0,17,233,6,0,43,12,0,1,0,0,1,183,30,26,22,202,10,0,2,0,1,3,4,6,1.20,6,0,0,0,0,0,0.00,0,0,0,0,0,0,9,6,5,2,2,4,66.7,2,17,23.6,29,29,14,0,4,17,8,0,288,15,7,10,40.0,5,2,204,1,3,6,214,206,96.3,8,64,38.4,77,1,2,33,1,0.86,5,9,-4,-0.80,-0.68,6.3,7.6,-1.2,-0.24,-0.02,0,8,0,0,0,38,3,8,27.3,Ligue-1,13,2021-2022
Nayef Aguerd,ma MAR,DF,Rennes,25,1996,13,13,1170,13.0,2,0,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,1.2,1.2,0.0,1.2,0.09,0.00,0.09,0.09,0.09,11,4,36.4,0.85,0.31,0.18,0.50,7.5,0,0.11,+0.8,+0.8,848,921,92.1,18935,5916,204,212,96.2,463,478,96.9,175,220,79.5,0.0,0,35,0,0,31,894,27,0,58,31,1,0,0,0,0,794,39,88,791,88,20,4,2,1,6,14,5,4,0.31,4,0,0,0,0,1,0.08,1,0,0,0,0,0,9,4,7,2,0,2,25.0,6,27,34.6,44,31,3,0,5,29,76,1,1057,142,15,3,100.0,3,0,762,0,1,5,825,811,98.3,0,90,100.0,90,13,0,,0,1.69,22,12,+10,+0.77,,20.0,15.6,+4.4,+0.34,,0,7,0,1,0,86,48,19,71.6,Ligue-1,13,2021-2022
Ruben Aguilar,fr FRA,DF,Monaco,28,1993,12,9,896,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.00,0.02,0.03,0.00,0.03,2,1,50.0,0.20,0.10,0.00,0.00,23.6,0,0.02,0.0,0.0,649,745,87.1,11720,3949,289,315,91.7,299,329,90.9,56,89,62.9,-0.2,4,55,9,3,53,617,128,0,62,15,21,1,0,1,0,489,160,96,10,592,18,114,4,3,12,20,11,4,0.45,4,0,0,0,0,0,0.00,0,0,0,0,0,0,44,23,19,19,6,25,67.6,12,61,36.5,80,68,19,0,12,68,31,0,867,33,8,7,57.1,5,0,517,1,6,5,558,533,95.5,13,75,71.1,89,8,3,31,2,1.50,14,11,+3,+0.30,+0.80,11.1,7.9,+3.2,+0.36,+0.56,0,15,0,0,1,82,14,12,53.8,Ligue-1,13,2021-2022
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,10,5,399,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.05,0.06,0.02,0.06,4,0,0.0,0.90,0.00,0.00,,24.6,0,0.02,-0.1,-0.1,157,183,85.8,2736,363,62,66,93.9,75,83,90.4,17,29,58.6,-0.2,1,6,1,0,8,175,8,0,15,0,1,0,0,0,0,151,18,14,135,42,4,0,0,0,1,4,3,2,0.45,2,0,0,0,0,0,0.00,0,0,0,0,0,0,7,4,4,3,0,4,57.1,3,13,15.7,31,47,5,0,3,18,10,0,230,10,0,6,33.3,3,1,152,0,5,4,160,148,92.5,7,40,34.1,62,0,5,18,0,1.30,7,8,-1,-0.23,-1.04,5.5,6.7,-1.2,-0.28,-0.39,0,11,0,0,0,40,4,2,66.7,Ligue-1,13,2021-2022
