Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Yunis Abdelhamid,ma MAR,DF,Reims,34,1987,21,21,1890,21.0,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,1.0,1.0,0.2,1.2,0.05,0.01,0.06,0.05,0.06,14,4,28.6,0.67,0.19,0.07,0.25,19.1,0,0.07,0.0,0.0,794,970,81.9,17164,5942,218,247,88.3,450,506,88.9,122,187,65.2,-0.2,6,44,4,0,48,904,66,0,108,37,1,0,0,0,0,719,82,169,643,256,34,10,2,2,20,28,21,13,0.62,9,0,1,0,2,0,0.00,0,0,0,0,0,0,38,29,28,9,1,9,60.0,6,109,36.8,169,111,16,1,26,111,69,0,1201,163,24,16,68.8,11,1,746,0,11,8,756,738,97.6,9,90,95.5,90,21,0,,0,1.00,20,27,-7,-0.33,-2.33,18.3,26.7,-8.4,-0.40,-2.51,0,29,0,0,0,157,46,31,59.7,Ligue-1,13,2021-2022
Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,20,19,1640,18.2,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.3,0.03,0.04,0.07,0.03,0.07,8,3,37.5,0.44,0.16,0.00,0.00,19.6,0,0.06,-0.5,-0.5,1109,1200,92.4,21067,3522,417,445,93.7,536,565,94.9,142,164,86.6,-0.8,8,46,5,0,43,1188,12,0,152,18,4,0,0,0,0,1043,84,73,94,1052,34,1,6,2,14,24,14,20,1.10,15,0,0,2,2,0,0.00,0,0,0,0,0,0,41,25,20,19,2,12,30.0,28,121,31.8,130,206,45,0,19,78,12,0,1367,51,9,27,70.4,20,1,1061,3,7,28,1144,1070,93.5,31,82,82.8,85,14,1,31,0,0.95,17,30,-13,-0.71,+0.35,19.2,24.3,-5.1,-0.28,-0.08,1,31,0,0,0,144,14,16,46.7,Ligue-1,13,2021-2022
Laurent Abergel,fr FRA,MF,Lorient,28,1993,21,21,1826,20.3,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,1.7,1.7,1.7,3.4,0.08,0.08,0.17,0.08,0.17,19,4,21.1,0.94,0.20,0.00,0.00,21.6,0,0.09,-1.7,-1.7,836,1020,82.0,16239,4156,331,371,89.2,361,407,88.7,134,197,68.0,-0.7,14,78,13,6,79,1006,14,3,191,32,15,0,0,0,0,787,103,130,84,911,13,3,1,5,13,29,39,32,1.58,24,1,0,4,3,2,0.10,1,0,0,0,1,0,69,40,31,32,6,33,36.3,58,161,30.0,192,288,56,0,29,119,9,0,1250,17,9,45,64.4,31,3,948,2,13,31,935,882,94.3,37,87,92.2,87,19,0,,0,0.76,15,34,-19,-0.94,-0.35,22.5,31.4,-9.0,-0.44,-0.79,0,28,0,0,0,186,8,7,53.3,Ligue-1,13,2021-2022
Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0.0,0,0,0,0,0,6,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,7.1,0,11,3,0,1,0,0,0,12,0,3,0,,0,0,9,0,4,0,12,8,66.7,2,45,2.3,45,0,0,,0,1.00,0,0,0,0.00,+1.12,0.7,0.9,-0.2,-0.31,+0.25,0,1,0,0,0,2,1,0,100.0,Ligue-1,13,2021-2022
Matthis Abline,fr FRA,FW,Rennes,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,2,0,0.0,1.75,0.00,0.00,,8.6,0,0.17,-0.3,-0.3,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,,0.0,1,1,1,0,1,10,0,0,4,0,1,0,0,0,0,9,1,0,3,7,0,0,0,0,0,1,0,1,0.87,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,4,15.4,4,14,8,0,2,1,1,0,25,2,3,2,50.0,1,0,18,0,2,5,39,13,33.3,8,15,5.2,45,0,6,10,9,1.14,0,1,-1,-0.87,-1.88,0.8,1.7,-0.9,-0.76,-1.40,0,2,0,0,0,7,0,2,0.0,Ligue-1,13,2021-2022
Martin Adeline,fr FRA,"FW,MF",Reims,18,2003,4,2,215,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.8,0.18,0.14,0.32,0.18,0.32,3,1,33.3,1.26,0.42,0.00,0.00,11.2,0,0.14,-0.4,-0.4,66,93,71.0,1134,311,27,32,84.4,26,35,74.3,7,13,53.8,-0.3,1,6,2,0,8,88,5,0,28,1,1,4,0,4,0,71,7,15,18,71,2,0,0,0,7,6,4,3,1.26,2,0,1,0,0,0,0.00,0,0,0,0,0,0,9,7,5,3,1,3,37.5,5,13,25.5,20,22,9,0,2,19,4,0,122,4,4,3,100.0,3,1,77,0,4,1,79,66,83.5,8,54,10.9,76,1,2,32,0,0.50,1,5,-4,-1.67,-1.62,1.6,4.9,-3.3,-1.38,-1.22,0,9,0,0,0,23,2,3,40.0,Ligue-1,13,2021-2022
Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,22,17,1503,16.7,1,6,1,0,0,4,0,0.06,0.36,0.42,0.06,0.42,1.3,1.3,4.0,5.3,0.08,0.24,0.32,0.08,0.32,18,8,44.4,1.08,0.48,0.06,0.13,21.6,4,0.07,-0.3,-0.3,626,832,75.2,13246,4235,249,289,86.2,239,287,83.3,130,229,56.8,+2.0,40,79,22,3,100,747,85,2,128,64,22,43,27,6,1,550,95,187,92,704,14,8,3,5,21,35,23,72,4.31,50,13,1,6,1,11,0.66,10,0,0,0,1,0,25,20,13,9,3,6,18.2,27,98,28.7,79,178,84,0,19,60,9,0,1040,19,28,57,52.6,34,3,744,4,32,43,863,740,85.7,57,68,75.9,80,7,5,28,0,0.91,29,40,-11,-0.66,+0.85,19.6,30.9,-11.3,-0.68,+0.66,0,14,0,0,0,106,13,16,44.8,Ligue-1,13,2021-2022
Lucien Agoume,fr FRA,MF,Brest,19,2002,16,13,1126,12.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.06,0.02,0.08,0.06,0.08,10,1,10.0,0.80,0.08,0.00,0.00,11.8,0,0.07,-0.7,-0.7,499,570,87.5,9350,2314,202,224,90.2,205,227,90.3,75,90,83.3,-0.3,8,29,9,0,42,554,16,0,86,21,1,1,0,0,1,437,59,74,66,464,23,0,3,1,4,15,11,21,1.68,15,1,0,1,0,1,0.08,1,0,0,0,0,0,37,25,17,15,5,10,55.6,8,64,28.8,75,113,34,0,11,68,21,0,699,40,21,22,68.2,16,2,459,2,4,14,478,444,92.9,16,70,56.9,80,7,3,28,1,1.38,15,19,-4,-0.32,-0.21,17.4,18.4,-1.0,-0.08,+0.30,0,22,0,0,0,109,16,20,44.4,Ligue-1,13,2021-2022
Nayef Aguerd,ma MAR,DF,Rennes,25,1996,18,18,1610,17.9,2,1,2,0,0,1,0,0.11,0.06,0.17,0.11,0.17,1.4,1.4,0.3,1.7,0.08,0.01,0.09,0.08,0.09,17,5,29.4,0.95,0.28,0.12,0.40,8.2,0,0.08,+0.6,+0.6,1183,1300,91.0,26656,8900,291,308,94.5,630,656,96.0,254,323,78.6,+0.7,1,66,2,0,51,1263,37,1,92,51,2,0,0,0,0,1094,59,147,1113,114,38,5,2,1,15,22,7,6,0.34,5,0,0,0,0,2,0.11,2,0,0,0,0,0,16,8,11,5,0,3,30.0,7,37,36.6,55,42,4,0,9,43,95,1,1482,176,23,4,75.0,3,0,1050,0,3,4,1142,1123,98.3,2,89,81.3,89,17,0,,0,1.72,32,16,+16,+0.89,-0.08,28.7,19.4,+9.2,+0.52,-0.23,0,9,0,1,0,139,69,21,76.7,Ligue-1,13,2021-2022
Ruben Aguilar,fr FRA,DF,Monaco,28,1993,17,12,1238,13.8,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.4,0.4,0.00,0.03,0.03,0.00,0.03,3,1,33.3,0.22,0.07,0.00,0.00,24.2,0,0.02,-0.1,-0.1,943,1095,86.1,16755,5852,422,457,92.3,438,488,89.8,75,126,59.5,+0.6,7,79,18,5,85,911,184,0,99,19,28,1,0,1,0,725,220,150,14,872,29,159,8,3,14,35,20,12,0.87,10,0,0,1,1,1,0.07,1,0,0,0,0,0,54,29,27,20,7,30,61.2,19,82,36.3,109,85,32,0,17,89,44,0,1271,44,12,11,54.5,8,0,751,2,10,6,827,782,94.6,26,73,62.5,89,11,5,33,4,1.53,21,15,+6,+0.44,+0.07,20.2,13.6,+6.6,+0.48,+0.30,0,18,0,0,1,130,23,18,56.1,Ligue-1,13,2021-2022
