Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Rayane Aabid,fr FRA,MF,Paris FC,25,1992,2,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,27,1.5,,0,2,,3,2.00,0,0,0,0.00,-0.27,0,0,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Yunis Abdelhamid,ma MAR,DF,Reims,29,1987,35,35,3150,35.0,4,0,4,0,0,5,0,0.11,0.00,0.11,0.11,0.11,0,6,,0.00,0.17,,0.67,,90,92.1,,35,0,,0,2.43,71,21,+50,+1.43,+1.43,0,43,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Laurent Abergel,fr FRA,"MF,DF",Nancy,24,1993,31,30,2681,29.8,1,3,1,0,0,7,0,0.03,0.10,0.13,0.03,0.13,0,4,,0.00,0.13,,0.25,,86,78.4,,27,1,,1,0.84,27,44,-17,-0.57,-0.81,0,45,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Jordan Adéoti,bj BEN,MF,Auxerre,28,1989,34,33,2834,31.5,3,3,3,0,0,6,0,0.10,0.10,0.19,0.10,0.19,0,7,,0.00,0.22,,0.43,,83,82.9,,26,1,,0,1.26,45,46,-1,-0.03,+0.43,0,45,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Laurent Agouazi,dz ALG,MF,Niort,33,1984,28,28,2251,25.0,2,1,2,0,0,9,4,0.08,0.04,0.12,0.08,0.12,0,5,,0.00,0.20,,0.40,,80,65.8,,14,0,,0,1.14,29,32,-3,-0.12,+0.65,2,39,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Ludovic Ajorque,re REU,FW,Clermont Foot,23,1994,37,36,3121,34.7,14,3,14,0,1,8,0,0.40,0.09,0.49,0.40,0.49,0,36,,0.00,1.04,,0.39,,84,91.3,,24,1,,0,1.68,50,30,+20,+0.58,+1.18,0,76,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Ogou Akichi,ci CIV,MF,Paris FC,27,1990,37,36,3230,35.9,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,0,3,,0.00,0.08,,0.00,,87,94.4,,34,1,,0,1.57,40,34,+6,+0.17,-1.73,0,42,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Sofiane Alakouch,ma MAR,DF,Nîmes,19,1998,30,27,2381,26.5,0,3,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0,6,,0.00,0.23,,0.00,,79,69.6,,20,3,,3,1.83,46,29,+17,+0.64,-1.18,0,26,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Saifeddine Alami,ma MAR,"MF,FW",Paris FC,24,1992,26,19,1469,16.3,4,6,2,2,2,3,0,0.25,0.37,0.61,0.12,0.49,0,14,,0.00,0.86,,0.14,,57,43.0,,0,7,,5,1.69,20,8,+12,+0.74,+0.83,0,41,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Josué Albert,gf GUF,DF,Quevilly-Rouen,25,1992,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,36.8,,14,0,,2,1.21,22,25,-3,-0.21,+0.54,0,6,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
