Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ismael Aaneba,fr FRA,DF,Sochaux,22,1999,16,16,1439,16.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,0.13,0.00,0.00,,,90,99.9,90,15,0,,0,1.75,15,12,+3,+0.19,+0.19,0,6,10,0,2,37,15,,,0,Ligue-2,60,2021-2022
Abdel Abdallah,km COM,"DF,MF",Grenoble,24,1997,12,7,670,7.4,1,2,1,0,0,1,0,0.13,0.27,0.40,0.13,0.40,5,1,20.0,0.67,0.13,0.20,1.00,,56,46.5,86,4,5,13,3,1.17,7,9,-2,-0.27,-0.03,0,12,12,1,26,17,3,,,0,Ligue-2,60,2021-2022
Himad Abdelli,fr FRA,MF,Le Havre,22,1999,4,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,15,4.0,,0,4,15,4,1.25,0,1,-1,-1.55,-2.01,0,4,5,0,0,1,0,,,0,Ligue-2,60,2021-2022
Ali Abdi,tn TUN,"DF,MF",Caen,27,1993,12,12,1013,11.3,0,3,0,0,0,4,1,0.00,0.27,0.27,0.00,0.27,11,6,54.5,0.98,0.53,0.00,0.00,,84,70.3,84,8,0,,1,0.92,9,14,-5,-0.44,-1.29,1,16,12,1,30,27,13,,,1,Ligue-2,60,2021-2022
Aly Abeid,mr MTN,"DF,MF",Valenciennes,23,1997,9,7,555,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,0.32,0.00,0.00,,,62,38.5,76,4,2,11,4,1.44,6,8,-2,-0.32,+0.39,0,5,3,0,4,10,5,,,0,Ligue-2,60,2021-2022
Charles Abi,fr FRA,FW,Guingamp,21,2000,7,3,237,2.6,1,0,1,0,0,2,0,0.38,0.00,0.38,0.38,0.38,3,1,33.3,1.14,0.38,0.33,1.00,,34,16.5,60,0,4,14,0,1.00,4,4,0,0.00,+0.30,0,11,3,2,0,0,2,,,0,Ligue-2,60,2021-2022
Amine Adli,fr FRA,MF,Toulouse,21,2000,1,1,89,1.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,2,0,0.0,2.02,0.00,0.00,,,89,6.2,89,0,0,,0,1.00,2,2,0,0.00,-1.47,0,2,4,0,4,0,0,,,0,Ligue-2,60,2021-2022
Matteo Ahlinvi,bj BEN,MF,Dijon,22,1999,10,6,513,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,6,1,16.7,1.05,0.18,0.00,0.00,,51,35.6,76,3,4,14,3,1.30,5,10,-5,-0.88,-0.88,0,9,8,1,5,4,4,,,0,Ligue-2,60,2021-2022
Ogou Akichi,ci CIV,"MF,DF",Nancy,31,1990,11,9,793,8.8,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,2,0,0.0,0.23,0.00,0.00,,,72,55.1,86,8,2,10,1,0.82,8,15,-7,-0.79,+0.18,0,11,12,0,0,10,9,,,0,Ligue-2,60,2021-2022
Chadrac Akolo,cd COD,"MF,FW",Amiens,26,1995,13,8,683,7.6,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,11,6,54.5,1.45,0.79,0.09,0.17,,53,47.4,73,1,5,21,0,0.85,8,10,-2,-0.26,-0.26,0,8,12,3,10,6,1,,,0,Ligue-2,60,2021-2022
