Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,3195,35.5,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.7,2.7,3.5,6.2,0.08,0.10,0.17,0.08,0.17,45,12,26.7,1.27,0.34,0.07,0.25,19.7,0,0.06,+0.3,+0.3,1596,1973,80.9,26721,11614,813,925,87.9,610,737,82.8,146,246,59.3,-1.5,31,114,63,10,216,1609,364,5,242,27,56,2,0,2,0,1322,346,305,1291,320,42,312,4,3,34,62,51,70,1.97,59,5,1,2,0,7,0.20,5,1,0,1,0,0,51,34,36,11,4,18,40.9,26,116,30.8,267,79,31,0,48,102,91,1,2319,141,79,44,59.1,27,1,1432,19,29,18,1465,1356,92.6,70,89,93.4,89,33,0,,2,1.19,44,47,-3,-0.08,-0.48,46.2,44.3,+1.9,+0.05,-0.28,0,12,0,0,0,325,13,12,52.0,Premier-League,9,2018-2019
Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33,31,2459,27.3,21,8,19,2,2,4,0,0.77,0.29,1.06,0.70,0.99,19.6,18.1,5.3,23.4,0.72,0.19,0.91,0.66,0.86,113,41,36.3,4.14,1.50,0.17,0.46,14.2,3,0.16,+1.4,+0.9,653,774,84.4,9134,1599,391,446,87.7,207,240,86.3,27,39,69.2,+2.7,33,37,41,0,63,725,49,3,197,3,15,1,0,0,0,589,125,60,72,656,20,8,10,3,9,18,22,72,2.64,49,1,6,7,1,17,0.62,12,0,2,1,2,0,17,14,2,6,9,3,30.0,7,116,26.6,26,153,257,0,14,28,2,0,1137,5,245,55,58.2,35,4,857,36,73,66,1387,885,63.8,346,75,71.9,78,8,2,27,1,2.61,72,15,+57,+2.09,+0.68,59.9,18.7,+41.2,+1.51,+0.06,0,22,0,0,0,126,13,17,43.3,Premier-League,9,2018-2019
Nathan Aké,nl NED,DF,Bournemouth,23,1995,38,38,3411,37.9,4,0,4,0,0,3,0,0.11,0.00,0.11,0.11,0.11,3.2,3.2,0.7,3.9,0.08,0.02,0.10,0.08,0.10,22,8,36.4,0.58,0.21,0.18,0.50,7.4,0,0.15,+0.8,+0.8,1464,1689,86.7,30277,10765,452,507,89.2,780,851,91.7,222,301,73.8,-0.7,4,86,5,2,68,1604,85,0,219,34,7,0,0,0,0,1292,159,238,1282,231,99,30,7,0,34,20,18,13,0.34,11,0,0,1,0,1,0.03,0,0,0,0,1,0,63,41,43,17,3,18,50.0,18,122,30.8,281,102,13,2,32,108,241,0,2150,366,44,6,50.0,3,0,1231,0,16,5,1351,1283,95.0,29,90,99.7,90,37,0,,0,1.18,56,70,-14,-0.37,-0.37,54.4,55.5,-1.1,-0.03,+0.25,0,27,1,1,0,318,76,57,57.1,Premier-League,9,2018-2019
Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,27,18,1625,18.1,2,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,1.2,1.2,2.8,4.0,0.07,0.16,0.22,0.07,0.22,20,7,35.0,1.11,0.39,0.10,0.29,20.7,0,0.06,+0.8,+0.8,458,771,59.4,8844,3613,229,290,79.0,139,221,62.9,78,199,39.2,-0.8,29,47,30,15,80,737,34,1,192,38,83,10,2,2,1,412,116,243,59,657,28,17,2,11,23,28,64,40,2.22,35,2,0,0,1,4,0.22,4,0,0,0,0,0,38,21,18,15,5,16,32.7,33,104,26.8,136,161,91,0,27,61,20,0,996,43,27,52,46.2,27,4,753,3,23,37,829,669,80.7,90,60,47.5,78,8,9,25,2,1.37,18,17,+1,+0.06,-0.04,19.1,23.3,-4.2,-0.23,-0.70,0,12,0,0,0,162,12,16,42.9,Premier-League,9,2018-2019
Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,2922,32.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.6,1.8,0.04,0.02,0.06,0.04,0.06,18,6,33.3,0.55,0.18,0.00,0.00,12.8,0,0.07,-1.2,-1.2,2077,2336,88.9,50476,15053,460,485,94.8,1097,1156,94.9,514,680,75.6,-0.6,7,189,26,1,123,2253,83,3,173,106,5,0,0,0,0,1700,185,451,445,1761,101,8,9,7,41,17,10,29,0.89,23,0,1,0,0,1,0.03,1,0,0,0,0,0,41,21,31,9,1,9,31.0,20,71,33.2,131,73,10,1,26,76,170,1,2650,304,22,5,40.0,2,0,1793,0,2,3,1939,1910,98.5,12,86,85.4,88,30,1,19,3,1.91,56,31,+25,+0.77,+0.23,50.5,37.0,+13.6,+0.42,+0.58,0,14,0,1,1,335,36,43,45.6,Premier-League,9,2018-2019
Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,2462,27.4,1,12,1,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.4,1.4,6.3,7.7,0.05,0.23,0.28,0.05,0.28,29,9,31.0,1.06,0.33,0.03,0.11,24.7,9,0.05,-0.4,-0.4,1655,2222,74.5,34936,13570,598,684,87.4,752,924,81.4,291,553,52.6,+5.7,48,131,59,27,191,1781,441,5,288,114,114,73,24,21,2,1160,330,732,182,1668,46,322,2,12,67,38,82,85,3.11,54,23,5,1,1,17,0.62,13,4,0,0,0,0,58,28,29,20,9,26,35.6,47,116,32.3,168,124,67,1,30,102,71,1,2514,85,44,37,51.4,21,3,1595,5,29,17,1655,1553,93.8,89,85,72.0,88,20,2,40,4,2.69,67,14,+53,+1.94,+0.62,59.7,23.0,+36.7,+1.34,+0.63,0,16,0,0,0,280,7,20,25.9,Premier-League,9,2018-2019
Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,1047,1268,82.6,30643,16858,114,116,98.3,570,578,98.6,362,572,63.3,0.0,0,10,1,0,0,970,298,0,146,66,0,0,0,0,0,801,95,372,99,930,1,0,196,2,32,8,2,4,0.11,1,3,0,0,0,2,0.05,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0.0,3,0,0,0,0,0,0,4,1346,1137,0,1,100.0,1,0,764,0,2,1,675,675,100.0,0,90,100.0,90,38,0,,0,2.55,89,22,+67,+1.76,,74.8,30.5,+44.3,+1.17,,0,0,0,0,0,218,1,0,100.0,Premier-League,9,2018-2019
Dele Alli,eng ENG,MF,Tottenham,22,1996,25,22,1825,20.3,5,3,5,0,0,4,0,0.25,0.15,0.39,0.25,0.39,5.9,5.9,2.7,8.6,0.29,0.14,0.42,0.29,0.42,39,18,46.2,1.92,0.89,0.13,0.28,14.0,1,0.15,-0.9,-0.9,838,1050,79.8,13744,3258,415,486,85.4,336,396,84.8,63,103,61.2,+0.3,28,77,37,3,96,1015,35,14,207,18,19,3,0,1,0,807,108,135,47,938,37,11,7,7,14,32,37,62,3.06,45,1,5,5,3,5,0.25,3,0,0,1,1,0,31,21,5,15,11,8,26.7,22,123,29.4,107,196,116,1,33,50,17,0,1326,33,106,64,48.4,38,8,980,13,41,30,1234,962,78.0,200,73,53.4,81,10,3,13,0,1.72,32,21,+11,+0.54,-0.42,31.3,21.1,+10.1,+0.50,+0.36,0,24,0,0,0,193,13,20,39.4,Premier-League,9,2018-2019
Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.7,1.6,0.8,2.5,0.20,0.10,0.30,0.19,0.29,19,8,42.1,2.25,0.95,0.00,0.00,19.1,0,0.09,-1.7,-1.6,188,260,72.3,3320,863,91,109,83.5,67,87,77.0,26,40,65.0,-0.8,12,16,14,9,19,256,4,2,71,13,19,1,0,1,0,189,40,31,235,11,9,1,2,0,5,7,15,28,3.32,22,0,1,2,1,2,0.24,0,0,0,1,1,0,17,11,6,9,2,3,27.3,8,61,26.4,43,130,58,0,14,21,5,0,384,9,30,16,43.8,10,4,294,9,21,14,391,242,61.9,61,76,22.2,82,4,1,18,0,1.70,11,11,0,0.00,+0.20,11.6,9.3,+2.3,+0.27,+0.83,0,7,0,0,0,84,4,8,33.3,Premier-League,9,2018-2019
Marcos Alonso,es ESP,DF,Chelsea,27,1990,31,31,2759,30.7,2,4,2,0,0,6,0,0.07,0.13,0.20,0.07,0.20,2.7,2.7,3.5,6.2,0.09,0.11,0.20,0.09,0.20,43,7,16.3,1.40,0.23,0.05,0.29,18.7,8,0.06,-0.7,-0.7,1843,2222,82.9,29006,9706,991,1083,91.5,711,848,83.8,107,214,50.0,+0.5,31,117,22,9,135,1935,287,3,343,48,79,0,0,0,0,1535,370,317,1668,176,75,261,7,4,40,57,58,60,1.96,52,1,0,3,0,10,0.33,6,0,0,2,2,0,69,39,42,21,6,20,37.7,33,135,28.1,249,152,80,0,56,110,100,1,2624,119,83,39,66.7,29,0,1734,7,24,43,1874,1697,90.6,130,89,80.7,89,29,0,,1,1.97,52,28,+24,+0.78,+0.78,48.2,27.8,+20.4,+0.66,+0.24,0,29,2,1,0,324,62,45,57.9,Premier-League,9,2018-2019
