Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Max Aarons,eng ENG,DF,Norwich City,21,2000,10,10,900,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.03,0.07,0.10,0.03,0.10,8,1,12.5,0.80,0.10,0.00,0.00,21.7,0,0.04,-0.3,-0.3,321,410,78.3,5290,1770,179,195,91.8,110,138,79.7,27,59,45.8,-0.7,8,11,15,5,27,304,106,1,51,9,15,0,0,0,0,242,96,72,44,259,4,98,1,2,5,12,18,15,1.50,12,0,1,1,0,2,0.20,2,0,0,0,0,0,14,9,9,5,0,8,42.1,11,31,26.1,68,38,13,0,19,24,22,0,534,45,9,34,47.1,17,3,326,3,8,7,359,307,85.5,15,90,100.0,90,10,0,,0,0.20,3,25,-22,-2.20,,7.9,19.1,-11.2,-1.12,,0,7,0,0,1,51,4,16,20.0,Premier-League,9,2021-2022
Che Adams,sct SCO,"FW,MF",Southampton,25,1996,7,6,482,5.4,1,1,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,1.3,1.3,1.2,2.5,0.24,0.22,0.47,0.24,0.47,10,4,40.0,1.87,0.75,0.10,0.25,15.9,0,0.13,-0.3,-0.3,74,110,67.3,1044,163,45,59,76.3,20,31,64.5,4,11,36.4,-0.2,7,2,2,1,5,106,4,1,35,1,3,0,0,0,0,67,21,22,7,81,7,0,1,0,3,8,1,14,2.61,9,0,0,4,1,2,0.37,1,0,0,0,0,1,7,5,2,1,4,1,33.3,2,23,26.7,10,30,46,0,5,8,5,0,180,8,22,6,33.3,3,0,109,2,11,13,253,119,47.0,40,69,53.6,78,3,1,12,2,1.00,3,6,-3,-0.56,-0.56,6.5,7.4,-0.9,-0.17,-0.58,0,13,0,0,0,30,15,28,34.9,Premier-League,9,2021-2022
Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,3,2,179,2.0,0,1,0,0,0,1,0,0.00,0.50,0.50,0.00,0.50,0.2,0.2,0.1,0.2,0.08,0.03,0.11,0.08,0.11,2,1,50.0,1.01,0.50,0.00,0.00,14.8,0,0.08,-0.2,-0.2,87,112,77.7,1480,573,45,53,84.9,35,45,77.8,7,9,77.8,+0.9,1,2,3,1,9,91,21,0,17,2,3,2,0,2,0,70,23,19,77,9,8,18,0,0,1,6,5,5,2.51,2,1,1,0,1,1,0.50,0,1,0,0,0,0,5,5,3,1,1,2,40.0,3,24,42.1,22,22,13,0,3,9,3,0,139,5,4,9,66.7,6,1,91,1,2,6,88,80,90.9,6,60,19.9,86,1,1,7,6,1.33,3,1,+2,+1.01,+1.13,2.6,2.6,0.0,-0.01,-0.21,0,3,0,0,0,22,0,2,0.0,Premier-League,9,2021-2022
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,7,6,565,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07,2,0,0.0,0.32,0.00,0.00,,9.9,0,0.09,-0.2,-0.2,136,209,65.1,2410,1083,56,66,84.8,65,91,71.4,11,35,31.4,-0.3,1,7,2,1,12,163,46,0,34,3,3,0,0,0,0,91,59,59,9,129,15,40,1,0,5,8,13,6,0.96,4,1,0,0,0,0,0.00,0,0,0,0,0,0,11,5,8,1,2,7,50.0,7,18,31.6,29,24,4,1,5,24,35,0,289,32,9,6,66.7,4,0,126,0,6,2,127,106,83.5,7,81,62.8,87,5,1,45,1,1.29,8,6,+2,+0.32,+0.86,8.0,6.7,+1.3,+0.21,+0.11,0,2,0,0,0,55,21,9,70.0,Premier-League,9,2021-2022
Nathan Aké,nl NED,DF,Manchester City,26,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,1,0,0.0,0.33,0.00,0.00,,6.0,0,0.20,-0.2,-0.2,197,214,92.1,3463,855,88,94,93.6,92,98,93.9,15,20,75.0,0.0,0,11,3,0,8,208,6,0,15,1,0,0,0,0,0,187,9,18,163,36,6,5,1,0,2,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,2,2,2,0,0,0.0,1,4,28.6,4,9,1,0,0,7,17,0,243,13,2,0,,0,0,178,0,2,0,200,191,95.5,1,90,30.0,90,3,0,,7,1.33,2,1,+1,+0.33,-1.52,4.8,2.7,+2.1,+0.69,-1.08,0,4,0,0,0,17,14,0,100.0,Premier-League,9,2021-2022
Marc Albrighton,eng ENG,"MF,FW",Leicester City,31,1989,3,2,191,2.1,1,0,1,0,0,1,0,0.47,0.00,0.47,0.47,0.47,0.0,0.0,0.2,0.3,0.02,0.10,0.12,0.02,0.12,1,1,100.0,0.47,0.47,1.00,1.00,17.2,0,0.04,+1.0,+1.0,30,64,46.9,658,282,12,14,85.7,12,20,60.0,5,24,20.8,-0.2,2,3,1,1,2,47,17,0,12,9,4,14,9,4,1,26,13,25,2,59,2,0,0,0,3,3,7,3,1.41,2,1,0,0,0,0,0.00,0,0,0,0,0,0,4,1,3,0,1,0,0.0,3,12,17.6,22,36,10,0,2,5,1,0,87,5,2,7,42.9,4,1,54,2,4,5,82,48,58.5,9,64,21.2,90,2,1,11,5,1.33,2,2,0,0.00,+0.25,2.1,4.7,-2.6,-1.23,-1.63,0,2,0,0,0,12,1,1,50.0,Premier-League,9,2021-2022
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,4,2,177,2.0,0,1,0,0,0,0,0,0.00,0.51,0.51,0.00,0.51,0.4,0.4,0.4,0.8,0.20,0.21,0.41,0.20,0.41,5,1,20.0,2.54,0.51,0.00,0.00,18.0,0,0.08,-0.4,-0.4,130,145,89.7,2827,725,42,47,89.4,61,64,95.3,24,29,82.8,+0.6,4,20,3,0,20,142,3,0,23,8,0,0,0,0,0,104,18,23,11,125,4,0,0,0,2,6,2,11,5.59,9,0,0,0,0,1,0.51,1,0,0,0,0,0,7,4,4,2,1,1,33.3,2,10,47.6,11,6,4,0,1,9,3,0,164,4,4,0,,0,0,115,1,4,1,124,117,94.4,7,44,19.7,75,0,2,14,0,2.50,3,0,+3,+1.53,-0.72,6.8,2.1,+4.6,+2.35,+1.05,0,1,0,0,0,29,7,0,100.0,Premier-League,9,2021-2022
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,8,8,694,7.7,0,3,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,0.7,0.7,3.4,4.1,0.09,0.44,0.54,0.09,0.54,15,4,26.7,1.95,0.52,0.00,0.00,23.6,3,0.05,-0.7,-0.7,534,687,77.7,11276,4545,219,241,90.9,200,235,85.1,110,195,56.4,-0.4,26,53,21,4,74,562,125,5,66,52,31,39,7,27,1,382,108,197,69,534,12,67,0,2,12,23,13,42,5.45,26,14,1,0,0,5,0.65,5,0,0,0,0,0,13,9,4,6,3,8,47.1,9,24,34.8,28,24,17,0,7,33,20,0,770,23,17,11,45.5,5,0,454,4,3,7,527,501,95.1,26,87,77.1,87,7,0,,0,2.25,23,6,+17,+2.20,+0.46,21.3,8.8,+12.6,+1.63,+0.54,0,1,0,0,0,67,9,3,75.0,Premier-League,9,2021-2022
Alisson,br BRA,GK,Liverpool,29,1992,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,276,320,86.3,7750,4536,46,46,100.0,143,145,98.6,86,128,67.2,0.0,0,4,0,0,0,252,68,0,19,10,0,0,0,0,0,221,15,84,14,248,0,0,48,0,6,7,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,1,0,0,0,0,0,1,0,356,289,0,1,100.0,1,0,181,0,0,0,175,175,100.0,0,90,90.0,90,9,0,,0,2.11,24,8,+16,+1.78,-3.22,22.7,10.7,+12.0,+1.33,-1.74,0,0,0,0,0,60,0,0,,Premier-League,9,2021-2022
Allan,br BRA,MF,Everton,30,1991,10,10,881,9.8,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,3,1,33.3,0.31,0.10,0.00,0.00,23.4,0,0.03,-0.1,-0.1,268,356,75.3,5163,1634,98,119,82.4,124,153,81.0,38,61,62.3,+0.7,6,30,6,2,38,333,23,0,58,6,3,0,0,0,0,238,41,77,39,304,8,2,1,2,9,18,14,12,1.23,11,0,0,1,0,4,0.41,3,0,0,0,1,0,32,26,18,12,2,8,23.5,26,87,32.3,114,131,24,0,18,51,20,0,467,34,4,9,66.7,6,0,275,1,5,11,248,229,92.3,6,88,97.9,88,9,0,,0,1.40,16,15,+1,+0.10,+4.84,15.6,13.1,+2.5,+0.25,+1.76,0,11,1,0,0,105,3,6,33.3,Premier-League,9,2021-2022
