Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Ignazio Abate,it ITA,DF,Milan,31,1986,19,15,1302,14.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.02,0.02,0.00,0.02,1,1,100.0,0.07,0.07,0.00,0.00,14.8,0,0.03,0.0,0.0,766,918,83.4,14840,5802,301,325,92.6,358,401,89.3,100,167,59.9,-0.3,7,73,13,4,77,804,114,3,144,14,20,0,0,0,0,625,139,154,59,736,21,95,2,1,12,14,23,18,1.24,18,0,0,0,0,0,0.00,0,0,0,0,0,0,37,21,19,14,4,13,43.3,17,56,28.1,102,77,20,0,29,51,53,1,1056,74,9,9,55.6,8,2,700,2,6,3,709,687,96.9,10,69,38.1,82,8,4,17,19,2.11,22,12,+10,+0.69,+0.31,20.2,14.3,+6.0,+0.41,+0.32,0,13,0,1,0,113,10,7,58.8,Serie-A,11,2018-2019
Francesco Acerbi,it ITA,DF,Lazio,30,1988,37,37,3309,36.8,3,1,3,0,0,4,1,0.08,0.03,0.11,0.08,0.11,3.0,3.0,0.6,3.6,0.08,0.02,0.10,0.08,0.10,19,7,36.8,0.52,0.19,0.16,0.43,8.6,0,0.16,0.0,0.0,1554,1787,87.0,33525,10694,443,500,88.6,810,875,92.6,287,389,73.8,+0.4,8,112,6,2,94,1721,66,1,262,48,8,0,0,0,0,1284,184,319,1278,318,121,15,7,3,32,16,9,22,0.60,17,0,0,3,1,2,0.05,1,0,0,1,0,0,51,30,29,16,6,14,53.8,12,96,37.1,173,71,15,0,32,94,181,2,2162,279,27,11,81.8,9,0,1360,2,7,14,1344,1307,97.2,26,89,96.8,89,36,0,,0,1.59,55,44,+11,+0.30,+1.11,55.0,41.4,+13.6,+0.37,+0.24,1,29,0,2,0,424,78,36,68.4,Serie-A,11,2018-2019
Afriyie Acquah,gh GHA,MF,Empoli,26,1992,28,19,1510,16.8,2,0,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,1.6,1.6,0.6,2.2,0.09,0.04,0.13,0.09,0.13,23,7,30.4,1.37,0.42,0.09,0.29,20.8,0,0.07,+0.4,+0.4,591,735,80.4,10181,2575,279,311,89.7,266,316,84.2,43,84,51.2,-0.6,11,64,14,3,60,722,13,3,146,20,22,0,0,0,0,566,72,97,32,660,23,8,0,1,16,10,27,34,2.03,26,0,5,1,0,0,0.00,0,0,0,0,0,0,26,13,10,12,4,3,20.0,12,65,21.1,101,153,54,0,16,33,13,0,921,26,33,48,77.1,39,1,786,6,26,28,807,699,86.6,61,54,44.2,73,5,9,14,6,1.11,20,29,-9,-0.54,-0.07,19.2,23.6,-4.5,-0.27,-0.06,0,32,0,0,0,130,14,20,41.2,Serie-A,11,2018-2019
Claud Adjapong,it ITA,"MF,DF",Sassuolo,20,1998,5,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.5,0.5,0.1,0.6,0.17,0.03,0.20,0.17,0.20,3,1,33.3,1.00,0.33,0.33,1.00,19.3,0,0.17,+0.5,+0.5,77,101,76.2,1199,378,41,50,82.0,28,33,84.8,6,8,75.0,-0.1,2,2,3,0,4,78,23,0,11,1,3,0,0,0,0,65,24,12,10,66,1,23,0,2,1,3,7,2,0.67,2,0,0,0,0,0,0.00,0,0,0,0,0,0,7,3,3,2,2,1,50.0,1,13,27.7,24,14,9,0,2,10,3,0,146,5,9,13,61.5,8,0,109,2,13,7,104,85,81.7,11,54,7.9,81,1,2,14,21,1.40,3,2,+1,+0.33,+0.56,2.1,3.8,-1.7,-0.57,-0.31,0,3,0,0,0,21,2,3,40.0,Serie-A,11,2018-2019
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.08,0.08,0.16,0.08,0.16,3,0,0.0,1.63,0.00,0.00,,17.2,0,0.05,-0.1,-0.1,78,123,63.4,1504,612,35,48,72.9,32,46,69.6,10,23,43.5,-0.2,3,6,2,1,10,99,24,0,24,4,5,6,0,0,0,69,27,27,78,22,5,14,1,2,4,4,5,6,3.25,4,1,1,0,0,1,0.54,1,0,0,0,0,0,3,2,3,0,0,1,20.0,4,6,28.6,10,9,2,0,1,6,4,0,138,8,4,5,80.0,4,0,88,0,0,0,87,79,90.8,5,55,4.9,76,1,1,14,13,0.33,3,5,-2,-1.08,-2.00,3.2,2.4,+0.8,+0.46,-0.23,0,3,0,0,0,20,4,1,80.0,Serie-A,11,2018-2019
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.16,0.01,0.17,0.16,0.17,3,0,0.0,1.68,0.00,0.00,,10.0,0,0.10,-0.3,-0.3,26,31,83.9,475,61,12,15,80.0,9,10,90.0,4,4,100.0,0.0,1,1,0,0,0,31,0,0,2,2,0,0,0,0,0,19,8,4,2,23,3,0,1,0,0,1,2,2,1.12,2,0,0,0,0,0,0.00,0,0,0,0,0,0,5,4,1,3,1,1,33.3,2,6,17.6,10,18,6,0,1,5,5,0,56,4,3,4,0.0,0,0,25,0,3,1,45,34,75.6,3,40,4.7,69,0,2,12,7,1.50,2,5,-3,-1.68,-1.37,1.8,4.6,-2.8,-1.55,-1.18,0,2,0,0,0,10,4,5,44.4,Serie-A,11,2018-2019
Ola Aina,ng NGA,"DF,MF",Torino,21,1996,30,22,2160,24.0,1,3,1,0,0,5,1,0.04,0.12,0.17,0.04,0.17,1.9,1.9,2.1,4.1,0.08,0.09,0.17,0.08,0.17,25,6,24.0,1.04,0.25,0.04,0.17,18.2,0,0.08,-0.9,-0.9,845,1160,72.8,14588,6204,418,479,87.3,314,430,73.0,94,194,48.5,+0.9,24,52,31,14,89,913,247,1,171,35,72,1,0,0,0,615,224,321,220,608,73,232,4,1,39,17,48,46,1.92,30,2,6,4,2,3,0.12,1,1,0,1,0,0,64,44,40,17,7,21,39.6,32,152,32.5,212,194,62,1,63,98,41,0,1483,66,44,68,54.4,39,1,847,8,26,30,880,766,87.0,50,72,63.2,86,15,8,34,2,1.63,31,23,+8,+0.33,-0.17,31.2,32.6,-1.4,-0.06,-0.25,0,31,0,0,0,244,28,20,58.3,Serie-A,11,2018-2019
Luis Alberto,es ESP,"MF,FW",Lazio,25,1992,27,25,1990,22.1,4,5,3,1,1,5,1,0.18,0.23,0.41,0.14,0.36,4.6,3.9,6.1,10.0,0.21,0.28,0.49,0.17,0.45,70,13,18.6,3.17,0.59,0.04,0.23,21.7,8,0.06,-0.6,-0.9,1121,1479,75.8,20363,7417,538,611,88.1,419,505,83.0,144,312,46.2,-1.1,80,141,62,8,191,1247,232,9,285,76,42,135,17,22,8,999,165,315,68,1343,27,26,7,9,22,40,39,142,6.42,94,31,5,2,2,9,0.41,4,3,0,2,0,0,46,28,11,28,7,18,29.5,43,175,29.7,111,315,164,0,29,57,5,0,1757,12,67,54,44.4,32,3,1287,14,35,46,1459,1235,84.6,170,74,58.2,78,9,2,21,4,1.44,30,22,+8,+0.36,+0.24,32.4,21.9,+10.5,+0.47,+0.27,0,23,0,0,0,173,12,22,35.3,Serie-A,11,2018-2019
Raúl Albiol,es ESP,DF,Napoli,32,1985,20,19,1713,19.0,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,1.0,1.2,0.01,0.05,0.06,0.01,0.06,3,1,33.3,0.16,0.05,0.33,1.00,11.8,0,0.06,+0.8,+0.8,1000,1126,88.8,24705,7512,191,202,94.6,513,548,93.6,292,360,81.1,-1.0,5,89,4,1,59,1094,32,1,117,54,3,0,0,0,0,820,112,194,134,917,45,0,5,1,18,3,11,14,0.74,14,0,0,0,0,1,0.05,1,0,0,0,0,0,23,17,19,4,0,7,38.9,11,35,32.7,73,31,3,1,13,41,90,1,1287,157,7,2,50.0,1,0,885,0,4,2,899,885,98.4,5,86,50.1,90,19,1,3,6,2.10,33,22,+11,+0.58,-0.85,34.1,19.6,+14.5,+0.76,-0.25,0,12,0,0,0,193,40,32,55.6,Serie-A,11,2018-2019
Allan,br BRA,MF,Napoli,27,1991,33,28,2616,29.1,1,3,1,0,0,10,0,0.03,0.10,0.14,0.03,0.14,1.1,1.1,3.3,4.4,0.04,0.11,0.15,0.04,0.15,25,2,8.0,0.86,0.07,0.04,0.50,23.6,0,0.05,-0.1,-0.1,1981,2235,88.6,36605,9892,848,931,91.1,856,932,91.8,260,324,80.2,-0.3,36,267,37,1,198,2128,107,12,271,43,9,1,0,0,0,1644,307,284,152,2006,48,17,9,13,21,38,43,87,2.99,72,0,7,3,2,9,0.31,8,0,0,1,0,0,124,92,45,61,18,42,32.6,87,264,28.1,258,536,145,0,57,140,25,0,2583,80,34,78,71.8,58,2,2066,13,30,38,1998,1886,94.4,64,79,76.5,88,26,5,30,0,2.09,57,29,+28,+0.96,-0.16,51.6,26.4,+25.2,+0.87,-0.09,0,56,0,0,0,329,8,16,33.3,Serie-A,11,2018-2019
