Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Tammy Abraham,eng ENG,FW,Roma,24,1997,12,12,1010,11.2,3,2,3,0,0,4,0,0.27,0.18,0.45,0.27,0.45,6.3,6.3,2.0,8.4,0.56,0.18,0.75,0.56,0.75,33,8,24.2,2.94,0.71,0.09,0.38,12.2,1,0.19,-3.3,-3.3,165,216,76.4,2355,526,102,126,81.0,46,61,75.4,9,11,81.8,0.0,15,9,10,0,22,197,19,1,62,2,5,0,0,0,0,142,46,28,16,149,18,0,10,0,2,7,9,37,3.30,25,0,0,3,1,6,0.53,3,0,0,2,1,0,15,12,2,9,4,4,50.0,4,43,28.5,6,67,78,0,6,18,10,1,340,9,71,22,63.6,14,0,186,9,25,11,446,241,54.0,88,84,93.5,84,7,0,,0,1.58,19,15,+4,+0.36,-2.21,20.8,14.9,+5.9,+0.52,-1.59,0,20,0,0,0,33,28,28,50.0,Serie-A,11,2021-2022
Francesco Acerbi,it ITA,DF,Lazio,33,1988,10,10,885,9.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02,0,0,,0.00,0.00,,,,0,,0.0,0.0,611,680,89.9,12552,3962,205,220,93.2,310,334,92.8,90,116,77.6,-0.2,3,45,0,0,33,656,24,1,56,22,1,0,0,0,0,484,81,115,507,124,26,0,2,0,9,6,3,8,0.81,6,1,0,1,0,1,0.10,0,0,0,0,1,0,8,4,5,3,0,3,42.9,4,19,29.7,30,28,6,0,6,30,53,0,780,109,3,1,100.0,1,0,512,0,4,3,544,532,97.8,3,89,81.9,89,9,0,,0,1.80,21,14,+7,+0.71,+1.17,14.8,12.8,+2.1,+0.21,+0.55,0,10,1,0,0,113,35,17,67.3,Serie-A,11,2021-2022
Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,2,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.22,0.08,0.30,0.22,0.30,3,1,33.3,3.42,1.14,0.00,0.00,13.9,0,0.07,-0.2,-0.2,10,15,66.7,188,71,4,8,50.0,5,6,83.3,1,1,100.0,-0.1,2,0,2,1,2,14,1,0,3,1,3,0,0,0,0,11,2,2,2,12,0,1,0,0,0,1,0,4,4.56,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,18.2,0,10,12,0,0,0,0,0,29,0,8,2,0.0,0,0,22,0,5,0,27,20,74.1,4,40,7.3,,0,2,40,2,1.50,3,1,+2,+2.28,+1.92,2.2,1.3,+0.9,+1.01,+0.41,0,1,0,0,0,5,1,2,33.3,Serie-A,11,2021-2022
Kevin Agudelo,co COL,FW,Spezia,23,1998,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.63,0.71,1.34,0.63,1.34,2,2,100.0,6.21,6.21,0.00,0.00,20.7,0,0.10,-0.2,-0.2,11,16,68.8,183,54,5,6,83.3,5,8,62.5,1,1,100.0,-0.2,2,1,1,0,2,16,0,0,8,0,0,0,0,0,0,11,3,2,14,1,0,0,0,0,1,0,1,3,9.31,2,0,1,0,0,0,0.00,0,0,0,0,0,0,4,4,2,2,0,3,100.0,0,3,27.3,2,8,1,0,1,4,0,0,22,0,1,1,100.0,1,0,17,0,0,0,19,17,89.5,1,29,2.7,,0,1,29,0,0.00,0,1,-1,-3.10,-2.08,0.5,0.3,+0.2,+0.62,+1.35,0,2,0,0,0,0,1,0,100.0,Serie-A,11,2021-2022
Ola Aina,ng NGA,DF,Torino,25,1996,11,9,726,8.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.3,0.02,0.14,0.16,0.02,0.16,5,1,20.0,0.62,0.12,0.00,0.00,21.5,0,0.04,-0.2,-0.2,283,385,73.5,5229,2345,125,150,83.3,117,144,81.3,38,70,54.3,-1.1,10,27,15,3,40,313,72,2,53,3,19,0,0,0,0,208,70,107,91,198,19,70,2,1,6,13,22,21,2.60,18,1,2,0,0,0,0.00,0,0,0,0,0,0,17,9,6,9,2,9,75.0,3,31,35.6,28,37,22,0,8,36,14,0,498,19,17,20,50.0,11,1,268,8,13,9,332,287,86.4,27,66,67.2,77,3,2,18,0,1.18,6,8,-2,-0.25,-1.52,10.4,6.9,+3.4,+0.43,+0.52,0,12,0,0,0,66,8,7,53.3,Serie-A,11,2021-2022
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,29,1992,7,3,232,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.14,0.01,0.15,0.14,0.15,1,0,0.0,0.39,0.00,0.00,,11.0,0,0.36,-0.4,-0.4,64,78,82.1,849,129,41,47,87.2,21,24,87.5,0,0,,0.0,2,4,1,0,2,78,0,0,13,0,0,0,0,0,0,58,19,1,15,54,3,0,1,0,2,2,6,2,0.78,2,0,0,0,0,0,0.00,0,0,0,0,0,0,9,3,2,7,0,4,50.0,4,18,24.0,17,38,20,0,2,10,3,0,117,4,1,8,62.5,6,0,86,0,3,4,97,81,83.5,10,33,21.5,59,0,4,14,5,1.57,5,5,0,0.00,-0.64,2.5,4.9,-2.4,-0.93,-1.33,0,12,0,1,0,15,6,6,50.0,Serie-A,11,2021-2022
Luis Alberto,es ESP,MF,Lazio,29,1992,12,9,799,8.9,2,4,2,0,0,2,0,0.23,0.45,0.68,0.23,0.68,0.9,0.9,2.0,2.9,0.10,0.22,0.33,0.10,0.33,14,5,35.7,1.58,0.56,0.14,0.40,20.6,1,0.07,+1.1,+1.1,563,672,83.8,9456,3039,278,303,91.7,216,250,86.4,52,93,55.9,+2.0,18,73,17,1,57,624,48,4,109,24,12,24,13,6,3,524,65,83,36,616,9,2,4,2,3,18,8,34,3.83,24,8,0,2,0,4,0.45,2,2,0,0,0,0,15,9,5,6,4,5,26.3,14,46,31.7,51,69,25,0,7,22,1,0,746,6,13,13,69.2,9,2,572,3,6,9,643,594,92.4,31,67,74.0,77,4,3,35,0,1.75,18,12,+6,+0.68,+0.68,12.8,10.8,+2.0,+0.22,+0.44,0,4,0,0,0,70,6,4,60.0,Serie-A,11,2021-2022
Giorgio Altare,it ITA,DF,Cagliari,23,1998,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,1,2,50.0,57,45,0,0,,0,0,,1,2,50.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,1,0,0,0,0,1,0,0,3,0,0,0,,0,0,0,0,0,0,0,0,,0,4,0.4,,0,1,4,11,1.00,0,1,-1,-22.50,-21.50,0.1,0.4,-0.3,-6.28,-5.44,0,0,0,0,0,1,0,1,0.0,Serie-A,11,2021-2022
Kelvin Amian,fr FRA,DF,Spezia,23,1998,8,7,593,6.6,0,1,0,0,0,1,1,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.5,0.6,0.02,0.07,0.09,0.02,0.09,2,0,0.0,0.30,0.00,0.00,,16.5,0,0.06,-0.1,-0.1,232,289,80.3,3997,1602,115,129,89.1,97,116,83.6,18,33,54.5,+0.5,5,9,3,2,12,224,65,0,43,6,7,0,0,0,0,178,77,34,27,192,11,57,1,1,7,9,7,8,1.21,8,0,0,0,0,1,0.15,1,0,0,0,0,0,19,12,15,2,2,5,55.6,4,35,32.7,62,31,14,0,12,36,26,0,371,25,6,5,20.0,1,0,181,1,4,3,213,193,90.6,11,74,54.9,78,5,1,45,1,0.88,9,17,-8,-1.21,-0.29,5.2,13.4,-8.2,-1.25,-1.22,0,11,0,0,0,29,8,10,44.4,Serie-A,11,2021-2022
Ethan Ampadu,wls WAL,MF,Venezia,21,2000,6,4,374,4.2,0,2,0,0,0,4,1,0.00,0.48,0.48,0.00,0.48,0.0,0.0,0.5,0.5,0.00,0.13,0.13,0.00,0.13,0,0,,0.00,0.00,,,,0,,0.0,0.0,156,197,79.2,3348,990,45,55,81.8,84,95,88.4,27,38,71.1,+1.5,4,14,2,0,18,188,9,1,31,5,0,0,0,0,0,142,29,26,33,151,5,1,4,2,3,6,8,9,2.17,9,0,0,0,0,2,0.48,2,0,0,0,0,0,13,8,6,6,1,2,33.3,4,15,22.4,32,29,6,0,7,22,6,0,241,16,1,2,50.0,1,0,142,1,3,5,153,143,93.5,4,62,34.6,75,2,2,37,0,1.33,6,8,-2,-0.48,+0.28,5.5,7.0,-1.5,-0.36,+0.19,0,7,0,0,0,47,4,3,57.1,Serie-A,11,2021-2022
