Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Abdallah N'dour,sn SEN,DF,Sochaux,27,1993,14,14,1259,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,1,25.0,0.29,0.07,0.0,0.0,,90,99.9,90.0,13,0,,0,2.0,14,7,7,0.5,0.5,0,8,11,4,64,9,12,,,0,Ligue-2,60,2021-2022
Abdel Abdallah,km COM,"DF,MF",Grenoble,24,1997,10,7,659,7.3,1,1,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,5,1,20.0,0.68,0.14,0.2,1.0,,66,52.3,86.0,4,3,18.0,3,1.1,6,9,-3,-0.41,-0.26,0,10,12,1,25,17,3,,,0,Ligue-2,60,2021-2022
Abdelhamid El Kaoutari,ma MAR,DF,Nancy,31,1990,4,4,349,3.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.26,0.0,0.0,,,87,27.7,87.0,3,0,,1,0.75,2,3,-1,-0.26,1.03,0,3,3,0,0,4,2,,,0,Ligue-2,60,2021-2022
Abdelwahed Wahib,ma MAR,DF,Le Havre,21,2000,3,1,142,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,47,11.3,90.0,1,2,26.0,8,1.0,1,1,0,0.0,-0.48,0,3,0,0,3,4,0,,,0,Ligue-2,60,2021-2022
Abdoul Kader Bamba,fr FRA,MF,Amiens,27,1994,6,6,480,5.3,1,2,1,0,0,2,1,0.19,0.37,0.56,0.19,0.56,7,3,42.9,1.31,0.56,0.14,0.33,,80,38.1,80.0,2,0,,0,1.17,8,6,2,0.37,0.84,0,6,16,0,26,1,4,,,0,Ligue-2,60,2021-2022
Abdoullah Ba,fr FRA,"MF,FW",Le Havre,18,2003,10,4,370,4.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,4,3,75.0,0.97,0.73,0.0,0.0,,37,29.4,71.0,0,6,15.0,3,1.4,3,1,2,0.49,0.08,0,10,11,0,3,4,1,,,0,Ligue-2,60,2021-2022
Abou Ouattara,bf BFA,"FW,MF",Valenciennes,21,1999,13,3,636,7.1,0,1,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,11,3,27.3,1.56,0.42,0.0,0.0,,49,50.5,88.0,2,10,37.0,1,0.92,5,13,-8,-1.13,-0.84,0,18,9,3,12,8,8,,,0,Ligue-2,60,2021-2022
Achille Anani,ci CIV,FW,Grenoble,26,1994,11,8,677,7.5,1,1,1,0,1,2,0,0.13,0.13,0.27,0.13,0.27,13,6,46.2,1.73,0.8,0.08,0.17,,62,53.7,75.0,4,3,25.0,0,1.0,5,13,-8,-1.06,-1.68,0,19,12,11,2,1,3,,,0,Ligue-2,60,2021-2022
Adama Diakhaby,fr FRA,"FW,MF",Amiens,25,1996,10,4,438,4.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5,1,20.0,1.03,0.21,0.0,0.0,,44,34.8,74.0,1,6,24.0,0,0.5,3,7,-4,-0.82,-1.04,0,15,6,1,9,2,2,,,0,Ligue-2,60,2021-2022
Adama Fofana,ci CIV,"DF,MF",Dijon,22,1999,8,8,672,7.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.4,0.0,0.0,,,84,53.3,84.0,6,0,,0,1.88,7,6,1,0.13,1.21,0,11,12,1,24,7,16,,,0,Ligue-2,60,2021-2022
