Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
First qualifying round,Tue,2017-06-27,20:00,Alashkert FC am,1–0,ad Santa Coloma,3300,Vazgen Sargsyan anvan Hanrapetakan Marza...,Stefan Apostolov,Match Report,Leg 1 of 2,Champions-League,8,2017-2018
First qualifying round,Tue,2017-06-27,19:00,Víkingur Gøta fo,2–1,xk KF Trepça'89,841,TÃ³rsvÃ¸llur,Juri Frischer,Match Report,Leg 1 of 2,Champions-League,8,2017-2018
First qualifying round,Tue,2017-06-27,19:00,The New Saints wls,1–2,gi Europa FC,1148,Park Hall Stadium,Luca Barbeno,Match Report,Leg 1 of 2,Champions-League,8,2017-2018
First qualifying round,Tue,2017-06-27,20:00,Hibernians FC mt,2–0,ee FC Infonet,1068,Hibernians Stadium,Fedayi San,Match Report,Leg 1 of 2,Champions-League,8,2017-2018
First qualifying round,Wed,2017-06-28,19:45,Linfield FC nir,1–0,sm S.P. La Fiorita,2839,Windsor Park,Duje Strukan,Match Report,Leg 1 of 2,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,18:00,KF Trepça'89 xk,1–4,fo Víkingur Gøta,12000,Stadiumi Olimpik Adem Jashari,Alexander Harkam,Match Report,Leg 2 of 2; VÃ­kingur GÃ¸ta won,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,19:00,FC Infonet ee,0–1,mt Hibernians FC,995,A. Le Coq Arena,Alex Troleis,Match Report,Leg 2 of 2; Hibernians FC won,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,18:30,Europa FC gi,1–3,wls The New Saints,261,EstÃ¡dio Do Algarve,Lawrence Visser,Match Report,Leg 2 of 2; The New Saints won; Required Extra Time,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,20:30,S.P. La Fiorita sm,0–0,nir Linfield FC,911,Stadio Olimpico di Serravalle,Fyodor Zammit,Match Report,Leg 2 of 2; Linfield FC won,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,20:30,Santa Coloma ad,1–1,am Alashkert FC,850,Estadi Comunal d'Andorra la Vella,Sven Bindels,Match Report,Leg 2 of 2; Alashkert FC won,Champions-League,8,2017-2018
