Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
Semi-finals,Tue,2018-06-26,17:00,Santa Coloma ad,,0–2,,xk KF Drita,288,Victoria Stadium,Paul McLaughlin,Champions-League,8,2018-2019
Semi-finals,Tue,2018-06-26,21:00,S.P. La Fiorita sm,,0–2,,gi Red Imps,840,Victoria Stadium,Jørgen Burchardt,Champions-League,8,2018-2019
,,,,,,,,,,,,Champions-League,8,2018-2019
Final,Fri,2018-06-29,20:30,Red Imps gi,,1–4,,xk KF Drita,468,Victoria Stadium,Manfredas Lukjančukas,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-10,18:30,FC Flora ee,,1–4,,il Be'er Sheva,1106,A. Le Coq Arena,Erik Lambrechts,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-10,19:30,Torpedo Kutaisi ge,,2–1,,md Sheriff Tiraspol,7251,Torpedo Stadioni,Aleksandrs Golubevs,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-10,18:00,F91 Dudelange lu,,1–1,,hu Vidi,1057,Stade Jos Nosbaum,Zaven Hovhannisyan,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-10,20:00,Alashkert FC am,,0–3,,sct Celtic,4948,Vazgen Sargsyan anvan Hanrapetakan Marza...,Danilo Grujić,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-10,19:00,Víkingur Gøta fo,,1–2,,fi HJK,300,Svangaskarð,Robert Hennessy,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-10,20:15,FK Shkëndija mk,,5–0,,wls The New Saints,2700,Telekom Arena,Timotheos Christofi,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-10,19:45,Cork City FC ie,,0–1,,pl Legia Warsaw,5795,Turner's Cross,Radu Petrescu,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-10,20:45,KF Drita xk,,0–3,,se Malmö,9780,Stadiumi Olimpik Adem Jashari,Boris Marhefka,Champions-League,8,2018-2019
First qualifying round,Wed,2018-07-11,20:00,Astana FK kz,,1–0,,me Sutjeska Nikšić,20500,Astana Arena,Ferenc Karakó,Champions-League,8,2018-2019
First qualifying round,Wed,2018-07-11,18:00,Spartak Trnava sk,,1–0,,ba Zrinjski Mostar,,City Arena Trnava,Denis Scherbakov,Champions-League,8,2018-2019
First qualifying round,Wed,2018-07-11,19:00,Sūduva lt,,3–1,,cy APOEL FC,3378,Sūduvos stadionas,Fedayi San,Champions-League,8,2018-2019
First qualifying round,Wed,2018-07-11,19:00,Spartaks Jūrmala lv,,0–0,,rs Red Star,2068,Stadions Skonto,Mykola Balakin,Champions-League,8,2018-2019
First qualifying round,Wed,2018-07-11,19:00,FK Kukësi al,,0–0,,mt Valletta FC,350,Stadiumi Loro Boriçi,Þóroddur Hjaltalin,Champions-League,8,2018-2019
First qualifying round,Wed,2018-07-11,20:00,Ludogorets bg,,7–0,,nir Crusaders FC,4597,Ludogorets Arena,Dumitru Muntean,Champions-League,8,2018-2019
First qualifying round,Wed,2018-07-11,20:00,Olimpija si,,0–1,,az Qarabağ Ağdam,5248,Stadion Stožice,Lawrence Visser,Champions-League,8,2018-2019
First qualifying round,Wed,2018-07-11,20:00,Valur is,,1–0,,no Rosenborg,1088,Origo Völlurinn,Rade Obrenović,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-17,18:00,Valletta FC mt,,1–1,,al FK Kukësi,1307,Ta'Qali National Stadium,Igor Pajač,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-17,19:00,HJK fi,,3–1,,fo Víkingur Gøta,5125,Telia 5G -areena,Duje Strukan,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-17,19:00,Malmö se,,2–0,,xk KF Drita,10623,Malmö IP,Laurent Kopriwa,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-17,20:00,Be'er Sheva il,,3–1,,ee FC Flora,11850,Turner Stadium,Tomasz Musiał,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-17,20:00,APOEL FC cy,,1–0,,lt Sūduva,12149,Neo GSP,Glenn Nyberg,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-17,19:00,The New Saints wls,,4–0,,mk FK Shkëndija,756,Park Hall Stadium,Pavel Orel,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-17,20:15,Vidi hu,,2–1,,lu F91 Dudelange,2514,Puskás Akadémia Pancho Aréna,Donald Robertson,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-17,20:30,Red Star rs,,2–0,,lv Spartaks Jūrmala,23868,Stadion Rajko Mitić,Alper Ulusoy,Champions-League,8,2018-2019
First qualifying round,Tue,2018-07-17,20:00,Crusaders FC nir,,0–2,,bg Ludogorets,1116,Seaview,Roomer Tarajev,Champions-League,8,2018-2019
