Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
Semi-finals,Sat,2020-08-08,15:00,SP Tre Fiori sm,,0–2,,nir Linfield,,Centre sportif de Colovray (Neutral Site),BalÃ¡zs Berke,Match Report,,Champions-League,8,2020-2021
Semi-finals,Sat,2020-08-08,18:00,KF Drita xk,,2–1,,ad Inter d'Escaldes,,Centre sportif de Colovray (Neutral Site),Rob Jenkins,Match Report,,Champions-League,8,2020-2021
,,,,,,,,,,,,,,Champions-League,8,2020-2021
Final,Tue,2020-08-11,18:00,KF Drita xk,,0–3,,nir Linfield,,Centre sportif de Colovray (Neutral Site),Ioannis Papadopoulos,Match Report,Match awarded to Linfield,Champions-League,8,2020-2021
First qualifying round,Tue,2020-08-18,20:00,Qarabağ Ağdam az,,4–0,,mk FK Sileks,,Tofiq BÉhramov adÄ±na Respublika stadionu,Yaroslav Kozyk,Match Report,,Champions-League,8,2020-2021
First qualifying round,Tue,2020-08-18,19:00,Legia Warsaw pl,,1–0,,nir Linfield,,Stadion Miejski Legii Warszawa im. Marsz...,Nicolas Laforge,Match Report,,Champions-League,8,2020-2021
First qualifying round,Tue,2020-08-18,21:00,FC Dinamo Brest by,,6–3,,kz Astana FK,,Stadion OSK Brestskiy,Novak SimoviÄ,Match Report,,Champions-League,8,2020-2021
First qualifying round,Tue,2020-08-18,19:45,Celtic sct,4.3,6–0,0.4,is KR Reykjavík,327.0,Celtic Park,Sebastian Gishamer,Match Report,,Champions-League,8,2020-2021
First qualifying round,Tue,2020-08-18,21:00,Red Star rs,,5–0,,gi Europa,,Stadion Rajko MitiÄ,Volen Chinkov,Match Report,,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,19:00,Ararat-Armenia am,,0–1,,cy AC Omonia,,Armenia Football Academy,Viktor Shimusik,Match Report,Required Extra Time,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,18:00,Molde no,,5–0,,fi KuPS,,Aker Stadion,Bryn Markham-Jones,Match Report,,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,19:30,Flora ee,,(2) 1–1 (4),,lt Sūduva,,A. Le Coq Arena,ThimothÃ© Piton,Match Report,SÅ«duva won on penalty kicks following extra time,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,19:00,Ferencváros hu,1.2,2–0,0.3,se Djurgården,,Groupama Arena,Fedayi San,Match Report,,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,19:00,NK Celje si,,3–0,,ie Dundalk,,Szusza Ferenc Stadion,Vitor Ferreira Fernandes,Match Report,,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,20:00,Maccabi Tel Aviv il,,2–0,,lv Rīga FC,,Bloomfield Stadium,Igor PajaÄ,Match Report,,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,21:00,Dinamo Tbilisi ge,,0–2,,al KF Tirana,,Boris Paichadzis Erovnuli Stadioni,Roomer Tarajev,Match Report,,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,19:00,Connah's Quay wls,,0–2,,ba Sarajevo,,Cardiff City Stadium,Jamie Robinson,Match Report,,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,20:00,Budućnost me,,1–3,,bg Ludogorets,,Stadion Pod Goricom,Ferenc KarakÃ³,Match Report,,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,21:00,Sheriff Tiraspol md,,2–0,,lu Fola Esch,,Bolshaya Sportivnaya Arena,BalÃ¡zs Berke,Match Report,,Champions-League,8,2020-2021
First qualifying round,Wed,2020-08-19,21:00,Floriana FC mt,,0–2,,ro CFR Cluj,,MFA Centenary Stadium,Laurent Kopriwa,Match Report,,Champions-League,8,2020-2021
First qualifying round,Fri,2020-08-21,17:00,KÍ fo,,3–0,,sk Slovan Bratislava,,Injector Arena,Kristoffer Hagenes,Match Report,Match awarded to,Champions-League,8,2020-2021
Second qualifying round,Tue,2020-08-25,20:00,KF Tirana al,,0–1,,rs Red Star,,Air Albania Stadium,Kaspar SjÃ¶berg,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Tue,2020-08-25,21:00,PAOK gr,3.6,3–1,1.9,tr Beşiktaş,,Stadio Toumbas,Daniele Doveri,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,16:30,AZ Alkmaar nl,,3–1,,cz Viktoria Plzeň,,AFAS Stadion,LuÃ­s Godinho,Match Report,Required Extra Time,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,18:00,NK Celje si,,1–2,,no Molde,,Stadion Z'deÅ¾ele,Christopher Jaeger,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,19:00,Sūduva lt,,0–3,,il Maccabi Tel Aviv,,MarijampolÄs sporto centro stadione,Rade ObrenoviÄ,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,20:00,Qarabağ Ağdam az,,2–1,,md Sheriff Tiraspol,,Tofiq BÉhramov adÄ±na Respublika stadionu,Mykola Balakin,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,19:00,Lokomotiva hr,,0–1,,at Rapid Wien,,Stadion KranjÄeviÄeva,Juan MartÃ­nez,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,20:30,Ludogorets bg,,0–1,,dk Midtjylland,,Ludogorets Arena,Denys Shurman,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,20:00,Legia Warsaw pl,,0–2,,cy AC Omonia,,Stadion Miejski Legii Warszawa im. Marsz...,Nathan Verboomen,Match Report,Required Extra Time,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,21:00,FC Dinamo Brest by,,2–1,,ba Sarajevo,,Stadion OSK Brestskiy,Loukas Soteriou,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,21:00,CFR Cluj ro,,(5) 2–2 (6),,hr Dinamo Zagreb,,Stadionul Dr. Constantin RÄdulescu,AntÃ³nio Nobre,Match Report,Dinamo Zagreb won on penalty kicks following extra time,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,20:15,Young Boys ch,,3–1,,fo KÍ,,Stade de Suisse Wankdorf Bern,Athanasios Tzilos,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,19:45,Celtic sct,1.5,1–2,0.3,hu Ferencváros,,Celtic Park,Allard Lindhout,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Tue,2020-09-15,20:00,Dynamo Kyiv ua,,2–0,,nl AZ Alkmaar,,NSK Olimpijs'kyj,Orel Grinfeeld,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Tue,2020-09-15,21:00,PAOK gr,,2–1,,pt Benfica,,Stadio Toumbas,Felix Brych,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Tue,2020-09-15,20:30,Gent be,,2–1,,at Rapid Wien,,GHELAMCO-arena,Andreas Ekberg,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Wed,2020-09-16,18:00,AC Omonia cy,,(4) 1–1 (2),,rs Red Star,,Stadio GSP (1902),Chris Kavanagh,Match Report,AC Omonia won on penalty kicks following extra time,Champions-League,8,2020-2021
Third qualifying round,Wed,2020-09-16,19:00,Ferencváros hu,,2–1,,hr Dinamo Zagreb,,Groupama Arena,Tobias Stieler,Match Report,,Champions-League,8,2020-2021
