Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
First qualifying round,Thu,2017-06-29,16:00,FC Shirak am,0–2,si ND Gorica,2100,Gyumri,Mikhail Vilkov,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Irtysh Pavlodar kz,1–0,bg Dunav Ruse,8000,OrtalÄ±q Stadion,Arnold Hunter,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:45,FC Kairat kz,6–0,lt FK Atlantas,15000,OrtalÄ±q Stadion,ÃmÉr PaÅayev,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,17:00,Partizani Tirana al,1–3,bg Botev Plovdiv,2000,Stadiumi Selman StÃ«rmasi,Bryn Markham-Jones,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:00,FK Ventspils lv,0–0,is Valur,1933,OlimpiskÄ centra Ventspils StadionÄ,RÉhim HÉsÉnov,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,FC Pyunik am,1–4,sk ŠK Slovan Bratislava,1800,Vazgen Sargsyan anvan Hanrapetakan Marza...,ÃdÃ¡m Farkas,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,17:20,FK AS Trenčín sk,5–1,ge Torpedo Kutaisi,2915,MestskÃ½ futbalovÃ½ Å¡tadiÃ³n Na Sihoti,Tim Marshall,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:30,Dinamo Minsk by,2–1,fo NSÍ Runavík,3480,Stadyen Traktar,Oleksandr Derdo,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:30,Levadia Tallinn ee,0–2,ie Cork City FC,1500,PÃ¤rnu Rannastaadion,JÃ¸rgen Daugbjerg Burchardt,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:00,FK Shkëndija mk,3–0,md Dacia Chișinău,1950,Stadion Mladost,Krzysztof Jakubik,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Shakhtyor by,0–0,lt Sūduva,3100,Stadyen BudaÅ­nik,Aleksandr Aliyev,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,VPS fi,1–0,si Olimpija,3989,Elisa Stadion,Petr ArdeleÃ¡nu,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Dinamo Batumi ge,0–1,pl Jagiellonia,4000,Ramaz Shengelias Sakhelobis Stadioni,Erik Lambrechts,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Chikhura ge,0–1,at SCR Altach,1700,Boris Paichadzis Erovnuli Stadioni,Erez Papir,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:30,Lyngby dk,1–0,wls Bangor City FC,2574,Lyngby Stadion,Stavros Mantalos,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:30,Nõmme Kalju FC ee,2–1,fo B36 Tórshavn,580,A. Le Coq Arena,Leontios Trattou,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:45,Ferencváros hu,2–0,lv FK Jelgava,7123,Groupama Arena,Vasilis Demetriou,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:45,Beitar Jerusalem il,4–3,hu Vasas,100,HaMoshava-Stadion,Nenad ÄokiÄ,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Haugesund no,7–0,nir Coleraine FC,2523,Haugesund Stadion,Alexandru Tean,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Santa Coloma ad,0–2,hr Osijek,600,Estadi Comunal d'Andorra la Vella,Trustin Farrugia Cann,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Odd no,3–0,nir Ballymena Utd,2969,Skagerak Arena,Edin JakupoviÄ,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,FC Zaria Bălți md,2–1,ba FK Sarajevo,2500,Stadionul Zimbru,Alexandros Aretopoulos,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Levski Sofia bg,3–1,me Sutjeska Nikšić,6456,Stadion Georgi Asparuhov,Martin Lundby,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,AEK Larnaca FC cy,5–0,gi Red Imps,3496,AEK Arena - George Karapatakis,Nikolaj HÃ¤nni,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,21:00,Zira az,2–0,lu Differdange 03,4650,DalÄa Arena,Daniyar Sakhi,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:30,CS Fola Esch lu,2–1,md FC Milsami Orhei,989,Stade Ãmile Mayrisch,Dennis Antamo,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Connah's Quay wls,1–0,fi HJK,472,Bangor University Stadium,George GÄman,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Bala Town FC wls,1–2,li Vaduz,803,Corbett Sports Stadium,Alain Durieux,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,KÍ Klaksvík fo,0–0,se AIK Stockholm,1374,Gundadalur,Michael Oceans,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Norrköping se,5–0,xk FC Prishtina,6540,ÃstgÃ¶taporten,Aleksandrs Golubevs,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Vojvodina rs,2–1,sk Ružomberok,5093,Stadion KaraÄorÄe,Halil Meler,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Midtjylland dk,6–1,ie Derry City FC,5122,MCH Arena,Markus Hameter,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Skënderbeu Korçë al,1–0,ad UE Sant Juli,2700,Stadiumi SkÃ«nderbeu,Robert Hennessy,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,21:00,Maccabi Tel Aviv il,2–0,al KF Tirana,7098,Winner Stadium,Tihomir Pejin,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:30,Red Star rs,3–0,mt Floriana FC,19823,Stadion Rajko MitiÄ,Mattias Gestranius,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:30,Mladost Lučani rs,0–3,az Keşla,1950,Stadion Mladosti u LuÄanima,Aleksey Matyunin,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:30,Mladost me,1–0,am Gandzasar,2369,Stadion Pod Goricom,Paul McLaughlin,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:30,NK Široki Brijeg ba,2–0,kz FC Ordabasy,3100,Stadion Pecara,Ferenc KarakÃ³,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:30,S.P. Tre Penne sm,0–1,mk FK Rabotnički,294,Stadio Olimpico di Serravalle,Jason Barcelo,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:30,NK Domžale si,2–0,ee FC Flora,724,Stadion Z'deÅ¾ele,JoÃ£o Pedro Pinheiro,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:45,St. Joseph's gi,0–4,cy AEL Limassol,163,EstÃ¡dio Do Algarve,Petur Reinert,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:45,St Johnstone sct,1–2,lt Trakai,5336,McDiarmid Park,Fran JoviÄ,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:45,Crusaders FC nir,3–1,lv FK Liepāja,1375,Seaview,Anders Poulsen,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:45,Rangers sct,1–0,lu Progrès,48681,Ibrox Stadium,Mohammed Al Hakim,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:45,Valletta FC mt,2–0,sm Folgore,1141,Hibernians Stadium,Denis Scherbakov,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:45,Željezničar ba,1–0,me FK Zeta,8858,Stadion Grbavica,Kirill Levnikov,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:45,Videoton hu,2–0,mt Balzan FC,2188,PuskÃ¡s AkadÃ©mia Pancho ArÃ©na,Dejan Jakimovksi,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:45,Lech Poznań pl,4–0,mk FK Pelister,18215,INEA stadion,LuÃ­s Godinho,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:15,Stjarnan is,0–1,ie Shamrock Rov,1020,Samsung vÃ¶llurinn,Tomasz MusiaÅ,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:15,Knattspyrnufélag Reykjavíkur is,0–0,fi SJK,531,AlvogenvÃ¶llurinn,ZbynÄk Proske,Match Report,Leg 1 of 2,Europa-League,19,2017-2018
First qualifying round,Tue,2017-07-04,17:45,Balzan FC mt,3–3,hu Videoton,550,Hibernians Stadium,Filip Glova,Match Report,Leg 2 of 2; Videoton won,Europa-League,19,2017-2018
First qualifying round,Tue,2017-07-04,19:45,Progrès lu,2–0,sct Rangers,5534,Stade Josy Barthel,VilhjÃ¡lmur Alvar ÃÃ³rarinsson,Match Report,Leg 2 of 2; ProgrÃ¨s won,Europa-League,19,2017-2018
