Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
Preliminary round,Thu,2019-06-27,18:30,Barry Town wls,,0–0,,nir Cliftonville,2106,Cardiff City Stadium (Neutral Site),Jason Barcelo,Match Report,Leg 1 of 2,Europa-League,19,2019-2020
Preliminary round,Thu,2019-06-27,19:30,Progrès lu,,1–0,,wls Cardiff Met,1984,Stade Parc des Sports (Neutral Site),Luis Teixeira,Match Report,Leg 1 of 2,Europa-League,19,2019-2020
Preliminary round,Thu,2019-06-27,19:00,KÍ fo,,5–1,,sm SP Tre Fiori,575,Gundadalur (Neutral Site),Rob Jenkins,Match Report,Leg 1 of 2,Europa-League,19,2019-2020
Preliminary round,Thu,2019-06-27,20:00,UE Sant Juli ad,,3–2,,gi Europa,300,Estadi Comunal d'Andorra la Vella (Neutral Site),Dragan PetroviÄ,Match Report,Leg 1 of 2,Europa-League,19,2019-2020
Preliminary round,Thu,2019-06-27,19:45,Ballymena Utd nir,,2–0,,fo NSÍ Runavík,2270,The Showgrounds (Neutral Site),Athanasios Tzilos,Match Report,Leg 1 of 2,Europa-League,19,2019-2020
Preliminary round,Thu,2019-06-27,20:45,La Fiorita sm,,0–1,,ad Engordany,302,Stadio Olimpico di Serravalle (Neutral Site),Christophe Pires Martins,Match Report,Leg 1 of 2,Europa-League,19,2019-2020
Preliminary round,Thu,2019-06-27,20:45,FC Prishtina xk,,1–1,,gi St. Joseph's,4100,Stadiumi Fadil Vokrri (Neutral Site),Helgi Mikael JÃ³nasson,Match Report,Leg 1 of 2,Europa-League,19,2019-2020
Preliminary round,Tue,2019-07-02,17:45,St. Joseph's gi,,2–0,,xk FC Prishtina,500,Victoria Stadium (Neutral Site),Luca Barbeno,Match Report,Leg 2 of 2; St. Joseph's won,Europa-League,19,2019-2020
Preliminary round,Thu,2019-07-04,18:30,Cardiff Met wls,,2–1,,lu Progrès,1316,Cardiff City Stadium (Neutral Site),Loukas Soteriou,Match Report,Leg 2 of 2; ProgrÃ¨s won,Europa-League,19,2019-2020
Preliminary round,Thu,2019-07-04,19:30,Engordany ad,,2–1,,sm La Fiorita,428,Estadi Comunal d'Andorra la Vella (Neutral Site),Alexandru Tean,Match Report,Leg 2 of 2; Engordany won,Europa-League,19,2019-2020
Preliminary round,Thu,2019-07-04,19:00,NSÍ Runavík fo,,0–0,,nir Ballymena Utd,553,SvangaskarÃ° (Neutral Site),Besfort Kasumi,Match Report,Leg 2 of 2; Ballymena Utd won,Europa-League,19,2019-2020
Preliminary round,Thu,2019-07-04,20:30,Europa gi,,4–0,,ad UE Sant Juli,1075,Victoria Stadium (Neutral Site),Matthew De Gabriele,Match Report,Leg 2 of 2; Europa won,Europa-League,19,2019-2020
Preliminary round,Thu,2019-07-04,19:45,Cliftonville nir,,4–0,,wls Barry Town,1946,Solitude (Neutral Site),Fyodor Zammit,Match Report,Leg 2 of 2; Cliftonville won,Europa-League,19,2019-2020
Preliminary round,Thu,2019-07-04,20:45,SP Tre Fiori sm,,0–4,,fo KÍ,177,Stadio Olimpico di Serravalle (Neutral Site),Novak SimoviÄ,Match Report,Leg 2 of 2; KÃ won,Europa-League,19,2019-2020
,,,,,,,,,,,,,,Europa-League,19,2019-2020
First qualifying round,Tue,2019-07-09,17:55,St. Joseph's gi,,0–4,,sct Rangers,2050,Victoria Stadium,Nejc KajtazoviÄ,Match Report,Leg 1 of 2,Europa-League,19,2019-2020
