Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
Preliminary round,Tue,2020-08-18,20:00,Engordany ad,,1–3,,me Zeta,,Estadi Comunal d'Andorra la Vella,Juxhin Xhaja,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,17:30,St. Joseph's gi,,1–2,,fo B36,,Victoria Stadium,Jasmin Šabotić,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,18:00,NSÍ Runavík fo,,5–1,,wls Barry Town,,Svangaskarð,Pavel Rejžek,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,19:30,Santa Coloma ad,,(3) 0–0 (4),,me Iskra,,Estadi Comunal d'Andorra la Vella,Keith Kennedy,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,19:00,Glentoran FC nir,,1–0,,fo HB,,The Oval,Lukas Fähndrich,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,19:30,Coleraine FC nir,,1–0,,sm La Fiorita,,The Showgrounds,Christian-Petru Ciochirca,Europa-League,19,2020-2021
Preliminary round,Fri,2020-08-21,20:00,Tre Penne sm,,1–3,,xk KF Gjilani,100,Stadio Fonte Dell'Ovo,Alex Troleis,Europa-League,19,2020-2021
Preliminary round,Sat,2020-08-22,18:00,Red Imps gi,,3–0,,xk FC Prishtina,,Victoria Stadium,David Munro,Europa-League,19,2020-2021
,,,,,,,,,,,,Europa-League,19,2020-2021
First qualifying round,Tue,2020-08-25,19:00,Riteriai lt,,3–2,,ie Derry City FC,,Vilniaus LFF stadionas,Ville Nevalainen,Europa-League,19,2020-2021
First qualifying round,Wed,2020-08-26,18:30,Progrès lu,,3–0,,me Zeta,,Stade Parc des Sports,Rəhim Həsənov,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,17:00,Ventspils lv,,2–1,,md Dinamo-Auto,,Olimpiskā centra Ventspils Stadionā,Eldorjan Hamiti,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Ordabasy kz,,1–2,,ro Botoșani,,Stadion Qajimuqan Muñaytpasov,Rauf Cabbarov,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Qaırat Almaty kz,,4–1,,am FC Noah,,Ortalıq Stadion,Kristoffer Karlsson,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,16:30,Teuta Durrës al,,2–0,,il Beitar Jerusalem,,Stadiumi Niko Dovana,N. Neokleous,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,16:30,Borac Banja Luka ba,,1–0,,me Sutjeska Nikšić,,Gradski Stadion,Morten Krogh,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,18:00,Dinamo Minsk by,,0–2,,pl Piast Gliwice,,Stadyen Dynama,Lazar Lukić,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,17:30,Red Imps gi,,2–0,,lu Union Titus Pétange,,Victoria Stadium,Helgi Mikael Jónasson,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,18:00,Bodø/Glimt no,,6–1,,lt Kauno Žalgiris,,Aspmyra Stadion,Oskari Hämäläinen,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,19:00,Apollon cy,,5–1,,ge Saburtalo,,Neo GSP,Adrien Jaccottet,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Alashkert am,,0–1,,mk FK Renova,,Vazgen Sargsyan anvan Hanrapetakan Marza...,Nick Walsh,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Sumgayit FK az,,0–2,,mk Shkëndija 79,,Kapital Bank Arena,Arman Ismuratov,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Neftçi az,,2–1,,mk Shkupi Skopje,,Bakcell Arena,Aleksandrs Golubevs,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,18:30,Vidi hu,,(4) 1–1 (2),,ie Bohemian FC,,Sóstói Stadion,Timotheos Christofi,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,18:30,Olimpija si,,2–1,,is KV,,Stadion Stožice,Walter Altmann,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,19:00,KF Gjilani xk,,0–2,,cy APOEL,,Stadiumi Fadil Vokrri,Igal Frid,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,19:00,Malmö se,,2–0,,pl Cracovia,,Swedbank Stadion,Urs Schnyder,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,19:00,AGF dk,,5–2,,fi FC Honka,,Ceres Park,Ioannis Papadopoulos,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,19:00,Vaduz li,,0–2,,mt Hibernians,,Rheinpark Stadion,Luis Do Nascimento,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,19:00,Hammarby se,,3–0,,hu Puskás,,Tele2 Arena,Mario Zebec,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,19:00,Rosenborg no,,4–2,,is Breiðablik,,Lerkendal Stadion,Matthew De Gabriele,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,CSKA Sofia bg,,2–1,,mt Sirens FC,,Stadion Bâlgarska Armija,Krzysztof Jakubik,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Žalgiris lt,,2–0,,ee Paide Linnameeskond,,Vilniaus LFF stadionas,Petri Viljanen,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,21:00,Lokomotivi Tbilisi ge,,2–1,,ro CS U Craiova,,Mikheil Meskhis sakhelobis Stadioni,Miloš Đorđić,Europa-League,19,2020-2021
Round,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,21:00,Keşla az,,(4) 0–0 (5),,al Laçi,,Inter Arena,Goga Kikacheishvili,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,17:15,FH is,,0–2,,sk Dunajská Streda,,Kaplakrikavöllur,Jason Barcelo,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,18:30,The New Saints wls,,3–1,,sk MŠK Žilina,,Park Hall Stadium,Manfredas Lukjančukas,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:30,Shakhtyor by,,(1) 0–0 (4),,md Sfântul Gheorghe Suruceni,,Stadyen Budaŭnik,Dragan Petrović,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:45,Be'er Sheva il,,3–0,,ge Dinamo Batumi,,HaMoshava-Stadion,Aleksandrs Anufrijevs,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,19:00,B36 fo,,4–3,,ee Levadia Tallinn,,Tórsvøllur,Don Robertson,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Valletta mt,,0–1,,wls Bala Town FC,,MFA Centenary Stadium,Luca Barbeno,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Zrinjski Mostar ba,,3–0,,lu Differdange,20,Stadion Bijeli Brijeg,Aristotelis Diamantopoulos,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Kukësi al,,2–1,,bg Slavia Sofia,,Air Albania Stadium,Arda Kardeşler,Europa-League,19,2020-2021
