Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
Preliminary round,Tue,2020-08-18,20:00,Engordany ad,,1–3,,me Zeta,,Estadi Comunal d'Andorra la Vella,Juxhin Xhaja,Match Report,,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,17:30,St. Joseph's gi,,1–2,,fo B36,,Victoria Stadium,Jasmin Å abotiÄ,Match Report,,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,18:00,NSÍ Runavík fo,,5–1,,wls Barry Town,,SvangaskarÃ°,Pavel RejÅ¾ek,Match Report,,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,19:30,Santa Coloma ad,,(3) 0–0 (4),,me Iskra,,Estadi Comunal d'Andorra la Vella,Keith Kennedy,Match Report,Iskra won on penalty kicks following extra time,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,19:00,Glentoran FC nir,,1–0,,fo HB,,The Oval,Lukas FÃ¤hndrich,Match Report,,Europa-League,19,2020-2021
Preliminary round,Thu,2020-08-20,19:30,Coleraine FC nir,,1–0,,sm La Fiorita,,The Showgrounds,Christian-Petru Ciochirca,Match Report,,Europa-League,19,2020-2021
Preliminary round,Fri,2020-08-21,20:00,Tre Penne sm,,1–3,,xk KF Gjilani,100,Stadio Fonte Dell'Ovo,Alex Troleis,Match Report,,Europa-League,19,2020-2021
Preliminary round,Sat,2020-08-22,18:00,Red Imps gi,,3–0,,xk FC Prishtina,,Victoria Stadium,David Munro,Match Report,Match awarded to,Europa-League,19,2020-2021
,,,,,,,,,,,,,,Europa-League,19,2020-2021
First qualifying round,Tue,2020-08-25,19:00,Riteriai lt,,3–2,,ie Derry City FC,,Vilniaus LFF stadionas,Ville Nevalainen,Match Report,Required Extra Time,Europa-League,19,2020-2021
First qualifying round,Wed,2020-08-26,18:30,Progrès lu,,3–0,,me Zeta,,Stade Parc des Sports,RÉhim HÉsÉnov,Match Report,,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,17:00,Ventspils lv,,2–1,,md Dinamo-Auto,,OlimpiskÄ centra Ventspils StadionÄ,Eldorjan Hamiti,Match Report,,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Ordabasy kz,,1–2,,ro Botoșani,,Stadion Qajimuqan MuÃ±aytpasov,Rauf Cabbarov,Match Report,,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,20:00,Qaırat Almaty kz,,4–1,,am FC Noah,,OrtalÄ±q Stadion,Kristoffer Karlsson,Match Report,,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,16:30,Teuta Durrës al,,2–0,,il Beitar Jerusalem,,Stadiumi Niko Dovana,N. Neokleous,Match Report,,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,16:30,Borac Banja Luka ba,,1–0,,me Sutjeska Nikšić,,Gradski Stadion,Morten Krogh,Match Report,,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,18:00,Dinamo Minsk by,,0–2,,pl Piast Gliwice,,Stadyen Dynama,Lazar LukiÄ,Match Report,,Europa-League,19,2020-2021
First qualifying round,Thu,2020-08-27,17:30,Red Imps gi,,2–0,,lu Union Titus Pétange,,Victoria Stadium,Helgi Mikael JÃ³nasson,Match Report,,Europa-League,19,2020-2021
