Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Fri,2021-08-13,21:00,Valencia,1.3,1–0,1.2,Getafe,9868.0,Estadio de Mestalla,Jesús Gil,La-Liga,12,2021-2022
1.0,Sat,2021-08-14,19:30,Mallorca,0.4,1–1,0.9,Betis,6279.0,Iberostar Estadi,Antonio Matéu Lahoz,La-Liga,12,2021-2022
1.0,Sat,2021-08-14,19:30,Cádiz,0.4,1–1,1.0,Levante,6941.0,Estadio Nuevo Mirandilla,Santiago Jaime,La-Liga,12,2021-2022
1.0,Sat,2021-08-14,22:00,Osasuna,0.8,0–0,0.7,Espanyol,6715.0,Estadio El Sadar,Miguel Ángel Ortiz Arias,La-Liga,12,2021-2022
1.0,Sat,2021-08-14,22:00,Alavés,1.7,1–4,1.8,Real Madrid,3968.0,Estadio de Mendizorroza,César Soto,La-Liga,12,2021-2022
1.0,Sun,2021-08-15,17:30,Celta Vigo,2.0,1–2,1.4,Atlético Madrid,5401.0,Estadio de Balaídos,José Luis Munuera,La-Liga,12,2021-2022
1.0,Sun,2021-08-15,20:00,Barcelona,2.7,4–2,0.8,Real Sociedad,20384.0,Camp Nou,Alejandro Hernández,La-Liga,12,2021-2022
1.0,Sun,2021-08-15,22:15,Sevilla,3.5,3–0,0.3,Rayo Vallecano,13962.0,Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera,La-Liga,12,2021-2022
1.0,Mon,2021-08-16,20:00,Villarreal,1.1,0–0,0.3,Granada,7837.0,Estadio de la Cerámica,Pablo González,La-Liga,12,2021-2022
1.0,Mon,2021-08-16,22:00,Elche,0.9,0–0,0.6,Athletic Club,9145.0,Estadio Manuel Martínez Valero,Adrián Cordero,La-Liga,12,2021-2022
,,,,,,,,,,,,La-Liga,12,2021-2022
2.0,Fri,2021-08-20,21:00,Betis,1.5,1–1,1.4,Cádiz,23745.0,Estadio Benito Villamarín,Valentín Pizarro,La-Liga,12,2021-2022
2.0,Sat,2021-08-21,17:00,Alavés,0.5,0–1,0.8,Mallorca,2896.0,Estadio de Mendizorroza,Alejandro Muñíz,La-Liga,12,2021-2022
2.0,Sat,2021-08-21,19:30,Granada,0.8,1–1,1.9,Valencia,6267.0,Estadio Nuevo Los Cármenes,Carlos del Cerro,La-Liga,12,2021-2022
2.0,Sat,2021-08-21,19:30,Espanyol,1.8,0–0,0.5,Villarreal,11095.0,RCDE Stadium,Jorge Figueroa,La-Liga,12,2021-2022
2.0,Sat,2021-08-21,22:00,Athletic Club,1.6,1–1,1.0,Barcelona,9394.0,San Mamés,Juan Martínez,La-Liga,12,2021-2022
2.0,Sun,2021-08-22,17:00,Real Sociedad,2.0,1–0,0.5,Rayo Vallecano,7652.0,Estadio Municipal de Anoeta,Santiago Jaime,La-Liga,12,2021-2022
2.0,Sun,2021-08-22,19:30,Atlético Madrid,1.3,1–0,0.2,Elche,24926.0,Estadio Wanda Metropolitano,Ricardo de Burgos,La-Liga,12,2021-2022
2.0,Sun,2021-08-22,22:00,Levante,1.9,3–3,1.2,Real Madrid,9838.0,Estadio Ciudad de Valencia,Guillermo Cuadra,La-Liga,12,2021-2022
2.0,Mon,2021-08-23,20:00,Getafe,0.5,0–1,0.7,Sevilla,4810.0,Coliseum Alfonso Pérez,José Sánchez,La-Liga,12,2021-2022
2.0,Mon,2021-08-23,22:00,Osasuna,2.1,0–0,0.2,Celta Vigo,7189.0,Estadio El Sadar,Alberola Rojas,La-Liga,12,2021-2022
3.0,Fri,2021-08-27,20:00,Mallorca,0.8,1–0,0.4,Espanyol,7529.0,Iberostar Estadi,Isidro Díaz de Mera,La-Liga,12,2021-2022
3.0,Fri,2021-08-27,22:15,Valencia,1.5,3–0,0.4,Alavés,10627.0,Estadio de Mestalla,Miguel Ángel Ortiz Arias,La-Liga,12,2021-2022
3.0,Sat,2021-08-28,17:00,Celta Vigo,1.1,0–1,1.2,Athletic Club,5492.0,Estadio de Balaídos,Antonio Matéu Lahoz,La-Liga,12,2021-2022
3.0,Sat,2021-08-28,19:30,Elche,0.8,1–1,1.6,Sevilla,10385.0,Estadio Manuel Martínez Valero,Valentín Pizarro,La-Liga,12,2021-2022
3.0,Sat,2021-08-28,19:30,Real Sociedad,0.9,1–0,0.2,Levante,7758.0,Estadio Municipal de Anoeta,José Luis Munuera,La-Liga,12,2021-2022
