Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
1.0,Fri,2018-08-10,20:45,Marseille,2.8,4–0,0.3,Toulouse,60756.0,Orange VÃ©lodrome,Ruddy Buquet,Match Report,,Ligue-1,13,2018-2019
1.0,Sat,2018-08-11,17:00,Nantes,1.6,1–3,2.2,Monaco,32760.0,Stade de la Beaujoire - Louis Fonteneau,JÃ©rÃ´me Brisard,Match Report,,Ligue-1,13,2018-2019
1.0,Sat,2018-08-11,20:00,Montpellier,2.0,1–2,2.0,Dijon,12765.0,Stade de la Mosson,Florent Batta,Match Report,,Ligue-1,13,2018-2019
1.0,Sat,2018-08-11,20:00,Lille,1.5,3–1,0.5,Rennes,25708.0,Stade Pierre-Mauroy,Willy Delajod,Match Report,,Ligue-1,13,2018-2019
1.0,Sat,2018-08-11,20:00,Angers,2.5,3–4,1.8,Nîmes,9534.0,Stade Raymond Kopa,Antony Gautier,Match Report,,Ligue-1,13,2018-2019
1.0,Sat,2018-08-11,20:00,Saint-Étienne,1.0,2–1,1.9,Guingamp,26006.0,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,,Ligue-1,13,2018-2019
1.0,Sat,2018-08-11,20:00,Nice,1.3,0–1,0.5,Reims,21421.0,Stade de Nice,Johan Hamel,Match Report,,Ligue-1,13,2018-2019
1.0,Sun,2018-08-12,15:00,Lyon,1.0,2–0,0.5,Amiens,48263.0,Groupama Stadium,Franck Schneider,Match Report,,Ligue-1,13,2018-2019
1.0,Sun,2018-08-12,17:00,Bordeaux,0.2,0–2,1.7,Strasbourg,23079.0,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,Match Report,,Ligue-1,13,2018-2019
1.0,Sun,2018-08-12,21:00,Paris S-G,2.8,3–0,0.2,Caen,47289.0,Parc des Princes,BenoÃ®t Bastien,Match Report,,Ligue-1,13,2018-2019
,,,,,,,,,,,,,,Ligue-1,13,2018-2019
2.0,Fri,2018-08-17,20:45,Reims,0.6,1–0,2.1,Lyon,18917.0,Stade Auguste-Delaune II,Ruddy Buquet,Match Report,,Ligue-1,13,2018-2019
2.0,Sat,2018-08-18,17:00,Guingamp,1.1,1–3,2.2,Paris S-G,19003.0,Stade du Roudourou,ClÃ©ment Turpin,Match Report,,Ligue-1,13,2018-2019
2.0,Sat,2018-08-18,20:00,Amiens,1.2,1–2,0.3,Montpellier,10402.0,Stade de la Licorne,Karim Abed,Match Report,,Ligue-1,13,2018-2019
2.0,Sat,2018-08-18,20:00,Rennes,0.5,1–0,0.5,Angers,19300.0,Roazhon Park,Olivier Thual,Match Report,,Ligue-1,13,2018-2019
2.0,Sat,2018-08-18,20:00,Caen,1.3,1–1,0.8,Nice,16132.0,Stade Michel d'Ornano,Eric Wattellier,Match Report,,Ligue-1,13,2018-2019
2.0,Sat,2018-08-18,20:00,Monaco,1.5,0–0,0.6,Lille,11140.0,Stade Louis II.,Thomas LÃ©onard,Match Report,,Ligue-1,13,2018-2019
2.0,Sat,2018-08-18,20:00,Dijon,3.4,2–0,0.2,Nantes,13617.0,Stade Gaston GÃ©rard,Jeremy Stinat,Match Report,,Ligue-1,13,2018-2019
2.0,Sun,2018-08-19,15:00,Strasbourg,1.0,1–1,0.7,Saint-Étienne,25385.0,Stade de la Meinau,BenoÃ®t Millot,Match Report,,Ligue-1,13,2018-2019
2.0,Sun,2018-08-19,17:00,Toulouse,2.0,2–1,1.7,Bordeaux,15387.0,Stadium Municipal,FranÃ§ois Letexier,Match Report,,Ligue-1,13,2018-2019
2.0,Sun,2018-08-19,21:00,Nîmes,1.8,3–1,1.0,Marseille,15285.0,Stade des CostiÃ¨res,BenoÃ®t Bastien,Match Report,,Ligue-1,13,2018-2019
3.0,Fri,2018-08-24,20:45,Lyon,1.5,2–0,0.7,Strasbourg,47341.0,Groupama Stadium,Amaury Delerue,Match Report,,Ligue-1,13,2018-2019
3.0,Sat,2018-08-25,17:00,Paris S-G,2.0,3–1,1.7,Angers,47105.0,Parc des Princes,JÃ©rÃ´me Miguelgorry,Match Report,,Ligue-1,13,2018-2019
3.0,Sat,2018-08-25,20:00,Nantes,1.5,1–1,0.4,Caen,19674.0,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,,Ligue-1,13,2018-2019
3.0,Sat,2018-08-25,20:00,Toulouse,2.5,1–0,0.4,Nîmes,11746.0,Stadium Municipal,Franck Schneider,Match Report,,Ligue-1,13,2018-2019
3.0,Sat,2018-08-25,20:00,Montpellier,0.9,0–0,0.3,Saint-Étienne,14777.0,Stade de la Mosson,JÃ©rÃ´me Brisard,Match Report,,Ligue-1,13,2018-2019
3.0,Sat,2018-08-25,20:00,Amiens,1.7,4–1,0.9,Reims,10709.0,Stade de la Licorne,Florent Batta,Match Report,,Ligue-1,13,2018-2019
3.0,Sat,2018-08-25,20:00,Nice,1.9,0–4,1.2,Dijon,17923.0,Stade de Nice,Willy Delajod,Match Report,,Ligue-1,13,2018-2019
3.0,Sun,2018-08-26,15:00,Lille,1.8,3–0,0.7,Guingamp,27230.0,Stade Pierre-Mauroy,Johan Hamel,Match Report,,Ligue-1,13,2018-2019
3.0,Sun,2018-08-26,17:00,Bordeaux,2.6,2–1,0.7,Monaco,21607.0,Stade Matmut-Atlantique,ClÃ©ment Turpin,Match Report,,Ligue-1,13,2018-2019
3.0,Sun,2018-08-26,21:00,Marseille,1.4,2–2,2.4,Rennes,53471.0,Orange VÃ©lodrome,Antony Gautier,Match Report,,Ligue-1,13,2018-2019
4.0,Fri,2018-08-31,20:45,Lyon,2.2,0–1,0.5,Nice,53438.0,Groupama Stadium,FranÃ§ois Letexier,Match Report,,Ligue-1,13,2018-2019
4.0,Sat,2018-09-01,17:00,Nîmes,1.5,2–4,2.3,Paris S-G,15311.0,Stade des CostiÃ¨res,JÃ©rÃ´me Brisard,Match Report,,Ligue-1,13,2018-2019
4.0,Sat,2018-09-01,20:00,Strasbourg,1.6,2–3,1.0,Nantes,25091.0,Stade de la Meinau,Olivier Thual,Match Report,,Ligue-1,13,2018-2019
4.0,Sat,2018-09-01,20:00,Reims,2.6,0–1,0.5,Montpellier,12042.0,Stade Auguste-Delaune II,Jeremy Stinat,Match Report,,Ligue-1,13,2018-2019
4.0,Sat,2018-09-01,20:00,Guingamp,2.2,1–2,1.1,Toulouse,12327.0,Stade du Roudourou,Karim Abed,Match Report,,Ligue-1,13,2018-2019
