Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Fri,2019-08-09,20:45,Monaco,0.8,0–3,0.8,Lyon,10000.0,Stade Louis II.,Ruddy Buquet,Ligue-1,13,2019-2020
1.0,Sat,2019-08-10,17:30,Marseille,0.5,0–2,1.5,Reims,52887.0,Orange Vélodrome,Jérôme Brisard,Ligue-1,13,2019-2020
1.0,Sat,2019-08-10,20:00,Brest,1.7,1–1,2.0,Toulouse,14238.0,Stade Francis-Le Blé,Olivier Thual,Ligue-1,13,2019-2020
1.0,Sat,2019-08-10,20:00,Angers,1.4,3–1,1.0,Bordeaux,10749.0,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
1.0,Sat,2019-08-10,20:00,Dijon,2.1,1–2,1.3,Saint-Étienne,14334.0,Stade Gaston Gérard,Thomas Léonard,Ligue-1,13,2019-2020
1.0,Sat,2019-08-10,20:00,Nice,1.7,2–1,0.9,Amiens,17719.0,Stade de Nice,Jérémie Pignard,Ligue-1,13,2019-2020
1.0,Sat,2019-08-10,20:00,Montpellier,2.0,0–1,1.1,Rennes,15212.0,Stade de la Mosson,Willy Delajod,Ligue-1,13,2019-2020
1.0,Sun,2019-08-11,15:00,Lille,1.5,2–1,0.7,Nantes,34494.0,Stade Pierre-Mauroy,Mikael Lesage,Ligue-1,13,2019-2020
1.0,Sun,2019-08-11,17:00,Strasbourg,1.3,1–1,0.7,Metz,25476.0,Stade de la Meinau,Antony Gautier,Ligue-1,13,2019-2020
1.0,Sun,2019-08-11,21:00,Paris S-G,3.0,3–0,0.3,Nîmes,47151.0,Parc des Princes,Clément Turpin,Ligue-1,13,2019-2020
,,,,,,,,,,,,Ligue-1,13,2019-2020
2.0,Fri,2019-08-16,20:45,Lyon,1.3,6–0,0.3,Angers,49871.0,Groupama Stadium,Benoît Millot,Ligue-1,13,2019-2020
2.0,Sat,2019-08-17,17:30,Nantes,0.6,0–0,1.1,Marseille,34832.0,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Ligue-1,13,2019-2020
2.0,Sat,2019-08-17,20:00,Nîmes,1.2,1–2,1.6,Nice,13243.0,Stade des Costières,François Letexier,Ligue-1,13,2019-2020
2.0,Sat,2019-08-17,20:00,Metz,2.3,3–0,0.8,Monaco,19088.0,Stade Saint-Symphorien,Eric Wattellier,Ligue-1,13,2019-2020
2.0,Sat,2019-08-17,20:00,Toulouse,1.9,1–0,1.3,Dijon,10583.0,Stadium Municipal,Ruddy Buquet,Ligue-1,13,2019-2020
2.0,Sat,2019-08-17,20:00,Bordeaux,0.9,1–1,0.5,Montpellier,30192.0,Stade Matmut-Atlantique,Franck Schneider,Ligue-1,13,2019-2020
2.0,Sat,2019-08-17,20:00,Amiens,1.3,1–0,0.2,Lille,12481.0,Stade de la Licorne,Karim Abed,Ligue-1,13,2019-2020
2.0,Sun,2019-08-18,15:00,Saint-Étienne,1.7,1–1,0.5,Brest,28645.0,Stade Geoffroy-Guichard,Johan Hamel,Ligue-1,13,2019-2020
2.0,Sun,2019-08-18,17:00,Reims,0.4,0–0,0.4,Strasbourg,13714.0,Stade Auguste-Delaune II,Florent Batta,Ligue-1,13,2019-2020
2.0,Sun,2019-08-18,21:00,Rennes,0.8,2–1,0.7,Paris S-G,28596.0,Roazhon Park,Antony Gautier,Ligue-1,13,2019-2020
3.0,Sat,2019-08-24,20:00,Angers,1.4,3–0,0.1,Metz,9001.0,Stade Raymond Kopa,Stéphanie Frappart,Ligue-1,13,2019-2020
3.0,Sat,2019-08-24,20:00,Amiens,0.4,1–2,2.2,Nantes,11393.0,Stade de la Licorne,Jeremy Stinat,Ligue-1,13,2019-2020
3.0,Sat,2019-08-24,20:00,Dijon,0.5,0–2,0.7,Bordeaux,12471.0,Stade Gaston Gérard,François Letexier,Ligue-1,13,2019-2020
3.0,Sat,2019-08-24,20:00,Brest,0.6,1–0,0.8,Reims,13958.0,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
3.0,Sun,2019-08-25,15:00,Monaco,3.0,2–2,1.3,Nîmes,7438.0,Stade Louis II.,Amaury Delerue,Ligue-1,13,2019-2020
3.0,Sun,2019-08-25,17:00,Strasbourg,1.8,0–2,0.4,Rennes,24951.0,Stade de la Meinau,Ruddy Buquet,Ligue-1,13,2019-2020
3.0,Sun,2019-08-25,21:00,Paris S-G,3.5,4–0,0.3,Toulouse,47325.0,Parc des Princes,Jérôme Brisard,Ligue-1,13,2019-2020
3.0,Tue,2019-08-27,19:00,Montpellier,2.0,1–0,0.8,Lyon,19387.0,Stade de la Mosson,Mikael Lesage,Ligue-1,13,2019-2020
3.0,Wed,2019-08-28,19:00,Lille,2.6,3–0,0.5,Saint-Étienne,36138.0,Stade Pierre-Mauroy,Olivier Thual,Ligue-1,13,2019-2020
3.0,Wed,2019-08-28,21:00,Nice,1.5,1–2,1.6,Marseille,31825.0,Stade de Nice,Clément Turpin,Ligue-1,13,2019-2020
