Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Fri,2021-08-06,21:00,Monaco,2.0,1–1,0.3,Nantes,7500.0,Stade Louis II.,Antony Gautier,Ligue-1,13,2021-2022
1.0,Sat,2021-08-07,17:00,Lyon,1.4,1–1,0.8,Brest,29018.0,Groupama Stadium,Mikael Lesage,Ligue-1,13,2021-2022
1.0,Sat,2021-08-07,21:00,Troyes,0.8,1–2,1.2,Paris S-G,15248.0,Stade de l'Aube,Amaury Delerue,Ligue-1,13,2021-2022
1.0,Sun,2021-08-08,13:00,Rennes,0.6,1–1,2.0,Lens,22567.0,Roazhon Park,Bastien Dechepy,Ligue-1,13,2021-2022
1.0,Sun,2021-08-08,15:00,Strasbourg,0.4,0–2,0.9,Angers,23250.0,Stade de la Meinau,Jeremy Stinat,Ligue-1,13,2021-2022
1.0,Sun,2021-08-08,15:00,Saint-Étienne,2.1,1–1,1.3,Lorient,20461.0,Stade Geoffroy-Guichard,Thomas Léonard,Ligue-1,13,2021-2022
1.0,Sun,2021-08-08,15:00,Bordeaux,0.7,0–2,3.3,Clermont Foot,18748.0,Stade Matmut-Atlantique,Florent Batta,Ligue-1,13,2021-2022
1.0,Sun,2021-08-08,15:00,Nice,0.8,0–0,0.2,Reims,18030.0,Stade de Nice,Johan Hamel,Ligue-1,13,2021-2022
1.0,Sun,2021-08-08,17:00,Metz,0.7,3–3,1.4,Lille,15551.0,Stade Saint-Symphorien,Eric Wattellier,Ligue-1,13,2021-2022
1.0,Sun,2021-08-08,20:45,Montpellier,0.5,2–3,2.0,Marseille,13500.0,Stade de la Mosson,Jérémie Pignard,Ligue-1,13,2021-2022
,,,,,,,,,,,,Ligue-1,13,2021-2022
2.0,Fri,2021-08-13,21:00,Lorient,0.8,1–0,0.9,Monaco,12149.0,Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Ligue-1,13,2021-2022
2.0,Sat,2021-08-14,17:00,Lille,1.0,0–4,2.2,Nice,30144.0,Stade Pierre-Mauroy,Jérôme Brisard,Ligue-1,13,2021-2022
2.0,Sat,2021-08-14,21:00,Paris S-G,2.5,4–2,0.6,Strasbourg,46962.0,Parc des Princes,Willy Delajod,Ligue-1,13,2021-2022
2.0,Sun,2021-08-15,13:00,Angers,1.4,3–0,0.9,Lyon,6154.0,Stade Raymond Kopa,Clément Turpin,Ligue-1,13,2021-2022
2.0,Sun,2021-08-15,15:00,Clermont Foot,2.3,2–0,0.5,Troyes,11005.0,Stade Gabriel Montpied,Romain Lissorgue,Ligue-1,13,2021-2022
2.0,Sun,2021-08-15,15:00,Nantes,1.4,2–0,1.1,Metz,12054.0,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Ligue-1,13,2021-2022
2.0,Sun,2021-08-15,15:00,Brest,1.5,1–1,0.9,Rennes,14271.0,Stade Francis-Le Blé,Benoît Bastien,Ligue-1,13,2021-2022
2.0,Sun,2021-08-15,15:00,Reims,2.1,3–3,2.0,Montpellier,8887.0,Stade Auguste-Delaune II,Jeremy Stinat,Ligue-1,13,2021-2022
2.0,Sun,2021-08-15,17:00,Lens,1.8,2–2,1.2,Saint-Étienne,35541.0,Stade Bollaert-Delelis,Amaury Delerue,Ligue-1,13,2021-2022
2.0,Sun,2021-08-15,20:45,Marseille,1.1,2–2,0.4,Bordeaux,50000.0,Orange Vélodrome,Ruddy Buquet,Ligue-1,13,2021-2022
3.0,Fri,2021-08-20,21:00,Brest,1.2,2–4,1.4,Paris S-G,14586.0,Stade Francis-Le Blé,Eric Wattellier,Ligue-1,13,2021-2022
3.0,Sat,2021-08-21,17:00,Monaco,0.4,0–2,0.7,Lens,6483.0,Stade Louis II.,Jérémie Pignard,Ligue-1,13,2021-2022
3.0,Sat,2021-08-21,21:00,Saint-Étienne,0.4,1–1,1.2,Lille,20673.0,Stade Geoffroy-Guichard,Mikael Lesage,Ligue-1,13,2021-2022
3.0,Sun,2021-08-22,13:00,Lyon,3.8,3–3,1.3,Clermont Foot,34713.0,Groupama Stadium,Thomas Léonard,Ligue-1,13,2021-2022
3.0,Sun,2021-08-22,15:00,Strasbourg,2.2,1–1,1.2,Troyes,22185.0,Stade de la Meinau,Jérôme Brisard,Ligue-1,13,2021-2022
3.0,Sun,2021-08-22,15:00,Montpellier,2.8,3–1,0.7,Lorient,6527.0,Stade de la Mosson,Bastien Dechepy,Ligue-1,13,2021-2022
3.0,Sun,2021-08-22,15:00,Metz,0.7,1–1,1.6,Reims,14799.0,Stade Saint-Symphorien,Florent Batta,Ligue-1,13,2021-2022
3.0,Sun,2021-08-22,15:00,Bordeaux,0.7,1–1,0.9,Angers,18281.0,Stade Matmut-Atlantique,Pierre Gaillouste,Ligue-1,13,2021-2022
3.0,Sun,2021-08-22,17:00,Rennes,0.9,1–0,0.5,Nantes,27569.0,Roazhon Park,Stéphanie Frappart,Ligue-1,13,2021-2022
4.0,Fri,2021-08-27,21:00,Nantes,1.3,0–1,1.7,Lyon,23177.0,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Ligue-1,13,2021-2022
4.0,Sat,2021-08-28,17:00,Nice,3.1,4–0,0.8,Bordeaux,,Stade de Nice,Jérémie Pignard,Ligue-1,13,2021-2022
4.0,Sat,2021-08-28,21:00,Marseille,2.6,3–1,1.0,Saint-Étienne,55039.0,Orange Vélodrome,Benoît Millot,Ligue-1,13,2021-2022
4.0,Sun,2021-08-29,13:00,Troyes,1.0,1–2,2.0,Monaco,9866.0,Stade de l'Aube,Johan Hamel,Ligue-1,13,2021-2022
4.0,Sun,2021-08-29,15:00,Clermont Foot,1.9,2–2,1.5,Metz,11274.0,Stade Gabriel Montpied,Hakim Ben El Hadj Salem,Ligue-1,13,2021-2022
4.0,Sun,2021-08-29,15:00,Strasbourg,1.6,3–1,0.9,Brest,22341.0,Stade de la Meinau,Romain Lissorgue,Ligue-1,13,2021-2022
4.0,Sun,2021-08-29,15:00,Angers,2.2,2–0,0.9,Rennes,6473.0,Stade Raymond Kopa,Antony Gautier,Ligue-1,13,2021-2022
4.0,Sun,2021-08-29,15:00,Lens,2.1,2–2,1.7,Lorient,35029.0,Stade Bollaert-Delelis,Willy Delajod,Ligue-1,13,2021-2022
4.0,Sun,2021-08-29,17:00,Lille,1.7,2–1,0.6,Montpellier,28859.0,Stade Pierre-Mauroy,Amaury Delerue,Ligue-1,13,2021-2022
4.0,Sun,2021-08-29,20:45,Reims,0.6,0–2,1.2,Paris S-G,20525.0,Stade Auguste-Delaune II,François Letexier,Ligue-1,13,2021-2022
5.0,Fri,2021-09-10,21:00,Lorient,2.3,2–1,1.4,Lille,10271.0,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Ligue-1,13,2021-2022
