Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Sat,2020-09-19,18:00,Fiorentina,1.9,1–0,0.6,Torino,,Stadio Artemio Franchi,Rosario Abisso,Serie-A,11,2020-2021
1.0,Sat,2020-09-19,20:45,Hellas Verona,1.3,3–0,1.7,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Serie-A,11,2020-2021
1.0,Sun,2020-09-20,12:30,Parma,0.2,0–2,1.6,Napoli,1000.0,Stadio Ennio Tardini,Maurizio Mariani,Serie-A,11,2020-2021
1.0,Sun,2020-09-20,15:00,Genoa,2.0,4–1,1.2,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Serie-A,11,2020-2021
1.0,Sun,2020-09-20,18:00,Sassuolo,2.3,1–1,1.0,Cagliari,850.0,Stadio Citt del Tricolore,Livio Marinelli,Serie-A,11,2020-2021
1.0,Sun,2020-09-20,20:45,Juventus,2.4,3–0,0.8,Sampdoria,1000.0,Allianz Stadium,Marco Piccinini,Serie-A,11,2020-2021
1.0,Mon,2020-09-21,20:45,Milan,2.9,2–0,0.9,Bologna,1000.0,Stadio Giuseppe Meazza,Federico La Penna,Serie-A,11,2020-2021
,,,,,,,,,,,,Serie-A,11,2020-2021
2.0,Sat,2020-09-26,15:00,Torino,0.7,2–4,1.6,Atalanta,1000.0,Stadio Olimpico di Torino,Massimiliano Irrati,Serie-A,11,2020-2021
2.0,Sat,2020-09-26,18:00,Cagliari,1.0,0–2,2.1,Lazio,1000.0,Sardegna Arena,Davide Massa,Serie-A,11,2020-2021
2.0,Sat,2020-09-26,18:00,Sampdoria,1.6,2–3,1.2,Benevento,1000.0,Stadio Comunale Luigi Ferraris,Federico Dionisi,Serie-A,11,2020-2021
2.0,Sat,2020-09-26,20:45,Inter,2.8,4–3,2.5,Fiorentina,1000.0,Stadio Giuseppe Meazza,Giampaolo Calvarese,Serie-A,11,2020-2021
2.0,Sun,2020-09-27,12:30,Spezia,1.1,1–4,2.8,Sassuolo,1000.0,Stadio Dino Manuzzi,Davide Ghersini,Serie-A,11,2020-2021
2.0,Sun,2020-09-27,15:00,Hellas Verona,1.0,1–0,1.7,Udinese,1000.0,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Serie-A,11,2020-2021
2.0,Sun,2020-09-27,18:00,Napoli,2.4,6–0,0.6,Genoa,1000.0,Stadio San Paolo,Juan Sacchi,Serie-A,11,2020-2021
2.0,Sun,2020-09-27,18:00,Crotone,0.3,0–2,2.4,Milan,,Stadio Ezio Scida,Luca Pairetto,Serie-A,11,2020-2021
2.0,Sun,2020-09-27,20:45,Roma,2.7,2–2,1.3,Juventus,1000.0,Stadio Olimpico,Marco Di Bello,Serie-A,11,2020-2021
2.0,Mon,2020-09-28,20:45,Bologna,2.2,4–1,1.0,Parma,1000.0,Stadio Renato Dall'Ara,Paolo Valeri,Serie-A,11,2020-2021
1.0,Wed,2020-09-30,18:00,Udinese,2.1,0–2,0.7,Spezia,1000.0,Dacia Arena,Alessandro Prontera,Serie-A,11,2020-2021
1.0,Wed,2020-09-30,18:00,Benevento,1.5,2–5,3.5,Inter,1000.0,Stadio Ciro Vigorito,Marco Piccinini,Serie-A,11,2020-2021
1.0,Wed,2020-09-30,20:45,Lazio,2.6,1–4,1.7,Atalanta,1000.0,Stadio Olimpico,Fabio Maresca,Serie-A,11,2020-2021
3.0,Fri,2020-10-02,20:45,Fiorentina,2.1,1–2,2.4,Sampdoria,1000.0,Stadio Artemio Franchi,Piero Giacomelli,Serie-A,11,2020-2021
3.0,Sat,2020-10-03,15:00,Sassuolo,1.7,4–1,1.8,Crotone,1000.0,Stadio Citt del Tricolore,Ivan Pezzuto,Serie-A,11,2020-2021
3.0,Sat,2020-10-03,20:45,Udinese,0.9,0–1,0.8,Roma,1000.0,Dacia Arena,Rosario Abisso,Serie-A,11,2020-2021
3.0,Sun,2020-10-04,12:30,Atalanta,3.5,5–2,1.0,Cagliari,1000.0,Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua,Serie-A,11,2020-2021
3.0,Sun,2020-10-04,15:00,Lazio,1.3,1–1,0.9,Inter,1000.0,Stadio Olimpico,Marco Guida,Serie-A,11,2020-2021
3.0,Sun,2020-10-04,15:00,Parma,1.6,1–0,0.5,Hellas Verona,1000.0,Stadio Ennio Tardini,Antonio Giua,Serie-A,11,2020-2021
3.0,Sun,2020-10-04,15:00,Benevento,0.9,1–0,1.8,Bologna,1000.0,Stadio Ciro Vigorito,Simone Sozza,Serie-A,11,2020-2021
3.0,Sun,2020-10-04,18:00,Milan,2.0,3–0,0.2,Spezia,1000.0,Stadio Giuseppe Meazza,Marco Serra,Serie-A,11,2020-2021
4.0,Sat,2020-10-17,15:00,Napoli,1.7,4–1,1.0,Atalanta,1000.0,Stadio San Paolo,Marco Di Bello,Serie-A,11,2020-2021
4.0,Sat,2020-10-17,18:00,Sampdoria,1.3,3–0,0.6,Lazio,1000.0,Stadio Comunale Luigi Ferraris,Daniele Orsato,Serie-A,11,2020-2021
4.0,Sat,2020-10-17,18:00,Inter,2.4,1–2,2.3,Milan,1000.0,Stadio Giuseppe Meazza,Maurizio Mariani,Serie-A,11,2020-2021
4.0,Sat,2020-10-17,20:45,Crotone,1.1,1–1,1.6,Juventus,1000.0,Stadio Ezio Scida,Francesco Fourneau,Serie-A,11,2020-2021
4.0,Sun,2020-10-18,12:30,Bologna,1.4,3–4,2.8,Sassuolo,1000.0,Stadio Renato Dall'Ara,Daniele Doveri,Serie-A,11,2020-2021
4.0,Sun,2020-10-18,15:00,Torino,1.7,2–3,2.1,Cagliari,1000.0,Stadio Olimpico di Torino,Federico La Penna,Serie-A,11,2020-2021
4.0,Sun,2020-10-18,15:00,Spezia,1.1,2–2,1.4,Fiorentina,1000.0,Stadio Dino Manuzzi,Gianluca Manganiello,Serie-A,11,2020-2021
4.0,Sun,2020-10-18,18:00,Udinese,1.3,3–2,1.0,Parma,1000.0,Dacia Arena,Michael Fabbri,Serie-A,11,2020-2021
4.0,Sun,2020-10-18,20:45,Roma,4.4,5–2,1.8,Benevento,1000.0,Stadio Olimpico,Giovanni Ayroldi,Serie-A,11,2020-2021
4.0,Mon,2020-10-19,20:45,Hellas Verona,1.4,0–0,0.4,Genoa,10002.0,Stadio Marc'Antonio Bentegodi,Antonio Rapuano,Serie-A,11,2020-2021
5.0,Fri,2020-10-23,20:45,Sassuolo,2.0,3–3,2.1,Torino,700.0,Stadio Citt del Tricolore,Marco Guida,Serie-A,11,2020-2021
5.0,Sat,2020-10-24,15:00,Atalanta,2.1,1–3,1.9,Sampdoria,1000.0,Stadio Atleti Azzurri d'Italia,Giampaolo Calvarese,Serie-A,11,2020-2021
5.0,Sat,2020-10-24,18:00,Genoa,0.0,0–2,1.8,Inter,1000.0,Stadio Comunale Luigi Ferraris,Davide Massa,Serie-A,11,2020-2021
5.0,Sat,2020-10-24,20:45,Lazio,1.0,2–1,1.5,Bologna,1000.0,Stadio Olimpico,Massimiliano Irrati,Serie-A,11,2020-2021
5.0,Sun,2020-10-25,12:30,Cagliari,2.4,4–2,1.6,Crotone,1000.0,Sardegna Arena,Antonio Di Martino,Serie-A,11,2020-2021
5.0,Sun,2020-10-25,15:00,Benevento,0.5,1–2,2.1,Napoli,1000.0,Stadio Ciro Vigorito,Daniele Doveri,Serie-A,11,2020-2021
5.0,Sun,2020-10-25,15:00,Parma,3.2,2–2,0.9,Spezia,1000.0,Stadio Ennio Tardini,Valerio Marini,Serie-A,11,2020-2021
5.0,Sun,2020-10-25,18:00,Fiorentina,1.2,3–2,1.8,Udinese,1000.0,Stadio Artemio Franchi,Francesco Fourneau,Serie-A,11,2020-2021
5.0,Sun,2020-10-25,20:45,Juventus,1.8,1–1,0.7,Hellas Verona,1000.0,Allianz Stadium,Fabrizio Pasqua,Serie-A,11,2020-2021
5.0,Mon,2020-10-26,20:45,Milan,2.6,3–3,2.3,Roma,,Stadio Giuseppe Meazza,Piero Giacomelli,Serie-A,11,2020-2021
6.0,Sat,2020-10-31,15:00,Crotone,0.4,1–2,2.6,Atalanta,,Stadio Ezio Scida,Federico Dionisi,Serie-A,11,2020-2021
6.0,Sat,2020-10-31,18:00,Inter,2.5,2–2,0.7,Parma,,Stadio Giuseppe Meazza,Marco Piccinini,Serie-A,11,2020-2021
6.0,Sat,2020-10-31,20:45,Bologna,1.4,3–2,0.6,Cagliari,,Stadio Renato Dall'Ara,Michael Fabbri,Serie-A,11,2020-2021
6.0,Sun,2020-11-01,12:30,Udinese,1.1,1–2,1.1,Milan,,Dacia Arena,Marco Di Bello,Serie-A,11,2020-2021
6.0,Sun,2020-11-01,15:00,Torino,2.8,3–4,1.4,Lazio,,Stadio Olimpico di Torino,Daniele Chiffi,Serie-A,11,2020-2021
6.0,Sun,2020-11-01,15:00,Spezia,0.7,1–4,3.4,Juventus,,Stadio Dino Manuzzi,Rosario Abisso,Serie-A,11,2020-2021
6.0,Sun,2020-11-01,18:00,Roma,3.0,2–0,0.4,Fiorentina,,Stadio Olimpico,Daniele Orsato,Serie-A,11,2020-2021
6.0,Sun,2020-11-01,18:00,Napoli,2.3,0–2,1.4,Sassuolo,,Stadio San Paolo,Maurizio Mariani,Serie-A,11,2020-2021
6.0,Sun,2020-11-01,20:45,Sampdoria,0.7,1–1,0.6,Genoa,,Stadio Comunale Luigi Ferraris,Federico La Penna,Serie-A,11,2020-2021
6.0,Mon,2020-11-02,20:45,Hellas Verona,1.7,3–1,1.6,Benevento,,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Serie-A,11,2020-2021
3.0,Wed,2020-11-04,17:00,Genoa,1.1,1–2,0.6,Torino,,Stadio Comunale Luigi Ferraris,Paolo Valeri,Serie-A,11,2020-2021
7.0,Fri,2020-11-06,20:45,Sassuolo,0.1,0–0,0.1,Udinese,,Stadio Citt del Tricolore,Eugenio Abbattista,Serie-A,11,2020-2021
7.0,Sat,2020-11-07,15:00,Cagliari,2.1,2–0,0.1,Sampdoria,,Sardegna Arena,Giovanni Ayroldi,Serie-A,11,2020-2021
7.0,Sat,2020-11-07,18:00,Benevento,0.3,0–3,0.9,Spezia,,Stadio Ciro Vigorito,Gianluca Aureliano,Serie-A,11,2020-2021
7.0,Sat,2020-11-07,20:45,Parma,0.1,0–0,0.7,Fiorentina,,Stadio Ennio Tardini,Federico La Penna,Serie-A,11,2020-2021
7.0,Sun,2020-11-08,12:30,Lazio,0.9,1–1,1.2,Juventus,,Stadio Olimpico,Davide Massa,Serie-A,11,2020-2021
7.0,Sun,2020-11-08,15:00,Atalanta,0.8,1–1,1.0,Inter,,Stadio Atleti Azzurri d'Italia,Daniele Doveri,Serie-A,11,2020-2021
7.0,Sun,2020-11-08,15:00,Genoa,0.6,1–3,2.0,Roma,,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Serie-A,11,2020-2021
7.0,Sun,2020-11-08,15:00,Torino,0.2,0–0,0.3,Crotone,,Stadio Olimpico di Torino,Francesco Fourneau,Serie-A,11,2020-2021
7.0,Sun,2020-11-08,18:00,Bologna,0.8,0–1,1.2,Napoli,,Stadio Renato Dall'Ara,Fabrizio Pasqua,Serie-A,11,2020-2021
7.0,Sun,2020-11-08,20:45,Milan,3.3,2–2,1.5,Hellas Verona,,Stadio Giuseppe Meazza,Marco Guida,Serie-A,11,2020-2021
8.0,Sat,2020-11-21,15:00,Crotone,0.6,0–2,1.8,Lazio,,Stadio Ezio Scida,Juan Sacchi,Serie-A,11,2020-2021
8.0,Sat,2020-11-21,18:00,Spezia,0.5,0–0,1.2,Atalanta,,Stadio Dino Manuzzi,Antonio Rapuano,Serie-A,11,2020-2021
8.0,Sat,2020-11-21,20:45,Juventus,2.1,2–0,0.1,Cagliari,,Allianz Stadium,Fabio Maresca,Serie-A,11,2020-2021
