Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Fri,2021-08-13,20:30,M'Gladbach,2.0,1–1,2.6,Bayern Munich,22925.0,Stadion im Borussia-Park,Marco Fritz,Bundesliga,20,2021-2022
1.0,Sat,2021-08-14,15:30,Union Berlin,0.5,1–1,0.7,Leverkusen,11000.0,Stadion An der Alten Försterei,Tobias Reichel,Bundesliga,20,2021-2022
1.0,Sat,2021-08-14,15:30,Augsburg,0.6,0–4,3.4,Hoffenheim,9124.0,WWK Arena,Felix Brych,Bundesliga,20,2021-2022
1.0,Sat,2021-08-14,15:30,Wolfsburg,3.0,1–0,0.4,Bochum,8536.0,Volkswagen Arena,Frank Willenborg,Bundesliga,20,2021-2022
1.0,Sat,2021-08-14,15:30,Arminia,0.9,0–0,1.4,Freiburg,13750.0,SchücoArena,Sven Jablonski,Bundesliga,20,2021-2022
1.0,Sat,2021-08-14,15:30,Stuttgart,4.0,5–1,0.8,Greuther Fürth,18109.0,Mercedes-Benz Arena,Felix Zwayer,Bundesliga,20,2021-2022
1.0,Sat,2021-08-14,18:30,Dortmund,2.5,5–2,1.8,Eint Frankfurt,25000.0,Signal Iduna Park,Tobias Stieler,Bundesliga,20,2021-2022
1.0,Sun,2021-08-15,15:30,Mainz 05,1.1,1–0,1.1,RB Leipzig,10500.0,Opel Arena,Daniel Siebert,Bundesliga,20,2021-2022
1.0,Sun,2021-08-15,17:30,Köln,1.7,3–1,1.9,Hertha BSC,16500.0,RheinEnergieSTADION,Robert Hartmann,Bundesliga,20,2021-2022
,,,,,,,,,,,,Bundesliga,20,2021-2022
2.0,Fri,2021-08-20,20:30,RB Leipzig,3.5,4–0,1.1,Stuttgart,23100.0,Red Bull Arena,Florian Badstübner,Bundesliga,20,2021-2022
