Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,League Name,League ID,Season
First qualifying round,Thu,2017-06-29,16:00,FC Shirak am,0–2,si ND Gorica,2100,Gyumri,Mikhail Vilkov,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Irtysh Pavlodar kz,1–0,bg Dunav Ruse,8000,Ortalıq Stadion,Arnold Hunter,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:45,FC Kairat kz,6–0,lt FK Atlantas,15000,Ortalıq Stadion,Ömər Paşayev,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,17:00,Partizani Tirana al,1–3,bg Botev Plovdiv,2000,Stadiumi Selman Stërmasi,Bryn Markham-Jones,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:00,FK Ventspils lv,0–0,is Valur,1933,Olimpiskā centra Ventspils Stadionā,Rəhim Həsənov,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,FC Pyunik am,1–4,sk ŠK Slovan Bratislava,1800,Vazgen Sargsyan anvan Hanrapetakan Marza...,Ádám Farkas,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,17:20,FK AS Trenčín sk,5–1,ge Torpedo Kutaisi,2915,Mestský futbalový štadión Na Sihoti,Tim Marshall,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:30,Dinamo Minsk by,2–1,fo NSÍ Runavík,3480,Stadyen Traktar,Oleksandr Derdo,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:30,Levadia Tallinn ee,0–2,ie Cork City FC,1500,Pärnu Rannastaadion,Jørgen Daugbjerg Burchardt,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:00,FK Shkëndija mk,3–0,md Dacia Chișinău,1950,Stadion Mladost,Krzysztof Jakubik,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,VPS fi,1–0,si Olimpija,3989,Elisa Stadion,Petr Ardeleánu,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Shakhtyor by,0–0,lt Sūduva,3100,Stadyen Budaŭnik,Aleksandr Aliyev,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Dinamo Batumi ge,0–1,pl Jagiellonia,4000,Ramaz Shengelias Sakhelobis Stadioni,Erik Lambrechts,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Chikhura ge,0–1,at SCR Altach,1700,Boris Paichadzis Erovnuli Stadioni,Erez Papir,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:30,Lyngby dk,1–0,wls Bangor City FC,2574,Lyngby Stadion,Stavros Mantalos,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:30,Nõmme Kalju FC ee,2–1,fo B36 Tórshavn,580,A. Le Coq Arena,Leontios Trattou,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,18:45,Ferencváros hu,2–0,lv FK Jelgava,7123,Groupama Arena,Vasilis Demetriou,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:45,Beitar Jerusalem il,4–3,hu Vasas,100,HaMoshava-Stadion,Nenad Đokić,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Haugesund no,7–0,nir Coleraine FC,2523,Haugesund Stadion,Alexandru Tean,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Santa Coloma ad,0–2,hr Osijek,600,Estadi Comunal d'Andorra la Vella,Trustin Farrugia Cann,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,19:00,Odd no,3–0,nir Ballymena Utd,2969,Skagerak Arena,Edin Jakupović,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,FC Zaria Bălți md,2–1,ba FK Sarajevo,2500,Stadionul Zimbru,Alexandros Aretopoulos,Europa-League,19,2017-2018
First qualifying round,Thu,2017-06-29,20:00,Levski Sofia bg,3–1,me Sutjeska Nikšić,6456,Stadion Georgi Asparuhov,Martin Lundby,Europa-League,19,2017-2018
