Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
Third qualifying round,Tue,2021-08-03,21:00,Neftçi az,,2–2,,fi HJK,3500.0,Bakcell Arena,William Collum,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,20:00,Qaırat Almaty kz,,0–0,,am Alashkert,,Ortalıq Stadion,Aliaksei Kulbakou,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,17:45,Jablonec cz,1.2,2–4,3.2,sct Celtic,4805.0,Stadion Střelnice,Halil Umut Meler,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,18:00,Red Imps gi,2.2,1–3,0.8,sk Slovan Bratislava,637.0,Victoria Stadium,Athanasios Tzilos,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,19:00,AC Omonia cy,,1–0,,ee Flora,8033.0,Neo GSP,Radu Petrescu,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,20:00,N Mura si,,0–0,,lt Žalgiris,2500.0,Mestni Štadion Fazanerija,Andreas Ekberg,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,21:00,Galatasaray tr,,1–1,,sct St Johnstone,6216.0,Türk Telekom Arena,Sandro Schärer,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,20:30,Rapid Wien at,,3–0,,cy Anorthosis,11400.0,Allianz Stadion,Maurizio Mariani,Europa-League,19,2021-2022
Third qualifying round,Tue,2021-08-10,19:00,Flora ee,,(4) 2–1 (5),,cy AC Omonia,1560.0,A. Le Coq Arena,Ivan Kružliak,Europa-League,19,2021-2022
Third qualifying round,Tue,2021-08-10,20:30,Slovan Bratislava sk,1.9,1–1,0.6,gi Red Imps,4688.0,Štadión Tehelné pole,Mykola Balakin,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,19:00,Alashkert am,,3–2,,kz Qaırat Almaty,7000.0,Nairi,Lawrence Visser,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,19:00,HJK fi,,3–0,,az Neftçi,4068.0,Telia 5G -areena,Deniz Aytekin,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,20:00,Žalgiris lt,,0–1,,si N Mura,2921.0,Vilniaus LFF stadionas,Bartosz Frankowski,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,20:00,Anorthosis cy,,2–1,,at Rapid Wien,3574.0,Stadio Antonis Papadopoulos,Aleksandar Stavrev,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,19:00,St Johnstone sct,,2–4,,tr Galatasaray,9106.0,McDiarmid Park,Andris Treimanis,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,19:45,Celtic sct,1.4,3–0,1.3,cz Jablonec,50076.0,Celtic Park,Daniel Siebert,Europa-League,19,2021-2022
,,,,,,,,,,,,Europa-League,19,2021-2022
Play-off round,Tue,2021-08-17,21:00,Red Star rs,,4–0,,ro CFR Cluj,22482.0,Stadion Rajko Mitić,Georgi Kabakov,Europa-League,19,2021-2022
Play-off round,Wed,2021-08-18,19:45,Celtic sct,1.9,2–0,1.0,nl AZ Alkmaar,52916.0,Celtic Park,Ovidiu Hațegan,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-19,19:00,Slavia Prague cz,,2–2,,pl Legia Warsaw,14543.0,Sinobo Stadium,Felix Zwayer,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-19,19:00,Randers dk,,1–1,,tr Galatasaray,7064.0,BioNutria Park Randers,Jesús Gil,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-19,20:00,AC Omonia cy,,4–2,,be Antwerp,7585.0,Neo GSP,Andreas Ekberg,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-19,20:00,N Mura si,,1–3,,at Sturm Graz,4000.0,Mestni Štadion Fazanerija,Michael Oliver,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-19,21:45,Fenerbahçe tr,,1–0,,fi HJK,6769.0,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Benoît Bastien,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-19,20:00,Rangers sct,1.4,1–0,0.1,am Alashkert,42649.0,Ibrox Stadium,Anastasios Sidiropoulos,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-19,21:00,Rapid Wien at,,3–0,,ua Zorya Luhansk,10300.0,Allianz Stadion,Sandro Schärer,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-19,22:00,Olympiacos gr,3.1,3–0,0.1,sk Slovan Bratislava,9823.0,Stadio Georgios Karaiskáki,Marco Guida,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,19:00,Alashkert am,0.5,0–0,1.8,sct Rangers,6800.0,Vazgen Sargsyan anvan Hanrapetakan Marza...,Tobias Stieler,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,19:00,HJK fi,,2–5,,tr Fenerbahçe,3785.0,Telia 5G -areena,Ivan Kružliak,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,19:30,Zorya Luhansk ua,,2–3,,at Rapid Wien,2563.0,Slavutych-Arena,István Kovács,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,21:00,Galatasaray tr,,2–1,,dk Randers,3947.0,Ali Sami Yen Stadyumu,Alekseiy Kovalev,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,20:15,AZ Alkmaar nl,2.4,2–1,1.8,sct Celtic,10041.0,AFAS Stadion,Tiago Martins,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,21:30,CFR Cluj ro,,1–2,,rs Red Star,4200.0,Stadionul Dr. Constantin Rădulescu,Michael Oliver,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,20:45,Slovan Bratislava sk,2.3,2–2,1.2,gr Olympiacos,7201.0,Štadión Tehelné pole,Deniz Aytekin,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,21:00,Antwerp be,,(3) 2–0 (2),,cy AC Omonia,10470.0,Bosuilstadion,Andris Treimanis,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,21:00,Sturm Graz at,,2–0,,si N Mura,8237.0,Merkur Arena,José Sánchez,Europa-League,19,2021-2022
Play-off round,Thu,2021-08-26,21:00,Legia Warsaw pl,,2–1,,cz Slavia Prague,20641.0,Stadion Miejski Legii Warszawa im. Marsz...,Artur Dias,Europa-League,19,2021-2022
