Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Sat,2020-09-12,16:00,Eibar,0.4,0–0,0.9,Celta Vigo,,Estadio Municipal de Ipura,Valentn Pizarro,La-Liga,12,2020-2021
1.0,Sat,2020-09-12,18:30,Granada,0.3,2–0,0.9,Athletic Club,,Estadio Nuevo Los Crmenes,Antonio Matu Lahoz,La-Liga,12,2020-2021
1.0,Sat,2020-09-12,21:00,Cdiz,1.1,0–2,0.9,Osasuna,,Estadio Nuevo Mirandilla,Isidro Daz de Mera,La-Liga,12,2020-2021
1.0,Sun,2020-09-13,14:00,Alavs,1.0,0–1,0.6,Betis,,Estadio de Mendizorroza,Pablo Gonzlez,La-Liga,12,2020-2021
1.0,Sun,2020-09-13,16:00,Valladolid,0.6,1–1,0.2,Real Sociedad,,Estadio Municipal Jos Zorrilla,Mario Melero,La-Liga,12,2020-2021
1.0,Sun,2020-09-13,18:30,Villarreal,2.1,1–1,0.5,Huesca,,Estadio de la Cermica,Javier Estrada,La-Liga,12,2020-2021
1.0,Sun,2020-09-13,21:00,Valencia,1.8,4–2,2.0,Levante,,Estadio de Mestalla,Jos Snchez,La-Liga,12,2020-2021
,,,,,,,,,,,,La-Liga,12,2020-2021
2.0,Sat,2020-09-19,16:00,Villarreal,2.2,2–1,1.1,Eibar,,Estadio de la Cermica,Jorge Figueroa,La-Liga,12,2020-2021
2.0,Sat,2020-09-19,18:30,Getafe,0.4,1–0,0.4,Osasuna,,Coliseum Alfonso Prez,Alejandro Hernndez,La-Liga,12,2020-2021
2.0,Sat,2020-09-19,21:00,Celta Vigo,2.3,2–1,0.5,Valencia,,Estadio de Balados,Jess Gil,La-Liga,12,2020-2021
2.0,Sun,2020-09-20,16:00,Huesca,0.2,0–2,1.3,Cdiz,,Estadio El Alcoraz,Csar Soto,La-Liga,12,2020-2021
2.0,Sun,2020-09-20,18:30,Granada,2.0,2–1,0.6,Alavs,,Estadio Nuevo Los Crmenes,Carlos del Cerro,La-Liga,12,2020-2021
2.0,Sun,2020-09-20,18:30,Betis,1.4,2–0,0.5,Valladolid,,Estadio Benito Villamarn,Santiago Jaime,La-Liga,12,2020-2021
