Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Fri,2020-08-21,19:00,Bordeaux,0.4,0–0,0.3,Nantes,,Stade Matmut-Atlantique,Benot Bastien,Ligue-1,13,2020-2021
1.0,Sat,2020-08-22,17:00,Dijon,0.5,0–1,2.1,Angers,,Stade Gaston Grard,Eric Wattellier,Ligue-1,13,2020-2021
1.0,Sat,2020-08-22,21:00,Lille,0.5,1–1,1.4,Rennes,3975.0,Stade Pierre-Mauroy,Clment Turpin,Ligue-1,13,2020-2021
1.0,Sun,2020-08-23,13:00,Monaco,2.0,2–2,1.3,Reims,,Stade Louis II.,Franois Letexier,Ligue-1,13,2020-2021
1.0,Sun,2020-08-23,15:00,Nmes,1.1,4–0,0.4,Brest,,Stade des Costires,Jrmie Pignard,Ligue-1,13,2020-2021
1.0,Sun,2020-08-23,15:00,Lorient,2.8,3–1,0.5,Strasbourg,,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Ligue-1,13,2020-2021
1.0,Sun,2020-08-23,17:00,Nice,0.2,2–1,2.5,Lens,,Stade de Nice,Jrme Miguelgorry,Ligue-1,13,2020-2021
,,,,,,,,,,,,Ligue-1,13,2020-2021
2.0,Fri,2020-08-28,21:00,Lyon,4.8,4–1,0.4,Dijon,,Groupama Stadium,Benot Millot,Ligue-1,13,2020-2021
2.0,Sat,2020-08-29,17:00,Rennes,1.9,2–1,0.5,Montpellier,,Roazhon Park,Willy Delajod,Ligue-1,13,2020-2021
2.0,Sat,2020-08-29,21:00,Strasbourg,0.2,0–2,1.4,Nice,,Stade de la Meinau,Jrme Brisard,Ligue-1,13,2020-2021
2.0,Sun,2020-08-30,13:00,Reims,0.2,0–1,1.1,Lille,,Stade Auguste-Delaune II,Stphanie Frappart,Ligue-1,13,2020-2021
2.0,Sun,2020-08-30,15:00,Angers,0.9,0–2,2.1,Bordeaux,,Stade Raymond Kopa,Karim Abed,Ligue-1,13,2020-2021
2.0,Sun,2020-08-30,15:00,Saint-tienne,1.3,2–0,0.2,Lorient,,Stade Geoffroy-Guichard,Florent Batta,Ligue-1,13,2020-2021
2.0,Sun,2020-08-30,15:00,Metz,0.7,0–1,0.3,Monaco,4463.0,Stade Saint-Symphorien,Jeremy Stinat,Ligue-1,13,2020-2021
2.0,Sun,2020-08-30,15:00,Nantes,2.3,2–1,1.4,Nmes,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Ligue-1,13,2020-2021
2.0,Sun,2020-08-30,21:00,Brest,2.7,2–3,1.4,Marseille,,Stade Francis-Le Bl,Amaury Delerue,Ligue-1,13,2020-2021
2.0,Thu,2020-09-10,21:00,Lens,1.4,1–0,0.6,Paris S-G,,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Ligue-1,13,2020-2021
3.0,Fri,2020-09-11,21:00,Bordeaux,0.2,0–0,2.2,Lyon,,Stade Matmut-Atlantique,Ruddy Buquet,Ligue-1,13,2020-2021
3.0,Sat,2020-09-12,17:00,Montpellier,1.6,3–1,0.4,Nice,,Stade de la Mosson,Antony Gautier,Ligue-1,13,2020-2021
3.0,Sat,2020-09-12,21:00,Saint-tienne,1.7,2–0,1.2,Strasbourg,,Stade Geoffroy-Guichard,Eric Wattellier,Ligue-1,13,2020-2021
3.0,Sun,2020-09-13,13:00,Lille,1.5,1–0,0.7,Metz,,Stade Pierre-Mauroy,Jrmie Pignard,Ligue-1,13,2020-2021
3.0,Sun,2020-09-13,15:00,Dijon,0.4,0–2,2.0,Brest,,Stade Gaston Grard,Bastien Dechepy,Ligue-1,13,2020-2021
3.0,Sun,2020-09-13,15:00,Nmes,1.4,2–4,1.9,Rennes,,Stade des Costires,Mikael Lesage,Ligue-1,13,2020-2021
3.0,Sun,2020-09-13,15:00,Angers,2.0,1–0,0.3,Reims,,Stade Raymond Kopa,Benot Bastien,Ligue-1,13,2020-2021
3.0,Sun,2020-09-13,15:00,Lorient,1.3,2–3,2.1,Lens,,Stade Yves Allainmat - Le Moustoir,Aurlien Petit,Ligue-1,13,2020-2021
3.0,Sun,2020-09-13,17:00,Monaco,2.0,2–1,0.6,Nantes,,Stade Louis II.,Clment Turpin,Ligue-1,13,2020-2021
3.0,Sun,2020-09-13,21:00,Paris S-G,1.7,0–1,0.5,Marseille,,Parc des Princes,Jrme Brisard,Ligue-1,13,2020-2021
1.0,Tue,2020-09-15,21:00,Montpellier,1.6,2–1,1.6,Lyon,,Stade de la Mosson,Franois Letexier,Ligue-1,13,2020-2021
1.0,Wed,2020-09-16,21:00,Paris S-G,2.3,1–0,1.1,Metz,,Parc des Princes,Mikael Lesage,Ligue-1,13,2020-2021
1.0,Thu,2020-09-17,21:00,Marseille,2.3,0–2,1.5,Saint-tienne,,Orange Vlodrome,Ruddy Buquet,Ligue-1,13,2020-2021
4.0,Fri,2020-09-18,21:00,Lyon,1.3,0–0,0.5,Nmes,4385.0,Groupama Stadium,Amaury Delerue,Ligue-1,13,2020-2021
4.0,Sat,2020-09-19,17:00,Lens,3.5,2–1,0.4,Bordeaux,,Stade Bollaert-Delelis,Benot Millot,Ligue-1,13,2020-2021
4.0,Sat,2020-09-19,21:00,Rennes,1.3,2–1,1.3,Monaco,,Roazhon Park,Jrme Miguelgorry,Ligue-1,13,2020-2021
4.0,Sun,2020-09-20,13:00,Nice,1.0,0–3,3.2,Paris S-G,,Stade de Nice,Benot Bastien,Ligue-1,13,2020-2021
4.0,Sun,2020-09-20,15:00,Montpellier,1.3,4–1,1.0,Angers,,Stade de la Mosson,Stphanie Frappart,Ligue-1,13,2020-2021
4.0,Sun,2020-09-20,15:00,Brest,1.4,3–2,1.6,Lorient,,Stade Francis-Le Bl,Karim Abed,Ligue-1,13,2020-2021
4.0,Sun,2020-09-20,15:00,Metz,0.9,2–1,1.4,Reims,,Stade Saint-Symphorien,Johan Hamel,Ligue-1,13,2020-2021
4.0,Sun,2020-09-20,15:00,Strasbourg,2.0,1–0,0.5,Dijon,,Stade de la Meinau,Florent Batta,Ligue-1,13,2020-2021
4.0,Sun,2020-09-20,17:00,Nantes,1.9,2–2,1.1,Saint-tienne,,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Ligue-1,13,2020-2021
4.0,Sun,2020-09-20,21:00,Marseille,0.7,1–1,1.7,Lille,,Orange Vlodrome,Hakim Ben El Hadj Salem,Ligue-1,13,2020-2021
5.0,Fri,2020-09-25,21:00,Lille,2.0,2–0,0.9,Nantes,,Stade Pierre-Mauroy,Willy Delajod,Ligue-1,13,2020-2021
5.0,Sat,2020-09-26,17:00,Saint-tienne,0.4,0–3,0.9,Rennes,,Stade Geoffroy-Guichard,Benot Bastien,Ligue-1,13,2020-2021
5.0,Sat,2020-09-26,21:00,Marseille,1.3,1–1,1.1,Metz,,Orange Vlodrome,Eric Wattellier,Ligue-1,13,2020-2021
5.0,Sun,2020-09-27,13:00,Bordeaux,1.0,0–0,1.0,Nice,,Stade Matmut-Atlantique,Franois Letexier,Ligue-1,13,2020-2021
5.0,Sun,2020-09-27,15:00,Angers,0.8,3–2,3.1,Brest,,Stade Raymond Kopa,Jeremy Stinat,Ligue-1,13,2020-2021
5.0,Sun,2020-09-27,15:00,Monaco,1.5,3–2,1.4,Strasbourg,,Stade Louis II.,Jrmie Pignard,Ligue-1,13,2020-2021
5.0,Sun,2020-09-27,15:00,Nmes,0.6,1–1,1.4,Lens,,Stade des Costires,Franck Schneider,Ligue-1,13,2020-2021
5.0,Sun,2020-09-27,15:00,Dijon,1.5,2–2,2.4,Montpellier,,Stade Gaston Grard,Aurlien Petit,Ligue-1,13,2020-2021
5.0,Sun,2020-09-27,17:00,Lorient,0.2,1–1,0.8,Lyon,,Stade Yves Allainmat - Le Moustoir,Clment Turpin,Ligue-1,13,2020-2021
