Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Augsburg,27,26,45.6,34,374,3060,34.0,41,30,37,4,4,,,1.21,0.88,2.09,1.09,1.97,44.8,41.8,31.1,72.9,1.32,0.91,2.23,1.23,2.14,432,141,32.6,12.71,4.15,0.09,0.26,17.5,20,0.1,-3.8,-4.8,10179,14251,71.4,219096,88617,3627,4483,80.9,4284,5367,79.8,2116,3888,54.4,-3.1,312,856,263,110,1069,12529,1722,13,2533,508,456,174,45,52,13,7120,2708,4423,4161,7616,958,791,252,63,352,231,444,654,19.24,450,79,31,37,15,70,2.06,46,6,1,10,6,1,605,392,304,242,59,201,35.8,361,1525,28.7,1700,2444,1174,2,402,921,931,10,18332,2085,693,419,59.9,282,16,10518,87,460,368,12522,10179,81.3,1479,90,100,,,95,0,143,1.21,43,46,-3,-0.09,44.8,42.9,1.9,0.06,1,473,4,3,0,3550,639,663,49.1,Bundesliga,20,2017-2018
Bayern Munich,28,27,65.9,34,374,3060,34.0,90,72,84,6,8,,,2.65,2.12,4.76,2.47,4.59,77.7,71.8,56.2,128.0,2.29,1.65,3.94,2.11,3.77,599,222,37.1,17.62,6.53,0.14,0.38,15.8,22,0.12,12.3,12.2,20441,23840,85.7,398949,119150,8197,9030,90.8,8974,10005,89.7,3042,4271,71.2,13.8,462,1705,462,112,1710,22367,1473,60,3869,770,605,220,48,61,20,16852,3235,3753,6875,14915,851,639,256,60,304,287,389,976,28.71,755,78,42,48,8,158,4.65,128,7,8,7,7,1,523,343,241,207,75,185,38.7,293,1626,34.7,1302,2114,1276,4,335,795,548,3,27560,1897,1194,529,64.7,363,15,20716,181,432,388,22679,20441,90.1,1974,90,100,,,102,0,134,2.47,92,28,64,1.88,77.7,33.6,44.1,1.3,0,365,7,4,3,3384,477,400,54.4,Bundesliga,20,2017-2018
Dortmund,30,25,59.0,34,374,3060,34.0,62,44,59,3,6,,,1.82,1.29,3.12,1.74,3.03,63.7,59.2,43.3,102.5,1.87,1.27,3.15,1.74,3.02,472,166,35.2,13.88,4.88,0.13,0.36,15.7,4,0.13,-1.7,-0.2,16586,20322,81.6,316583,100510,6657,7606,87.5,7466,8554,87.3,2242,3633,61.7,-3.3,342,1302,337,68,1418,18599,1723,33,2765,454,394,161,39,44,10,14091,2651,3580,5029,13061,890,765,260,74,347,257,388,722,21.24,556,46,42,24,11,88,2.59,62,1,9,13,2,1,601,395,279,251,71,178,34.4,340,1654,31.7,1632,2310,1276,0,405,875,784,7,24361,1797,977,623,61.3,415,19,17035,181,466,413,19183,16586,86.5,1671,90,100,,,95,0,141,1.62,64,47,17,0.5,63.7,44.5,19.2,0.56,1,402,4,1,0,3383,489,431,53.2,Bundesliga,20,2017-2018
Eint Frankfurt,28,26,48.4,34,374,3060,34.0,44,34,42,2,2,,,1.29,1.0,2.29,1.24,2.24,43.5,41.9,31.8,73.8,1.28,0.94,2.21,1.23,2.17,387,140,36.2,11.38,4.12,0.11,0.3,16.5,9,0.11,0.5,0.1,11441,15528,73.7,248227,92580,3763,4610,81.6,5261,6456,81.5,2263,3957,57.2,3.2,273,931,275,81,1187,13789,1739,33,2351,581,388,155,37,58,6,8546,2638,4344,3436,9649,983,764,259,83,374,264,454,582,17.12,414,70,24,31,15,74,2.18,56,8,1,4,4,1,615,414,276,271,68,196,34.9,365,1802,30.3,1786,2837,1323,5,453,907,832,6,19633,1981,772,536,59.1,339,10,11883,113,481,406,14030,11441,81.5,1543,90,100,,,101,0,137,1.44,45,45,0,0.0,43.5,42.1,1.3,0.04,0,528,2,3,2,3698,572,617,48.1,Bundesliga,20,2017-2018
Freiburg,29,24,44.5,34,374,3060,34.0,32,21,26,6,10,,,0.94,0.62,1.56,0.76,1.38,41.3,33.7,24.1,57.8,1.21,0.71,1.92,0.99,1.7,369,109,29.5,10.85,3.21,0.07,0.24,18.5,16,0.09,-9.3,-7.7,11014,14766,74.6,230802,86384,3870,4751,81.5,5146,6113,84.2,1825,3387,53.9,-4.1,263,821,208,64,1030,13081,1685,25,2728,409,313,127,34,41,8,8474,2307,3985,3650,8732,939,710,214,36,328,206,432,569,16.74,382,70,27,50,9,53,1.56,27,9,6,3,7,1,543,334,262,233,48,167,33.9,325,1584,26.2,1900,2891,1250,1,397,798,1031,10,18860,2348,580,459,58.4,303,12,11395,85,443,366,13199,11014,83.4,1314,90,100,,,96,0,142,1.06,32,56,-24,-0.71,41.3,50.6,-9.3,-0.27,3,446,8,5,4,3272,664,677,49.5,Bundesliga,20,2017-2018
Hamburger SV,29,25,49.1,34,374,3060,34.0,28,18,25,3,5,,,0.82,0.53,1.35,0.74,1.26,37.0,33.3,24.8,58.1,1.09,0.73,1.82,0.98,1.71,390,125,32.1,11.47,3.68,0.06,0.2,17.7,17,0.09,-9.0,-8.3,10768,15037,71.6,219771,83045,4062,4995,81.3,4624,5875,78.7,1896,3519,53.9,-9.8,263,881,249,84,1118,13124,1913,30,2712,489,436,199,51,60,18,7921,2767,4349,5771,6567,1049,890,242,59,351,267,502,568,16.71,377,69,41,41,12,44,1.29,25,3,4,8,3,1,644,394,334,250,60,194,31.3,426,1810,31.4,1865,2660,1241,3,469,891,848,8,19354,1927,787,571,57.8,368,19,11339,112,512,498,13356,10768,80.6,1502,90,100,,,97,0,138,0.91,29,53,-24,-0.71,37.0,52.5,-15.6,-0.46,3,489,3,4,1,3808,671,730,47.9,Bundesliga,20,2017-2018
Hannover 96,26,26,47.1,34,374,3060,34.0,44,26,40,4,5,,,1.29,0.76,2.06,1.18,1.94,46.0,42.1,32.2,74.3,1.35,0.95,2.3,1.24,2.19,435,140,32.2,12.79,4.12,0.09,0.29,17.5,17,0.1,-2.0,-2.1,10882,14890,73.1,221155,91148,4006,4929,81.3,4817,5966,80.7,1869,3408,54.8,-4.2,307,807,208,79,1113,13061,1829,11,2481,371,357,134,39,39,17,7661,2917,4312,2865,9271,1133,801,266,48,375,242,439,665,19.56,441,80,35,53,11,69,2.03,46,7,2,6,7,1,619,365,333,230,56,207,30.3,476,1711,29.2,2061,2718,1081,4,448,902,1024,8,19329,2325,668,503,58.3,325,5,11129,101,487,398,13408,10882,81.2,1540,90,100,,,100,0,136,1.15,44,54,-10,-0.29,46.0,54.3,-8.3,-0.25,0,487,5,4,0,3580,753,579,56.5,Bundesliga,20,2017-2018
Hertha BSC,25,26,45.9,34,374,3060,34.0,43,32,39,4,5,,,1.26,0.94,2.21,1.15,2.09,39.9,36.1,27.0,63.0,1.17,0.79,1.97,1.06,1.85,317,129,40.7,9.32,3.79,0.12,0.3,16.9,13,0.12,3.1,2.9,11673,15389,75.9,237392,85240,4535,5391,84.1,4949,5949,83.2,2025,3532,57.3,7.0,224,815,176,64,982,13773,1616,18,2387,407,339,126,14,51,18,9026,2423,3940,4121,9051,893,672,198,45,315,240,408,483,14.21,326,60,33,35,6,65,1.91,40,8,6,5,6,0,588,358,293,247,48,159,35.7,287,1636,26.5,2121,2937,1104,5,441,889,1010,6,19581,2184,546,514,56.4,323,13,12067,94,462,342,14044,11673,83.1,1294,90,100,,,95,0,142,1.26,43,46,-3,-0.09,39.9,46.6,-6.7,-0.2,0,487,5,7,1,3282,604,615,49.5,Bundesliga,20,2017-2018
Hoffenheim,26,25,51.3,34,374,3060,34.0,64,47,60,4,5,,,1.88,1.38,3.26,1.76,3.15,51.7,47.9,38.7,86.5,1.52,1.14,2.66,1.41,2.55,470,169,36.0,13.82,4.97,0.13,0.36,17.3,13,0.1,12.3,12.1,13769,17276,79.7,273134,97750,5191,5995,86.6,6362,7277,87.4,2029,3492,58.1,5.3,355,988,301,71,1364,15705,1571,34,2672,423,390,154,41,45,13,11150,2621,3505,4394,10913,723,645,291,65,307,284,398,746,21.94,554,55,51,34,14,100,2.94,70,4,9,8,7,2,617,390,291,259,67,194,34.7,365,1819,30.1,2031,2896,1108,2,422,886,679,9,21227,2250,860,515,60.6,336,12,13987,147,457,439,16075,13769,85.7,1597,90,100,,,102,0,136,1.62,66,48,18,0.53,51.7,47.5,4.2,0.12,0,538,5,4,2,3284,378,467,44.7,Bundesliga,20,2017-2018
Köln,31,25,47.5,34,374,3060,34.0,33,24,30,3,3,,,0.97,0.71,1.68,0.88,1.59,42.2,40.0,28.7,68.7,1.24,0.84,2.09,1.18,2.02,395,118,29.9,11.62,3.47,0.08,0.25,17.7,13,0.1,-9.2,-10.0,11700,15704,74.5,242131,94026,4414,5329,82.8,5086,6120,83.1,2062,3788,54.4,-4.7,275,1036,247,66,1209,14019,1685,23,2544,459,381,171,33,58,15,8918,2611,4175,5022,8363,983,656,144,69,327,262,446,586,17.24,425,51,33,33,13,60,1.76,36,8,4,3,7,2,605,390,316,240,49,184,33.4,367,1539,27.6,2125,2480,969,6,421,883,839,4,19697,2134,722,477,58.3,301,5,12155,112,452,342,14198,11700,82.4,1473,90,100,,,101,0,136,0.65,35,70,-35,-1.03,42.2,67.8,-25.5,-0.75,1,472,2,9,0,3496,587,628,48.3,Bundesliga,20,2017-2018
