Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Arminia,26,26,42.2,34,374,3060,34.0,23,16,22,1,2,52,1,0.68,0.47,1.15,0.65,1.12,30.7,29.2,22.1,51.3,0.9,0.65,1.55,0.86,1.51,329,100,30.4,9.68,2.94,0.07,0.22,17.7,14,0.09,-7.7,-7.2,10706,14524,73.7,238305,88071,3491,4253,82.1,4831,5840,82.7,2211,3869,57.1,-6.1,224,728,191,45,817,12864,1660,14,2462,504,290,117,57,37,3,8583,1873,4068,3808,8238,822,716,202,45,321,301,398,481,14.15,334,47,34,30,15,43,1.26,32,1,3,2,2,3,630,395,305,260,65,191,32.5,396,1653,28.7,1887,2709,1171,2,492,935,939,9,18531,2838,576,466,57.9,305,26,10490,74,382,386,13469,10706,79.5,837,90,100,83,227,147,17,157,1.03,26,52,-26,-0.76,30.7,55.7,-25.0,-0.73,0,393,2,6,1,3164,832,800,51.0,Bundesliga,20,2020-2021
Augsburg,25,27,41.3,34,374,3060,34.0,35,23,33,2,5,70,4,1.03,0.68,1.71,0.97,1.65,36.1,32.3,24.5,56.9,1.06,0.72,1.78,0.95,1.67,335,108,32.2,9.85,3.18,0.1,0.31,17.7,11,0.1,-1.1,0.7,10430,14074,74.1,216254,79244,3848,4588,83.9,4568,5513,82.9,1838,3364,54.6,-1.5,238,669,197,56,883,12382,1692,25,2553,417,313,121,65,37,5,8272,2215,3587,3452,8495,714,686,291,62,317,363,475,493,14.5,328,55,38,37,16,52,1.53,34,4,3,4,5,2,579,338,272,244,63,192,35.3,352,1524,29.8,1781,2376,953,3,519,1016,1016,12,18443,2706,565,560,58.2,349,18,10523,73,456,386,13347,10430,78.1,917,90,100,82,231,141,21,159,1.06,36,54,-18,-0.53,36.1,55.6,-19.4,-0.57,3,400,3,9,3,3072,627,780,44.6,Bundesliga,20,2020-2021
Bayern Munich,29,27,61.1,34,374,3060,34.0,98,75,89,9,10,44,3,2.88,2.21,5.09,2.62,4.82,75.8,68.2,53.3,121.5,2.23,1.57,3.8,2.01,3.57,569,220,38.7,16.74,6.47,0.16,0.4,16.1,9,0.12,22.2,20.8,18505,21940,84.3,370450,115232,6924,7782,89.0,8410,9378,89.7,2901,4061,71.4,21.7,444,1603,471,112,1743,20228,1712,47,2604,653,566,237,104,80,12,15920,2688,3332,7564,12357,670,727,285,64,258,449,469,940,27.65,739,64,60,26,11,167,4.91,129,8,14,8,8,0,584,377,215,255,114,189,35.5,344,1711,34.3,1244,2216,1526,0,452,999,549,7,26026,2032,1322,733,65.5,512,34,17702,198,542,441,21312,18505,86.8,1796,90,100,82,237,137,21,163,2.29,99,44,55,1.62,75.8,41.0,34.8,1.02,0,319,8,3,0,3235,498,452,52.4,Bundesliga,20,2020-2021
Dortmund,26,25,59.8,34,374,3060,34.0,74,57,71,3,7,44,1,2.18,1.68,3.85,2.09,3.76,68.6,62.9,51.0,113.9,2.02,1.5,3.52,1.85,3.35,489,182,37.2,14.38,5.35,0.15,0.39,16.1,14,0.13,5.4,8.1,18983,22343,85.0,370199,109874,7546,8442,89.4,8323,9219,90.3,2807,3928,71.5,6.0,374,1293,422,62,1528,20783,1560,59,2769,622,400,173,67,71,2,17093,2421,2829,6541,13943,596,674,272,58,298,474,452,812,23.88,597,53,56,45,21,125,3.68,93,7,10,7,6,2,593,411,259,231,103,202,38.5,322,1615,33.7,1412,2145,1230,1,408,994,629,7,26221,2316,1125,746,61.5,489,37,18425,202,419,374,21600,18983,87.9,1553,90,100,83,234,139,19,163,1.88,75,46,29,0.85,68.6,40.4,28.3,0.83,1,365,6,6,1,3109,486,409,54.3,Bundesliga,20,2020-2021
Eint Frankfurt,25,27,54.0,34,374,3060,34.0,63,52,55,8,8,82,1,1.85,1.53,3.38,1.62,3.15,56.1,50.0,43.1,93.1,1.65,1.27,2.92,1.47,2.74,438,159,36.3,12.88,4.68,0.13,0.35,15.7,11,0.12,6.9,5.0,14409,18416,78.2,281703,102287,5721,6632,86.3,6353,7489,84.8,2089,3578,58.4,8.9,351,1087,309,110,1421,16687,1729,32,2859,420,510,206,65,75,18,12384,2329,3703,5767,10319,799,716,266,61,293,432,478,728,21.41,523,80,31,40,17,117,3.44,72,12,7,11,12,3,664,408,319,254,91,232,35.2,427,1696,31.2,1744,2400,1293,3,474,1090,699,10,22459,2435,864,534,60.5,349,25,13534,163,443,417,17451,14409,82.6,1448,90,100,84,238,136,18,165,1.76,69,53,16,0.47,56.1,48.4,7.7,0.23,1,463,6,6,2,3427,735,625,54.0,Bundesliga,20,2020-2021
Freiburg,24,26,47.0,34,374,3060,34.0,51,34,45,6,6,62,0,1.5,1.0,2.5,1.32,2.32,46.2,41.7,29.2,70.9,1.36,0.86,2.22,1.23,2.09,386,143,37.0,11.35,4.21,0.12,0.31,16.6,17,0.11,4.8,3.3,12336,15907,77.6,262645,91002,4099,4824,85.0,5827,6768,86.1,2227,3704,60.1,4.8,285,828,255,89,1076,14247,1660,19,2423,487,444,123,54,42,8,9928,2401,3578,4947,8780,724,720,245,47,276,302,454,606,17.82,421,72,22,43,14,78,2.29,51,6,2,9,6,4,500,298,224,206,70,141,28.0,362,1356,26.9,1514,2323,1209,1,418,887,757,9,19679,2621,695,462,56.9,285,14,11882,107,394,332,14984,12336,82.3,1102,90,100,82,223,152,19,151,1.32,52,52,0,0.0,46.2,53.7,-7.5,-0.22,0,443,5,6,2,2931,679,699,49.3,Bundesliga,20,2020-2021
Hertha BSC,32,25,49.4,34,374,3060,34.0,40,29,36,4,6,67,3,1.18,0.85,2.03,1.06,1.91,42.4,37.9,29.8,67.7,1.25,0.88,2.13,1.11,1.99,382,144,37.7,11.24,4.24,0.09,0.25,17.2,12,0.1,-2.4,-1.9,12623,16027,78.8,278139,88471,3797,4508,84.2,6060,6944,87.3,2609,4017,64.9,-0.8,276,846,232,72,1047,14278,1749,20,2149,553,396,152,47,61,14,10533,2146,3348,4795,9202,641,754,237,74,286,330,435,597,17.56,412,59,43,38,16,66,1.94,47,3,2,6,7,1,585,352,316,207,62,180,34.3,345,1585,29.2,1877,2387,1163,2,484,994,869,16,20185,2313,738,566,59.2,367,14,12614,148,389,446,15260,12623,82.7,1080,90,100,81,227,149,22,157,1.03,41,52,-11,-0.32,42.4,47.0,-4.6,-0.13,2,472,6,8,1,2918,577,579,49.9,Bundesliga,20,2020-2021
Hoffenheim,30,25,51.1,34,374,3060,34.0,51,38,46,5,6,68,4,1.5,1.12,2.62,1.35,2.47,51.8,47.3,35.9,83.2,1.52,1.06,2.58,1.39,2.45,421,150,35.6,12.38,4.41,0.11,0.31,16.8,20,0.11,-0.8,-1.3,14462,18016,80.3,291188,99858,5356,6153,87.0,6515,7469,87.2,2304,3636,63.4,2.1,313,1061,342,99,1337,16289,1727,24,2611,533,440,156,52,58,5,12113,2447,3456,3224,12666,729,743,276,41,309,376,496,687,20.21,515,54,36,40,11,90,2.65,61,5,8,7,8,1,590,355,278,232,80,201,36.0,357,1573,33.0,1429,2120,1220,5,455,936,759,10,22139,2471,834,600,57.7,377,25,14093,116,512,420,17106,14462,84.5,1363,90,100,83,241,130,21,166,1.26,52,54,-2,-0.06,51.8,53.3,-1.6,-0.05,2,450,4,8,2,3247,563,661,46.0,Bundesliga,20,2020-2021
Köln,28,24,46.3,36,374,3060,34.0,33,23,29,4,6,63,1,0.97,0.68,1.65,0.85,1.53,39.1,34.7,24.6,59.3,1.15,0.72,1.88,1.02,1.74,353,103,29.2,10.38,3.03,0.08,0.28,16.5,9,0.1,-6.1,-5.7,12038,15705,76.7,251568,91402,4229,5011,84.4,5315,6263,84.9,2223,3735,59.5,-1.6,253,829,225,84,985,13976,1729,16,2392,449,428,135,57,49,7,9720,2374,3611,5340,8216,716,752,217,53,314,359,475,533,15.68,369,59,31,36,9,53,1.56,33,4,2,8,5,1,647,382,335,247,65,204,35.9,364,1553,30.4,1831,2219,1051,3,445,1074,857,9,19811,2514,589,461,59.2,299,13,11369,72,470,387,14808,12038,81.3,1007,85,100,82,225,148,20,157,0.97,34,60,-26,-0.76,39.1,55.3,-16.2,-0.48,1,424,4,9,0,3100,673,722,48.2,Bundesliga,20,2020-2021
Leverkusen,30,25,59.9,34,374,3060,34.0,52,41,49,3,3,58,0,1.53,1.21,2.74,1.44,2.65,47.2,45.0,33.8,78.8,1.39,0.99,2.38,1.32,2.32,447,169,37.8,13.15,4.97,0.11,0.29,17.5,12,0.1,4.8,4.0,18002,21523,83.6,361120,109753,6668,7431,89.7,8174,9110,89.7,2901,4305,67.4,7.2,347,1228,288,76,1344,19893,1630,32,3004,581,427,183,60,70,9,15610,2625,3288,6603,12962,608,728,322,60,246,412,467,739,21.74,541,61,62,25,10,89,2.62,60,7,10,9,2,1,558,342,248,237,73,176,33.9,343,1602,33.4,1344,2280,1168,3,418,935,677,5,25589,2494,845,765,61.0,496,27,17737,172,493,446,20664,18002,87.1,1388,90,100,83,253,123,23,174,1.53,53,39,14,0.41,47.2,40.4,6.8,0.2,0,438,1,2,2,3377,504,571,46.9,Bundesliga,20,2020-2021
