Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Arminia,22,26,60.4,11,121,990,11.0,16,9,13,3,3,21,0,1.45,0.82,2.27,1.18,2.0,20.0,17.8,13.1,30.9,1.82,1.19,3.01,1.62,2.81,166,50,30.1,15.09,4.55,0.08,0.26,16.2,3,0.11,-4.0,-4.8,5441,6655,81.8,111181,35363,1941,2190,88.6,2510,2877,87.2,906,1375,65.9,-4.1,125,315,104,36,391,6088,567,7,1061,171,142,60,30,22,3,4639,839,1177,2047,3821,244,258,106,31,105,170,127,264,24.0,203,22,10,13,4,25,2.27,16,1,2,3,2,1,208,120,95,80,33,72,40.0,108,504,32.7,504,696,342,1,127,323,319,1,8041,819,282,137,57.7,82,4,5139,49,134,127,6235,5441,87.3,391,90,100,83,74,47,19,48,0.73,16,7,9,0.82,20.0,10.7,9.3,0.85,0,104,2,1,0,1039,289,250,53.6,Bundesliga,20,2021-2022
Augsburg,24,26,61.1,11,121,990,11.0,18,14,16,2,2,18,0,1.64,1.27,2.91,1.45,2.73,20.9,19.3,14.6,33.9,1.9,1.33,3.22,1.76,3.08,163,49,30.1,14.82,4.45,0.1,0.33,17.1,9,0.12,-2.9,-3.3,5051,6206,81.4,100874,32771,1876,2151,87.2,2347,2662,88.2,756,1175,64.3,-0.6,114,356,76,20,423,5643,563,9,874,173,130,55,25,15,4,4352,813,1041,2029,3403,242,261,99,10,99,157,145,264,24.0,188,23,14,15,5,33,3.0,25,0,5,1,2,0,197,103,90,80,27,78,43.8,100,503,33.5,459,651,392,0,127,355,225,2,7534,728,248,163,59.5,105,7,4682,47,158,124,5918,5051,85.3,423,90,100,80,71,50,23,48,0.82,20,9,11,1.0,20.9,9.3,11.6,1.05,0,117,1,0,0,964,234,209,52.8,Bundesliga,20,2021-2022
Bayern Munich,22,26,37.6,11,121,990,11.0,11,10,11,0,0,14,0,1.0,0.91,1.91,1.0,1.91,8.9,8.9,7.7,16.6,0.89,0.77,1.66,0.89,1.66,95,38,40.0,8.64,3.45,0.12,0.29,18.6,4,0.09,1.1,1.1,3034,3997,75.9,60650,23630,1206,1413,85.4,1260,1480,85.1,498,920,54.1,2.3,58,216,65,20,282,3559,438,4,686,111,126,33,16,9,3,2559,580,858,1037,2479,139,165,78,25,90,155,118,127,12.7,91,11,5,8,9,19,1.9,16,1,1,0,0,1,191,125,97,73,21,79,36.2,139,543,29.7,643,795,389,1,130,433,253,3,5304,851,162,158,50.0,84,3,2953,22,167,111,3675,3034,82.6,282,90,100,80,71,50,24,49,2.55,11,40,-29,-2.64,8.9,29.6,-20.7,-2.07,0,116,0,2,2,793,121,147,45.1,Bundesliga,20,2021-2022
Bochum,24,26,59.4,11,121,990,11.0,17,13,17,0,2,25,0,1.55,1.18,2.73,1.55,2.73,18.1,16.9,14.0,30.9,1.81,1.4,3.21,1.69,3.09,159,57,35.8,14.45,5.18,0.11,0.3,16.8,4,0.11,-1.1,0.1,4307,5386,80.0,82823,29612,1722,1945,88.5,1926,2234,86.2,571,980,58.3,-1.0,112,328,81,22,374,4815,571,9,792,114,151,45,27,14,2,3643,731,1012,1596,3064,216,287,93,9,90,193,124,229,22.9,153,27,14,11,13,26,2.6,19,3,0,1,1,2,163,96,78,63,22,61,39.6,93,375,31.8,398,494,287,0,112,327,226,0,6613,713,255,180,57.8,110,9,4323,47,147,117,5061,4307,85.1,374,90,100,80,72,49,25,49,1.18,18,10,8,0.73,18.1,11.7,6.5,0.65,0,139,0,0,0,885,185,195,48.7,Bundesliga,20,2021-2022
Dortmund,28,26,40.1,11,121,990,11.0,16,10,14,2,2,29,0,1.45,0.91,2.36,1.27,2.18,13.1,11.7,7.7,19.4,1.31,0.77,2.09,1.17,1.94,124,47,37.9,11.27,4.27,0.11,0.3,16.8,8,0.1,0.9,0.3,3066,4027,76.1,61947,22118,1150,1347,85.4,1332,1590,83.8,512,912,56.1,0.3,74,189,55,19,253,3584,443,7,636,118,98,40,26,10,0,2531,616,880,1118,2389,166,178,75,17,83,129,120,172,17.2,117,17,3,13,8,20,2.0,12,1,0,4,3,0,204,129,85,91,28,81,40.5,119,548,29.2,648,838,393,1,141,412,206,3,5277,703,184,145,48.3,77,7,3022,30,129,114,3671,3066,83.5,253,90,100,81,72,49,22,48,2.18,17,28,-11,-1.0,13.1,20.6,-7.4,-0.74,0,144,2,4,2,811,142,150,48.6,Bundesliga,20,2021-2022
Eint Frankfurt,24,26,49.7,10,110,900,10.0,15,12,15,0,0,17,1,1.5,1.2,2.7,1.5,2.7,17.8,17.8,13.2,31.0,1.78,1.32,3.1,1.78,3.1,135,53,39.3,13.5,5.3,0.11,0.28,15.4,6,0.13,-2.8,-2.8,3675,4811,76.4,75704,28041,1366,1596,85.6,1571,1885,83.3,649,1106,58.7,-1.2,102,251,98,29,342,4277,534,9,768,142,106,54,23,16,1,2894,773,1144,1415,2661,251,245,65,23,113,148,130,208,20.8,151,20,14,10,5,25,2.5,15,2,2,4,1,1,180,115,81,75,24,69,44.8,85,519,34.8,493,679,321,0,134,389,276,1,6215,770,250,174,59.8,115,8,3652,44,171,135,4463,3675,82.3,342,90,100,82,68,41,21,47,0.9,15,10,5,0.5,17.8,12.4,5.4,0.54,0,110,0,2,1,937,258,227,53.2,Bundesliga,20,2021-2022
Freiburg,23,26,52.3,11,121,990,11.0,8,7,7,1,1,26,1,0.73,0.64,1.36,0.64,1.27,11.2,10.5,8.3,18.8,1.12,0.83,1.95,1.05,1.88,160,47,29.4,14.55,4.27,0.04,0.15,18.1,4,0.07,-5.2,-5.5,3554,4612,77.1,75053,27927,1188,1414,84.0,1647,1943,84.8,644,1085,59.4,-3.3,94,276,72,17,327,4075,537,3,603,122,147,49,23,21,2,2912,559,1141,1269,2659,212,233,81,8,94,129,110,189,18.9,130,24,12,12,5,11,1.1,9,0,1,0,1,0,146,96,66,63,17,55,44.7,68,472,32.1,421,672,379,1,130,263,203,7,5759,725,237,173,50.3,96,5,3418,42,143,87,4309,3554,82.5,327,90,100,81,72,48,22,48,2.0,9,18,-9,-0.82,11.2,13.3,-2.1,-0.21,1,151,1,2,2,886,217,223,49.3,Bundesliga,20,2021-2022
Greuther Fürth,25,26,56.6,10,110,900,10.0,24,19,21,3,3,16,2,2.4,1.9,4.3,2.1,4.0,18.8,16.6,13.6,30.1,1.88,1.36,3.24,1.66,3.01,145,53,36.6,14.5,5.3,0.14,0.4,16.1,1,0.12,5.2,4.4,4062,5093,79.8,84935,29957,1422,1663,85.5,1818,2081,87.4,748,1148,65.2,5.4,110,301,99,30,399,4583,510,12,760,159,131,52,24,21,1,3310,741,1042,1662,2764,212,214,79,14,87,132,118,230,23.0,172,23,10,9,1,39,3.9,23,6,1,4,4,1,176,105,83,73,20,71,46.1,83,437,32.6,433,611,297,1,120,316,262,2,6368,659,274,184,51.1,104,9,3956,41,119,117,4786,4062,84.9,399,90,100,81,64,45,20,45,0.1,27,7,20,2.0,18.8,10.6,8.3,0.83,1,142,3,3,0,914,247,183,57.4,Bundesliga,20,2021-2022
Hertha BSC,27,27,57.8,10,110,900,10.0,23,14,20,3,3,14,0,2.3,1.4,3.7,2.0,3.4,17.3,15.0,10.9,25.9,1.73,1.09,2.82,1.5,2.59,135,44,32.6,13.5,4.4,0.15,0.45,15.8,6,0.11,5.7,5.0,4316,5396,80.0,87921,29010,1574,1848,85.2,2000,2275,87.9,681,1075,63.3,3.1,100,341,97,25,416,4869,527,8,830,171,161,60,28,22,1,3594,720,1082,1587,3140,209,245,65,15,103,146,145,209,20.9,141,26,11,16,7,40,4.0,25,3,0,5,5,2,201,129,78,89,34,75,47.8,82,529,33.8,361,716,487,0,110,328,154,4,6530,524,294,146,56.8,89,10,4209,37,135,116,5038,4316,85.7,416,90,100,82,66,44,20,46,1.2,23,11,12,1.2,17.3,10.1,7.2,0.72,0,140,3,1,1,904,211,196,51.8,Bundesliga,20,2021-2022
Hoffenheim,22,27,45.5,11,121,990,11.0,17,12,17,0,1,14,2,1.55,1.09,2.64,1.55,2.64,13.2,13.2,8.8,22.0,1.32,0.88,2.2,1.32,2.2,133,51,38.3,12.09,4.64,0.13,0.33,15.6,3,0.1,1.8,1.8,3667,4649,78.9,76502,27760,1294,1498,86.4,1651,1933,85.4,654,1035,63.2,1.2,85,255,69,23,302,4132,517,11,722,134,121,47,14,23,2,2980,711,958,1398,2608,196,231,75,27,87,141,119,179,17.9,122,23,10,10,3,18,1.8,12,1,0,3,1,1,142,93,68,59,15,50,38.2,81,449,28.9,520,626,408,0,135,308,210,3,5802,765,226,159,50.9,90,9,3536,32,126,111,4408,3667,83.2,302,90,100,81,72,49,22,49,1.27,17,19,-2,-0.18,13.2,17.0,-3.8,-0.38,1,109,0,0,0,806,205,168,55.0,Bundesliga,20,2021-2022
