Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Arminia,24,26,61.0,20,220,1800,20.0,26,17,23,3,3,34,0,1.3,0.85,2.15,1.15,2.0,34.2,32.1,25.2,57.3,1.71,1.26,2.97,1.61,2.86,298,98,32.9,14.9,4.9,0.08,0.23,15.2,9,0.11,-8.2,-9.1,9747,12133,80.3,197693,65355,3473,4012,86.6,4551,5230,87.0,1569,2488,63.1,-8.2,227,646,201,61,792,11052,1081,16,1866,294,275,119,63,42,4,8189,1576,2368,3617,6936,527,498,178,47,204,352,250,480,24.0,352,48,20,28,7,41,2.05,30,1,3,3,2,2,393,241,178,161,54,139,41.5,196,1045,36.1,934,1276,687,2,260,662,504,5,14733,1496,573,297,57.9,184,12,9243,88,299,240,11302,9747,86.2,792,90,100,82,135,85,21,91,1.05,26,20,6,0.3,34.2,19.1,15.2,0.76,0,174,2,2,0,2037,540,504,51.7,Bundesliga,20,2021-2022
Augsburg,26,26,60.4,20,220,1800,20.0,33,25,31,2,2,32,0,1.65,1.25,2.9,1.55,2.8,35.4,33.8,25.9,59.7,1.77,1.29,3.06,1.69,2.98,283,91,32.2,14.15,4.55,0.11,0.34,16.5,12,0.12,-2.4,-2.8,9203,11361,81.0,182130,60303,3507,4008,87.5,4226,4826,87.6,1339,2101,63.7,-0.9,197,673,176,44,821,10305,1056,21,1809,289,261,113,49,39,6,7913,1459,1989,3504,6463,427,482,155,28,150,325,293,441,22.05,325,34,24,22,10,57,2.85,44,1,6,2,2,2,355,195,160,147,48,137,45.7,163,845,31.9,806,1173,666,2,226,634,421,3,13793,1389,526,335,60.0,216,15,8785,93,292,257,10769,9203,85.5,821,90,100,82,136,84,21,95,0.95,35,20,15,0.75,35.4,20.7,14.7,0.73,0,209,1,2,0,1852,431,375,53.5,Bundesliga,20,2021-2022
Bayern Munich,28,26,37.1,20,220,1800,20.0,19,15,19,0,0,26,0,0.95,0.75,1.7,0.95,1.7,18.2,18.2,14.7,32.9,0.91,0.74,1.65,0.91,1.65,177,60,33.9,8.85,3.0,0.11,0.32,17.5,6,0.1,0.8,0.8,6101,8113,75.2,120977,47850,2491,2933,84.9,2513,3038,82.7,972,1762,55.2,0.3,116,431,124,33,539,7230,883,7,1387,211,191,67,40,15,3,5189,1166,1758,2346,4746,309,325,166,42,176,309,251,251,12.55,167,26,17,17,14,30,1.5,24,2,1,1,0,2,437,256,228,152,57,177,37.7,292,1075,29.1,1425,1548,716,3,267,926,492,12,10802,1816,353,338,51.5,190,23,5981,48,294,233,7395,6101,82.5,539,90,100,81,129,91,21,87,2.45,19,65,-46,-2.3,18.2,55.6,-37.5,-1.87,0,204,0,3,2,1617,281,299,48.4,Bundesliga,20,2021-2022
Bochum,26,26,56.7,20,220,1800,20.0,28,21,27,1,3,42,0,1.4,1.05,2.45,1.35,2.4,32.6,30.7,23.9,54.5,1.63,1.19,2.82,1.53,2.73,290,102,35.2,14.5,5.1,0.09,0.26,16.6,5,0.11,-4.6,-3.7,8078,10394,77.7,157693,59339,3162,3672,86.1,3632,4263,85.2,1130,2047,55.2,-2.9,212,625,183,43,781,9276,1118,16,1583,224,261,116,54,50,5,6737,1430,2227,3126,5747,480,524,184,21,185,378,239,431,21.55,296,47,21,19,22,42,2.1,30,5,0,1,3,3,326,195,155,132,39,117,43.5,152,843,33.4,804,1054,663,0,231,631,440,5,12845,1483,541,351,54.7,205,19,7959,91,289,247,9689,8078,83.4,781,90,100,81,135,85,23,91,1.2,29,19,10,0.5,32.6,22.6,10.0,0.5,0,260,1,3,0,1943,448,468,48.9,Bundesliga,20,2021-2022
Dortmund,28,26,40.2,20,220,1800,20.0,30,18,26,4,4,44,0,1.5,0.9,2.4,1.3,2.2,26.4,23.4,16.2,39.7,1.32,0.81,2.13,1.17,1.98,226,82,36.3,11.3,4.1,0.12,0.32,16.9,13,0.11,3.6,2.6,6548,8565,76.5,130966,46416,2553,2971,85.9,2777,3307,84.0,1073,1916,56.0,1.8,147,403,121,32,559,7666,899,21,1381,247,174,82,50,24,2,5391,1268,1906,2490,4974,364,350,163,41,159,276,241,339,16.95,222,32,18,26,21,44,2.2,27,2,4,6,5,0,378,231,171,167,40,147,41.4,208,1027,29.6,1176,1572,722,2,285,814,363,8,11009,1460,392,306,51.6,176,17,6327,79,243,246,7789,6548,84.1,559,90,100,81,131,89,22,86,2.15,31,52,-21,-1.05,26.4,37.5,-11.1,-0.55,0,236,3,6,3,1648,279,308,47.5,Bundesliga,20,2021-2022
Eint Frankfurt,25,26,50.7,20,220,1800,20.0,30,19,27,3,3,40,1,1.5,0.95,2.45,1.35,2.3,33.3,31.0,22.4,53.5,1.67,1.12,2.79,1.55,2.67,268,98,36.6,13.4,4.9,0.1,0.28,16.0,7,0.12,-3.3,-4.0,7718,10080,76.6,154628,55991,2934,3445,85.2,3412,4059,84.1,1208,2116,57.1,-3.4,200,550,180,53,732,9004,1076,13,1695,256,236,109,51,32,3,6263,1571,2246,2813,5831,489,478,125,40,190,299,295,415,20.75,303,35,25,21,11,45,2.25,28,3,1,6,5,2,332,201,166,120,46,125,41.7,175,964,33.2,919,1302,681,0,280,710,474,1,12793,1575,508,362,59.1,225,20,7525,84,327,248,9287,7718,83.1,732,90,100,82,134,85,20,90,1.4,30,30,0,0.0,33.3,29.7,3.7,0.18,0,204,2,2,1,2027,459,429,51.7,Bundesliga,20,2021-2022
Freiburg,24,26,52.7,20,220,1800,20.0,22,18,21,1,1,45,1,1.1,0.9,2.0,1.05,1.95,25.3,24.6,17.5,42.1,1.26,0.87,2.14,1.23,2.1,284,89,31.3,14.2,4.45,0.07,0.24,17.8,9,0.09,-3.3,-3.6,7839,10028,78.2,160940,55897,2740,3242,84.5,3688,4307,85.6,1272,2149,59.2,0.5,204,534,153,41,642,9000,1028,12,1317,269,262,109,53,38,3,6609,1184,2235,2737,5926,442,448,147,23,178,296,218,424,21.2,301,47,16,22,15,35,1.75,24,4,1,3,2,1,293,184,143,109,41,108,44.1,137,858,32.0,867,1172,643,2,249,577,401,11,12379,1557,515,287,54.4,168,10,7624,99,271,224,9284,7839,84.4,642,90,100,82,133,86,20,91,1.65,23,33,-10,-0.5,25.3,29.3,-4.0,-0.2,1,238,1,4,3,1839,430,512,45.6,Bundesliga,20,2021-2022
Greuther Fürth,26,26,56.3,20,220,1800,20.0,48,38,44,4,4,29,2,2.4,1.9,4.3,2.2,4.1,36.7,33.7,27.0,60.7,1.83,1.35,3.18,1.68,3.03,301,113,37.5,15.05,5.65,0.15,0.39,16.1,4,0.11,11.3,10.3,8320,10448,79.6,172732,59481,2949,3440,85.7,3695,4274,86.5,1522,2296,66.3,11.0,221,592,204,63,790,9410,1038,24,1695,322,264,109,43,43,2,6905,1490,2053,3221,5850,439,489,133,25,153,328,260,466,23.3,347,46,12,24,3,78,3.9,52,8,2,8,7,1,388,231,202,146,40,152,45.8,180,988,32.4,980,1356,709,2,262,656,428,6,12964,1251,564,334,49.1,185,22,8314,95,280,233,9683,8320,85.9,790,90,100,82,129,91,19,88,0.5,52,17,35,1.75,36.7,19.4,17.3,0.86,1,273,3,3,1,1876,467,371,55.7,Bundesliga,20,2021-2022
Hertha BSC,28,27,55.4,20,220,1800,20.0,42,28,39,3,3,25,0,2.1,1.4,3.5,1.95,3.35,33.3,31.0,21.8,52.9,1.67,1.09,2.76,1.55,2.64,282,104,36.9,14.1,5.2,0.14,0.38,16.0,9,0.11,8.7,8.0,8489,10670,79.6,171149,56910,3192,3712,86.0,3827,4397,87.0,1348,2166,62.2,6.2,204,654,197,62,780,9629,1041,12,1429,341,306,115,44,51,3,7083,1456,2131,3305,6047,418,490,134,54,189,305,286,430,21.5,305,49,18,25,14,66,3.3,46,6,0,5,7,2,409,256,160,180,69,145,45.5,174,1057,34.4,746,1385,945,1,233,724,324,6,13045,1129,595,305,53.4,179,16,8313,78,279,237,10004,8489,84.9,780,90,100,82,131,89,19,90,1.1,42,22,20,1.0,33.3,19.7,13.6,0.68,0,274,3,1,1,1827,393,378,51.0,Bundesliga,20,2021-2022
Hoffenheim,26,27,45.7,20,220,1800,20.0,31,24,31,0,2,32,3,1.55,1.2,2.75,1.55,2.75,27.4,25.8,17.8,43.6,1.37,0.89,2.26,1.29,2.18,235,88,37.4,11.75,4.4,0.13,0.35,15.8,4,0.11,3.6,5.2,7208,9276,77.7,149143,54177,2589,3038,85.2,3231,3770,85.7,1247,2079,60.0,6.2,165,470,140,47,575,8264,1012,21,1441,246,216,83,34,32,3,5872,1360,2044,2647,5312,424,434,154,59,183,271,256,351,17.55,242,41,14,20,7,41,2.05,32,3,0,4,1,1,330,189,161,134,35,120,44.4,150,932,29.3,1041,1310,833,1,296,660,397,6,11659,1649,429,272,47.1,146,15,6820,59,265,211,8630,7208,83.5,575,90,100,82,130,89,20,89,1.55,32,41,-9,-0.45,27.4,33.8,-6.4,-0.32,2,216,2,0,2,1648,410,351,53.9,Bundesliga,20,2021-2022
