Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
be Anderlecht,20,26,57.8,6,66,540,6.0,17,12,16,1,1,8,0,2.83,2.0,4.83,2.67,4.67,105,41,39.0,17.5,6.83,0.15,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,84,,18,22,23,0.5,17,2,15,2.5,0,61,1,0,1,Champions-League,8,2017-2018
cy APOEL FC,21,26,69.3,6,66,540,6.0,17,13,16,1,1,8,0,2.83,2.17,5.0,2.67,4.83,125,44,35.2,20.83,7.33,0.13,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,84,,18,21,24,0.33,17,2,15,2.5,0,72,0,0,0,Champions-League,8,2017-2018
es Atlético Madrid,20,27,48.5,6,66,540,6.0,3,3,3,0,0,10,3,0.5,0.5,1.0,0.5,1.0,64,17,26.6,10.67,2.83,0.05,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,85,,18,14,24,1.17,4,5,-1,-0.17,2,73,0,1,0,Champions-League,8,2017-2018
es Barcelona,22,27,34.8,10,110,900,10.0,6,5,5,1,1,28,0,0.6,0.5,1.1,0.5,1.0,102,33,32.4,10.2,3.3,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,85,,28,21,42,2.1,6,17,-11,-1.1,0,143,1,0,5,Champions-League,8,2017-2018
ch Basel,21,27,55.5,8,88,720,8.0,10,7,10,0,0,12,1,1.25,0.87,2.12,1.25,2.12,103,28,27.2,12.87,3.5,0.1,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,84,,23,23,33,1.88,10,13,-3,-0.37,0,89,0,1,0,Champions-League,8,2017-2018
de Bayern Munich,22,27,41.6,12,132,1080,12.0,12,10,12,0,0,23,3,1.0,0.83,1.83,1.0,1.83,125,43,34.4,10.42,3.58,0.1,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,84,,33,18,51,2.17,12,26,-14,-1.17,0,142,0,1,2,Champions-League,8,2017-2018
pt Benfica,25,26,43.2,6,66,540,6.0,12,4,9,3,4,16,0,2.0,0.67,2.67,1.5,2.17,75,31,41.3,12.5,5.17,0.12,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,86,,18,14,24,0.0,14,1,13,2.17,0,87,2,0,0,Champions-League,8,2017-2018
tr Beşiktaş,23,26,52.1,8,88,720,8.0,11,8,11,0,0,15,1,1.37,1.0,2.37,1.37,2.37,144,49,34.0,18.0,6.12,0.08,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,83,,22,28,34,1.75,13,12,1,0.12,1,124,0,2,0,Champions-League,8,2017-2018
sct Celtic,20,26,56.8,6,66,540,6.0,16,13,15,1,1,1,0,2.67,2.17,4.83,2.5,4.67,88,40,45.5,14.67,6.67,0.17,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,86,,17,17,25,0.5,18,5,13,2.17,0,53,1,0,0,Champions-League,8,2017-2018
eng Chelsea,19,27,54.3,8,88,720,8.0,12,10,11,1,1,9,1,1.5,1.25,2.75,1.37,2.62,79,32,40.5,9.87,4.0,0.14,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,85,,23,17,33,1.5,12,17,-5,-0.62,0,78,1,2,2,Champions-League,8,2017-2018
