Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
be Anderlecht,20,26,42.2,6,66,540,6.0,1,1,1,0,0,,,0.17,0.17,0.33,0.17,0.33,57,21,36.8,9.5,3.5,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,0.5,2,17,-15,-2.5,0,69,0,1,0,Champions-League,8,2017-2018
cy APOEL FC,21,29,30.7,6,66,540,6.0,2,1,2,0,0,,,0.33,0.17,0.5,0.33,0.5,50,13,26.0,8.33,2.17,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,0.33,2,17,-15,-2.5,0,58,0,1,0,Champions-League,8,2017-2018
es Atlético Madrid,20,27,51.5,6,66,540,6.0,5,4,4,1,1,,,0.83,0.67,1.5,0.67,1.33,108,37,34.3,18.0,6.17,0.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,1.17,5,4,1,0.17,1,75,1,0,1,Champions-League,8,2017-2018
es Barcelona,22,27,65.2,10,110,900,10.0,12,11,12,0,0,,,1.2,1.1,2.3,1.2,2.3,129,53,41.1,12.9,5.3,0.09,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,28,0,42,2.1,17,6,11,1.1,1,101,0,1,0,Champions-League,8,2017-2018
ch Basel,21,25,44.5,8,88,720,8.0,13,6,12,1,1,,,1.62,0.75,2.37,1.5,2.25,84,36,42.9,10.5,4.5,0.14,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,19,0,37,1.88,13,10,3,0.37,0,99,1,0,0,Champions-League,8,2017-2018
de Bayern Munich,22,27,58.4,12,132,1080,12.0,24,17,23,1,1,,,2.0,1.42,3.42,1.92,3.33,226,85,37.6,18.83,7.08,0.1,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,35,0,48,2.17,26,12,14,1.17,0,139,1,0,0,Champions-League,8,2017-2018
pt Benfica,25,26,56.8,6,66,540,6.0,1,1,1,0,0,,,0.17,0.17,0.33,0.17,0.33,86,17,19.8,14.33,2.83,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,0.0,1,14,-13,-2.17,1,54,0,4,2,Champions-League,8,2017-2018
tr Beşiktaş,23,30,47.9,8,88,720,8.0,12,8,10,2,2,,,1.5,1.0,2.5,1.25,2.25,84,37,44.0,10.5,4.62,0.12,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,24,0,32,1.75,12,13,-1,-0.12,0,100,2,0,2,Champions-League,8,2017-2018
sct Celtic,20,26,43.2,6,66,540,6.0,5,4,5,0,0,,,0.83,0.67,1.5,0.83,1.5,54,21,38.9,9.0,3.5,0.09,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,0.5,5,18,-13,-2.17,0,51,0,1,2,Champions-League,8,2017-2018
eng Chelsea,19,26,45.8,8,88,720,8.0,15,9,13,2,2,,,1.87,1.13,3.0,1.62,2.75,125,45,36.0,15.62,5.63,0.1,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,23,0,33,1.5,17,12,5,0.62,0,91,2,1,0,Champions-League,8,2017-2018
ru CSKA Moscow,20,28,44.0,6,66,540,6.0,7,4,6,1,1,,,1.17,0.67,1.83,1.0,1.67,72,23,31.9,12.0,3.83,0.08,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,23,1.5,8,10,-2,-0.33,0,79,0,1,0,Champions-League,8,2017-2018
de Dortmund,22,26,58.8,6,66,540,6.0,7,6,7,0,0,,,1.17,1.0,2.17,1.17,2.17,87,26,29.9,14.5,4.33,0.08,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,24,0.33,7,13,-6,-1.0,0,52,0,0,0,Champions-League,8,2017-2018
nl Feyenoord,23,25,38.5,6,66,540,6.0,5,4,5,0,1,,,0.83,0.67,1.5,0.83,1.5,55,22,40.0,9.17,3.67,0.09,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,16,0,25,0.5,5,14,-9,-1.5,1,90,1,0,0,Champions-League,8,2017-2018
it Juventus,23,29,49.5,10,110,900,10.0,14,9,13,1,2,,,1.4,0.9,2.3,1.3,2.2,128,53,41.4,12.8,5.3,0.1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,29,0,41,1.8,14,12,2,0.2,1,144,2,1,1,Champions-League,8,2017-2018
eng Liverpool,24,25,50.2,13,143,1170,13.0,41,35,40,1,3,,,3.15,2.69,5.85,3.08,5.77,205,91,44.4,15.77,7.0,0.2,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,37,0,54,1.92,41,16,25,1.92,1,157,3,3,1,Champions-League,8,2017-2018
eng Manchester City,25,25,65.1,10,110,900,10.0,20,16,19,1,2,,,2.0,1.6,3.6,1.9,3.5,135,47,34.8,13.5,4.7,0.14,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,25,0,45,1.8,20,12,8,0.8,0,93,2,3,0,Champions-League,8,2017-2018
eng Manchester Utd,25,26,57.4,8,88,720,8.0,12,7,10,2,3,,,1.5,0.87,2.37,1.25,2.12,112,42,37.5,14.0,5.25,0.09,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,24,0,32,2.0,13,5,8,1.0,0,97,2,0,0,Champions-League,8,2017-2018
fr Monaco,23,26,46.2,6,66,540,6.0,6,4,5,1,1,,,1.0,0.67,1.67,0.83,1.5,68,24,35.3,11.33,4.0,0.07,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,0.33,6,16,-10,-1.67,0,86,0,2,1,Champions-League,8,2017-2018
it Napoli,20,27,54.0,6,66,540,6.0,11,6,8,3,4,,,1.83,1.0,2.83,1.33,2.33,73,33,45.2,12.17,5.5,0.11,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,1.0,11,11,0,0.0,0,70,4,1,0,Champions-League,8,2017-2018
si NK Maribor,17,28,33.5,6,66,540,6.0,3,3,3,0,0,,,0.5,0.5,1.0,0.5,1.0,63,16,25.4,10.5,2.67,0.05,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,0.5,3,16,-13,-2.17,0,61,0,2,0,Champions-League,8,2017-2018
gr Olympiacos,22,26,36.0,6,66,540,6.0,4,3,4,0,0,,,0.67,0.5,1.17,0.67,1.17,46,15,32.6,7.67,2.5,0.09,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,0.17,4,13,-9,-1.5,0,86,0,0,1,Champions-League,8,2017-2018
fr Paris S-G,19,26,54.0,8,88,720,8.0,26,18,25,1,1,,,3.25,2.25,5.5,3.12,5.37,123,53,43.1,15.37,6.62,0.2,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,21,0,35,1.88,27,9,18,2.25,1,82,1,1,0,Champions-League,8,2017-2018
pt Porto,25,26,45.0,8,88,720,8.0,14,13,14,0,0,,,1.75,1.62,3.38,1.75,3.38,101,34,33.7,12.62,4.25,0.14,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,23,0,33,1.38,15,15,0,0.0,0,110,0,1,0,Champions-League,8,2017-2018
az Qarabağ FK,20,28,43.8,6,66,540,6.0,2,2,2,0,0,,,0.33,0.33,0.67,0.33,0.67,38,10,26.3,6.33,1.67,0.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,0.33,2,14,-12,-2.0,1,72,0,2,1,Champions-League,8,2017-2018
de RB Leipzig,19,23,56.7,6,66,540,6.0,9,5,8,1,1,,,1.5,0.83,2.33,1.33,2.17,92,29,31.5,15.33,4.83,0.09,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,1.17,10,11,-1,-0.17,1,87,1,1,0,Champions-League,8,2017-2018
es Real Madrid,23,27,57.6,13,143,1170,13.0,33,19,29,4,4,,,2.54,1.46,4.0,2.23,3.69,223,91,40.8,17.15,7.0,0.13,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,38,0,53,2.23,33,16,17,1.31,0,132,3,0,1,Champions-League,8,2017-2018
it Roma,20,28,50.8,12,132,1080,12.0,20,15,17,3,3,,,1.67,1.25,2.92,1.42,2.67,175,64,36.6,14.58,5.33,0.1,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,33,0,51,1.67,21,19,2,0.17,1,115,1,0,2,Champions-League,8,2017-2018
es Sevilla,22,27,58.0,10,110,900,10.0,15,11,13,2,2,,,1.5,1.1,2.6,1.3,2.4,159,56,35.2,15.9,5.6,0.08,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,28,0,42,1.4,15,15,0,0.0,0,99,2,1,1,Champions-League,8,2017-2018
ua Shakhtar,20,27,47.9,8,88,720,8.0,11,7,11,0,0,,,1.37,0.87,2.25,1.37,2.25,87,35,40.2,10.87,4.37,0.13,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,20,0,36,1.88,11,11,0,0.0,1,85,0,3,0,Champions-League,8,2017-2018
ru Spartak Moscow,20,27,46.2,6,66,540,6.0,9,7,9,0,0,,,1.5,1.17,2.67,1.5,2.67,75,24,32.0,12.5,4.0,0.12,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,1.0,9,13,-4,-0.67,0,64,0,1,0,Champions-League,8,2017-2018
pt Sporting CP,21,26,41.2,6,66,540,6.0,7,7,7,0,0,,,1.17,1.17,2.33,1.17,2.33,57,20,35.1,9.5,3.33,0.12,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,1.17,8,9,-1,-0.17,0,95,0,0,2,Champions-League,8,2017-2018
eng Tottenham,26,25,49.8,8,88,720,8.0,17,15,17,0,0,,,2.12,1.87,4.0,2.12,4.0,118,47,39.8,14.75,5.87,0.14,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,21,0,35,2.13,18,8,10,1.25,1,117,0,3,0,Champions-League,8,2017-2018
