Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
gr AEK Athens,20,25,59.8,6,66,540,6.0,13,6,11,2,2,9,1,2.17,1.0,3.17,1.83,2.83,12.4,10.9,8.8,19.7,2.07,1.46,3.53,1.82,3.28,105,38,36.2,17.5,6.33,0.1,0.29,17.2,7,0.11,0.6,0.1,3111,3686,84.4,59788,18855,1281,1429,89.6,1375,1552,88.6,424,622,68.2,-2.8,73,243,82,12,292,3411,275,2,220,128,103,56,0,0,0,2741,380,565,1263,2087,139,112,33,13,54,58,67,166,27.67,109,19,7,13,5,21,3.5,12,0,1,3,3,2,114,73,42,56,16,37,37.0,63,203,27.1,158,389,201,1,67,158,76,0,4320,268,204,96,58.3,65,3,3141,29,61,69,3491,3111,89.1,350,90,100,84,48,17,20,25,0.0,13,2,11,1.83,12.4,4.1,8.3,1.39,1,64,1,0,0,552,68,45,60.2,Champions-League,8,2018-2019
nl Ajax,22,27,46.9,12,132,1080,12.0,13,11,12,1,1,28,3,1.08,0.92,2.0,1.0,1.92,15.7,15.0,11.6,26.5,1.31,0.97,2.27,1.25,2.21,151,50,33.1,12.58,4.17,0.08,0.24,15.3,3,0.1,-2.7,-3.0,4383,5704,76.8,91767,33383,1678,1976,84.9,1816,2172,83.6,814,1313,62.0,-0.6,113,328,90,16,373,5097,607,10,827,186,117,49,5,11,7,3380,984,1340,1555,3350,338,229,102,9,95,112,177,245,20.42,151,28,25,11,9,24,2.0,13,3,6,1,1,0,231,145,123,89,19,86,35.4,157,608,27.3,749,1006,474,1,146,396,206,3,7173,814,284,254,58.7,165,10,4499,59,135,186,5285,4383,82.9,468,90,100,84,94,35,22,49,1.83,13,22,-9,-0.75,15.7,21.9,-6.2,-0.52,2,171,1,1,0,1231,149,145,50.7,Champions-League,8,2018-2019
es Atlético Madrid,21,25,51.0,8,88,720,8.0,9,6,8,1,2,16,0,1.13,0.75,1.87,1.0,1.75,7.9,6.4,4.6,11.1,0.99,0.58,1.57,0.8,1.38,73,19,26.0,9.12,2.37,0.11,0.42,19.7,5,0.09,1.1,1.6,3589,4408,81.4,71186,20990,1406,1610,87.3,1601,1858,86.2,549,840,65.4,1.4,55,262,65,14,281,4043,365,3,758,126,75,34,2,2,0,3076,504,828,1215,2720,201,155,51,5,75,85,87,121,15.12,88,9,7,10,3,13,1.62,10,0,2,0,1,0,117,80,59,40,18,36,31.6,78,294,27.5,423,485,162,0,116,203,162,0,5291,503,148,137,55.5,87,5,3688,19,88,104,4045,3589,88.7,327,90,100,84,65,23,22,33,2.0,9,11,-2,-0.25,7.9,7.7,0.2,0.02,0,92,1,0,0,740,77,91,45.8,Champions-League,8,2018-2019
es Barcelona,23,25,38.5,12,132,1080,12.0,10,6,10,0,0,26,0,0.83,0.5,1.33,0.83,1.33,14.0,14.0,10.3,24.4,1.17,0.86,2.03,1.17,2.03,148,44,29.7,12.33,3.67,0.07,0.23,17.3,7,0.1,-4.0,-4.0,4335,5376,80.6,84424,29900,1764,2022,87.2,1872,2147,87.2,647,1045,61.9,-4.3,104,337,90,20,383,4867,509,19,929,148,134,44,9,8,1,3589,715,1072,1478,3322,218,186,105,20,101,95,135,224,18.67,172,10,13,11,8,16,1.33,11,1,1,2,0,1,210,144,110,80,20,81,31.4,177,552,19.9,802,1348,618,3,151,337,193,4,6684,799,271,184,55.4,109,5,4459,45,137,118,5156,4335,84.1,442,90,100,84,96,36,20,48,2.25,10,26,-16,-1.33,14.0,22.9,-8.9,-0.74,0,187,0,1,1,923,81,92,46.8,Champions-League,8,2018-2019
de Bayern Munich,20,25,42.8,8,88,720,8.0,8,7,7,1,1,15,1,1.0,0.87,1.87,0.87,1.75,10.1,9.4,7.9,17.3,1.27,0.99,2.26,1.17,2.16,87,29,33.3,10.87,3.62,0.08,0.24,17.1,1,0.11,-2.1,-2.4,2952,3808,77.5,57546,19861,1221,1439,84.9,1224,1458,84.0,462,783,59.0,-0.9,63,204,70,16,240,3431,377,10,828,107,71,26,4,1,1,2547,473,788,1239,2125,170,163,47,6,70,112,107,131,16.37,93,11,10,4,4,16,2.0,12,1,1,1,1,0,143,96,71,53,19,44,38.3,71,312,23.7,370,550,399,0,95,213,158,1,4708,554,179,128,63.3,87,5,3215,23,84,101,3452,2952,85.5,305,90,100,85,66,21,20,35,1.88,8,16,-8,-1.0,10.1,12.9,-2.8,-0.35,0,97,1,2,1,754,66,83,44.3,Champions-League,8,2018-2019
pt Benfica,20,26,55.5,6,66,540,6.0,11,8,11,0,0,15,1,1.83,1.33,3.17,1.83,3.17,10.1,10.1,8.2,18.3,1.68,1.37,3.05,1.68,3.05,78,36,46.2,13.0,6.0,0.14,0.31,17.4,4,0.13,0.9,0.9,2919,3527,82.8,56193,17604,1218,1359,89.6,1256,1418,88.6,418,637,65.6,-0.2,54,185,43,6,204,3218,309,6,412,83,37,27,0,0,0,2569,390,568,1121,2031,150,140,41,17,42,64,81,123,20.5,88,7,12,5,3,19,3.17,13,2,4,0,0,0,105,64,45,53,7,36,37.1,61,194,29.0,192,332,145,1,76,194,94,2,4240,385,134,129,58.1,85,6,3050,37,75,87,3255,2919,89.7,245,90,100,86,50,15,16,27,1.17,11,6,5,0.83,10.1,8.2,1.9,0.32,1,80,0,0,0,557,49,45,52.1,Champions-League,8,2018-2019
be Club Brugge,25,25,60.2,6,66,540,6.0,5,4,5,0,0,12,0,0.83,0.67,1.5,0.83,1.5,6.4,6.4,5.0,11.4,1.07,0.83,1.91,1.07,1.91,75,24,32.0,12.5,4.0,0.07,0.21,19.0,2,0.09,-1.4,-1.4,3629,4238,85.6,66553,19262,1609,1792,89.8,1530,1693,90.4,451,650,69.4,-1.0,59,324,77,12,307,3973,265,14,462,104,73,33,0,0,0,3435,321,482,1319,2583,152,114,15,11,47,45,93,115,19.17,96,7,3,4,4,7,1.17,6,0,0,0,0,1,86,61,38,38,10,14,26.9,38,175,26.6,229,284,146,1,66,141,98,4,4840,259,180,80,67.5,61,2,3690,34,78,72,4012,3629,90.5,355,90,100,83,49,18,24,24,1.0,5,6,-1,-0.17,6.4,5.1,1.3,0.22,0,52,0,0,0,560,60,42,58.8,Champions-League,8,2018-2019
ru CSKA Moscow,22,27,55.2,6,66,540,6.0,9,8,9,0,1,8,0,1.5,1.33,2.83,1.5,2.83,9.7,8.9,6.7,15.6,1.61,1.11,2.72,1.49,2.6,105,38,36.2,17.5,6.33,0.09,0.24,16.8,5,0.09,-0.7,0.1,2800,3427,81.7,55827,18115,1141,1300,87.8,1143,1306,87.5,484,726,66.7,1.3,73,258,59,17,257,3127,300,8,650,121,88,36,0,0,0,2356,389,682,948,2091,157,123,52,9,46,38,81,153,25.5,115,10,11,9,1,16,2.67,12,2,1,1,0,0,94,61,49,36,9,35,37.2,59,191,24.4,278,333,171,0,69,134,101,0,4078,346,176,124,62.9,81,2,2911,30,64,70,3221,2800,86.9,315,90,100,84,48,18,23,24,1.17,9,8,1,0.17,9.7,7.1,2.6,0.43,0,70,1,2,0,595,69,68,50.4,Champions-League,8,2018-2019
de Dortmund,24,25,39.0,8,88,720,8.0,6,6,6,0,0,12,0,0.75,0.75,1.5,0.75,1.5,6.3,6.3,5.5,11.8,0.79,0.69,1.48,0.79,1.48,80,23,28.8,10.0,2.87,0.08,0.26,18.2,2,0.08,-0.3,-0.3,3112,3875,80.3,60172,20218,1294,1487,87.0,1310,1509,86.8,460,741,62.1,0.5,64,248,52,15,264,3550,325,19,600,117,85,33,3,0,0,2752,469,654,1102,2397,151,139,41,16,61,68,107,126,15.75,98,13,6,3,2,11,1.37,10,1,0,0,0,0,152,110,64,72,16,46,30.7,104,386,24.2,515,740,339,0,118,246,145,3,4748,494,141,111,61.3,76,2,3150,18,100,107,3588,3112,86.7,310,90,100,85,65,23,19,33,1.63,6,10,-4,-0.5,6.3,11.6,-5.2,-0.65,0,70,0,1,0,698,47,46,50.5,Champions-League,8,2018-2019
tr Galatasaray,21,27,46.0,6,66,540,6.0,7,4,6,1,1,13,0,1.17,0.67,1.83,1.0,1.67,9.2,8.5,5.9,14.4,1.54,0.99,2.52,1.41,2.4,78,23,29.5,13.0,3.83,0.08,0.26,16.6,4,0.11,-2.2,-2.5,1985,2562,77.5,40562,15366,736,860,85.6,898,1071,83.8,330,555,59.5,-1.9,52,156,49,10,211,2274,288,4,375,63,63,32,0,0,0,1666,259,637,696,1520,155,110,38,20,50,33,62,115,19.17,79,13,7,9,3,12,2.0,8,2,0,0,2,0,101,65,46,46,9,24,24.5,74,214,23.4,334,419,160,0,74,158,102,0,3242,325,137,102,55.9,63,5,2176,22,67,81,2350,1985,84.5,236,90,100,87,49,17,13,25,0.67,8,5,3,0.5,9.2,9.1,0.1,0.02,0,98,1,2,0,529,52,60,46.4,Champions-League,8,2018-2019
