Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
nl Ajax,21,24,56.3,6,66,540,6.0,7,5,6,1,1,11,1,1.17,0.83,2.0,1.0,1.83,8.6,7.8,6.3,14.2,1.43,1.06,2.49,1.31,2.36,68,27,39.7,11.33,4.5,0.09,0.22,18.8,2,0.12,-1.6,-1.8,2671,3380,79.0,52483,18428,1043,1210,86.2,1183,1400,84.5,405,665,60.9,-1.3,46,161,46,12,236,3108,272,4,431,58,75,32,7,9,0,2355,342,683,1390,1612,146,105,47,17,53,65,83,106,17.67,88,1,7,6,1,11,1.83,9,1,0,0,1,0,120,77,55,49,16,40,43.5,52,298,35.6,272,390,176,1,78,179,138,3,4097,489,137,96,64.6,65,3,2574,30,75,76,3184,2671,83.9,247,90,100,82,40,26,19,34,1.17,7,7,0,0.0,8.6,7.4,1.2,0.21,1,92,1,1,1,653,104,118,46.8,Champions-League,8,2020-2021
it Atalanta,25,27,46.3,8,88,720,8.0,11,10,11,0,0,11,1,1.37,1.25,2.62,1.37,2.62,11.6,11.6,9.7,21.3,1.45,1.21,2.66,1.45,2.66,91,41,45.1,11.37,5.12,0.12,0.27,16.5,3,0.13,-0.6,-0.6,3219,4052,79.4,59598,22267,1448,1650,87.8,1329,1553,85.6,386,670,57.6,0.3,71,239,68,15,318,3680,372,13,617,98,73,34,17,13,2,2802,488,762,1383,2208,155,150,41,16,75,94,131,146,18.25,107,12,9,7,5,21,2.62,17,0,0,2,1,1,164,101,80,66,18,57,35.6,103,326,29.1,378,497,245,0,91,270,175,2,5013,443,185,140,53.6,82,7,3065,38,106,94,3899,3219,82.6,335,90,100,82,57,31,20,60,1.38,11,12,-1,-0.12,11.6,11.6,0.1,0.01,0,93,0,2,0,768,149,100,59.8,Champions-League,8,2020-2021
es Atlético Madrid,20,27,48.6,8,88,720,8.0,7,6,7,0,0,17,1,0.87,0.75,1.62,0.87,1.62,8.3,8.3,6.5,14.8,1.04,0.82,1.85,1.04,1.85,97,29,29.9,12.12,3.62,0.07,0.24,17.6,3,0.09,-1.3,-1.3,3291,4165,79.0,61372,20936,1468,1694,86.7,1284,1520,84.5,459,758,60.6,-0.5,63,253,90,16,330,3752,413,7,509,118,103,57,20,24,3,2803,537,825,924,2747,166,171,58,15,57,102,107,128,16.0,96,12,5,7,1,11,1.37,8,1,1,0,1,0,146,90,64,58,24,54,37.2,91,373,32.3,389,490,276,0,99,222,188,2,5082,492,220,143,66.4,103,3,3171,33,79,97,3950,3291,83.3,335,90,100,84,57,31,17,57,1.13,7,11,-4,-0.5,8.3,9.2,-0.9,-0.12,0,95,0,2,1,756,139,138,50.2,Champions-League,8,2020-2021
es Barcelona,27,26,62.8,8,88,720,8.0,18,12,12,6,7,12,1,2.25,1.5,3.75,1.5,3.0,19.6,14.2,11.9,26.1,2.45,1.48,3.93,1.78,3.26,137,56,40.9,17.12,7.0,0.09,0.21,17.6,8,0.11,-1.6,-2.2,5563,6181,90.0,92719,26108,2812,3008,93.5,2185,2373,92.1,453,600,75.5,0.1,109,467,120,14,415,5846,335,16,487,87,98,43,14,4,3,5123,531,527,2488,3396,92,122,50,11,44,98,111,247,30.87,194,9,17,19,3,35,4.37,26,0,2,1,6,0,117,86,39,48,30,33,27.7,86,322,30.3,239,475,347,0,75,195,62,1,6957,442,309,208,61.1,136,11,5148,54,60,105,6074,5563,91.6,421,90,100,80,48,39,23,43,2.0,18,10,8,1.0,19.6,11.4,8.2,1.03,0,83,7,3,0,604,48,51,48.5,Champions-League,8,2020-2021
tr Başakşehir,21,29,42.8,6,66,540,6.0,7,5,7,0,0,18,0,1.17,0.83,2.0,1.17,2.0,4.9,4.9,3.8,8.7,0.82,0.64,1.45,0.82,1.45,65,22,33.8,10.83,3.67,0.11,0.32,19.1,6,0.08,2.1,2.1,2169,2784,77.9,43109,14033,861,992,86.8,934,1085,86.1,337,598,56.4,1.2,49,120,38,10,161,2514,270,6,488,95,69,21,7,5,0,1782,390,612,1035,1411,118,113,46,7,47,72,80,102,17.0,83,3,6,7,2,12,2.0,7,1,1,1,2,0,83,55,43,30,10,29,27.6,76,250,28.5,323,375,180,0,91,159,107,1,3460,425,101,101,54.5,59,8,2107,18,74,54,2637,2169,82.3,171,90,100,81,40,26,22,32,0.5,7,18,-11,-1.83,4.9,14.0,-9.1,-1.51,0,72,0,2,0,533,74,88,45.7,Champions-League,8,2020-2021
de Bayern Munich,26,27,59.8,10,110,900,10.0,25,18,22,3,3,20,1,2.5,1.8,4.3,2.2,4.0,19.7,17.4,12.5,29.9,1.97,1.25,3.22,1.74,2.99,162,57,35.2,16.2,5.7,0.14,0.39,17.1,8,0.11,5.3,4.6,5423,6383,85.0,106107,31422,2152,2399,89.7,2357,2634,89.5,825,1137,72.6,5.5,117,442,122,35,447,5918,465,12,745,204,158,59,30,21,2,4764,652,967,2502,3342,172,188,85,13,66,114,127,253,25.3,182,19,22,15,4,44,4.4,27,3,3,5,4,2,180,95,80,72,28,68,34.5,129,509,30.4,439,740,497,1,109,291,149,1,7498,661,324,213,64.3,143,8,5120,59,121,120,6152,5423,88.2,458,90,100,82,69,40,21,48,2.5,27,10,17,1.7,19.7,13.5,6.2,0.62,1,137,3,0,0,868,133,129,50.8,Champions-League,8,2020-2021
eng Chelsea,24,26,52.0,13,143,1170,13.0,23,16,18,5,6,20,0,1.77,1.23,3.0,1.38,2.62,22.7,18.1,15.9,34.1,1.74,1.22,2.97,1.39,2.62,138,52,37.7,10.62,4.0,0.13,0.35,16.0,2,0.14,0.3,-0.1,6246,7408,84.3,114807,35439,2705,2955,91.5,2670,3007,88.8,747,1169,63.9,0.1,114,398,110,22,432,6839,569,14,901,143,127,54,18,23,2,5404,869,1135,1727,4980,211,258,88,23,130,114,141,243,18.69,191,12,15,11,4,38,2.92,25,0,5,4,3,1,225,137,106,92,27,70,36.5,122,560,30.0,596,886,386,0,173,373,291,4,8905,914,307,223,64.1,153,4,5807,77,167,149,7121,6246,87.7,440,90,100,84,90,53,15,97,2.31,23,4,19,1.46,22.7,8.0,14.7,1.13,0,181,4,0,0,1037,222,210,51.4,Champions-League,8,2020-2021
be Club Brugge,22,25,50.2,6,66,540,6.0,8,4,6,2,2,10,1,1.33,0.67,2.0,1.0,1.67,7.8,6.3,4.4,10.7,1.31,0.74,2.04,1.05,1.79,55,17,30.9,9.17,2.83,0.11,0.35,16.4,2,0.13,0.2,-0.3,2684,3318,80.9,53577,16528,1067,1217,87.7,1111,1274,87.2,443,683,64.9,-0.4,38,198,50,7,218,3038,280,1,349,136,59,24,5,9,3,2272,454,592,965,1990,118,128,36,13,61,60,87,85,14.17,64,4,4,4,2,10,1.67,6,1,0,1,2,0,97,59,41,41,15,34,45.3,41,237,27.5,256,392,215,0,67,166,94,2,3921,375,126,106,62.3,73,7,2702,20,58,74,3142,2684,85.4,226,90,100,85,45,20,13,37,1.33,8,10,-2,-0.33,7.8,9.3,-1.4,-0.24,1,77,2,1,1,547,96,99,49.2,Champions-League,8,2020-2021
de Dortmund,26,25,49.4,10,110,900,10.0,19,11,17,2,2,9,0,1.9,1.1,3.0,1.7,2.8,15.5,14.0,11.0,25.0,1.55,1.1,2.65,1.4,2.5,119,49,41.2,11.9,4.9,0.14,0.35,17.0,5,0.12,3.5,3.0,5087,5935,85.7,95675,26788,2195,2418,90.8,2125,2322,91.5,679,989,68.7,0.0,92,379,93,8,369,5536,399,8,590,171,92,43,21,13,3,4676,479,780,1800,3689,148,162,55,6,49,133,110,197,19.7,149,11,7,12,5,32,3.2,24,0,1,3,3,1,168,111,75,70,23,49,33.6,97,431,29.2,526,596,352,1,121,273,201,5,7003,735,252,148,58.8,90,7,4550,47,109,91,5729,5087,88.8,376,90,100,84,71,39,16,71,1.7,19,13,6,0.6,15.5,12.1,3.4,0.34,0,99,2,3,1,761,98,125,43.9,Champions-League,8,2020-2021
ua Dynamo Kyiv,22,24,42.0,6,66,540,6.0,4,1,3,1,1,9,1,0.67,0.17,0.83,0.5,0.67,5.7,4.9,3.1,8.0,0.94,0.51,1.46,0.82,1.34,41,21,51.2,6.83,3.5,0.07,0.14,17.2,2,0.13,-1.7,-1.9,2427,2940,82.6,48577,13808,906,1030,88.0,1105,1258,87.8,384,564,68.1,-2.1,27,135,39,15,148,2676,264,2,299,78,55,22,3,4,0,2158,294,488,833,1827,100,103,37,7,60,41,61,60,10.0,43,5,4,3,2,3,0.5,0,1,0,2,0,0,99,58,49,42,8,35,30.7,79,191,22.6,321,386,140,0,90,175,138,0,3607,526,94,77,63.6,53,2,2335,18,61,57,2787,2427,87.1,153,90,100,84,39,26,14,41,0.67,4,13,-9,-1.5,5.7,11.4,-5.8,-0.96,1,68,0,2,0,418,60,60,50.0,Champions-League,8,2020-2021
